read, delay
1, 15.46
2, 13.05
3, 10.42
4, 7.97
5, 19.64
6, 0.19
7, 14.86
8, 14.38
9, 9.76
10, 22.40
11, 19.58
12, 16.99
13, 14.04
14, 11.60
15, 7.72
16, 20.79
17, 18.32
18, 15.22
19, 12.57
20, 9.76
21, 7.59
22, 19.74
23, 16.75
24, 13.77
25, 11.54
26, 8.76
27, 21.55
28, 18.66
29, 15.90
30, 12.96
31, 10.52
32, 8.18
33, 19.69
34, 17.22
35, 14.91
36, 12.00
37, 8.98
38, 21.62
39, 18.65
40, 15.81
41, 13.27
42, 10.90
43, 8.13
44, 20.26
45, 18.08
46, 16.00
47, 28.39
48, 10.21
49, 7.93
50, 21.43
51, 18.54
52, 15.15
53, 12.28
54, 9.33
55, 22.17
56, 19.29
57, 16.34
58, 14.15
59, 11.67
60, 8.98
61, 21.10
62, 18.83
63, 16.14
64, 13.37
65, 10.49
66, 7.63
67, 20.55
68, 18.20
69, 15.13
70, 12.19
71, 9.17
72, 21.24
73, 18.97
74, 16.48
75, 14.30
76, 11.95
77, 9.37
78, 3.99
79, 19.72
80, 17.41
81, 14.52
82, 11.96
83, 9.08
84, 20.89
85, 18.59
86, 16.46
87, 14.10
88, 11.28
89, 8.25
90, 21.64
91, 19.04
92, 16.47
93, 13.50
94, 10.93
95, 7.18
96, 21.40
97, 17.47
98, 15.32
99, 12.62
100, 10.01
101, 7.66
102, 19.42
103, 16.60
104, 14.38
105, 11.52
106, 9.32
107, 7.14
108, 20.37
109, 18.10
110, 15.26
111, 12.28
112, 9.16
113, 21.47
114, 19.22
115, 16.31
116, 15.82
117, 10.43
118, 8.17
119, 2.75
120, 0.58
121, 17.28
122, 13.60
123, 11.18
124, 8.21
125, 20.60
126, 17.95
127, 15.22
128, 12.94
129, 10.47
130, 22.02
131, 19.82
132, 17.46
133, 14.35
134, 11.76
135, 8.78
136, 21.36
137, 19.16
138, 16.64
139, 14.27
140, 11.18
141, 8.70
142, 20.84
143, 18.14
144, 15.34
145, 12.29
146, 9.69
147, 22.56
148, 20.10
149, 17.88
150, 15.10
151, 12.98
152, 10.15
153, 21.66
154, 18.85
155, 15.74
156, 12.70
157, 10.10
158, 7.63
159, 20.85
160, 18.53
161, 16.13
162, 13.96
163, 11.80
164, 8.76
165, 20.41
166, 18.19
167, 15.90
168, 13.02
169, 10.71
170, 8.51
171, 20.27
172, 17.90
173, 14.88
174, 12.45
175, 9.68
176, 7.36
177, 20.18
178, 17.52
179, 14.70
180, 12.35
181, 9.95
182, 21.61
183, 18.70
184, 15.91
185, 12.96
186, 9.93
187, 7.58
188, 20.47
189, 18.03
190, 15.83
191, 12.77
192, 10.60
193, 8.08
194, 19.99
195, 17.00
196, 14.08
197, 11.12
198, 8.32
199, 20.98
200, 18.27
201, 15.42
202, 12.41
203, 10.13
204, 22.08
205, 19.89
206, 17.70
207, 14.65
208, 12.04
209, 9.78
210, 22.40
211, 19.72
212, 16.81
213, 14.03
214, 11.18
215, 8.94
216, 20.84
217, 20.30
218, 15.85
219, 13.18
220, 10.37
221, 8.02
222, 21.02
223, 0.04
224, 15.75
225, 13.32
226, 11.19
227, 9.02
228, 21.00
229, 18.56
230, 16.13
231, 13.33
232, 11.19
233, 8.20
234, 20.93
235, 17.98
236, 15.33
237, 12.80
238, 10.36
239, 22.06
240, 19.58
241, 16.74
