read, delay
3, 19.79
4, 17.26
5, 14.29
6, 11.56
7, 9.22
8, 6.47
9, 19.33
10, 16.69
11, 13.88
12, 11.44
13, 9.26
14, 6.68
15, 18.95
16, 16.68
17, 13.98
18, 11.26
19, 8.63
20, 20.64
21, 18.14
22, 15.58
23, 12.54
24, 9.62
25, 7.04
26, 18.93
27, 16.45
28, 13.62
29, 11.18
30, 8.66
31, 21.18
32, 18.11
33, 15.40
34, 12.30
35, 9.67
36, 7.42
37, 19.71
38, 16.76
39, 14.08
40, 11.59
41, 9.22
42, 6.29
43, 19.04
44, 16.23
45, 13.49
46, 10.48
47, 7.83
48, 20.45
49, 17.41
50, 14.32
51, 12.04
52, 9.53
53, 6.56
54, 18.58
55, 16.15
56, 13.56
57, 10.47
58, 8.31
59, 20.50
60, 18.31
61, 15.94
62, 13.41
63, 11.02
64, 8.50
65, 6.38
66, 18.96
67, 16.40
68, 14.17
69, 11.13
70, 8.03
71, 20.33
72, 17.59
73, 15.08
74, 12.91
75, 10.10
76, 7.01
77, 19.00
78, 16.33
79, 13.86
80, 11.23
81, 8.30
82, 20.69
83, 17.66
84, 15.20
85, 12.38
86, 10.24
87, 7.82
88, 20.70
89, 17.98
90, 15.11
91, 12.64
92, 9.68
93, 6.57
94, 19.05
95, 16.56
96, 13.92
97, 11.29
98, 9.14
99, 21.47
100, 19.03
101, 16.22
102, 13.83
103, 11.46
104, 8.42
105, 21.08
106, 18.22
107, 15.22
108, 12.65
109, 10.33
110, 7.58
111, 20.08
112, 17.77
113, 14.75
114, 11.82
115, 8.70
116, 20.64
117, 18.06
118, 15.56
119, 12.62
120, 9.71
121, 7.34
122, 19.46
123, 16.72
124, 13.60
125, 11.19
126, 8.67
127, 20.74
128, 18.25
129, 15.69
130, 12.68
131, 10.38
132, 7.83
133, 20.29
134, 17.58
135, 14.62
136, 11.94
137, 8.92
138, 6.40
139, 18.35
140, 16.02
141, 13.03
142, 10.62
143, 7.54
144, 19.44
145, 17.28
146, 14.63
147, 11.58
148, 9.10
149, 21.22
150, 18.61
151, 15.89
152, 12.91
153, 9.85
154, 7.02
155, 19.05
156, 16.61
157, 14.28
158, 11.74
159, 9.22
160, 6.36
161, 18.45
162, 16.21
163, 13.62
164, 11.15
165, 8.36
