read, delay
1, 8.06
2, 15.06
3, 14.77
4, 13.67
5, 21.21
6, 20.12
7, 27.68
8, 19.24
9, 10.26
10, 17.38
11, 16.30
12, 23.69
13, 14.91
14, 22.09
15, 13.79
16, 21.22
17, 20.58
18, 27.77
19, 18.65
20, 10.42
21, 10.24
22, 17.75
23, 17.12
24, 16.92
25, 24.75
26, 15.64
27, 6.94
28, 14.66
29, 21.75
30, 29.15
31, 20.68
32, 28.15
33, 19.14
34, 26.92
35, 26.78
36, 1.24
37, 25.24
38, 16.64
39, 15.65
40, 14.96
41, 30.02
42, 21.65
43, 29.11
44, 20.00
45, 27.05
46, 18.46
47, 26.22
48, 25.80
49, 0.21
50, 24.20
51, 15.29
52, 22.19
53, 21.38
54, 21.23
55, 21.09
56, 12.54
57, 19.85
58, 27.63
59, 19.26
60, 26.21
61, 25.53
62, 0.76
63, 24.74
64, 16.36
65, 23.50
66, 22.54
67, 29.71
68, 21.10
69, 12.86
70, 19.82
71, 18.89
72, 17.78
73, 25.31
74, 25.10
75, 16.79
76, 24.57
77, 16.18
78, 23.13
79, 22.44
80, 29.73
81, 21.46
82, 13.25
83, 20.68
84, 20.33
85, 27.73
86, 19.19
87, 26.65
88, 17.74
89, 25.44
90, 24.36
91, 24.21
92, 23.38
93, 14.95
94, 22.20
95, 21.38
96, 20.69
97, 20.50
98, 28.35
99, 20.17
100, 11.49
101, 19.08
102, 18.19
103, 25.69
104, 16.63
105, 23.83
106, 14.68
107, 22.56
108, 22.25
109, 21.48
110, 20.87
111, 12.28
112, 19.78
113, 19.18
114, 18.98
115, 18.49
116, 25.59
117, 16.49
118, 23.71
119, 14.91
120, 22.34
121, 21.72
122, 29.48
123, 20.90
124, 12.61
125, 19.88
126, 19.57
127, 26.84
128, 17.78
129, 9.52
130, 16.59
131, 23.55
132, 22.64
133, 22.31
134, 21.52
135, 29.09
136, 20.89
137, 12.38
138, 19.71
139, 19.08
140, 26.52
141, 17.61
142, 8.84
143, 16.71
144, 16.32
145, 15.66
146, 14.82
147, 22.64
148, 14.44
149, 21.29
150, 12.87
151, 20.55
152, 20.17
153, 27.56
154, 18.53
155, 9.48
156, 16.86
157, 16.36
158, 23.77
159, 15.48
160, 22.70
161, 14.18
162, 21.85
163, 13.61
164, 13.30
165, 20.81
166, 12.34
167, 11.22
168, 10.18
169, 17.44
170, 16.41
171, 23.68
172, 14.64
173, 6.22
174, 13.88
175, 21.07
176, 20.00
177, 27.44
178, 19.25
179, 10.30
180, 17.26
181, 8.65
182, 23.34
183, 14.29
184, 21.49
185, 28.55
186, 19.87
187, 27.58
188, 26.86
189, 1.80
190, 25.80
191, 17.25
192, 24.53
193, 23.55
194, 31.42
195, 22.49
196, 13.40
197, 28.83
198, 27.75
199, 19.09
200, 26.91
201, 26.26
202, 18.01
203, 25.56
204, 16.77
205, 24.21
206, 23.90
207, 31.16
208, 22.19
209, 13.24
210, 20.46
211, 19.96
212, 27.17
213, 18.97
214, 26.00
215, 17.53
216, 24.80
217, 16.28
218, 23.70
219, 22.85
220, 14.52
221, 14.16
222, 22.00
223, 20.89
224, 20.58
225, 27.98
226, 18.94
227, 26.66
228, 17.67
229, 24.73
230, 24.00
231, 31.56
232, 23.10
233, 14.52
234, 22.36
235, 21.30
236, 28.66
237, 19.91
238, 11.49
239, 18.74
240, 17.88
241, 17.12
242, 0.49
243, 24.47
244, 31.42
245, 23.10
246, 14.30
247, 21.88
248, 20.93
249, 27.99
250, 19.28
251, 10.89
252, 17.92
253, 17.46
254, 24.33
255, 32.20
256, 23.07
257, 14.27
258, 21.55
259, 20.49
260, 27.81
261, 19.29
262, 10.84
263, 18.29
264, 9.73
265, 16.98
266, 16.68
267, 24.02
268, 31.21
269, 22.79
270, 14.00
271, 21.85
272, 21.28
273, 28.29
274, 19.85
275, 11.14
276, 18.45
277, 9.46
278, 24.52
279, 15.93
280, 22.89
281, 14.74
282, 22.58
283, 13.58
284, 21.24
285, 20.90
286, 28.25
287, 19.75
288, 11.46
289, 19.17
290, 18.64
291, 25.92
292, 17.64
293, 8.55
294, 16.25
295, 15.88
296, 22.51
297, 30.05
298, 21.11
299, 12.62
300, 19.96
301, 11.08
302, 18.14
303, 17.30
304, 24.24
305, 15.44
306, 22.73
307, 13.75
308, 21.26
309, 20.59
310, 28.14
311, 19.14
312, 10.54
313, 18.14
314, 17.10
315, 24.82
316, 16.45
317, 8.32
318, 15.51
319, 14.70
320, 13.67
321, 20.76
322, 19.98
323, 27.02
324, 18.62
325, 10.13
326, 17.83
327, 17.67
328, 25.20
329, 16.87
330, 7.99
331, 15.53
332, 15.31
333, 23.10
334, 14.07
335, 21.93
336, 21.53
337, 20.43
338, 11.82
339, 27.68
340, 18.96
341, 10.57
342, 17.66
343, 16.72
344, 24.25
345, 15.98
346, 6.58
347, 14.30
348, 5.95
349, 13.50
350, 20.45
351, 19.57
352, 2.56
353, 1.32
354, 25.33
355, 24.26
356, 31.20
357, 22.43
358, 29.62
359, 20.57
360, 28.02
361, 27.51
362, 27.10
363, 26.62
364, 18.12
365, 17.78
366, 16.87
367, 23.78
368, 22.76
369, 30.20
370, 22.06
371, 13.54
372, 20.74
373, 20.23
374, 27.31
375, 1.71
376, 25.73
377, 17.04
378, 24.35
379, 23.69
380, 31.10
381, 22.62
382, 13.80
383, 20.81
384, 19.97
385, 27.07
386, 26.76
387, 26.23
388, 0.75
389, 24.73
390, 15.77
391, 22.47
392, 21.72
393, 29.35
394, 20.54
395, 12.21
396, 19.53
397, 18.92
398, 26.26
399, 18.06
400, 25.02
401, 16.52
402, 16.12
403, 23.38
404, 22.62
405, 22.12
406, 13.54
407, 20.88
408, 12.71
409, 20.41
410, 19.58
411, 26.43
412, 17.73
413, 25.24
414, 16.98
415, 24.05
416, 23.89
417, 31.40
418, 22.51
419, 14.26
420, 21.94
421, 21.72
422, 20.70
423, 19.78
424, 11.43
425, 19.18
426, 10.08
427, 17.50
428, 24.48
429, 23.70
430, 31.43
431, 22.40
432, 14.14
433, 21.56
434, 20.90
435, 28.37
436, 19.40
437, 10.79
438, 18.06
439, 17.28
440, 25.12
441, 16.95
442, 24.58
443, 15.76
444, 22.92
445, 14.58
446, 22.00
447, 21.84
448, 28.83
449, 20.25
450, 11.34
451, 18.73
452, 18.00
453, 25.26
454, 16.63
455, 24.31
456, 15.52
457, 15.14
458, 14.43
459, 13.60
460, 20.47
461, 28.31
462, 19.18
463, 10.96
464, 18.00
465, 17.47
466, 24.88
467, 15.78
468, 22.54
469, 13.62
470, 20.90
471, 20.56
472, 27.59
473, 18.63
474, 10.25
475, 17.14
476, 8.96
477, 16.80
478, 16.18
479, 7.98
480, 14.92
481, 22.32
482, 13.74
483, 20.60
484, 19.88
485, 27.67
486, 18.85
487, 9.89
488, 17.75
489, 17.19
490, 24.74
491, 16.47
492, 8.12
493, 15.33
494, 14.28
495, 21.62
496, 13.26
497, 21.05
498, 12.23
499, 11.83
500, 10.91
501, 17.90
502, 17.10
503, 24.61
504, 15.87
505, 6.68
506, 13.72
507, 13.40
508, 20.45
509, 27.84
510, 18.82
511, 10.26
512, 17.73
513, 17.54
