read, delay
1, 1.30
2, 2.15
3, 2.15
4, 2.06
5, 1.73
6, 1.43
7, 1.47
8, 2.12
9, 2.14
10, 2.26
11, 1.33
12, 1.91
13, 1.46
14, 2.09
15, 1.48
16, 1.92
17, 1.45
18, 1.82
19, 1.50
20, 2.05
21, 2.15
22, 2.00
23, 2.18
24, 1.97
25, 1.58
26, 1.26
27, 1.95
28, 1.47
29, 1.39
30, 1.87
31, 1.37
32, 2.08
33, 2.10
34, 1.45
35, 1.90
36, 1.50
37, 2.14
38, 1.81
39, 1.75
40, 1.74
41, 1.51
42, 2.18
43, 1.30
44, 1.90
45, 1.52
46, 1.90
47, 1.52
48, 1.64
49, 2.16
50, 1.58
51, 2.21
52, 1.55
53, 2.30
54, 1.72
55, 1.42
56, 2.31
57, 2.03
58, 2.21
59, 1.89
60, 1.28
61, 1.88
62, 1.78
63, 1.35
64, 1.49
65, 1.49
66, 1.40
67, 1.57
68, 1.64
69, 2.03
70, 2.11
71, 1.42
72, 2.04
73, 1.94
74, 1.46
75, 2.06
76, 1.88
77, 2.05
78, 1.63
79, 1.72
80, 1.67
81, 1.40
82, 1.90
83, 1.94
84, 1.43
85, 2.23
86, 2.10
87, 1.97
88, 1.70
89, 2.21
90, 1.58
91, 1.30
92, 2.06
93, 2.20
94, 1.84
95, 1.34
96, 1.46
97, 1.62
98, 2.02
99, 2.01
100, 2.22
101, 2.18
102, 2.19
103, 1.79
104, 1.63
105, 1.87
106, 1.65
107, 2.18
108, 2.16
109, 1.38
110, 2.08
111, 2.21
112, 2.33
113, 2.25
114, 2.26
115, 1.34
116, 1.40
117, 2.16
118, 1.41
119, 1.92
120, 1.40
121, 1.60
122, 1.79
123, 1.41
124, 2.34
125, 2.10
126, 1.87
127, 1.73
128, 1.40
129, 1.77
130, 2.10
131, 1.81
132, 2.26
133, 2.13
134, 1.94
135, 1.93
136, 2.08
137, 2.16
138, 1.82
139, 1.93
140, 1.38
141, 1.86
142, 2.19
143, 1.48
144, 2.20
145, 1.84
146, 1.38
147, 2.09
148, 1.94
149, 1.74
150, 1.46
151, 2.10
152, 1.38
153, 1.27
154, 1.71
155, 2.17
156, 1.91
157, 1.80
158, 1.68
159, 1.92
160, 1.41
161, 1.73
162, 2.03
163, 1.66
164, 1.56
165, 1.51
166, 1.38
167, 1.64
168, 1.37
169, 1.68
170, 1.72
171, 1.51
172, 1.46
173, 1.82
174, 2.16
175, 2.08
176, 2.08
177, 1.58
178, 1.93
179, 2.17
180, 1.93
181, 1.67
182, 1.86
183, 1.69
184, 2.27
185, 1.86
186, 1.61
187, 2.11
188, 1.28
189, 1.84
190, 2.12
191, 1.58
192, 2.00
193, 1.80
194, 1.52
195, 2.26
196, 1.66
197, 1.82
198, 1.97
199, 1.52
200, 1.39
201, 1.40
202, 1.24
203, 1.48
204, 1.32
205, 1.32
206, 1.28
207, 1.66
208, 2.14
209, 1.65
210, 2.03
211, 1.80
212, 1.88
213, 2.06
214, 1.89
215, 2.06
216, 1.72
217, 2.04
218, 1.70
219, 1.57
220, 1.92
221, 1.28
222, 1.36
223, 1.62
224, 1.42
225, 2.03
226, 1.95
227, 1.94
228, 2.18
229, 1.46
230, 1.51
231, 1.85
232, 1.60
233, 1.48
234, 1.65
235, 1.60
236, 2.09
237, 1.42
238, 2.14
239, 1.45
240, 1.83
241, 1.56
242, 1.43
243, 1.66
244, 1.77
245, 1.44
246, 1.30
247, 1.68
248, 1.32
249, 1.91
250, 1.74
251, 1.48
252, 1.42
253, 2.16
254, 1.65
255, 2.15
256, 1.82
257, 2.08
258, 1.48
259, 1.49
260, 1.31
261, 1.37
262, 1.76
263, 1.43
264, 2.14
265, 2.22
266, 1.90
267, 1.46
268, 1.85
269, 2.09
270, 1.97
271, 1.88
272, 1.78
273, 1.97
274, 1.85
275, 2.25
276, 1.75
277, 1.42
278, 2.30
279, 2.23
280, 2.10
281, 1.84
282, 1.49
283, 1.83
284, 2.01
285, 1.22
286, 1.59
287, 1.34
288, 1.35
289, 1.52
290, 2.21
291, 1.81
292, 1.39
293, 2.25
294, 1.59
295, 1.65
296, 1.43
297, 1.91
298, 1.58
299, 1.52
300, 1.94
301, 2.09
302, 2.01
303, 2.14
304, 1.61
305, 1.19
306, 1.42
307, 1.69
308, 1.32
309, 1.98
310, 1.45
311, 1.46
312, 1.56
313, 1.68
314, 1.83
315, 1.63
316, 1.67
317, 2.06
318, 1.90
319, 1.65
320, 1.47
321, 1.64
322, 1.92
323, 1.37
324, 1.76
325, 1.62
326, 1.71
327, 1.92
328, 1.61
329, 1.68
330, 1.78
331, 1.46
332, 1.65
333, 1.71
334, 2.19
335, 2.10
336, 2.00
337, 1.32
338, 1.50
339, 1.28
340, 2.22
341, 1.40
342, 1.74
343, 1.47
344, 1.57
345, 1.98
346, 1.88
347, 1.62
348, 1.97
349, 1.44
350, 1.38
351, 1.93
352, 1.80
353, 2.27
354, 1.42
355, 1.76
356, 1.68
357, 1.56
358, 1.94
359, 1.49
360, 2.22
361, 1.92
362, 1.88
363, 2.16
364, 1.78
365, 1.80
366, 1.64
367, 1.62
368, 2.16
369, 1.63
370, 1.61
371, 1.95
372, 1.65
373, 1.60
374, 1.98
375, 2.03
376, 1.58
377, 1.31
378, 1.57
379, 1.38
380, 1.59
381, 2.18
382, 1.52
383, 1.62
384, 1.83
385, 2.07
386, 1.81
387, 1.79
388, 1.98
389, 1.99
390, 2.17
391, 1.61
392, 2.29
393, 1.83
394, 1.44
395, 1.66
396, 2.11
397, 1.35
398, 1.70
399, 1.94
400, 1.34
401, 2.22
402, 1.51
403, 1.44
404, 1.95
405, 1.54
406, 1.62
407, 1.54
408, 1.29
409, 1.50
410, 1.38
411, 1.39
412, 1.93
413, 2.02
414, 1.62
415, 1.59
416, 1.73
417, 1.88
418, 1.77
419, 1.55
420, 1.91
421, 1.56
422, 1.93
423, 1.81
424, 2.25
425, 2.10
426, 1.33
427, 2.03
428, 2.14
429, 1.41
430, 1.26
431, 1.86
432, 1.66
433, 1.73
434, 1.34
435, 1.58
436, 1.83
437, 1.89
438, 1.71
439, 2.22
440, 1.44
441, 1.31
442, 1.98
443, 1.71
444, 1.48
445, 1.62
446, 1.42
447, 2.04
448, 1.49
449, 1.61
450, 1.26
451, 1.95
452, 1.70
453, 1.72
454, 2.00
455, 1.74
456, 1.81
457, 2.08
458, 1.83
459, 1.65
460, 1.66
461, 2.18
462, 2.24
463, 2.05
464, 1.53
465, 2.16
466, 1.64
467, 1.33
468, 1.80
469, 1.56
470, 2.08
471, 1.59
472, 1.87
473, 1.38
474, 1.74
475, 1.95
476, 1.95
477, 2.10
478, 1.53
479, 2.02
480, 2.12
481, 1.84
482, 1.94
483, 2.01
484, 1.77
485, 1.82
486, 1.81
487, 1.36
488, 1.94
489, 2.02
490, 1.36
491, 1.93
492, 1.49
493, 2.01
494, 2.18
495, 2.00
496, 2.22
497, 1.34
498, 2.07
499, 1.72
500, 1.44
501, 1.99
502, 1.26
503, 2.04
504, 2.02
505, 1.96
506, 1.57
507, 1.51
508, 2.05
509, 2.10
510, 1.38
511, 2.07
512, 1.69
513, 1.73
514, 2.08
515, 1.44
516, 1.92
517, 1.86
518, 1.68
519, 2.27
520, 1.47
521, 1.50
522, 2.04
523, 1.50
524, 2.32
525, 1.92
526, 1.69
527, 1.63
528, 1.90
529, 1.26
530, 2.02
531, 2.04
532, 2.08
533, 1.59
534, 1.62
535, 1.78
536, 1.44
537, 2.10
538, 1.95
539, 1.97
540, 1.45
541, 1.92
542, 1.38
543, 2.13
544, 1.90
545, 2.22
546, 1.80
547, 2.12
548, 1.94
549, 1.75
550, 2.14
551, 2.00
552, 2.25
553, 1.67
554, 1.94
555, 2.14
556, 2.24
557, 1.87
558, 1.86
559, 1.70
560, 2.02
561, 2.33
562, 1.90
563, 1.86
564, 1.94
565, 1.44
566, 2.11
567, 1.76
568, 1.99
569, 1.58
570, 1.72
571, 1.79
572, 2.18
573, 2.21
574, 1.82
575, 1.72
576, 1.94
577, 1.41
578, 1.98
579, 1.72
580, 2.12
581, 1.58
582, 1.40
583, 1.44
584, 1.68
585, 1.42
586, 2.04
587, 1.82
588, 1.88
589, 1.34
590, 1.53
591, 1.32
592, 1.90
593, 1.32
594, 2.14
595, 1.98
596, 1.81
597, 1.92
598, 1.86
599, 1.54
600, 1.93
601, 1.39
602, 1.41
603, 1.64
604, 1.66
605, 1.53
606, 1.94
607, 1.32
608, 1.64
609, 1.98
610, 2.22
611, 1.59
612, 1.97
613, 1.45
614, 2.22
615, 1.64
616, 2.30
617, 2.18
618, 1.44
619, 2.12
620, 1.73
621, 1.35
622, 1.35
623, 1.74
624, 2.12
625, 2.18
626, 1.56
627, 1.68
628, 1.83
629, 1.91
630, 2.14
631, 1.66
632, 2.09
633, 1.63
634, 2.27
635, 1.82
636, 2.09
637, 2.21
638, 2.21
639, 2.14
640, 1.38
641, 1.77
642, 2.12
643, 1.58
644, 1.69
645, 2.03
646, 2.21
647, 1.91
648, 2.15
649, 1.82
650, 1.86
651, 2.25
652, 1.43
653, 1.44
654, 2.15
655, 2.06
656, 2.02
657, 1.49
658, 2.24
659, 1.84
660, 1.38
661, 2.13
662, 2.00
663, 2.11
664, 1.34
665, 1.63
666, 1.61
667, 1.73
668, 1.37
669, 1.53
670, 1.71
671, 1.41
672, 1.79
673, 1.97
674, 2.06
675, 2.22
676, 1.54
677, 2.02
678, 1.57
679, 1.74
680, 2.05
681, 1.85
682, 2.23
683, 1.38
684, 2.15
685, 1.49
686, 2.08
687, 1.49
688, 1.88
689, 1.82
690, 1.33
691, 1.94
692, 1.48
693, 1.55
694, 1.85
695, 1.85
696, 1.54
697, 1.46
698, 1.50
699, 1.55
700, 1.43
701, 1.81
702, 1.57
703, 2.19
704, 1.92
705, 1.89
706, 1.80
707, 2.07
708, 2.17
709, 1.68
710, 1.30
711, 1.62
712, 1.31
713, 1.54
714, 1.85
715, 1.62
716, 1.68
717, 2.18
718, 1.48
719, 1.24
720, 1.87
721, 2.07
722, 1.37
723, 1.44
724, 2.18
725, 1.36
726, 1.80
727, 1.48
728, 2.04
729, 2.28
730, 2.26
731, 1.82
732, 1.64
733, 2.26
734, 2.09
735, 1.76
736, 1.78
737, 1.50
738, 1.72
739, 1.27
740, 1.68
741, 2.11
742, 1.56
743, 1.56
744, 2.24
745, 2.01
746, 1.62
747, 1.61
748, 1.84
749, 1.98
750, 1.74
751, 1.60
752, 2.19
753, 1.95
754, 1.50
755, 2.28
756, 2.11
757, 1.78
758, 1.55
759, 1.30
760, 2.13
761, 2.21
762, 1.32
763, 1.37
764, 1.42
765, 1.32
766, 1.40
767, 2.23
768, 1.24
769, 1.84
770, 1.33
771, 1.58
772, 1.87
773, 1.76
774, 2.14
775, 2.18
776, 1.36
777, 1.26
778, 1.64
779, 1.32
780, 2.22
781, 2.22
782, 2.09
783, 1.46
784, 2.24
785, 1.49
786, 2.12
787, 2.12
788, 1.50
789, 2.23
790, 1.98
791, 1.44
792, 1.88
793, 1.80
794, 1.74
795, 2.32
796, 2.04
797, 1.84
798, 2.22
799, 1.38
800, 2.11
801, 1.94
802, 2.17
803, 1.59
804, 1.36
805, 1.68
806, 1.77
807, 1.81
808, 1.65
809, 1.78
810, 1.76
811, 1.79
812, 1.98
813, 1.42
814, 1.68
815, 1.44
816, 1.51
817, 1.44
818, 1.96
819, 1.64
820, 1.53
821, 1.98
822, 1.77
823, 1.79
824, 1.93
825, 2.10
826, 1.98
827, 1.81
828, 1.24
829, 1.46
830, 1.42
831, 1.56
832, 1.68
833, 1.51
834, 1.55
835, 2.00
836, 1.60
837, 2.00
838, 1.78
839, 2.10
840, 1.96
841, 1.45
842, 1.37
843, 2.20
844, 1.50
845, 2.09
846, 1.96
847, 2.14
848, 1.51
849, 1.90
850, 1.80
851, 1.28
852, 1.34
853, 1.74
854, 2.19
855, 1.66
856, 1.46
857, 1.56
858, 1.63
859, 2.24
860, 1.76
861, 1.34
862, 1.38
863, 1.74
864, 2.08
865, 1.98
866, 1.37
867, 1.83
868, 2.21
869, 1.67
870, 1.89
871, 1.70
872, 1.69
873, 1.72
874, 1.76
875, 1.96
876, 1.83
877, 1.43
878, 1.30
879, 2.18
880, 2.22
881, 2.02
882, 1.46
883, 2.01
884, 1.56
885, 1.85
886, 1.60
887, 1.63
888, 1.64
889, 1.71
890, 1.94
891, 1.88
892, 2.09
893, 2.25
894, 2.11
895, 2.00
896, 1.58
897, 1.86
898, 2.04
899, 1.61
900, 1.37
901, 1.60
902, 1.82
903, 1.42
904, 2.12
905, 2.24
906, 1.91
907, 2.23
908, 1.48
909, 1.35
910, 2.10
911, 1.34
912, 2.02
913, 1.73
914, 1.63
915, 1.97
916, 1.77
917, 2.06
918, 1.45
919, 1.76
920, 1.27
921, 1.82
922, 1.36
923, 1.43
924, 1.97
925, 2.08
926, 2.16
927, 1.58
928, 1.30
929, 1.24
930, 2.21
931, 1.38
932, 1.92
933, 1.32
934, 1.94
935, 2.04
936, 1.44
937, 1.74
938, 2.20
939, 2.05
940, 1.55
941, 1.78
942, 1.87
943, 2.19
944, 2.07
945, 1.79
946, 1.33
947, 1.42
948, 1.48
949, 1.43
950, 1.93
951, 1.62
952, 1.28
953, 1.33
954, 1.59
955, 1.28
956, 1.56
957, 1.65
958, 1.84
959, 1.72
960, 2.13
961, 1.58
962, 2.02
963, 2.06
964, 1.38
965, 1.60
966, 1.41
967, 1.42
968, 1.43
969, 2.12
970, 1.59
971, 1.59
972, 1.56
973, 1.96
974, 2.00
975, 1.99
976, 2.27
977, 1.98
978, 1.77
979, 2.36
980, 2.22
981, 1.89
982, 1.93
983, 2.10
984, 1.72
985, 1.90
986, 1.50
987, 1.74
988, 1.72
989, 2.22
990, 2.11
991, 2.16
992, 1.66
993, 1.74
994, 2.20
995, 2.23
996, 1.74
997, 1.36
998, 1.73
999, 1.61
1000, 1.94
1001, 1.62
1002, 1.80
1003, 2.12
1004, 1.94
1005, 1.78
1006, 2.12
1007, 1.42
1008, 2.03
1009, 1.49
1010, 1.82
1011, 1.52
1012, 2.12
1013, 1.32
1014, 1.57
1015, 1.80
1016, 1.78
1017, 1.88
1018, 1.25
1019, 1.78
1020, 1.42
1021, 2.08
1022, 2.04
1023, 2.03
1024, 2.00
1025, 1.33
1026, 2.16
1027, 1.36
1028, 1.80
1029, 1.92
1030, 1.52
1031, 1.66
1032, 2.06
1033, 1.54
1034, 2.26
1035, 2.20
1036, 1.99
1037, 2.02
1038, 1.94
1039, 1.75
1040, 1.80
1041, 2.25
1042, 2.06
1043, 2.20
1044, 1.57
1045, 1.33
1046, 1.29
1047, 2.30
1048, 2.29
1049, 1.52
1050, 2.24
1051, 1.67
1052, 1.83
1053, 1.38
1054, 1.96
1055, 1.85
1056, 1.81
1057, 1.86
1058, 1.68
1059, 1.61
1060, 1.56
1061, 2.09
1062, 1.78
1063, 1.36
1064, 1.28
1065, 2.14
1066, 1.98
1067, 1.79
1068, 1.59
1069, 2.08
1070, 2.25
1071, 1.40
1072, 2.28
1073, 2.07
1074, 1.87
1075, 1.54
1076, 1.82
1077, 1.70
1078, 1.64
1079, 1.72
1080, 1.78
1081, 1.50
1082, 2.11
1083, 1.38
1084, 1.34
1085, 1.46
1086, 1.86
1087, 2.03
1088, 2.21
1089, 2.03
1090, 1.90
1091, 1.52
1092, 2.24
1093, 1.86
1094, 2.16
1095, 2.24
1096, 2.08
1097, 2.19
1098, 1.62
1099, 2.11
1100, 1.98
1101, 2.18
1102, 1.37
1103, 1.40
1104, 1.48
1105, 1.82
1106, 1.77
1107, 1.37
1108, 2.04
1109, 1.71
1110, 1.90
1111, 1.74
1112, 1.53
1113, 1.98
1114, 2.08
1115, 1.38
1116, 1.94
1117, 1.66
1118, 2.24
1119, 1.91
1120, 1.66
1121, 1.70
1122, 1.34
1123, 1.74
1124, 1.66
1125, 1.51
1126, 1.81
1127, 1.44
1128, 2.09
1129, 1.43
1130, 1.56
1131, 1.87
1132, 1.39
1133, 1.57
1134, 1.33
1135, 1.50
1136, 1.57
1137, 1.82
1138, 1.47
1139, 1.54
1140, 1.30
1141, 1.79
1142, 1.80
1143, 1.42
1144, 1.99
1145, 1.88
1146, 2.12
1147, 1.32
1148, 1.29
1149, 2.14
1150, 1.74
1151, 1.52
1152, 1.54
1153, 1.42
1154, 1.74
1155, 1.83
1156, 1.44
1157, 1.89
1158, 1.41
1159, 2.00
1160, 2.07
1161, 2.13
1162, 1.37
1163, 2.04
1164, 1.69
1165, 2.01
1166, 1.64
1167, 1.32
1168, 1.82
1169, 1.98
1170, 1.50
1171, 1.46
1172, 2.24
1173, 1.85
1174, 1.39
1175, 1.94
1176, 2.22
1177, 1.60
1178, 1.50
1179, 1.91
1180, 2.04
1181, 2.00
1182, 1.89
1183, 1.76
1184, 2.12
1185, 1.86
1186, 1.45
1187, 2.22
1188, 2.08
1189, 1.34
1190, 1.57
1191, 1.87
1192, 2.04
1193, 1.94
1194, 1.76
1195, 1.82
1196, 1.51
1197, 1.86
1198, 1.81
1199, 1.40
1200, 1.55
1201, 1.24
1202, 2.24
1203, 1.50
1204, 1.84
1205, 2.02
1206, 1.86
1207, 1.48
1208, 1.57
1209, 1.26
1210, 2.18
1211, 1.54
1212, 1.31
1213, 1.79
1214, 1.42
1215, 1.85
1216, 1.95
1217, 1.89
1218, 2.19
1219, 1.96
1220, 2.00
1221, 1.68
1222, 1.58
1223, 2.01
1224, 1.61
1225, 2.08
1226, 1.98
1227, 1.73
1228, 1.94
1229, 2.02
1230, 2.13
1231, 2.04
1232, 1.87
1233, 1.40
1234, 1.53
1235, 2.04
1236, 1.26
1237, 2.08
1238, 1.76
1239, 1.87
1240, 2.12
1241, 1.44
1242, 1.55
1243, 2.17
1244, 1.94
1245, 1.78
1246, 2.26
1247, 1.68
1248, 1.80
1249, 2.06
1250, 1.85
1251, 1.84
1252, 2.01
1253, 2.01
1254, 1.97
1255, 1.84
1256, 1.40
1257, 1.80
1258, 1.97
1259, 1.46
1260, 1.44
1261, 2.03
1262, 1.88
1263, 1.68
1264, 1.56
1265, 2.27
1266, 1.52
1267, 2.06
1268, 2.12
1269, 2.01
1270, 1.58
1271, 1.98
1272, 1.54
1273, 1.41
1274, 1.98
1275, 2.23
1276, 1.92
1277, 1.97
1278, 2.06
1279, 1.93
1280, 1.72
1281, 2.13
1282, 1.48
1283, 1.82
1284, 1.55
1285, 2.13
1286, 2.00
1287, 1.67
1288, 1.46
1289, 1.82
1290, 2.19
1291, 2.18
1292, 1.92
1293, 1.86
1294, 1.65
1295, 1.70
1296, 1.87
1297, 2.02
1298, 1.78
1299, 1.46
1300, 1.30
1301, 1.91
1302, 1.80
1303, 1.71
1304, 1.94
1305, 1.91
1306, 2.14
1307, 1.30
1308, 1.51
1309, 1.45
1310, 1.58
1311, 1.57
1312, 1.48
1313, 1.99
1314, 1.48
1315, 2.03
1316, 1.40
1317, 1.28
1318, 2.17
1319, 1.39
1320, 2.16
1321, 1.80
1322, 1.58
1323, 2.17
1324, 1.85
1325, 1.74
1326, 1.77
1327, 1.43
1328, 1.94
1329, 2.03
1330, 2.08
1331, 1.92
1332, 1.69
1333, 1.99
1334, 1.44
1335, 2.00
1336, 1.97
1337, 2.09
1338, 2.02
1339, 1.67
1340, 1.76
1341, 2.12
1342, 1.55
1343, 1.42
1344, 2.27
1345, 1.58
