read, delay
1, 10.63
2, 15.61
3, 6.78
4, 12.56
5, 16.58
6, 8.54
7, 14.27
8, 4.33
9, 10.11
10, 14.25
11, 5.70
12, 10.96
13, 15.40
14, 6.40
15, 11.19
16, 16.13
17, 7.52
18, 11.60
19, 17.16
20, 8.08
21, 13.68
22, 5.34
23, 9.89
24, 15.10
25, 5.88
26, 10.78
27, 16.40
28, 7.96
29, 13.06
30, 3.47
31, 8.88
32, 13.75
33, 4.28
34, 9.53
35, 13.44
36, 5.30
37, 10.54
38, 15.04
39, 6.22
40, 10.70
41, 15.70
42, 7.34
43, 11.29
44, 16.47
45, 6.98
46, 12.20
47, 17.26
48, 7.71
49, 13.17
50, 4.01
51, 9.55
52, 14.46
53, 5.53
54, 10.52
55, 14.74
56, 6.55
57, 11.98
58, 16.50
59, 8.92
60, 12.87
61, 4.48
62, 9.43
63, 14.14
64, 6.11
65, 10.36
66, 15.72
67, 5.58
68, 10.66
69, 16.18
70, 6.69
71, 12.04
72, 17.70
73, 8.38
74, 14.24
75, 5.49
76, 11.35
77, 16.78
78, 7.12
79, 12.73
80, 3.86
81, 9.58
82, 14.94
83, 6.23
84, 11.35
85, 16.16
86, 8.22
87, 12.60
88, 3.80
89, 9.27
90, 13.63
91, 4.84
92, 9.62
93, 15.27
94, 7.23
95, 11.96
96, 4.33
97, 8.39
98, 13.78
99, 5.88
100, 10.62
101, 15.66
102, 6.18
103, 11.38
104, 16.56
105, 6.92
106, 12.66
107, 4.40
108, 9.30
109, 15.15
110, 5.97
111, 11.20
112, 16.14
113, 7.15
114, 12.18
115, 16.74
116, 8.19
117, 12.10
118, 17.26
119, 8.92
120, 13.25
121, 5.23
122, 9.18
123, 14.21
124, 5.18
125, 9.36
126, 14.81
127, 5.01
128, 10.56
129, 15.71
130, 6.66
131, 11.86
132, 17.59
133, 8.40
134, 13.52
135, 3.96
136, 9.18
137, 15.01
138, 5.59
139, 10.51
140, 14.79
141, 6.17
142, 11.62
143, 15.59
144, 7.43
145, 11.90
146, 17.06
147, 7.73
148, 13.12
149, 4.31
150, 8.64
151, 14.14
152, 5.04
153, 10.54
154, 15.73
155, 5.86
156, 11.30
157, 16.80
158, 7.56
159, 13.16
160, 3.47
161, 8.46
162, 13.55
163, 4.84
164, 9.85
165, 14.10
166, 5.87
167, 11.16
168, 15.20
169, 6.72
170, 11.55
171, 16.64
172, 8.34
173, 12.29
174, 4.84
175, 9.30
176, 14.44
177, 5.43
178, 10.42
179, 15.88
180, 5.79
181, 11.10
182, 16.53
183, 7.80
184, 13.57
185, 4.20
186, 9.32
187, 15.16
188, 6.01
189, 11.61
190, 15.89
191, 7.77
192, 13.57
193, 4.40
