read, delay
1, 11.44
2, 10.99
3, 10.04
4, 13.80
5, 13.56
6, 12.76
7, 11.94
8, 11.59
9, 10.51
10, 10.27
11, 13.29
12, 12.79
13, 11.99
14, 10.90
15, 9.92
16, 13.29
17, 13.06
18, 12.51
19, 11.65
20, 10.94
21, 9.97
22, 12.97
23, 12.53
24, 11.96
25, 11.15
26, 10.28
27, 13.54
28, 12.97
29, 12.81
30, 11.78
31, 10.77
32, 10.54
33, 9.91
34, 13.00
35, 11.99
36, 11.74
37, 10.81
38, 13.74
39, 12.60
40, 11.51
41, 10.46
42, 13.69
43, 13.15
44, 12.27
45, 11.98
46, 11.71
47, 11.20
48, 10.41
49, 13.57
50, 5.44
51, 12.52
52, 11.61
53, 10.53
54, 10.37
55, 13.61
56, 12.99
57, 12.51
58, 11.57
59, 11.06
60, 10.70
61, 10.34
62, 13.26
63, 12.44
64, 12.23
65, 11.98
66, 11.78
67, 10.87
68, 9.90
69, 13.21
70, 12.71
71, 12.30
72, 11.95
73, 11.41
74, 10.74
75, 13.81
76, 12.70
77, 11.75
78, 10.64
79, 13.80
80, 13.46
81, 12.82
82, 12.12
83, 11.62
84, 10.80
85, 10.09
86, 9.95
87, 13.75
88, 13.43
89, 12.36
90, 12.21
91, 11.85
92, 11.11
93, 10.53
94, 13.56
95, 12.88
96, 12.42
97, 12.25
98, 11.64
99, 11.22
100, 10.60
101, 10.04
102, 13.15
103, 12.94
104, 12.81
105, 12.19
106, 11.62
107, 10.97
108, 10.36
109, 10.17
110, 13.74
111, 13.21
112, 12.08
113, 11.71
114, 10.81
115, 9.98
116, 13.51
117, 12.44
118, 12.32
119, 11.43
120, 10.70
121, 13.77
122, 13.40
123, 12.56
124, 11.93
125, 11.54
126, 10.49
127, 13.64
128, 12.68
129, 12.02
130, 11.01
131, 10.29
132, 13.63
133, 13.42
134, 12.92
135, 12.18
136, 11.49
137, 10.73
138, 10.25
139, 13.72
140, 12.81
141, 11.93
142, 11.28
143, 10.85
144, 9.95
145, 12.86
146, 12.63
147, 12.02
148, 11.37
149, 10.54
150, 13.56
151, 13.08
152, 12.50
153, 11.56
154, 11.02
155, 10.45
156, 13.70
157, 13.42
158, 13.10
159, 12.02
160, 10.98
161, 10.70
162, 10.40
163, 13.36
164, 12.85
165, 12.40
166, 11.87
167, 11.41
168, 10.30
169, 9.97
170, 13.05
171, 12.70
172, 11.99
173, 11.19
174, 10.94
175, 10.78
176, 9.88
177, 13.64
178, 13.03
179, 12.35
180, 11.46
181, 11.01
182, 10.05
183, 12.90
184, 11.96
185, 11.11
186, 10.64
187, 10.06
188, 13.74
189, 13.29
190, 12.85
191, 12.30
192, 11.87
193, 10.99
194, 10.53
195, 10.20
196, 9.90
197, 12.84
198, 12.73
199, 12.42
200, 11.58
201, 10.70
202, 13.70
203, 12.71
204, 12.10
205, 11.48
206, 10.79
207, 10.55
208, 13.78
209, 12.71
210, 12.34
211, 11.46
212, 10.44
213, 10.16
214, 13.28
215, 12.70
216, 11.87
217, 10.74
218, 10.20
219, 10.00
220, 13.79
221, 13.14
222, 12.57
223, 11.50
224, 10.86
225, 10.25
226, 10.10
227, 13.29
228, 12.80
229, 11.92
230, 11.07
231, 10.83
232, 9.86
233, 12.93
234, 12.68
235, 11.81
236, 11.39
237, 10.71
238, 10.15
239, 13.10
240, 12.14
241, 11.40
242, 10.52
243, 13.73
244, 13.34
245, 12.28
246, 11.34
247, 11.02
248, 10.06
249, 13.37
250, 12.34
251, 11.58
252, 11.40
253, 10.73
254, 9.97
255, 13.59
256, 13.20
257, 12.28
258, 11.94
259, 11.31
260, 10.90
261, 10.14
262, 13.21
263, 12.20
264, 11.54
265, 10.85
266, 10.32
267, 10.16
268, 13.42
269, 12.56
270, 11.62
271, 10.91
272, 10.48
273, 10.19
274, 13.81
275, 13.17
276, 12.20
277, 11.55
278, 10.58
279, 10.34
280, 10.07
281, 13.36
282, 12.42
283, 11.88
284, 10.94
285, 10.12
286, 10.00
287, 13.20
288, 12.50
289, 11.52
290, 10.89
291, 10.27
292, 13.76
293, 12.66
294, 12.51
295, 11.75
296, 10.64
297, 13.52
298, 12.63
299, 12.24
300, 11.23
301, 10.29
302, 13.54
303, 13.43
304, 12.76
305, 11.69
306, 11.21
307, 10.42
308, 13.39
309, 12.65
310, 12.36
311, 12.15
312, 11.13
313, 10.42
314, 13.41
315, 12.86
316, 11.88
317, 11.32
318, 11.13
319, 10.75
320, 10.46
321, 13.52
322, 13.22
323, 12.48
324, 11.44
