read, delay
1, 10.50
2, 13.39
3, 12.84
4, 12.48
5, 12.12
6, 11.39
7, 10.30
8, 13.35
9, 12.71
10, 11.84
11, 11.64
12, 11.51
13, 11.19
14, 10.99
15, 10.36
16, 13.69
17, 13.34
18, 12.66
19, 12.12
20, 11.85
21, 11.59
22, 11.10
23, 10.81
24, 10.28
25, 10.06
26, 12.99
27, 12.30
28, 12.14
29, 11.46
30, 11.10
31, 10.91
32, 10.06
33, 13.55
34, 13.22
35, 13.07
36, 12.66
37, 12.42
38, 11.45
39, 10.46
40, 9.94
41, 13.59
42, 12.86
43, 11.87
44, 11.61
45, 10.92
46, 10.27
47, 10.06
48, 12.94
49, 12.39
50, 11.28
51, 10.74
52, 10.00
53, 13.25
54, 12.71
55, 12.27
56, 11.50
57, 10.98
58, 9.96
59, 13.60
60, 13.22
61, 12.30
62, 11.69
63, 10.85
64, 10.41
65, 13.36
66, 12.90
67, 12.55
68, 12.39
69, 11.30
70, 11.03
71, 10.12
72, 13.19
73, 13.03
74, 12.66
75, 12.29
76, 11.50
77, 11.32
78, 10.98
79, 9.88
80, 12.93
81, 11.96
82, 11.55
83, 10.98
84, 10.20
85, 13.14
86, 12.74
87, 12.51
88, 12.29
89, 11.80
90, 11.03
91, 10.02
92, 13.39
93, 12.46
94, 11.90
95, 11.72
96, 11.62
97, 10.73
98, 13.79
99, 12.70
100, 11.99
101, 11.45
102, 10.61
103, 10.49
104, 13.67
105, 12.62
106, 12.07
107, 11.39
108, 10.52
109, 10.38
110, 13.61
111, 13.00
112, 12.41
113, 11.70
114, 11.32
115, 10.90
116, 10.75
117, 10.35
118, 13.48
119, 13.08
120, 12.69
121, 11.66
122, 11.00
123, 10.31
124, 13.56
125, 13.43
126, 12.54
127, 11.75
128, 11.60
129, 10.60
130, 13.74
131, 13.37
132, 12.27
133, 12.11
134, 11.20
135, 10.42
136, 13.32
137, 12.38
138, 11.83
139, 11.32
140, 10.68
141, 9.89
142, 13.54
143, 12.79
144, 12.62
145, 11.96
146, 11.72
147, 11.20
148, 10.46
149, 10.12
150, 13.07
151, 12.02
152, 11.54
153, 11.01
154, 10.07
155, 13.51
156, 12.76
157, 11.98
158, 10.86
159, 10.32
160, 10.17
161, 13.18
162, 12.48
163, 11.96
164, 11.10
165, 10.56
166, 10.35
167, 13.28
168, 12.21
169, 11.41
170, 10.49
171, 13.36
172, 12.28
173, 11.70
174, 10.92
175, 10.13
176, 13.44
177, 12.41
178, 11.35
179, 11.11
180, 10.79
181, 10.51
182, 10.15
183, 13.32
184, 13.02
185, 12.36
186, 12.19
187, 11.60
188, 10.67
189, 10.04
190, 9.84
191, 12.93
192, 12.80
193, 11.98
194, 11.24
195, 10.42
196, 10.22
197, 9.97
198, 13.60
199, 13.31
200, 12.73
201, 12.24
202, 11.77
203, 10.65
204, 10.07
205, 9.90
206, 12.91
207, 12.56
208, 11.72
209, 11.36
210, 11.22
211, 10.40
212, 13.36
213, 13.14
214, 12.40
215, 11.85
216, 11.22
217, 10.88
218, 10.58
219, 10.16
220, 9.80
221, 13.62
222, 12.55
223, 11.96
224, 10.88
225, 10.42
226, 13.71
227, 12.58
228, 11.98
229, 11.34
230, 10.81
231, 10.50
232, 9.86
233, 13.23
234, 12.41
235, 12.15
236, 11.59
237, 10.76
238, 10.47
239, 9.88
240, 13.38
241, 12.69
242, 11.88
243, 10.79
244, 9.85
245, 13.36
246, 12.85
247, 12.60
248, 12.44
249, 11.76
250, 10.99
251, 10.21
252, 13.72
253, 12.76
254, 12.32
255, 11.27
256, 11.00
257, 10.80
258, 10.10
259, 13.16
260, 12.43
261, 11.30
262, 10.49
263, 13.52
264, 12.55
265, 11.68
266, 10.70
267, 13.63
268, 13.28
269, 12.32
270, 11.88
271, 10.85
272, 10.65
273, 13.64
274, 12.68
275, 11.68
276, 10.62
277, 10.12
278, 9.91
279, 13.40
280, 13.18
281, 12.37
282, 12.00
283, 11.58
284, 10.74
285, 10.46
286, 10.12
287, 13.14
288, 12.37
289, 12.22
290, 11.86
291, 11.54
292, 11.18
293, 10.90
294, 10.34
295, 10.07
296, 9.85
297, 12.98
298, 12.50
299, 12.13
300, 11.79
301, 11.07
302, 10.37
303, 13.32
304, 12.64
305, 11.55
306, 10.98
307, 9.95
308, 13.08
309, 12.45
310, 11.42
311, 11.16
312, 10.84
313, 9.92
314, 13.46
315, 13.02
316, 12.34
317, 11.62
318, 11.32
319, 10.90
320, 10.35
321, 13.74
322, 13.16
323, 12.81
324, 11.92
325, 10.85
326, 10.06
327, 13.71
328, 13.51
329, 12.70
330, 12.44
331, 11.86
332, 11.55
333, 11.21
334, 10.51
335, 13.71
336, 12.74
337, 12.43
338, 11.54
339, 10.87
340, 10.70
341, 10.01
342, 13.28
343, 12.89
344, 12.10
345, 11.55
346, 10.84
347, 9.91
348, 12.81
349, 12.09
350, 11.27
351, 11.04
352, 10.09
353, 13.52
354, 12.95
355, 12.27
356, 11.41
357, 11.22
358, 10.26
359, 9.87
360, 13.09
361, 12.16
362, 11.95
363, 11.80
364, 10.71
365, 13.75
366, 12.68
367, 12.36
368, 12.14
369, 11.08
370, 10.34
371, 9.84
372, 13.14
373, 12.80
374, 12.29
375, 11.96
376, 11.29
377, 10.51
378, 13.74
379, 13.18
380, 12.69
381, 12.02
382, 11.14
383, 10.73
384, 10.54
385, 13.79
386, 13.12
387, 12.54
388, 12.01
389, 11.14
390, 10.07
391, 13.38
392, 12.70
393, 12.15
394, 11.98
395, 11.87
396, 11.28
397, 10.47
398, 9.81
399, 13.64
400, 12.67
401, 12.06
402, 11.09
403, 10.38
404, 10.12
405, 13.30
406, 12.63
407, 11.54
408, 11.31
409, 10.85
410, 10.05
411, 13.79
412, 13.22
413, 12.25
414, 11.66
415, 10.76
416, 10.34
417, 10.02
418, 13.54
419, 12.44
420, 11.69
421, 11.04
422, 10.80
423, 10.37
424, 13.58
425, 12.70
426, 12.25
427, 11.14
428, 10.91
429, 9.96
430, 9.80
431, 13.48
432, 12.43
433, 11.80
434, 11.60
435, 11.17
