read, delay
1, 1.37
2, 2.78
3, 4.64
4, 6.89
5, 8.42
6, 10.05
7, 11.22
8, 12.78
9, 13.78
10, 2.19
11, 3.52
12, 4.62
13, 5.88
14, 7.34
15, 8.53
16, 9.61
17, 10.95
18, 12.69
19, 2.11
20, 3.71
21, 5.32
22, 6.54
23, 7.97
24, 9.84
25, 11.69
26, 13.11
27, 1.80
28, 3.53
29, 5.23
30, 6.92
31, 8.66
32, 11.00
33, 11.94
34, 13.54
35, 2.36
36, 3.43
37, 4.46
38, 5.35
39, 6.56
40, 7.85
41, 9.33
42, 10.81
43, 12.29
44, 13.30
45, 2.57
46, 4.09
47, 5.93
48, 6.85
49, 7.91
50, 8.80
51, 9.78
52, 10.72
53, 12.54
54, 1.70
55, 3.21
56, 4.27
57, 5.95
58, 6.97
59, 8.14
60, 10.15
61, 11.26
62, 12.40
63, 3.08
64, 4.54
65, 6.12
66, 7.85
67, 8.75
68, 10.60
69, 12.24
70, 13.84
71, 2.28
72, 3.53
73, 5.31
74, 6.77
75, 8.26
76, 9.41
77, 10.75
78, 11.77
79, 13.23
80, 2.16
81, 3.64
82, 5.46
83, 6.52
84, 8.19
85, 9.98
86, 11.10
87, 12.77
88, 3.18
89, 4.09
90, 5.33
91, 6.54
92, 8.12
93, 9.75
94, 11.35
95, 13.02
96, 2.04
97, 3.41
98, 5.12
99, 6.30
100, 7.46
101, 8.48
102, 9.94
103, 11.79
104, 12.68
105, 2.56
106, 3.56
107, 4.48
108, 5.50
109, 6.90
110, 8.02
111, 9.62
112, 11.28
113, 12.17
114, 2.18
115, 3.68
116, 6.38
117, 8.08
118, 9.75
119, 11.09
120, 12.05
121, 13.53
122, 2.39
123, 3.49
124, 4.70
125, 6.21
126, 7.44
127, 8.93
128, 10.65
129, 12.44
130, 2.01
131, 3.44
132, 4.72
133, 6.36
134, 7.69
135, 9.01
136, 10.40
137, 12.22
138, 1.48
139, 2.98
140, 4.41
141, 6.16
142, 7.80
143, 8.94
144, 11.10
145, 12.82
146, 13.77
147, 3.04
148, 4.02
149, 5.74
150, 7.56
151, 9.35
152, 10.46
153, 11.38
154, 13.27
155, 2.06
156, 3.09
157, 4.05
158, 5.07
159, 6.72
160, 8.46
161, 10.09
162, 11.85
163, 13.16
164, 1.73
165, 2.72
166, 4.41
167, 6.20
168, 7.83
169, 9.48
170, 10.44
171, 11.58
172, 14.07
173, 2.21
174, 3.86
175, 4.96
176, 6.42
177, 7.88
178, 9.52
179, 10.38
180, 11.32
181, 12.83
182, 2.13
183, 3.40
184, 4.74
185, 6.35
186, 7.84
187, 9.01
188, 9.95
189, 11.11
190, 12.47
191, 2.55
192, 4.36
193, 5.84
194, 6.88
195, 7.91
196, 8.96
197, 10.41
198, 11.28
199, 12.74
200, 2.20
201, 3.70
202, 5.47
203, 6.96
204, 8.56
205, 10.21
206, 11.83
