read, delay
1, 2.94
2, 4.02
3, 5.06
4, 6.78
5, 7.76
6, 9.41
7, 10.66
8, 12.40
9, 2.40
10, 3.51
11, 5.23
12, 6.98
13, 8.17
14, 9.88
15, 10.86
16, 12.13
17, 1.75
18, 2.79
19, 4.56
20, 6.03
21, 6.97
22, 8.58
23, 10.73
24, 12.32
25, 14.14
26, 2.94
27, 4.36
28, 5.33
29, 6.44
30, 7.67
31, 9.51
32, 11.13
33, 12.57
34, 1.84
35, 2.72
36, 4.10
37, 5.42
38, 6.95
39, 8.60
40, 9.96
41, 10.96
42, 11.94
43, 1.52
44, 3.34
45, 4.44
46, 5.42
47, 6.98
48, 8.70
49, 10.15
50, 11.32
51, 13.45
52, 2.78
53, 4.10
54, 5.66
55, 6.58
56, 8.28
57, 9.80
58, 11.16
59, 12.20
60, 13.58
61, 2.28
62, 3.38
63, 4.31
64, 5.87
65, 6.96
66, 8.13
67, 9.15
68, 10.18
69, 11.73
70, 12.70
71, 2.38
72, 4.03
73, 5.73
74, 7.37
75, 9.16
76, 10.52
77, 11.84
78, 2.24
79, 4.14
80, 5.26
81, 6.50
82, 7.98
83, 9.63
84, 11.37
85, 12.51
86, 2.16
87, 3.17
88, 4.17
89, 5.70
90, 6.75
91, 7.84
92, 8.91
93, 10.26
94, 11.26
95, 12.38
96, 1.94
97, 3.06
98, 4.55
99, 5.84
100, 7.39
101, 8.90
102, 9.81
103, 11.51
104, 13.28
105, 2.26
106, 4.01
107, 6.28
108, 7.89
109, 9.46
110, 10.62
111, 11.60
112, 12.48
113, 13.71
114, 2.43
115, 4.08
116, 5.00
117, 6.80
118, 7.98
119, 9.58
120, 10.80
121, 11.97
122, 13.40
123, 1.90
124, 3.72
125, 5.12
126, 6.82
127, 8.68
128, 9.99
129, 11.71
130, 1.98
131, 3.80
132, 5.22
133, 6.61
134, 7.84
135, 9.84
136, 11.34
137, 13.13
138, 2.32
139, 3.72
140, 5.25
141, 6.77
142, 7.73
143, 8.68
144, 9.66
145, 10.79
146, 12.57
147, 2.64
148, 4.17
149, 5.86
150, 6.89
151, 8.22
152, 9.81
153, 11.02
154, 12.64
155, 2.19
156, 3.53
157, 4.46
158, 6.11
159, 7.51
160, 8.82
161, 10.03
162, 11.50
163, 13.90
164, 2.64
165, 3.81
166, 5.32
167, 6.62
168, 8.37
169, 9.68
170, 11.51
171, 12.64
172, 1.98
173, 2.87
174, 4.30
175, 5.62
176, 7.39
177, 9.19
178, 10.62
179, 11.78
180, 12.82
181, 2.35
182, 3.71
183, 4.92
184, 6.64
185, 8.42
186, 9.64
187, 10.54
188, 11.73
189, 12.70
190, 2.70
191, 4.04
192, 4.94
193, 6.08
194, 7.06
195, 8.38
196, 9.54
197, 10.83
198, 12.20
199, 13.82
200, 2.42
201, 3.91
202, 5.44
203, 6.40
204, 8.04
205, 9.56
206, 10.65
207, 11.54
208, 12.59
209, 13.46
210, 2.10
211, 3.57
212, 4.78
213, 6.30
214, 7.73
215, 9.50
216, 10.60
217, 12.38
218, 1.52
219, 4.28
220, 5.62
221, 6.94
222, 8.46
223, 9.37
224, 10.30
225, 11.29
226, 12.52
227, 13.64
228, 2.18
229, 3.48
230, 5.32
231, 6.66
232, 7.73
233, 8.80
234, 10.53
235, 12.32
236, 13.27
237, 1.98
238, 3.49
239, 5.16
240, 6.68
241, 7.62
242, 9.25
243, 10.69
244, 11.76
245, 13.23
246, 1.47
247, 3.99
248, 5.86
249, 6.74
250, 7.70
251, 9.33
252, 11.11
253, 12.48
254, 13.73
255, 2.28
256, 3.36
257, 4.32
258, 5.80
259, 7.05
260, 8.30
261, 9.43
262, 10.76
263, 12.58
264, 13.54
265, 2.14
266, 3.17
267, 4.35
268, 5.40
269, 7.26
270, 8.17
271, 9.31
272, 10.79
273, 11.78
274, 12.74
275, 3.06
276, 4.54
277, 5.93
278, 7.02
279, 8.82
280, 10.61
281, 12.09
282, 13.67
283, 2.89
284, 3.87
285, 5.16
286, 6.24
287, 7.24
288, 8.50
289, 9.84
290, 11.40
291, 12.62
292, 2.05
293, 3.04
294, 4.62
295, 6.29
296, 7.58
297, 9.44
298, 10.42
299, 12.18
300, 1.44
301, 2.56
302, 4.20
303, 6.83
