read, delay
1, 1.48
2, 1.50
3, 1.61
4, 1.50
5, 1.26
6, 1.22
7, 1.36
8, 1.15
9, 1.08
10, 0.76
11, 0.74
12, 1.12
13, 0.82
14, 1.26
15, 1.40
16, 1.74
17, 1.12
18, 0.72
19, 1.67
20, 1.54
21, 1.54
22, 1.08
23, 1.62
24, 1.60
25, 0.88
26, 1.32
27, 0.78
28, 1.12
29, 1.03
30, 1.38
31, 1.08
32, 1.04
33, 1.65
34, 0.95
35, 2.08
36, 1.49
37, 1.26
38, 1.05
39, 1.14
40, 1.06
41, 1.54
42, 1.35
43, 1.02
44, 1.43
45, 1.32
46, 1.42
47, 0.68
48, 0.88
49, 1.22
50, 1.04
51, 0.80
52, 1.59
53, 1.89
54, 1.74
55, 1.50
56, 1.59
57, 0.88
58, 0.86
59, 1.64
60, 1.04
61, 1.18
62, 1.56
63, 1.31
64, 1.47
65, 1.59
66, 0.98
67, 0.99
68, 1.14
69, 0.95
70, 0.94
71, 1.52
72, 1.26
73, 1.67
74, 1.50
75, 1.41
76, 0.96
77, 1.48
78, 1.21
79, 1.37
80, 1.45
81, 0.94
82, 1.29
83, 0.74
84, 1.11
85, 0.92
86, 1.00
87, 1.01
88, 0.99
89, 1.16
90, 1.28
91, 1.09
92, 1.61
93, 1.11
94, 1.04
95, 2.38
96, 1.55
97, 0.77
98, 0.92
99, 1.32
100, 0.89
101, 1.00
102, 1.43
103, 1.17
104, 0.70
105, 0.78
106, 1.58
107, 0.79
108, 1.40
109, 1.42
110, 0.88
111, 1.57
112, 0.75
113, 1.32
114, 1.44
115, 1.42
116, 1.53
117, 1.07
118, 0.78
119, 0.64
120, 1.50
121, 1.23
122, 1.26
123, 1.02
124, 1.40
125, 0.75
126, 0.74
127, 0.76
128, 1.54
129, 0.83
130, 1.11
131, 1.07
132, 1.24
133, 1.76
134, 0.81
135, 1.22
136, 0.72
137, 0.86
138, 1.32
139, 1.01
140, 1.35
141, 0.68
142, 0.94
143, 1.22
144, 0.70
145, 0.60
146, 0.98
147, 0.95
148, 0.82
149, 0.64
150, 1.60
151, 1.54
152, 0.81
153, 1.36
154, 1.53
155, 0.86
156, 0.69
157, 1.06
158, 0.91
159, 1.48
160, 1.15
161, 1.44
162, 1.52
163, 1.46
164, 1.01
165, 1.42
166, 0.80
167, 1.04
168, 1.51
169, 1.08
170, 1.08
171, 1.41
172, 1.80
173, 0.62
174, 1.22
175, 1.28
176, 1.20
177, 1.40
178, 0.70
179, 0.75
180, 0.56
181, 0.86
182, 0.89
183, 1.24
184, 0.96
185, 0.71
186, 1.52
187, 1.37
188, 0.55
189, 0.96
190, 1.54
191, 0.89
192, 1.52
193, 0.86
194, 0.81
195, 1.32
196, 1.44
197, 1.14
198, 1.30
199, 1.20
200, 0.75
201, 1.20
202, 1.24
203, 0.77
204, 0.64
205, 1.26
206, 0.70
207, 1.81
208, 1.48
209, 1.37
210, 1.14
211, 0.97
212, 0.95
213, 0.96
214, 1.36
215, 1.00
216, 1.28
217, 0.89
218, 1.17
219, 1.20
220, 1.28
221, 1.41
222, 0.85
223, 0.95
224, 0.96
225, 0.87
226, 1.47
227, 0.85
228, 0.93
229, 0.98
230, 0.97
231, 0.76
232, 0.59
233, 0.96
234, 0.97
235, 0.55
236, 0.94
237, 1.18
238, 0.48
239, 0.58
240, 1.20
241, 1.15
242, 1.19
243, 1.25
244, 1.24
245, 1.04
246, 1.07
247, 1.39
248, 1.12
249, 1.03
250, 1.90
251, 1.88
252, 0.74
253, 1.26
254, 0.60
255, 0.97
256, 0.76
257, 1.32
258, 1.46
259, 1.37
260, 0.72
261, 1.17
262, 0.49
263, 0.96
264, 0.76
265, 0.72
266, 1.18
267, 1.04
268, 0.70
269, 0.93
270, 0.82
271, 1.66
272, 1.23
273, 1.29
274, 0.68
275, 1.28
276, 1.01
277, 1.27
278, 0.66
279, 0.72
280, 0.60
281, 1.08
282, 1.00
283, 0.60
284, 1.34
285, 0.53
286, 0.64
287, 0.93
288, 1.57
289, 1.61
290, 1.56
291, 1.76
292, 0.99
293, 0.53
294, 1.33
295, 0.81
296, 1.09
297, 1.27
298, 1.06
299, 0.96
300, 1.62
301, 0.65
302, 1.21
303, 1.38
304, 1.24
305, 1.43
306, 0.50
307, 0.54
308, 0.98
309, 1.26
310, 1.94
311, 1.04
312, 0.71
