read, delay
1, 1.50
2, 1.38
3, 1.43
4, 1.84
5, 1.54
6, 0.75
7, 1.76
8, 1.19
9, 1.10
10, 0.72
11, 1.55
12, 2.13
13, 1.16
14, 1.57
15, 2.19
16, 1.92
17, 1.82
18, 1.70
19, 1.90
20, 2.11
21, 1.61
22, 2.14
23, 1.15
24, 2.31
25, 2.29
26, 1.81
27, 0.99
28, 1.64
29, 1.78
30, 1.36
31, 1.84
32, 1.59
33, 2.06
34, 1.81
35, 1.57
36, 1.78
37, 1.52
38, 1.74
39, 1.66
40, 1.62
41, 2.13
42, 0.92
43, 1.50
44, 1.75
45, 2.22
46, 2.09
47, 2.00
48, 1.84
49, 1.80
50, 1.44
51, 1.47
52, 1.96
53, 1.20
54, 1.04
55, 1.92
56, 1.62
57, 1.84
58, 1.48
59, 1.60
60, 0.86
61, 2.27
62, 1.82
63, 1.86
64, 1.22
65, 2.21
66, 2.07
67, 1.43
68, 1.71
69, 1.49
70, 2.16
71, 1.60
72, 1.94
73, 2.30
74, 1.69
75, 1.20
76, 1.29
77, 1.20
78, 2.06
79, 1.76
80, 2.17
81, 1.19
82, 1.52
83, 1.78
84, 1.15
85, 0.59
86, 1.12
87, 1.96
88, 1.78
89, 1.49
90, 1.90
91, 2.24
92, 2.20
93, 1.95
94, 1.63
95, 1.48
96, 2.03
97, 1.14
98, 1.65
99, 1.86
100, 2.12
101, 1.45
102, 1.01
103, 1.06
104, 1.33
105, 0.93
106, 2.28
107, 1.93
108, 2.19
109, 1.60
110, 1.56
111, 1.62
112, 1.26
113, 2.34
114, 1.96
115, 0.79
116, 1.42
117, 2.00
118, 1.62
119, 1.27
120, 1.71
121, 2.23
122, 1.54
123, 2.30
124, 1.62
125, 2.10
126, 1.82
127, 1.68
128, 1.05
129, 1.02
130, 1.37
131, 1.74
132, 1.70
133, 1.88
134, 1.59
135, 1.63
136, 1.89
137, 1.02
138, 2.02
139, 1.75
140, 1.76
141, 2.10
142, 0.68
143, 1.48
144, 1.62
145, 1.52
146, 2.06
147, 1.38
148, 1.44
149, 1.06
150, 0.84
151, 1.05
152, 1.44
153, 0.96
154, 1.55
155, 1.14
156, 1.20
157, 2.06
158, 1.46
159, 1.58
160, 1.99
161, 1.47
162, 1.36
163, 1.61
164, 1.68
165, 1.58
166, 1.87
167, 1.15
168, 2.15
169, 0.96
170, 1.91
171, 1.26
172, 1.61
173, 2.06
174, 1.76
175, 3.67
176, 1.67
177, 1.20
178, 1.27
179, 1.45
180, 1.26
181, 1.42
182, 1.58
183, 1.65
184, 1.42
185, 1.22
186, 1.72
187, 1.57
188, 1.49
189, 1.60
190, 0.82
191, 1.46
192, 2.02
193, 1.77
194, 1.60
195, 1.45
196, 1.54
197, 1.62
198, 0.77
199, 1.59
200, 1.84
201, 2.26
202, 2.24
203, 1.81
204, 1.58
205, 2.08
206, 1.06
207, 0.97
208, 2.07
209, 2.02
210, 1.29
211, 1.18
212, 1.98
213, 2.14
214, 1.26
215, 2.11
216, 1.58
217, 0.84
218, 0.86
219, 2.06
220, 1.32
221, 1.35
222, 1.41
223, 1.62
224, 1.14
225, 0.98
226, 1.09
227, 1.13
228, 2.18
229, 1.96
230, 2.03
231, 0.91
232, 1.12
233, 1.47
234, 1.05
235, 1.00
236, 1.84
237, 1.54
238, 1.16
239, 1.66
240, 1.36
241, 2.02
242, 1.50
243, 1.35
244, 2.32
245, 1.61
246, 1.02
247, 1.31
248, 1.24
249, 1.68
250, 1.87
251, 1.76
252, 1.45
253, 1.66
254, 1.37
255, 1.42
256, 1.70
257, 1.98
258, 1.44
259, 1.00
260, 1.27
261, 1.39
262, 1.14
263, 2.28
264, 2.26
265, 1.98
266, 0.64
267, 1.52
268, 1.08
269, 1.92
270, 1.27
271, 1.45
272, 1.44
273, 1.73
274, 1.75
275, 1.61
276, 1.30
277, 1.53
278, 1.83
279, 2.07
280, 1.36
281, 2.30
282, 1.05
283, 1.34
284, 1.81
285, 1.08
286, 2.09
287, 0.98
288, 1.11
289, 2.14
290, 2.13
291, 1.90
292, 2.06
293, 1.94
294, 1.14
295, 1.54
296, 1.18
297, 2.02
298, 2.16
299, 0.90
300, 1.52
301, 1.56
302, 2.19
303, 1.51
304, 1.48
305, 1.42
306, 1.37
307, 1.49
308, 1.08
309, 1.91
310, 1.15
311, 0.92
312, 2.18
313, 1.56
314, 1.37
315, 1.66
316, 1.29
317, 1.74
318, 1.60
319, 1.84
320, 2.25
321, 1.78
322, 2.21
323, 1.88
324, 1.29
325, 1.50
326, 1.23
327, 1.78
328, 1.37
329, 1.27
330, 1.76
331, 1.75
332, 1.61
333, 1.64
334, 1.84
335, 1.47
336, 1.67
337, 1.11
338, 1.54
339, 1.84
340, 1.42
341, 2.37
342, 1.18
343, 1.50
344, 0.88
345, 1.82
346, 0.81
347, 2.05
348, 1.87
349, 2.16
350, 1.82
351, 1.13
352, 1.66
353, 1.98
354, 1.92
355, 1.41
356, 1.79
357, 1.71
358, 1.74
359, 1.58
360, 1.04
361, 2.96
362, 2.30
363, 0.83
364, 1.55
365, 1.33
366, 1.38
367, 2.25
368, 2.13
369, 1.76
370, 2.24
371, 1.26
372, 1.80
373, 1.10
374, 1.26
375, 1.46
376, 1.48
377, 1.36
378, 1.72
379, 1.39
380, 1.79
381, 1.66
382, 1.88
383, 2.42
384, 1.58
385, 1.51
386, 1.41
387, 0.67
388, 0.90
389, 1.56
390, 1.42
391, 1.67
392, 1.99
393, 1.42
394, 2.08
395, 1.46
396, 1.35
397, 1.57
