read, delay
1, 0.56
2, 0.72
3, 1.78
4, 0.69
5, 1.36
6, 0.81
7, 1.09
8, 0.78
9, 1.12
10, 0.96
11, 0.40
12, 0.52
13, 1.38
14, 0.72
15, 0.58
16, 0.86
17, 1.02
18, 0.57
19, 0.54
20, 0.72
21, 1.33
22, 0.64
23, 0.49
24, 1.37
25, 0.86
26, 1.33
27, 0.79
28, 0.73
29, 0.77
30, 0.71
31, 0.42
32, 0.81
33, 1.30
34, 1.34
35, 1.26
36, 0.60
37, 0.49
38, 0.92
39, 0.48
40, 0.72
41, 0.92
42, 0.88
43, 1.32
44, 1.16
45, 0.80
46, 1.22
47, 0.56
48, 1.17
49, 0.89
50, 1.16
51, 1.40
52, 1.19
53, 1.10
54, 0.81
55, 0.65
56, 0.90
57, 1.12
58, 0.96
59, 0.96
60, 1.32
61, 1.18
62, 1.05
63, 0.63
64, 1.19
65, 0.87
66, 0.45
67, 0.64
68, 0.95
69, 0.56
70, 0.46
71, 0.62
72, 1.26
73, 1.12
74, 1.37
75, 0.64
76, 1.33
77, 0.54
78, 1.42
79, 1.42
80, 0.94
81, 1.01
82, 0.74
83, 0.58
84, 0.60
85, 0.52
86, 1.15
87, 0.72
88, 1.18
89, 0.87
90, 1.25
91, 1.68
92, 1.32
93, 0.57
94, 0.81
95, 0.58
96, 1.14
97, 1.02
98, 1.30
99, 0.85
100, 1.13
101, 0.90
102, 0.59
103, 0.81
104, 0.55
105, 0.64
106, 0.87
107, 1.34
108, 1.00
109, 0.37
110, 0.50
111, 1.14
112, 0.84
113, 1.02
114, 0.65
115, 0.68
116, 1.05
117, 1.36
118, 1.35
119, 1.10
120, 0.79
121, 0.68
122, 0.59
123, 1.28
124, 0.51
125, 1.24
126, 1.49
127, 0.50
128, 1.21
129, 1.24
130, 1.29
131, 0.64
132, 0.77
133, 1.11
134, 0.62
135, 0.62
136, 0.50
137, 0.55
138, 1.05
139, 0.88
140, 1.13
141, 0.81
142, 0.36
143, 1.06
144, 0.76
145, 1.06
146, 1.32
147, 0.44
148, 0.54
149, 1.30
150, 0.54
151, 0.59
