read, delay
1, 0.89
2, 1.26
3, 1.21
4, 1.45
5, 0.73
6, 1.17
7, 0.88
8, 0.75
9, 0.48
10, 1.00
11, 1.24
12, 1.34
13, 1.40
14, 0.94
15, 1.26
16, 0.56
17, 0.44
18, 0.75
19, 0.68
20, 1.39
21, 1.31
22, 0.52
23, 0.58
24, 1.29
25, 0.66
26, 0.78
27, 1.40
28, 1.16
29, 1.09
30, 0.60
31, 1.10
32, 1.27
33, 0.65
34, 1.28
35, 0.64
36, 1.10
37, 1.15
38, 1.39
39, 0.78
40, 1.03
41, 0.56
42, 0.80
43, 0.78
44, 1.40
45, 1.33
46, 1.20
47, 1.28
48, 0.72
49, 0.89
50, 0.83
51, 0.82
52, 0.78
53, 1.00
54, 0.81
55, 0.59
56, 0.65
57, 0.69
58, 1.13
59, 0.50
60, 0.53
61, 1.48
62, 0.70
63, 0.72
64, 0.78
65, 0.98
66, 1.14
67, 0.94
68, 0.59
69, 0.45
70, 0.81
71, 1.29
72, 1.29
73, 0.70
74, 0.54
75, 0.57
76, 0.70
77, 1.14
78, 0.62
79, 1.35
80, 0.52
81, 1.24
82, 1.20
83, 1.25
84, 0.88
85, 0.65
86, 0.95
87, 1.40
88, 0.78
89, 1.15
90, 0.83
91, 0.79
92, 0.98
93, 1.26
94, 0.64
95, 1.18
96, 1.37
97, 0.72
98, 1.18
99, 0.78
100, 0.62
101, 0.95
102, 0.52
103, 0.82
104, 0.69
105, 0.50
106, 0.78
107, 0.83
108, 1.25
109, 1.12
110, 1.43
111, 1.38
112, 1.14
113, 1.37
114, 0.64
115, 1.47
116, 1.18
117, 1.20
118, 0.95
119, 0.89
120, 1.06
121, 1.26
122, 0.74
123, 0.93
124, 0.96
125, 0.52
126, 1.45
127, 0.72
128, 1.30
129, 1.47
130, 0.70
131, 0.84
132, 1.48
133, 0.93
134, 0.94
135, 0.84
136, 1.06
137, 1.15
138, 0.53
139, 0.48
140, 0.54
141, 0.44
142, 1.32
143, 0.55
144, 0.93
145, 0.55
146, 1.21
147, 0.89
148, 1.26
149, 1.22
150, 1.48
151, 0.46
152, 1.19
153, 1.40
154, 0.54
155, 1.28
156, 1.11
157, 0.98
158, 0.60
159, 0.49
160, 0.83
161, 0.71
162, 1.20
163, 1.30
164, 1.37
165, 0.87
166, 1.11
167, 0.41
168, 1.24
169, 1.20
170, 0.92
171, 0.84
172, 1.29
173, 0.72
174, 1.36
175, 0.82
176, 1.32
177, 0.56
178, 0.44
179, 1.10
180, 1.18
181, 1.04
182, 0.60
183, 0.56
184, 0.66
185, 1.15
186, 1.11
187, 1.30
188, 0.94
189, 1.05
190, 0.50
191, 0.59
192, 1.32
193, 0.72
194, 0.46
195, 0.50
196, 0.66
197, 1.22
198, 0.82
199, 0.92
200, 0.58
201, 1.02
202, 0.48
203, 1.43
204, 1.25
205, 0.58
206, 0.94
207, 1.43
208, 1.26
209, 1.35
210, 0.90
211, 1.24
212, 0.65
213, 1.04
214, 1.35
215, 1.14
216, 1.05
217, 0.72
218, 0.75
219, 1.32
220, 1.05
221, 0.88
222, 1.20
223, 0.90
224, 0.98
225, 0.87
226, 0.45
227, 1.29
228, 0.70
229, 1.18
230, 0.78
231, 0.68
232, 1.38
233, 0.68
234, 1.01
235, 0.81
236, 1.17
237, 0.58
238, 0.64
239, 0.56
240, 0.88
241, 0.60
242, 0.72
243, 0.83
244, 0.74
245, 0.60
246, 0.49
247, 0.62
248, 0.71
249, 0.74
250, 0.95
251, 0.41
252, 1.28
253, 0.77
254, 1.01
255, 1.05
256, 1.16
257, 1.06
258, 1.09
259, 0.91
260, 1.38
261, 0.56
262, 0.96
263, 1.44
264, 1.42
265, 0.85
266, 1.01
267, 1.37
268, 0.88
269, 1.29
270, 1.17
271, 0.80
272, 0.88
273, 0.94
274, 1.19
275, 0.83
276, 0.62
277, 0.46
278, 1.41
279, 0.92
280, 1.23
281, 0.74
282, 0.68
283, 1.38
284, 0.68
285, 0.97
286, 0.84
287, 0.47
288, 1.32
289, 0.77
290, 1.44
291, 1.23
292, 1.39
293, 1.03
294, 1.12
295, 0.97
296, 0.67
297, 1.24
298, 1.39
299, 1.13
300, 1.10
301, 1.39
302, 1.12
303, 1.42
304, 1.16
305, 1.05
306, 0.66
307, 1.13
308, 1.26
309, 1.22
310, 0.91
311, 1.29
312, 0.76
313, 1.24
314, 0.85
315, 1.12
316, 0.53
317, 0.64
318, 0.75
319, 0.56
320, 0.62
321, 0.51
322, 0.92
323, 1.28
324, 1.19
325, 1.20
326, 1.03
327, 0.74
328, 1.18
