read, delay
1, 1.82
2, 1.40
3, 0.93
4, 0.92
5, 1.72
6, 0.82
7, 2.42
8, 0.95
9, 1.57
10, 1.38
11, 1.70
12, 1.69
13, 1.40
14, 1.09
15, 1.00
16, 1.55
17, 1.64
18, 1.50
19, 0.98
20, 1.73
21, 1.73
22, 1.45
23, 1.31
24, 1.25
25, 1.56
26, 1.50
27, 1.26
28, 1.13
29, 1.17
30, 1.57
31, 0.86
32, 1.61
33, 1.68
34, 1.21
35, 0.98
36, 1.47
37, 1.30
38, 1.23
39, 1.84
40, 1.71
41, 1.01
42, 0.88
43, 1.51
44, 1.18
45, 1.16
46, 1.50
47, 1.36
48, 1.70
49, 1.70
50, 0.83
51, 0.96
52, 1.43
53, 0.86
54, 1.05
55, 0.99
56, 1.49
57, 0.89
58, 1.36
59, 1.04
60, 0.96
61, 1.33
62, 1.00
63, 1.60
64, 1.44
65, 1.36
66, 0.95
67, 0.80
68, 1.43
69, 1.41
70, 1.06
71, 1.45
72, 1.66
73, 0.94
74, 1.63
75, 1.44
76, 0.86
77, 1.66
78, 1.65
79, 1.22
80, 1.79
81, 1.56
82, 1.44
83, 1.14
84, 1.77
85, 0.96
86, 1.52
87, 1.81
88, 1.00
89, 1.14
90, 1.01
91, 0.61
92, 1.23
93, 1.56
94, 0.97
95, 1.72
96, 1.12
97, 0.97
98, 1.19
99, 1.20
100, 0.95
101, 1.75
102, 1.08
103, 0.78
104, 1.41
105, 1.75
106, 1.04
107, 1.08
108, 1.73
109, 1.06
110, 1.44
111, 1.84
112, 1.52
113, 1.01
114, 1.35
115, 0.92
116, 1.65
117, 0.94
118, 1.40
119, 1.60
120, 1.61
121, 0.97
122, 1.69
123, 1.80
124, 1.71
125, 0.94
126, 1.80
127, 1.18
128, 1.13
129, 1.02
130, 1.12
131, 0.99
132, 1.86
133, 1.43
134, 1.30
135, 1.46
136, 1.48
137, 1.11
138, 1.13
139, 1.02
140, 1.40
141, 1.68
142, 1.51
143, 1.84
144, 1.70
145, 1.12
146, 1.11
147, 1.19
148, 1.81
149, 0.95
150, 1.00
