read, delay
1, 1.45
2, 1.30
3, 1.52
4, 1.32
5, 2.12
6, 1.66
7, 1.65
8, 1.67
9, 2.19
10, 1.61
11, 1.55
12, 1.55
13, 1.48
14, 1.55
15, 1.89
16, 1.46
17, 1.99
18, 2.05
19, 1.12
20, 1.46
21, 1.41
22, 1.34
23, 1.62
24, 1.69
25, 1.64
26, 1.29
27, 2.14
28, 1.61
29, 1.28
30, 1.29
31, 1.66
32, 1.43
33, 1.67
34, 1.87
35, 2.17
36, 2.08
37, 1.84
38, 1.96
39, 2.18
40, 1.71
41, 1.78
42, 1.28
43, 1.38
44, 1.46
45, 2.00
46, 1.87
47, 2.24
48, 1.84
49, 1.48
50, 1.80
51, 1.72
52, 1.31
53, 1.51
54, 1.54
55, 1.32
56, 1.84
57, 1.81
58, 2.70
59, 1.58
60, 1.65
61, 1.35
62, 0.86
63, 1.43
64, 1.34
65, 2.21
66, 2.20
67, 1.29
68, 1.32
69, 1.43
70, 2.05
71, 1.82
72, 1.68
73, 1.48
74, 1.55
75, 1.47
76, 1.82
77, 1.83
78, 1.96
79, 1.99
80, 2.02
81, 1.70
82, 1.89
83, 1.43
84, 1.73
85, 1.85
86, 1.53
87, 2.18
88, 1.50
89, 1.84
90, 1.88
91, 1.75
92, 1.50
93, 1.78
94, 2.13
95, 2.15
96, 1.57
97, 2.24
98, 1.92
99, 1.42
100, 1.92
101, 1.82
102, 1.15
103, 1.40
104, 1.08
105, 1.59
106, 1.82
107, 1.41
108, 1.82
109, 1.60
110, 1.99
111, 1.59
112, 1.79
113, 1.89
114, 1.53
115, 2.12
116, 1.83
117, 2.07
118, 1.49
119, 2.06
120, 2.06
121, 2.27
122, 1.21
123, 1.21
124, 1.57
125, 1.79
126, 1.88
127, 1.63
128, 1.85
129, 1.90
130, 1.91
131, 1.17
132, 1.93
133, 2.01
134, 1.67
135, 1.56
136, 1.83
137, 2.22
138, 1.65
139, 1.94
140, 1.70
141, 1.66
142, 2.12
143, 1.86
144, 1.31
145, 1.29
146, 2.31
147, 1.45
148, 2.18
149, 1.82
150, 2.14
151, 2.22
152, 1.76
153, 1.48
154, 2.08
155, 1.74
156, 1.71
157, 1.56
158, 1.46
159, 1.99
160, 2.17
161, 1.58
162, 2.12
163, 1.96
164, 1.52
165, 1.46
166, 1.62
167, 1.97
168, 1.89
169, 1.79
170, 2.22
171, 2.22
172, 2.09
173, 2.16
174, 2.01
175, 2.22
176, 2.33
177, 2.04
178, 2.08
179, 1.47
180, 1.40
181, 2.22
182, 1.56
183, 1.64
184, 1.56
185, 2.10
186, 1.71
187, 1.49
188, 1.78
189, 1.66
190, 1.87
191, 1.74
192, 1.75
193, 2.02
194, 1.50
195, 1.48
196, 2.35
197, 2.26
198, 1.67
199, 1.80
200, 1.88
201, 1.83
202, 1.79
203, 2.39
204, 1.45
205, 1.72
206, 2.33
207, 1.97
208, 1.73
209, 2.05
210, 0.99
211, 1.56
212, 2.10
213, 1.85
214, 1.30
215, 0.79
216, 1.90
217, 0.69
218, 1.77
219, 1.74
220, 0.60
221, 0.76
222, 1.93
223, 1.56
224, 1.78
225, 1.12
226, 0.93
227, 1.34
228, 1.97
229, 0.53
230, 1.58
231, 1.18
232, 2.37
233, 0.66
234, 0.62
235, 1.56
236, 1.64
237, 2.32
238, 2.19
239, 1.40
240, 1.24
241, 1.10
242, 0.81
243, 0.64
244, 0.96
245, 0.43
246, 0.85
247, 2.10
248, 0.94
249, 1.02
250, 0.64
251, 0.77
252, 0.86
253, 1.01
254, 0.99
255, 0.86
256, 0.64
257, 0.90
258, 1.42
259, 0.76
260, 1.40
261, 1.28
262, 1.41
263, 1.14
264, 0.95
265, 0.66
266, 1.19
267, 1.37
268, 1.23
269, 1.03
270, 1.05
271, 1.33
272, 1.05
273, 1.09
274, 0.76
275, 1.17
276, 1.26
277, 1.12
278, 0.84
279, 1.05
280, 1.96
281, 1.07
282, 1.31
283, 1.63
284, 0.91
285, 1.15
286, 0.57
287, 0.53
288, 0.93
289, 1.08
290, 1.13
291, 1.34
292, 0.96
293, 1.21
294, 0.74
295, 1.12
296, 1.01
297, 0.62
298, 0.83
299, 0.82
300, 1.40
301, 0.68
302, 1.16
303, 1.34
304, 0.53
305, 0.65
306, 2.39
307, 2.39
308, 1.58
309, 1.09
310, 1.33
311, 1.00
312, 1.08
313, 1.03
314, 0.90
315, 0.94
316, 0.81
317, 0.72
318, 1.20
319, 1.47
320, 1.29
321, 0.61
322, 0.69
323, 0.95
324, 1.01
325, 1.42
326, 1.47
327, 2.10
328, 1.28
329, 0.85
330, 1.33
331, 0.68
332, 0.63
333, 1.33
334, 0.65
335, 0.52
336, 1.27
337, 0.88
338, 1.50
339, 1.04
340, 1.51
341, 1.96
342, 0.63
343, 1.81
344, 1.24
345, 0.80
346, 0.64
347, 0.77
348, 1.03
349, 1.35
350, 1.46
351, 1.05
352, 0.71
353, 1.32
354, 1.32
355, 1.15
356, 0.99
357, 1.22
358, 0.61
359, 1.46
360, 1.45
361, 0.79
362, 0.96
363, 1.15
364, 0.56
365, 1.50
366, 1.21
367, 0.96
368, 0.59
369, 0.84
370, 1.98
371, 1.02
372, 1.05
373, 0.97
374, 1.10
375, 0.92
376, 0.92
377, 1.44
378, 1.28
379, 2.00
380, 0.70
381, 1.19
382, 1.49
383, 0.78
384, 1.34
385, 1.14
386, 0.84
387, 1.15
388, 1.42
389, 0.92
390, 0.97
391, 1.44
392, 0.67
393, 1.10
394, 0.57
395, 0.59
396, 1.23
397, 0.57
398, 1.45
399, 1.46
400, 0.94
401, 0.74
402, 0.84
403, 1.32
404, 1.11
405, 0.88
406, 1.12
407, 1.10
408, 0.96
409, 1.05
410, 1.09
411, 1.50
412, 1.02
413, 0.85
414, 0.95
415, 0.67
416, 0.80
417, 1.52
418, 1.29
419, 1.23
420, 1.10
421, 0.96
422, 1.52
423, 1.23
424, 0.99
425, 0.78
426, 0.62
427, 1.37
428, 0.60
429, 1.02
430, 1.57
431, 0.94
432, 0.74
433, 1.10
434, 1.08
435, 2.20
436, 0.90
437, 0.98
438, 0.64
439, 1.59
440, 1.56
441, 0.64
442, 0.73
443, 0.91
444, 0.91
445, 0.88
446, 1.46
447, 1.11
448, 0.75
449, 1.10
450, 1.20
451, 1.59
452, 0.77
453, 0.84
454, 0.64
455, 0.88
456, 1.13
457, 0.81
458, 0.79
459, 0.96
460, 0.63
461, 0.92
462, 2.39
463, 1.43
464, 1.09
465, 1.41
466, 0.70
467, 1.47
468, 0.98
469, 1.27
470, 1.19
471, 1.28
472, 1.36
473, 1.12
474, 1.41
475, 1.11
476, 1.03
477, 1.18
478, 1.19
479, 2.56
480, 0.64
481, 1.42
482, 0.71
483, 0.94
484, 1.09
485, 1.45
486, 0.66
487, 2.31
488, 1.48
489, 1.29
490, 1.30
491, 1.05
492, 1.44
493, 1.28
494, 2.18
495, 1.21
496, 0.70
497, 1.18
498, 1.40
499, 1.26
500, 1.35
501, 0.80
502, 0.82
503, 1.53
504, 1.02
505, 1.51
506, 1.32
507, 1.05
508, 1.44
509, 0.84
510, 1.68
511, 1.44
512, 1.24
513, 1.32
514, 0.91
515, 1.53
516, 0.71
517, 1.62
518, 1.06
519, 1.28
520, 1.56
521, 1.62
522, 0.88
523, 0.70
524, 1.00
525, 1.51
526, 1.33
527, 1.25
528, 1.10
529, 0.86
530, 1.06
531, 1.38
532, 1.52
533, 3.40
534, 1.05
535, 1.52
536, 2.26
537, 1.13
538, 1.68
539, 1.13
540, 1.10
541, 1.43
542, 1.06
543, 1.10
544, 1.29
545, 1.00
546, 1.24
547, 1.60
548, 1.30
549, 1.36
550, 1.16
551, 1.43
552, 0.78
553, 0.64
554, 0.87
555, 2.41
556, 1.11
557, 1.33
558, 1.50
559, 0.82
560, 1.07
561, 1.44
562, 1.16
563, 1.16
564, 1.52
565, 0.55
566, 0.98
567, 1.34
568, 1.07
569, 1.35
570, 1.28
571, 1.16
572, 1.68
573, 1.08
574, 1.35
575, 0.95
576, 1.39
577, 1.14
578, 1.58
579, 1.44
580, 0.78
581, 0.92
582, 1.60
583, 0.90
584, 1.59
585, 1.25
586, 1.18
587, 1.37
588, 0.78
589, 0.79
590, 1.28
591, 1.30
592, 1.20
593, 1.38
594, 0.98
595, 1.47
596, 0.80
597, 1.13
598, 1.32
599, 1.51
600, 0.84
601, 1.58
602, 0.95
603, 1.53
604, 1.08
605, 1.15
606, 0.97
607, 1.51
608, 0.95
609, 1.54
610, 1.06
611, 1.25
612, 1.43
613, 1.48
614, 1.74
615, 1.06
616, 1.43
617, 1.01
618, 0.98
619, 1.61
620, 0.97
621, 1.36
622, 0.89
623, 1.09
624, 1.32
625, 3.43
626, 1.54
627, 1.18
628, 1.31
629, 0.72
630, 1.49
631, 2.35
632, 1.63
633, 1.24
634, 0.65
635, 0.84
636, 1.43
637, 1.36
638, 1.28
639, 1.19
640, 1.29
641, 1.36
642, 1.29
643, 1.48
644, 1.53
645, 1.40
646, 1.50
647, 1.57
648, 1.02
649, 0.91
650, 0.90
651, 0.89
652, 1.12
653, 1.42
654, 1.27
655, 1.69
656, 1.76
657, 0.57
658, 1.57
659, 1.70
660, 1.06
661, 1.32
662, 1.53
663, 1.08
664, 1.69
665, 0.87
666, 1.80
667, 1.09
668, 1.07
669, 0.96
670, 1.64
671, 1.15
672, 0.92
673, 0.84
674, 0.82
675, 1.46
676, 1.22
677, 1.69
678, 1.15
679, 1.59
680, 1.70
681, 1.52
682, 1.39
683, 0.87
684, 1.34
685, 0.84
686, 1.01
687, 1.72
688, 0.92
689, 1.05
690, 1.51
691, 1.46
692, 0.92
693, 1.58
694, 0.88
695, 1.53
696, 1.50
697, 1.08
698, 2.81
699, 1.31
700, 1.54
701, 1.75
702, 1.51
703, 1.56
704, 1.84
705, 1.70
706, 1.26
707, 1.23
708, 1.42
709, 1.57
710, 1.20
711, 1.38
712, 1.55
713, 1.44
714, 1.10
715, 1.84
716, 1.68
717, 2.18
718, 1.13
719, 1.49
720, 1.43
721, 1.52
722, 1.60
723, 1.03
724, 1.24
725, 1.26
726, 1.38
727, 1.32
728, 1.12
729, 0.91
730, 1.26
731, 1.58
732, 1.50
733, 1.85
734, 1.84
735, 0.89
736, 0.85
737, 0.87
738, 1.35
739, 1.25
740, 1.83
741, 1.03
742, 0.89
743, 0.93
744, 0.97
745, 1.46
746, 0.98
747, 1.68
748, 1.09
749, 1.26
750, 1.72
751, 1.06
752, 1.61
753, 1.07
754, 1.86
755, 1.58
756, 1.74
757, 1.11
758, 1.40
759, 1.77
760, 1.28
761, 1.29
762, 2.55
763, 1.09
764, 1.24
765, 1.00
766, 1.50
767, 1.64
768, 1.76
769, 1.45
770, 1.68
771, 1.64
772, 1.58
773, 0.91
774, 0.90
775, 0.86
776, 1.33
777, 1.31
778, 1.71
779, 1.87
780, 1.20
781, 1.49
782, 1.30
783, 1.84
784, 1.28
785, 1.02
786, 1.08
787, 1.69
788, 1.43
789, 1.40
790, 1.78
791, 1.50
792, 1.21
793, 1.37
794, 1.41
795, 1.88
796, 1.78
797, 1.78
798, 1.59
799, 1.84
800, 1.05
801, 0.89
802, 1.64
803, 1.52
804, 1.88
805, 1.82
806, 0.78
807, 1.66
808, 1.56
809, 1.22
810, 1.61
811, 1.94
812, 1.15
813, 0.97
814, 1.84
815, 1.14
816, 1.26
