read, delay
1, 0.54
2, 0.40
3, 0.98
4, 0.76
5, 0.56
6, 0.36
7, 1.06
8, 0.94
9, 0.80
10, 1.23
11, 0.64
12, 0.48
13, 1.32
14, 1.21
15, 0.92
16, 0.84
17, 0.75
18, 0.84
19, 1.26
20, 1.32
21, 1.01
22, 1.22
23, 1.19
24, 1.08
25, 0.64
26, 0.51
27, 1.26
28, 1.30
29, 0.64
30, 1.04
31, 1.40
32, 0.70
33, 1.14
34, 1.18
35, 0.70
36, 0.56
37, 0.95
38, 0.63
39, 0.43
40, 0.87
41, 0.95
42, 1.02
43, 0.94
44, 1.17
45, 1.10
46, 1.24
47, 0.49
48, 0.96
49, 1.20
50, 0.93
51, 1.10
52, 0.94
53, 0.82
54, 1.23
55, 1.31
56, 1.19
57, 0.81
58, 1.17
59, 0.54
60, 0.48
61, 0.51
62, 1.19
63, 1.38
64, 1.06
65, 0.99
66, 0.55
67, 0.97
68, 0.50
69, 0.78
70, 1.04
71, 0.55
72, 1.32
73, 0.48
74, 0.69
75, 1.35
76, 0.64
77, 0.50
78, 0.63
79, 1.18
80, 1.73
81, 1.07
82, 0.94
83, 1.10
84, 0.69
85, 0.82
86, 0.50
87, 1.18
88, 0.59
89, 0.76
90, 0.61
91, 1.29
92, 0.98
93, 1.15
94, 0.48
95, 0.58
96, 1.05
97, 1.09
98, 0.73
99, 0.95
100, 0.61
101, 0.49
102, 1.03
103, 0.71
104, 0.48
105, 0.53
106, 0.42
107, 0.60
108, 1.10
109, 0.35
110, 0.68
111, 0.95
112, 0.74
113, 0.69
114, 0.83
115, 0.90
116, 0.62
117, 0.97
118, 1.23
119, 0.53
120, 0.98
121, 0.79
122, 0.35
123, 1.06
124, 0.82
125, 0.76
126, 0.77
127, 0.77
128, 0.76
129, 0.56
130, 0.79
131, 0.46
132, 0.67
133, 0.73
134, 0.41
135, 0.60
136, 0.40
137, 0.87
138, 1.16
139, 0.88
140, 0.58
141, 1.04
142, 0.60
143, 0.56
144, 0.88
145, 0.48
146, 0.44
147, 1.20
148, 0.84
149, 1.10
150, 1.18
151, 1.40
152, 0.47
153, 0.78
154, 0.95
155, 0.46
156, 0.69
157, 0.90
158, 1.25
159, 1.21
160, 0.85
161, 0.42
162, 0.92
163, 1.12
164, 0.52
165, 0.93
166, 0.47
167, 1.14
168, 1.34
169, 0.87
170, 0.49
171, 0.44
172, 0.86
173, 1.18
