read, delay
1, 1.14
2, 0.57
3, 1.08
4, 1.26
5, 0.96
6, 1.05
7, 0.98
8, 0.91
9, 1.26
10, 1.11
11, 0.47
12, 1.21
13, 0.86
14, 0.70
15, 0.86
16, 0.96
17, 1.26
18, 0.72
19, 0.44
20, 0.87
21, 0.67
22, 0.34
23, 0.95
24, 0.36
25, 0.70
26, 0.54
27, 1.14
28, 1.06
29, 0.54
30, 0.99
31, 1.19
32, 0.78
33, 0.38
34, 1.28
35, 0.73
36, 0.38
37, 0.45
38, 0.44
39, 0.61
40, 0.76
41, 1.18
42, 0.74
43, 0.74
44, 0.76
45, 0.47
46, 0.31
47, 0.97
48, 1.30
49, 0.32
50, 1.26
51, 0.73
52, 0.66
53, 1.03
54, 0.79
55, 1.00
56, 1.14
57, 0.46
58, 0.34
59, 0.96
60, 0.41
61, 0.89
62, 0.39
63, 0.31
64, 0.30
65, 0.67
66, 1.19
67, 1.14
68, 0.68
69, 1.16
70, 0.30
71, 0.74
72, 0.39
73, 0.90
74, 1.21
75, 1.22
76, 0.90
77, 0.87
78, 1.08
79, 0.99
80, 0.61
81, 0.74
82, 1.12
83, 1.02
84, 0.84
85, 0.49
86, 0.46
87, 1.02
88, 0.82
89, 0.39
90, 1.04
91, 1.13
92, 0.34
93, 0.80
94, 0.42
95, 0.65
96, 0.44
97, 1.09
98, 0.68
99, 0.87
100, 1.04
101, 1.26
102, 1.16
103, 0.41
104, 0.87
105, 1.06
106, 1.05
107, 0.70
108, 1.18
109, 1.16
110, 0.60
111, 1.28
112, 1.09
113, 0.67
114, 0.47
115, 0.79
116, 0.79
117, 0.64
118, 0.52
119, 1.15
120, 1.30
121, 1.04
122, 0.92
123, 0.83
124, 0.56
125, 1.12
126, 1.00
127, 0.29
128, 0.41
129, 1.28
130, 0.90
131, 1.10
132, 0.57
133, 0.78
134, 0.56
135, 1.18
136, 0.37
137, 0.99
138, 1.14
139, 1.14
140, 0.77
141, 0.33
142, 0.53
143, 0.81
144, 1.18
145, 0.72
146, 0.30
147, 0.38
148, 0.70
149, 0.92
150, 0.87
151, 0.54
152, 0.43
153, 0.52
154, 0.76
155, 0.39
156, 1.18
157, 1.04
158, 0.69
159, 0.66
160, 0.99
161, 0.31
162, 0.90
163, 0.43
164, 1.06
165, 0.39
166, 0.98
167, 0.60
168, 0.52
169, 0.54
170, 0.76
171, 0.52
172, 0.47
173, 1.01
174, 0.56
175, 1.02
176, 1.20
177, 0.60
178, 0.90
179, 0.84
180, 0.71
181, 0.89
182, 1.03
183, 0.89
184, 1.24
185, 0.38
186, 0.36
187, 0.42
188, 0.35
189, 0.59
190, 0.30
191, 0.88
192, 0.86
193, 0.79
194, 0.33
195, 0.97
196, 1.15
197, 0.95
198, 0.88
199, 0.83
200, 0.34
201, 0.78
202, 0.58
203, 0.96
204, 0.55
205, 1.04
206, 0.63
207, 0.72
208, 0.80
209, 1.15
210, 0.87
211, 0.93
212, 0.31
213, 1.28
214, 0.72
215, 0.74
216, 0.31
217, 0.82
218, 0.31
219, 0.61
220, 0.94
221, 0.94
222, 1.20
223, 0.66
224, 0.54
225, 0.77
226, 0.35
227, 0.75
228, 1.27
229, 0.96
230, 0.32
231, 0.98
232, 0.66
233, 0.72
234, 0.29
235, 0.50
236, 0.99
237, 0.70
238, 0.57
239, 0.64
240, 0.51
241, 0.36
242, 0.76
243, 0.93
244, 1.23
245, 0.34
246, 1.19
247, 0.28
248, 0.59
249, 0.32
250, 0.97
251, 1.26
252, 0.63
253, 0.30
254, 0.82
255, 1.11
256, 0.62
257, 0.50
258, 0.50
259, 0.96
260, 0.52
261, 0.81
262, 0.31
263, 0.61
264, 1.26
265, 0.78
266, 0.84
267, 1.10
268, 0.37
269, 0.91
270, 1.26
271, 0.82
272, 0.78
273, 0.35
274, 1.03
275, 0.84
276, 0.92
277, 1.16
278, 1.17
279, 0.78
280, 0.31
281, 0.96
282, 1.07
283, 0.32
284, 0.87
285, 0.46
286, 0.63
287, 1.24
288, 0.89
289, 0.54
290, 1.01
291, 1.15
292, 0.67
293, 0.46
294, 0.54
295, 0.82
296, 1.06
297, 0.56
298, 1.08
299, 0.95
300, 0.50
301, 1.15
302, 0.66
303, 0.79
304, 0.84
305, 0.38
306, 0.88
307, 1.14
308, 0.46
309, 0.64
310, 1.07
311, 0.55
312, 0.34
313, 0.83
314, 0.69
315, 0.98
316, 1.08
317, 1.12
318, 0.57
319, 1.14
320, 1.17
321, 0.26
322, 0.38
323, 1.03
324, 0.99
325, 1.00
326, 0.44
327, 0.94
328, 1.28
329, 0.31
330, 1.24
331, 1.10
332, 0.82
333, 0.33
334, 0.44
335, 0.36
336, 0.96
337, 0.77
338, 0.79
339, 0.92
340, 0.37
341, 0.83
342, 0.73
343, 0.79
344, 0.63
345, 0.54
346, 0.89
347, 0.64
348, 1.20
349, 0.53
350, 0.92
351, 0.73
352, 1.10
353, 0.92
354, 0.42
355, 1.20
356, 0.78
357, 0.92
358, 1.13
359, 0.48
360, 0.61
361, 0.82
362, 0.77
363, 0.72
364, 1.10
365, 0.60
366, 1.19
367, 1.10
368, 0.42
369, 0.56
370, 0.44
371, 0.33
372, 0.49
373, 0.36
374, 0.81
375, 0.32
376, 0.63
377, 1.17
378, 0.90
379, 0.55
380, 0.96
381, 0.85
382, 0.74
383, 0.32
384, 0.54
385, 0.44
386, 0.77
387, 0.67
388, 1.00
389, 0.44
390, 0.82
391, 1.21
392, 0.80
393, 0.88
394, 0.85
395, 1.05
396, 1.06
397, 0.68
398, 0.93
399, 1.18
400, 1.14
401, 0.42
402, 0.53
403, 1.13
404, 0.72
405, 0.67
406, 0.41
407, 0.34
408, 0.73
409, 0.94
410, 1.06
411, 0.80
412, 1.00
413, 0.72
414, 1.10
415, 1.07
416, 0.34
417, 0.86
418, 0.72
419, 0.50
420, 0.56
421, 1.23
422, 0.88
423, 1.10
424, 1.06
425, 1.09
426, 0.64
427, 0.67
428, 0.87
429, 0.94
430, 0.90
431, 0.62
432, 0.78
433, 0.50
434, 0.39
435, 1.01
436, 0.40
437, 0.34
438, 0.71
439, 0.62
440, 0.75
441, 0.50
442, 1.06
443, 0.54
444, 0.66
445, 1.04
446, 1.24
447, 1.03
448, 0.89
449, 0.53
450, 0.71
451, 0.65
452, 1.21
453, 0.61
454, 0.66
