read, delay
1, 1.28
2, 1.17
3, 0.87
4, 1.06
5, 0.72
6, 1.26
7, 1.26
8, 1.03
9, 0.73
10, 1.23
11, 0.94
12, 0.87
13, 0.62
14, 0.76
15, 0.64
16, 1.07
17, 1.02
18, 0.80
19, 0.44
20, 0.56
21, 0.50
22, 0.76
23, 1.34
24, 1.24
25, 1.01
26, 0.46
27, 0.98
28, 0.73
29, 1.16
30, 1.18
31, 1.20
32, 1.20
33, 0.63
34, 1.34
35, 1.18
36, 0.99
37, 0.80
38, 0.64
39, 0.73
40, 0.98
41, 1.03
42, 0.96
43, 1.30
44, 0.98
45, 1.28
46, 1.35
47, 0.44
48, 0.51
49, 0.50
50, 0.73
51, 1.01
52, 1.34
53, 1.25
54, 0.56
55, 1.33
56, 0.45
57, 0.72
58, 1.09
59, 0.65
60, 1.31
61, 1.26
62, 0.96
63, 0.77
64, 0.83
65, 1.26
66, 1.23
67, 0.90
68, 1.32
69, 0.83
70, 0.96
71, 0.61
72, 0.90
73, 0.58
74, 1.02
75, 0.57
76, 0.83
77, 0.72
78, 0.99
79, 0.76
80, 1.27
81, 0.88
82, 1.21
83, 1.15
84, 1.29
85, 1.26
86, 0.49
87, 1.12
88, 1.18
89, 0.49
90, 0.95
91, 0.62
92, 0.55
93, 0.78
94, 0.70
95, 1.04
96, 0.84
97, 0.74
98, 1.10
99, 0.63
100, 1.20
101, 1.03
102, 0.72
103, 0.84
104, 1.24
105, 0.53
106, 1.15
107, 0.89
108, 1.30
109, 1.16
110, 0.73
111, 0.54
112, 1.38
113, 0.99
114, 1.05
115, 1.10
116, 0.50
117, 1.04
118, 1.32
119, 0.52
120, 0.92
121, 1.56
122, 0.58
123, 0.89
124, 1.31
125, 1.08
126, 0.91
127, 0.82
128, 0.42
129, 0.86
130, 1.24
131, 1.06
132, 0.74
133, 1.33
134, 0.67
135, 0.81
136, 1.03
137, 1.36
138, 0.64
139, 1.37
140, 0.54
141, 0.77
142, 1.18
143, 0.53
144, 0.70
145, 1.21
146, 1.31
147, 0.87
148, 0.93
149, 1.11
150, 0.86
151, 0.99
152, 0.95
153, 1.08
154, 1.14
155, 0.58
156, 0.92
157, 1.38
158, 0.69
159, 1.13
160, 0.51
161, 1.67
162, 1.11
163, 0.79
164, 1.35
165, 0.60
166, 1.03
167, 0.85
168, 0.68
169, 0.53
170, 1.08
171, 0.88
172, 0.67
173, 0.88
174, 0.68
175, 0.60
176, 1.33
177, 1.23
178, 1.33
179, 0.80
180, 0.43
181, 1.19
182, 1.40
183, 1.10
184, 1.30
185, 0.54
186, 0.36
187, 0.65
188, 1.42
189, 1.08
190, 0.72
191, 0.49
192, 0.74
193, 1.16
194, 1.62
195, 0.97
196, 0.99
197, 1.41
198, 0.96
199, 0.95
200, 0.68
201, 0.65
202, 1.15
