read, delay
1, 1.36
2, 1.65
3, 0.95
4, 1.93
5, 2.06
6, 1.31
7, 1.80
8, 1.98
9, 1.85
10, 1.05
11, 1.50
12, 1.45
13, 0.92
14, 1.87
15, 1.59
16, 1.61
17, 1.26
18, 1.98
19, 1.48
20, 1.64
21, 1.50
22, 1.59
23, 1.48
24, 2.42
25, 1.04
26, 1.20
27, 1.76
28, 1.38
29, 0.98
30, 1.89
31, 1.18
32, 1.48
33, 1.37
34, 1.30
35, 1.80
36, 1.38
37, 1.55
38, 2.08
39, 1.12
40, 2.00
41, 1.36
42, 1.58
43, 1.33
44, 1.65
45, 1.59
46, 1.18
47, 1.83
48, 1.51
49, 1.14
50, 1.79
51, 2.18
52, 1.59
53, 1.13
54, 2.18
55, 2.38
56, 2.00
57, 1.59
58, 2.12
59, 1.49
60, 1.28
61, 1.23
62, 1.68
63, 1.92
64, 1.83
65, 0.96
66, 2.05
67, 1.57
68, 1.41
69, 1.90
70, 1.24
71, 1.31
72, 1.17
73, 1.63
74, 2.24
75, 2.02
76, 1.87
77, 1.19
78, 1.76
79, 1.63
80, 1.33
81, 1.74
82, 0.90
83, 1.28
84, 2.05
85, 1.47
86, 2.05
87, 1.50
88, 2.01
89, 0.99
90, 1.87
91, 1.65
92, 2.09
93, 1.84
94, 1.20
95, 1.89
96, 2.31
97, 1.46
98, 1.70
99, 1.36
100, 1.67
101, 1.79
102, 1.93
103, 1.39
104, 0.98
105, 1.31
106, 2.02
107, 1.95
108, 1.57
109, 1.18
110, 1.36
111, 2.08
112, 1.58
113, 1.85
114, 1.58
115, 1.46
116, 1.13
117, 2.09
118, 2.13
119, 2.02
120, 2.22
121, 1.27
122, 1.36
123, 1.86
124, 1.34
125, 1.57
126, 2.30
127, 2.15
128, 1.21
129, 1.56
130, 1.90
131, 1.60
132, 1.80
133, 2.03
134, 1.81
135, 1.08
136, 2.09
137, 1.70
138, 1.74
139, 2.36
140, 1.04
141, 1.44
142, 1.79
143, 1.62
144, 1.08
145, 1.76
146, 1.93
147, 2.21
148, 1.22
149, 1.97
150, 2.41
151, 1.76
152, 1.49
153, 1.21
154, 1.34
155, 1.90
156, 1.14
157, 1.55
158, 1.43
159, 1.21
160, 1.97
161, 2.35
162, 1.47
163, 1.07
164, 1.43
165, 1.58
166, 1.97
167, 1.46
168, 1.99
169, 0.98
170, 2.01
171, 1.26
172, 1.46
173, 1.56
174, 1.79
175, 1.98
176, 0.86
177, 1.55
178, 1.26
179, 2.06
180, 0.96
181, 2.00
182, 1.35
183, 1.74
184, 1.76
185, 1.62
186, 1.55
187, 1.41
188, 2.13
189, 1.46
190, 1.28
191, 1.24
192, 1.61
193, 1.29
194, 1.46
195, 1.75
196, 2.02
197, 1.70
198, 0.88
199, 1.40
200, 1.91
201, 1.09
202, 1.18
203, 1.76
204, 1.34
205, 1.73
206, 1.22
207, 1.58
208, 1.53
209, 1.58
210, 1.76
211, 2.20
212, 1.16
213, 1.80
214, 1.83
215, 1.32
216, 1.00
217, 1.42
218, 1.65
219, 1.60
220, 1.96
221, 1.58
222, 1.03
223, 1.09
224, 1.40
225, 2.11
226, 1.80
227, 1.54
