read, delay
1, 0.91
2, 1.07
3, 0.99
4, 0.52
5, 0.54
6, 1.32
7, 1.30
8, 1.23
9, 1.20
10, 0.30
11, 0.46
12, 0.98
13, 1.31
14, 0.63
15, 1.16
16, 0.56
17, 1.19
18, 0.65
19, 0.66
20, 1.15
21, 0.51
22, 0.57
23, 0.66
24, 1.21
25, 0.82
26, 0.81
27, 0.80
28, 0.95
29, 0.58
30, 1.30
31, 1.32
32, 1.24
33, 1.12
34, 0.68
35, 0.84
36, 0.70
37, 0.70
38, 0.52
39, 0.69
40, 1.07
41, 1.01
42, 1.02
43, 0.39
44, 1.01
45, 0.46
46, 1.26
47, 0.95
48, 0.90
49, 0.70
50, 0.58
51, 0.70
52, 1.06
53, 0.56
54, 0.69
55, 0.80
56, 0.40
57, 1.04
58, 0.96
59, 0.82
60, 0.39
61, 1.13
62, 0.52
63, 1.15
64, 0.40
65, 0.55
66, 0.40
67, 1.18
68, 0.96
69, 1.07
70, 0.38
71, 1.10
72, 0.82
73, 0.46
74, 1.06
75, 1.06
76, 1.11
77, 1.00
78, 1.17
79, 0.78
80, 0.92
81, 0.63
82, 0.89
83, 1.03
84, 0.52
85, 0.85
86, 0.77
87, 0.87
88, 0.39
89, 0.89
90, 0.80
91, 0.94
92, 0.51
93, 0.33
94, 1.04
95, 0.78
96, 0.88
97, 1.06
98, 0.70
99, 1.22
100, 0.65
101, 0.95
102, 1.20
103, 0.37
104, 0.90
105, 0.31
106, 1.21
107, 1.18
108, 0.92
109, 1.23
110, 0.98
111, 0.90
112, 0.90
113, 0.51
114, 0.97
115, 0.56
116, 0.96
117, 1.14
118, 0.56
119, 0.70
120, 0.58
121, 0.48
122, 1.30
123, 0.34
124, 1.11
125, 0.41
126, 1.12
127, 1.19
128, 0.42
129, 0.54
130, 0.45
131, 0.63
132, 1.12
133, 0.51
134, 0.58
135, 1.27
136, 0.98
137, 0.94
138, 0.58
139, 1.25
140, 0.78
141, 1.17
142, 0.46
143, 1.00
144, 0.52
145, 0.72
146, 1.26
147, 1.13
148, 1.08
149, 0.46
150, 0.95
151, 0.47
152, 0.54
153, 0.33
154, 1.32
155, 0.54
156, 1.09
157, 0.59
158, 0.99
159, 0.86
160, 0.96
161, 1.03
162, 1.32
163, 1.02
164, 0.47
165, 0.59
166, 1.17
167, 0.44
168, 0.80
169, 1.26
170, 0.81
171, 0.62
172, 0.48
173, 1.44
174, 0.99
175, 0.35
176, 0.94
177, 0.60
178, 0.73
179, 0.69
180, 1.17
181, 0.48
182, 0.60
183, 1.02
184, 0.61
185, 0.36
186, 0.54
187, 0.42
188, 1.21
189, 0.80
190, 1.09
191, 0.94
192, 0.51
193, 1.29
194, 0.48
195, 0.98
196, 1.14
197, 0.82
198, 0.82
199, 0.38
200, 0.44
201, 1.06
202, 1.06
203, 0.52
204, 0.65
205, 0.42
206, 0.46
207, 0.91
208, 0.65
209, 0.65
210, 1.24
211, 1.24
212, 0.49
213, 0.84
214, 0.72
215, 0.59
216, 0.80
217, 0.85
218, 1.22
219, 1.27
220, 0.54
221, 0.91
222, 0.35
223, 0.86
224, 0.80
225, 0.49
226, 0.96
227, 1.15
228, 0.69
229, 0.60
230, 1.16
231, 0.71
232, 0.48
233, 1.08
234, 1.14
235, 1.26
236, 0.78
237, 0.68
238, 1.09
239, 1.12
240, 0.62
241, 1.24
242, 0.97
243, 1.24
244, 1.27
245, 0.54
246, 1.22
247, 1.04
248, 0.81
249, 0.89
250, 0.98
251, 0.56
