read, delay
1, 0.44
2, 1.29
3, 1.28
4, 0.48
5, 0.97
6, 0.60
7, 1.08
8, 0.44
9, 1.24
10, 1.14
11, 0.80
12, 0.90
13, 0.82
14, 0.86
15, 1.37
16, 0.62
17, 1.00
18, 1.21
19, 1.11
20, 1.26
21, 0.67
22, 1.31
23, 1.16
24, 0.96
25, 0.79
26, 0.34
27, 0.89
28, 1.30
29, 1.81
30, 0.80
31, 1.05
32, 1.08
33, 0.96
34, 0.35
35, 1.19
36, 1.04
37, 1.06
38, 0.98
39, 0.89
40, 1.32
41, 1.02
42, 1.07
43, 1.00
44, 0.48
45, 1.33
46, 1.02
47, 1.22
48, 1.70
49, 0.92
50, 0.94
51, 0.69
52, 1.17
53, 0.58
54, 0.92
55, 0.50
56, 1.24
57, 0.71
58, 0.74
59, 0.50
60, 1.15
61, 0.80
62, 0.83
63, 0.48
64, 0.53
65, 1.08
66, 0.74
67, 1.06
68, 0.88
69, 1.10
70, 1.12
71, 0.48
72, 0.63
73, 1.19
74, 0.64
75, 0.62
76, 0.80
77, 0.76
78, 1.31
79, 0.87
80, 0.81
81, 1.09
82, 0.47
83, 0.50
84, 1.22
85, 0.96
86, 1.05
87, 0.63
88, 0.39
89, 1.12
90, 0.66
91, 0.53
92, 0.66
93, 1.02
94, 0.40
95, 0.97
96, 0.84
97, 1.26
98, 0.88
99, 0.90
100, 0.39
101, 0.58
102, 1.99
103, 0.91
104, 0.84
105, 0.40
106, 0.90
107, 0.97
108, 0.43
109, 0.83
110, 1.29
111, 0.42
112, 1.14
113, 0.72
114, 0.63
115, 0.44
116, 1.18
117, 0.66
118, 0.42
119, 0.94
120, 1.36
121, 1.28
122, 0.62
123, 0.89
124, 0.49
125, 0.61
126, 1.12
127, 0.63
128, 1.26
129, 0.60
130, 1.39
131, 1.34
132, 0.53
133, 1.18
134, 0.67
135, 0.93
136, 0.80
137, 1.36
138, 1.52
139, 1.28
140, 0.63
141, 1.38
142, 0.38
143, 1.16
144, 0.72
145, 0.97
146, 0.56
147, 0.90
148, 1.28
149, 1.35
150, 1.01
151, 1.14
152, 0.78
153, 0.68
154, 0.94
155, 0.76
156, 2.01
157, 0.39
158, 0.46
159, 1.30
160, 0.74
161, 0.67
162, 0.80
163, 1.06
164, 0.52
165, 1.26
166, 1.20
167, 0.53
168, 1.29
169, 1.31
170, 0.84
171, 1.02
172, 0.56
173, 1.19
174, 0.56
175, 1.82
176, 0.47
177, 0.84
178, 0.83
179, 0.72
180, 0.80
181, 1.32
182, 1.37
183, 1.29
184, 0.93
185, 1.33
186, 0.66
187, 1.02
188, 0.64
189, 0.89
190, 1.04
191, 1.38
192, 0.64
193, 0.62
194, 0.87
195, 0.48
196, 1.45
197, 1.22
198, 1.15
199, 0.91
200, 0.76
201, 1.32
202, 0.87
203, 0.92
204, 0.83
205, 0.63
206, 1.29
207, 0.56
208, 0.79
209, 0.68
210, 0.47
211, 0.78
212, 0.92
213, 0.69
214, 1.38
215, 0.60
216, 0.37
217, 1.30
218, 1.06
219, 0.59
220, 1.21
221, 0.74
222, 0.53
223, 0.64
224, 0.52
225, 1.23
226, 0.72
227, 0.40
228, 1.05
229, 0.76
230, 1.34
231, 0.45
232, 0.64
233, 1.12
234, 1.31
235, 0.91
236, 1.29
237, 1.01
238, 0.87
239, 0.69
240, 0.50
241, 0.88
