read, delay
1, 1.10
2, 0.74
3, 0.95
4, 1.01
5, 0.88
6, 0.85
7, 0.44
8, 0.92
9, 0.62
10, 0.44
11, 1.07
12, 0.70
13, 0.84
14, 1.22
15, 0.75
16, 1.22
17, 0.58
18, 1.12
19, 1.22
20, 1.22
21, 0.60
22, 0.81
23, 1.02
24, 1.63
25, 1.12
26, 1.24
27, 0.58
28, 1.30
29, 0.92
30, 0.73
31, 1.37
32, 0.46
33, 0.75
34, 1.34
35, 0.64
36, 0.96
37, 0.57
38, 0.46
39, 1.40
40, 0.97
41, 0.57
42, 0.65
43, 1.45
44, 0.68
45, 0.56
46, 1.08
47, 0.56
48, 1.02
49, 0.62
50, 1.23
51, 1.33
52, 0.93
53, 0.90
54, 1.14
55, 1.07
56, 0.55
57, 0.76
58, 1.39
59, 0.81
60, 0.83
61, 0.45
62, 0.76
63, 0.77
64, 1.08
65, 0.65
66, 0.57
67, 1.28
68, 1.32
69, 0.75
70, 0.37
71, 0.92
72, 0.57
73, 1.01
74, 0.35
75, 0.72
76, 0.70
77, 0.86
78, 0.63
79, 0.98
80, 0.83
81, 0.82
82, 1.24
83, 0.60
84, 1.24
85, 1.34
86, 1.32
87, 0.69
88, 1.33
89, 0.36
90, 1.00
91, 0.71
92, 0.33
93, 1.11
94, 0.52
95, 1.12
96, 0.31
97, 1.34
98, 0.83
99, 0.47
100, 0.95
101, 1.05
102, 0.99
103, 0.80
104, 0.48
105, 0.50
106, 0.64
107, 1.31
108, 1.17
109, 1.08
110, 0.71
111, 0.85
112, 1.28
113, 0.46
114, 0.38
115, 0.71
116, 0.42
117, 0.92
118, 0.56
119, 0.44
120, 0.64
121, 0.93
122, 0.71
123, 0.85
124, 0.64
125, 0.94
126, 0.86
127, 1.29
128, 0.96
129, 1.81
130, 1.13
131, 0.93
132, 0.88
133, 1.13
134, 1.00
135, 0.92
136, 0.87
137, 1.18
138, 0.77
139, 0.45
140, 0.92
141, 1.20
142, 0.38
143, 1.23
144, 1.04
145, 1.16
146, 0.69
147, 0.96
148, 1.01
149, 1.16
150, 0.94
151, 1.20
152, 0.80
153, 0.48
154, 1.08
155, 0.64
156, 1.14
157, 0.44
158, 1.21
159, 0.72
160, 1.37
161, 0.90
162, 1.19
163, 1.24
164, 1.18
165, 0.94
166, 0.54
167, 1.05
168, 0.76
169, 0.72
170, 0.81
171, 0.88
172, 0.87
173, 0.97
174, 1.33
175, 0.45
176, 0.56
177, 0.76
178, 0.70
179, 1.17
180, 0.84
181, 0.78
182, 0.96
183, 0.80
184, 1.30
185, 0.73
186, 0.63
187, 0.88
188, 0.32
189, 0.89
190, 0.80
191, 0.50
192, 0.91
193, 1.31
194, 0.98
195, 1.62
196, 0.61
197, 1.09
198, 1.12
199, 1.32
200, 0.61
201, 0.80
202, 1.07
203, 1.23
204, 1.12
205, 0.80
206, 1.02
207, 0.44
208, 1.36
209, 0.76
210, 0.78
211, 0.42
212, 1.21
213, 0.41
214, 0.44
215, 0.82
216, 0.66
217, 0.47
218, 0.56
219, 1.11
220, 0.96
221, 0.45
222, 0.35
223, 0.46
224, 0.76
225, 0.62
226, 1.21
227, 0.43
228, 1.11
229, 1.24
230, 0.72
231, 1.35
232, 0.61
233, 0.98
234, 0.98
235, 1.29
236, 0.86
237, 0.66
238, 0.78
239, 1.45
240, 0.54
241, 1.30
242, 1.05
243, 0.92
244, 0.81
245, 1.27
246, 0.48
247, 0.54
248, 0.81
249, 0.67
250, 0.46
251, 1.27
252, 0.91
253, 0.88
254, 0.52
255, 1.31
256, 0.92
257, 1.29
258, 1.73
259, 1.11
260, 0.73
261, 0.57
262, 0.53
263, 0.42
264, 1.16
265, 0.44
266, 0.87
267, 0.96
268, 0.59
269, 1.33
270, 0.82
271, 0.83
272, 0.38
273, 1.19
274, 1.12
275, 1.16
276, 0.52
277, 0.95
278, 1.42
279, 0.96
280, 0.81
281, 1.22
282, 0.51
283, 1.11
284, 0.94
285, 0.52
286, 1.35
287, 1.36
288, 1.18
289, 0.68
290, 0.85
291, 0.76
292, 1.31
293, 1.32
294, 1.06
295, 0.82
296, 1.10
297, 0.77
298, 0.64
299, 1.16
300, 0.66
301, 1.25
302, 1.04
303, 1.41
304, 0.70
305, 1.13
306, 0.45
307, 0.45
308, 0.81
309, 0.70
310, 0.66
311, 0.65
312, 1.34
313, 0.69
314, 1.43
315, 0.76
316, 0.40
317, 1.22
318, 1.16
319, 1.36
320, 0.59
321, 0.47
322, 0.98
323, 0.71
324, 1.16
325, 0.66
326, 0.77
327, 1.31
328, 0.48
329, 0.58
330, 1.18
331, 1.32
332, 0.89
333, 0.95
334, 1.01
335, 1.14
336, 1.10
337, 1.32
338, 1.34
339, 0.65
340, 0.80
341, 1.59
342, 0.53
343, 0.39
344, 1.42
345, 0.50
346, 0.48
347, 0.83
348, 1.19
349, 0.92
350, 1.11
351, 0.95
352, 1.20
353, 0.98
354, 1.02
355, 1.14
356, 0.97
357, 0.49
358, 0.55
359, 0.67
360, 1.16
361, 0.37
362, 1.18
363, 1.29
364, 1.08
365, 0.52
366, 0.45
367, 0.69
368, 1.06
369, 1.32
370, 0.40
371, 0.42
372, 0.56
373, 1.42
374, 0.65
375, 0.37
376, 1.01
377, 1.24
378, 0.48
379, 0.99
380, 1.23
381, 1.05
382, 1.02
383, 0.56
384, 0.70
385, 1.25
386, 1.18
387, 1.36
388, 0.37
389, 0.64
390, 1.14
391, 1.00
392, 1.00
393, 0.43
394, 0.92
395, 1.30
396, 0.80
397, 1.30
398, 0.65
399, 1.35
400, 0.98
401, 0.91
402, 0.54
403, 0.58
404, 1.17
405, 1.01
406, 0.94
407, 1.28
408, 1.21
409, 1.26
410, 1.11
411, 0.80
412, 1.32
413, 0.89
414, 1.08
415, 0.46
416, 1.31
417, 1.08
418, 0.81
419, 0.87
420, 0.93
421, 1.08
422, 0.72
423, 1.11
424, 1.00
425, 0.54
426, 0.48
427, 1.23
428, 0.80
429, 1.06
430, 0.98
431, 1.33
432, 0.48
433, 0.39
434, 0.69
435, 0.61
436, 1.28
437, 0.92
438, 0.43
439, 0.94
440, 1.13
441, 1.22
442, 0.75
443, 0.95
444, 0.48
445, 0.92
446, 0.87
447, 0.75
448, 0.84
449, 0.55
450, 1.21
451, 2.04
452, 0.60
453, 0.94
454, 0.40
455, 1.29
456, 1.17
457, 0.81
458, 0.42
459, 1.01
460, 0.84
461, 0.78
462, 1.30
463, 0.65
464, 0.46
465, 0.50
466, 0.38
467, 1.13
468, 1.10
469, 0.69
470, 1.18
471, 1.31
472, 0.96
473, 0.66
474, 0.83
475, 1.27
476, 1.26
477, 1.28
478, 0.65
479, 0.71
480, 1.01
481, 0.62
482, 1.22
483, 0.67
484, 0.82
485, 0.71
486, 0.69
487, 0.69
488, 0.99
489, 0.90
490, 0.76
491, 1.34
492, 0.89
493, 0.36
494, 0.66
495, 0.40
496, 0.38
497, 0.58
498, 0.83
499, 0.62
500, 1.18
501, 0.68
502, 1.41
503, 1.02
504, 1.31
505, 0.80
506, 0.71
507, 1.00
508, 0.36
509, 1.19
510, 1.41
511, 1.38
512, 0.98
513, 0.81
514, 1.32
515, 1.08
516, 0.87
517, 0.48
518, 0.64
519, 1.25
520, 0.57
521, 0.94
522, 0.65
523, 0.70
524, 0.66
525, 0.70
526, 0.63
527, 1.29
528, 1.17
529, 1.06
530, 0.90
531, 0.37
532, 1.44
533, 0.58
534, 0.78
535, 1.32
536, 1.27
537, 0.70
538, 0.40
539, 1.26
540, 1.06
541, 1.20
542, 0.78
543, 1.20
544, 1.22
545, 0.54
546, 1.08
547, 1.06
548, 1.11
549, 0.40
550, 0.82
551, 1.07
552, 0.77
553, 0.78
554, 1.17
555, 0.73
556, 0.38
557, 0.82
558, 1.06
559, 0.94
560, 0.78
561, 1.30
562, 0.49
563, 0.35
564, 0.36
565, 0.91
566, 1.18
567, 1.10
568, 1.31
569, 1.30
570, 0.94
571, 1.07
572, 0.90
573, 0.70
574, 1.97
575, 0.74
576, 0.96
577, 1.03
578, 0.72
579, 1.28
580, 1.36
581, 0.76
582, 1.00
583, 1.23
584, 1.20
585, 1.05
586, 0.88
587, 0.48
588, 1.03
589, 1.11
590, 0.74
591, 0.60
592, 1.07
593, 1.08
594, 0.75
595, 1.94
596, 1.18
597, 0.70
598, 0.48
599, 0.66
600, 0.88
601, 0.72
602, 1.11
603, 1.25
604, 0.78
605, 0.89
606, 1.24
607, 1.37
608, 0.65
609, 0.38
610, 1.02
611, 0.87
612, 0.82
613, 1.13
614, 1.06
615, 0.70
616, 1.38
617, 1.15
618, 0.49
619, 0.52
620, 1.20
621, 0.38
622, 0.60
623, 1.09
624, 0.74
625, 1.09
626, 0.78
627, 0.91
628, 1.24
629, 0.93
630, 0.66
631, 1.18
632, 1.12
633, 0.56
634, 0.44
635, 1.15
636, 0.74
637, 0.33
638, 1.36
639, 1.24
640, 1.02
641, 0.84
642, 0.40
643, 1.18
644, 0.64
645, 1.26
646, 1.04
647, 0.50
648, 0.49
649, 1.17
650, 0.78
651, 1.04
652, 1.06
653, 0.82
654, 1.08
655, 1.24
656, 1.21
657, 1.05
658, 1.27
659, 1.36
660, 1.12
661, 1.15
662, 0.48
663, 0.79
664, 1.16
665, 0.38
666, 0.74
667, 0.78
668, 0.36
669, 0.76
670, 0.71
671, 0.66
672, 0.98
673, 1.24
674, 0.78
675, 0.71
676, 0.77
677, 0.40
678, 1.14
679, 0.54
680, 1.52
681, 1.17
682, 0.86
683, 0.70
684, 0.71
685, 1.09
686, 0.90
687, 0.36
688, 0.54
689, 1.18
690, 0.73
691, 0.65
692, 0.97
693, 1.35
694, 0.45
695, 0.39
696, 1.06
697, 1.15
698, 1.22
699, 0.74
700, 1.01
701, 1.58
702, 1.10
703, 1.27
704, 1.22
705, 0.38
706, 1.25
707, 1.05
708, 1.24
709, 0.61
710, 1.28
711, 0.34
712, 1.24
713, 0.31
714, 0.48
715, 0.88
716, 1.30
717, 0.42
718, 0.66
719, 0.69
720, 0.70
721, 1.26
722, 0.96
723, 1.34
724, 1.54
725, 1.32
726, 0.67
727, 1.08
728, 0.79
729, 1.23
730, 1.28
731, 1.28
732, 0.95
733, 0.38
734, 0.88
735, 0.68
736, 1.00
737, 0.42
738, 1.27
739, 0.71
740, 1.05
741, 1.30
742, 0.37
743, 1.15
744, 1.09
745, 1.00
746, 0.98
747, 1.28
748, 1.32
749, 0.45
750, 0.35
751, 1.30
752, 0.40
753, 0.61
754, 0.48
755, 1.24
756, 0.90
757, 1.11
758, 1.38
759, 0.32
760, 0.79
761, 0.88
762, 1.29
763, 0.44
764, 0.63
765, 0.98
766, 0.98
767, 0.51
768, 0.38
769, 1.14
770, 1.04
771, 1.38
772, 1.44
773, 0.72
774, 0.80
775, 1.20
776, 0.46
777, 1.22
778, 0.65
779, 1.00
780, 0.91
781, 1.29
782, 1.18
783, 0.58
784, 0.76
785, 0.51
786, 0.46
787, 0.90
788, 0.83
789, 1.21
790, 1.00
791, 0.58
792, 1.09
793, 1.07
794, 1.00
795, 1.23
796, 1.15
797, 0.66
798, 0.71
799, 1.29
800, 0.59
801, 1.28
802, 0.87
803, 0.88
804, 1.10
805, 0.83
806, 0.92
807, 0.50
808, 1.35
809, 0.58
810, 0.62
811, 0.55
812, 0.36
813, 0.44
814, 1.09
815, 1.36
816, 1.02
817, 1.08
818, 0.66
819, 1.33
820, 0.54
821, 0.92
822, 0.50
823, 0.54
824, 0.79
825, 0.70
826, 0.55
827, 0.71
828, 1.01
829, 1.08
830, 0.92
831, 0.80
832, 0.65
833, 1.39
834, 0.38
835, 0.94
836, 0.78
837, 0.50
838, 1.16
839, 0.86
840, 1.25
841, 1.09
842, 0.50
843, 0.82
844, 0.82
845, 1.34
846, 0.92
847, 1.10
848, 0.72
849, 0.59
850, 0.61
851, 1.16
852, 0.91
853, 0.92
854, 0.52
855, 0.56
856, 1.26
857, 1.98
858, 0.40
859, 0.83
860, 0.80
861, 1.08
862, 0.64
863, 1.35
864, 0.66
865, 1.22
866, 1.08
867, 0.99
868, 0.90
869, 1.26
870, 1.18
871, 0.63
872, 0.84
873, 0.98
874, 1.06
875, 1.03
876, 1.40
877, 0.94
878, 0.65
879, 0.99
880, 0.87
881, 0.47
882, 0.59
883, 0.70
884, 0.62
885, 1.13
886, 0.32
887, 0.86
888, 0.74
889, 1.26
890, 0.83
891, 0.70
892, 0.66
893, 0.64
894, 0.58
895, 0.76
896, 1.26
897, 1.22
898, 0.92
899, 0.48
900, 0.64
901, 1.04
902, 0.84
903, 0.58
904, 1.26
905, 0.80
906, 0.66
907, 0.82
908, 0.69
909, 0.94
910, 1.29
911, 0.55
912, 0.76
913, 0.40
914, 0.49
915, 0.58
916, 0.32
917, 1.05
918, 0.73
919, 1.02
920, 0.85
921, 1.16
922, 1.40
923, 0.76
924, 1.42
925, 0.52
926, 0.47
927, 1.20
928, 1.21
929, 1.12
930, 0.42
931, 0.46
932, 0.69
933, 0.75
934, 0.98
935, 0.94
936, 0.51
937, 0.81
938, 0.90
939, 0.86
940, 0.54
941, 0.38
942, 0.98
943, 0.52
944, 1.09
945, 0.76
946, 0.94
947, 0.66
948, 0.55
949, 0.77
950, 1.32
951, 1.00
952, 1.28
953, 0.84
954, 0.70
955, 0.46
956, 0.97
957, 1.35
958, 1.33
959, 0.49
960, 0.47
961, 0.62
962, 1.33
963, 0.76
964, 0.85
965, 0.95
966, 0.40
967, 0.76
968, 1.43
969, 0.66
970, 1.02
971, 0.77
972, 0.98
973, 1.32
974, 0.42
975, 0.75
976, 0.80
977, 0.70
978, 1.34
979, 0.54
980, 0.70
981, 0.57
982, 0.80
983, 0.49
984, 0.59
985, 1.34
986, 0.86
987, 0.51
988, 1.22
989, 0.84
990, 1.28
991, 0.43
992, 0.44
993, 0.48
994, 0.74
995, 0.54
996, 0.66
997, 0.37
998, 0.98
999, 0.78
1000, 1.28
1001, 0.86
1002, 1.02
1003, 0.90
1004, 1.14
1005, 1.07
1006, 0.82
1007, 0.47
1008, 0.81
1009, 0.40
1010, 1.16
1011, 1.32
1012, 0.42
1013, 1.30
1014, 1.15
1015, 0.75
1016, 0.38
1017, 0.66
1018, 0.72
1019, 0.72
1020, 0.84
1021, 0.36
1022, 1.25
1023, 1.20
1024, 1.34
1025, 0.46
1026, 0.96
1027, 0.71
1028, 0.69
1029, 0.51
1030, 0.76
1031, 0.67
1032, 0.91
1033, 0.65
