read, delay
1, 1.22
2, 1.30
3, 0.55
4, 1.05
5, 0.98
6, 0.70
7, 0.66
8, 0.92
9, 1.20
10, 0.46
11, 0.64
12, 0.96
13, 1.13
14, 0.88
15, 0.96
16, 0.59
17, 1.38
18, 1.02
19, 0.52
20, 0.50
21, 0.64
22, 0.42
23, 0.56
24, 1.14
25, 0.50
26, 0.78
27, 1.11
28, 1.21
29, 0.82
30, 0.80
31, 1.28
32, 1.28
33, 0.84
34, 0.80
35, 0.37
36, 0.49
37, 1.22
38, 0.72
39, 0.92
40, 0.76
41, 0.64
42, 1.22
43, 0.75
44, 1.17
45, 1.22
46, 1.21
47, 0.59
48, 0.54
49, 1.32
50, 1.13
51, 1.25
52, 0.50
53, 0.96
54, 0.86
55, 0.41
56, 0.38
57, 0.81
58, 1.16
59, 0.45
60, 0.51
61, 0.82
62, 1.05
63, 1.00
64, 0.94
65, 0.91
66, 1.20
67, 1.27
68, 0.38
69, 0.76
70, 0.95
71, 1.39
72, 1.18
73, 0.72
74, 0.82
75, 1.15
76, 0.87
77, 1.00
78, 0.59
79, 1.09
80, 0.92
81, 1.34
82, 0.72
83, 1.09
84, 0.81
85, 1.40
86, 1.34
87, 0.78
88, 1.20
89, 1.26
90, 1.26
91, 0.94
92, 1.14
93, 1.11
94, 0.55
95, 1.25
96, 0.92
97, 0.66
98, 0.40
99, 0.93
100, 0.43
101, 1.31
102, 0.52
103, 1.21
104, 1.01
105, 0.98
106, 0.80
107, 1.28
108, 0.56
109, 0.46
110, 1.36
111, 1.01
112, 0.94
113, 0.99
114, 1.25
115, 0.46
116, 1.13
117, 0.69
118, 0.68
119, 0.79
120, 1.06
121, 1.26
122, 1.32
123, 1.09
124, 1.13
125, 1.33
126, 0.51
127, 0.57
128, 0.54
129, 1.51
130, 1.08
131, 1.06
132, 0.71
133, 0.79
134, 0.81
135, 0.68
136, 1.03
137, 1.18
138, 1.06
139, 1.01
140, 0.54
141, 0.86
142, 0.78
143, 1.19
144, 0.58
145, 1.02
146, 1.17
147, 0.56
148, 0.62
149, 1.25
150, 0.64
151, 0.85
152, 0.53
153, 0.78
154, 1.34
155, 1.28
156, 0.40
157, 1.26
158, 1.35
159, 1.36
160, 1.34
161, 1.22
162, 0.67
163, 0.47
164, 0.44
165, 0.80
166, 1.37
167, 0.73
168, 1.11
169, 1.92
170, 1.03
171, 1.26
172, 0.62
173, 0.98
174, 0.90
175, 0.93
176, 0.90
177, 0.89
178, 0.45
179, 0.48
180, 1.29
181, 1.01
182, 0.88
183, 0.54
184, 0.85
185, 0.50
186, 1.28
187, 1.02
188, 0.81
189, 0.74
190, 0.80
191, 0.74
192, 0.84
193, 0.78
194, 0.46
195, 0.62
196, 0.66
197, 1.06
198, 0.78
199, 1.36
200, 0.79
201, 1.13
202, 0.87
203, 0.80
204, 0.58
205, 0.87
206, 0.70
207, 1.66
208, 0.64
209, 0.73
210, 1.43
211, 0.64
212, 1.44
213, 1.22
214, 0.92
215, 1.32
216, 1.16
217, 1.08
218, 1.32
219, 0.80
220, 1.35
221, 0.37
222, 1.10
223, 0.82
224, 1.12
225, 0.90
226, 0.90
227, 1.08
228, 0.79
229, 0.84
230, 0.92
231, 0.81
232, 0.36
233, 1.18
234, 0.59
235, 1.04
236, 0.80
237, 0.61
238, 1.33
239, 1.14
240, 0.84
241, 0.91
242, 0.76
243, 1.36
244, 0.62
245, 1.16
246, 0.70
247, 0.66
248, 1.13
249, 0.42
250, 1.16
251, 1.28
252, 1.28
253, 0.85
254, 0.54
255, 1.24
256, 0.84
257, 0.53
258, 0.98
259, 1.28
260, 0.58
261, 1.33
262, 0.36
263, 1.33
264, 0.66
265, 0.78
266, 1.06
267, 0.65
268, 1.37
269, 0.70
270, 0.90
271, 1.14
272, 1.09
