read, delay
1, 0.96
2, 1.33
3, 0.75
4, 1.64
5, 1.08
6, 1.74
7, 1.02
8, 1.66
9, 1.38
10, 0.93
11, 0.94
12, 1.57
13, 0.55
14, 1.06
15, 1.11
16, 1.19
17, 0.73
18, 0.71
19, 0.74
20, 0.53
21, 1.42
22, 0.70
23, 1.13
24, 0.98
25, 1.46
26, 1.33
27, 0.84
28, 1.44
29, 1.55
30, 1.49
31, 1.31
32, 1.62
33, 0.68
34, 1.53
35, 1.36
36, 0.78
37, 0.99
38, 0.78
39, 1.26
40, 1.79
41, 1.30
42, 1.32
43, 1.32
44, 1.23
45, 1.02
46, 0.91
47, 1.18
48, 1.61
49, 1.46
50, 1.23
51, 0.75
52, 1.32
53, 1.62
54, 1.36
55, 1.20
56, 1.32
57, 1.52
58, 1.46
59, 0.94
60, 1.43
61, 1.34
62, 1.08
63, 1.86
64, 1.30
65, 1.20
66, 0.85
67, 0.81
68, 1.16
69, 1.19
70, 0.87
71, 0.87
72, 1.82
73, 0.88
74, 1.75
75, 1.17
76, 0.97
77, 1.48
78, 1.79
79, 1.68
80, 0.70
81, 1.44
82, 1.14
83, 0.70
84, 0.94
85, 0.38
86, 1.50
87, 0.69
88, 0.56
89, 1.17
90, 1.53
91, 0.91
92, 0.81
93, 1.54
94, 1.03
95, 1.46
96, 0.74
97, 1.68
98, 0.54
99, 1.48
100, 1.65
101, 0.76
102, 1.15
103, 0.85
104, 1.35
105, 1.54
106, 0.76
107, 1.58
108, 1.24
109, 0.86
110, 0.70
111, 0.85
112, 1.02
113, 1.76
114, 0.57
115, 1.64
116, 1.06
117, 0.99
118, 1.07
119, 1.07
120, 1.50
121, 1.11
122, 1.38
123, 1.55
124, 0.98
125, 1.05
126, 1.22
127, 1.44
128, 0.86
129, 1.38
130, 1.04
131, 1.14
132, 0.97
133, 0.87
134, 0.80
135, 1.11
136, 1.43
137, 1.42
138, 1.66
139, 0.94
140, 1.60
141, 1.41
142, 1.52
143, 0.97
144, 1.30
145, 1.30
146, 1.03
147, 1.84
148, 1.35
149, 1.06
150, 1.05
151, 1.30
152, 0.93
153, 0.76
154, 1.29
155, 0.46
156, 1.41
157, 1.45
158, 1.66
159, 0.98
160, 1.68
161, 0.89
162, 1.58
163, 0.86
164, 1.10
165, 0.90
166, 1.26
167, 1.43
168, 1.86
169, 1.07
170, 1.19
171, 1.08
172, 1.04
173, 1.58
174, 0.62
