read, delay
1, 2.75
2, 2.55
3, 3.35
4, 1.45
5, 1.72
6, 2.02
7, 2.98
8, 1.85
9, 2.38
10, 2.24
11, 2.42
12, 3.04
13, 1.78
14, 1.81
15, 2.09
16, 2.46
17, 2.50
18, 2.42
19, 1.86
20, 1.93
21, 2.13
22, 2.72
23, 2.08
24, 2.61
25, 3.32
26, 3.29
27, 1.90
28, 2.48
29, 1.95
30, 2.00
31, 2.62
32, 1.39
33, 2.79
34, 2.69
35, 1.53
36, 1.79
37, 1.86
38, 2.36
39, 2.54
40, 1.90
41, 1.92
42, 2.20
43, 2.51
44, 1.28
45, 2.80
46, 3.01
47, 1.76
48, 1.84
49, 2.13
50, 1.91
51, 2.29
52, 2.23
53, 2.94
54, 2.82
55, 2.80
56, 2.70
57, 2.80
58, 2.22
59, 2.45
60, 2.47
61, 2.84
62, 1.23
63, 1.89
64, 3.32
65, 3.26
66, 1.56
67, 1.94
68, 2.03
69, 2.72
70, 1.98
71, 2.07
72, 2.49
73, 2.40
74, 2.52
75, 2.37
76, 2.85
77, 3.12
78, 3.26
79, 1.66
80, 1.80
81, 1.72
82, 2.51
83, 1.99
84, 2.48
85, 2.52
86, 2.07
87, 2.39
88, 2.54
89, 2.42
90, 2.43
91, 3.00
92, 1.63
93, 2.60
94, 2.66
95, 2.55
96, 3.03
97, 3.30
98, 1.51
99, 1.45
100, 2.32
101, 3.65
102, 1.70
103, 2.32
104, 2.19
105, 2.68
106, 1.89
107, 1.98
108, 2.07
109, 2.67
110, 3.00
111, 2.96
112, 2.54
113, 3.44
114, 2.05
115, 2.46
116, 2.53
117, 1.90
118, 1.91
119, 2.70
120, 2.78
121, 2.92
122, 1.62
123, 3.14
124, 3.06
125, 1.84
126, 2.37
127, 2.22
128, 2.30
129, 2.51
130, 2.59
131, 2.90
132, 1.68
133, 2.58
134, 3.17
135, 3.17
136, 1.64
137, 1.90
138, 2.35
139, 1.85
140, 2.16
141, 2.66
142, 2.56
143, 2.46
144, 2.59
145, 2.74
146, 2.40
147, 2.88
148, 3.29
149, 1.66
150, 1.65
151, 1.57
152, 1.56
153, 2.86
154, 3.44
155, 3.36
156, 1.72
157, 1.60
158, 1.79
159, 1.79
160, 1.68
161, 1.86
162, 1.74
163, 1.76
164, 2.40
165, 2.75
166, 2.75
167, 2.31
168, 2.30
169, 2.64
170, 2.86
171, 2.99
172, 2.85
173, 2.05
174, 2.37
175, 2.33
176, 2.90
177, 1.30
178, 2.55
179, 3.31
180, 3.26
181, 2.15
182, 1.94
183, 2.78
184, 1.58
185, 2.06
186, 1.82
187, 2.16
188, 2.50
189, 2.54
190, 1.25
191, 2.52
192, 3.28
193, 2.10
194, 2.44
195, 2.88
196, 2.72
197, 1.38
198, 1.79
199, 1.84
200, 2.54
201, 2.27
202, 2.46
203, 3.03
204, 2.33
