read, delay
1, 1.00
2, 1.08
3, 1.34
4, 0.82
5, 0.75
6, 0.47
7, 0.44
8, 0.69
9, 0.98
10, 1.23
11, 0.44
12, 0.75
13, 0.92
14, 0.69
15, 0.75
16, 1.40
17, 1.18
18, 0.84
19, 1.33
20, 1.26
21, 0.46
22, 1.24
23, 1.36
24, 0.98
25, 1.36
26, 0.64
27, 0.94
28, 1.10
29, 0.69
30, 0.69
31, 1.15
32, 1.13
33, 0.72
34, 0.66
35, 1.23
36, 1.35
37, 1.10
38, 0.62
39, 0.81
40, 0.64
41, 0.53
42, 1.09
43, 0.64
44, 1.08
45, 1.11
46, 1.13
47, 0.50
48, 0.46
49, 1.25
50, 1.06
51, 1.17
52, 0.42
53, 0.92
54, 0.79
55, 1.37
56, 1.33
57, 0.78
58, 1.14
59, 0.45
60, 0.53
61, 0.82
62, 1.05
63, 1.02
64, 0.98
65, 0.93
66, 1.24
67, 1.30
68, 0.41
69, 0.78
70, 1.02
71, 0.43
72, 1.21
73, 0.78
74, 0.90
75, 1.23
76, 0.94
77, 1.08
78, 0.69
79, 1.21
80, 1.00
81, 0.44
82, 0.84
83, 1.21
84, 0.94
85, 0.52
86, 0.46
87, 0.89
88, 1.34
89, 1.38
90, 0.40
91, 1.08
92, 1.30
93, 1.26
94, 0.72
95, 1.44
96, 1.11
97, 0.85
98, 0.62
99, 1.12
100, 0.62
101, 0.53
102, 0.75
103, 1.44
104, 1.23
105, 1.21
106, 1.03
107, 0.52
108, 0.78
109, 0.69
110, 0.60
111, 1.26
112, 1.20
113, 1.22
114, 0.50
115, 0.73
116, 1.40
117, 0.95
118, 0.94
119, 1.05
120, 1.32
121, 1.52
122, 0.58
123, 1.36
124, 1.38
125, 0.61
126, 0.80
127, 0.86
128, 0.84
129, 0.81
130, 1.38
131, 1.36
132, 1.02
133, 1.12
134, 1.12
135, 0.99
136, 1.34
137, 0.50
138, 0.40
139, 1.33
140, 0.86
141, 1.18
142, 1.12
143, 0.53
144, 0.93
145, 0.37
146, 0.52
147, 0.92
148, 0.97
149, 0.60
150, 0.99
151, 1.22
152, 0.90
153, 1.15
154, 0.71
155, 0.66
156, 0.75
157, 0.63
158, 0.72
159, 0.72
160, 0.73
161, 0.60
162, 1.08
163, 0.87
164, 0.85
165, 1.20
166, 0.78
