read, delay
1, 1.40
2, 0.99
3, 1.09
4, 1.40
5, 1.14
6, 0.60
7, 1.01
8, 1.19
9, 0.82
10, 0.46
11, 1.17
12, 0.47
13, 0.83
14, 1.42
15, 1.38
16, 1.50
17, 1.27
18, 0.70
19, 0.58
20, 0.52
21, 1.08
22, 1.18
23, 1.37
24, 0.62
25, 1.40
26, 0.82
27, 0.46
28, 1.43
29, 0.55
30, 1.02
31, 0.80
32, 0.93
33, 1.37
34, 1.05
35, 1.12
36, 0.81
37, 1.33
38, 1.30
39, 1.18
40, 1.00
41, 1.28
42, 0.82
43, 1.26
44, 0.47
45, 1.26
46, 1.36
47, 1.40
48, 0.56
49, 1.09
50, 1.40
51, 1.46
52, 1.21
53, 1.28
54, 0.88
55, 0.50
56, 1.06
57, 0.83
58, 0.63
59, 1.51
60, 1.38
61, 0.81
62, 0.44
63, 0.92
64, 0.76
65, 0.81
66, 0.76
67, 0.73
68, 1.26
69, 0.60
70, 1.24
71, 0.62
72, 1.12
73, 1.26
74, 1.08
75, 0.90
76, 0.98
77, 0.41
78, 0.56
79, 1.10
80, 1.34
81, 0.64
82, 0.46
83, 1.25
84, 1.50
85, 0.47
86, 0.66
87, 0.67
88, 1.20
89, 0.78
90, 1.21
91, 0.68
92, 0.46
93, 1.12
94, 1.43
95, 1.18
96, 1.41
97, 1.40
98, 1.26
99, 0.88
100, 0.50
101, 0.52
102, 0.60
103, 0.56
104, 1.41
105, 0.71
106, 0.61
107, 0.66
108, 1.37
109, 0.48
110, 0.78
111, 0.93
112, 0.88
113, 0.75
114, 1.44
115, 1.48
116, 0.40
117, 0.48
118, 1.42
119, 0.61
120, 0.99
121, 1.46
122, 0.64
123, 0.78
124, 1.00
125, 0.84
126, 1.27
127, 1.09
128, 0.52
129, 0.44
130, 0.59
131, 1.46
132, 1.16
133, 1.07
134, 1.04
135, 0.74
136, 1.52
137, 1.04
138, 1.00
139, 0.58
140, 0.67
141, 1.36
142, 1.17
143, 1.45
144, 1.45
145, 1.32
146, 0.84
147, 0.72
148, 0.54
149, 1.11
