read, delay
1, 1.96
2, 2.00
3, 2.56
4, 1.56
5, 2.12
6, 1.66
7, 1.70
8, 2.09
9, 2.42
10, 1.52
11, 1.79
12, 2.04
13, 1.54
14, 2.32
15, 2.42
16, 1.64
17, 1.68
18, 2.56
19, 2.42
20, 1.49
21, 2.30
22, 2.18
23, 2.16
24, 1.78
25, 2.27
26, 1.66
27, 2.29
28, 1.93
29, 2.39
30, 2.33
31, 2.66
32, 1.88
33, 1.76
34, 2.08
35, 1.80
36, 1.73
37, 2.70
38, 2.18
39, 1.72
40, 2.27
41, 2.09
42, 1.80
43, 1.74
44, 2.27
45, 1.71
46, 2.17
47, 2.38
48, 1.98
49, 1.59
50, 1.76
51, 1.73
52, 2.37
53, 2.15
54, 2.43
55, 2.08
56, 2.80
57, 1.73
58, 1.64
59, 2.36
60, 2.53
61, 1.86
62, 2.08
63, 2.31
64, 1.81
65, 1.42
66, 2.42
67, 1.80
68, 2.23
69, 1.80
70, 2.44
71, 2.25
72, 1.76
73, 1.79
74, 1.96
75, 1.39
76, 2.16
77, 2.47
78, 2.46
79, 2.45
80, 2.58
81, 2.20
82, 2.18
83, 2.66
84, 2.03
85, 2.33
86, 2.39
87, 2.24
88, 2.35
89, 1.72
90, 1.99
91, 1.56
92, 2.69
93, 2.02
94, 2.10
95, 1.81
96, 2.38
97, 2.54
98, 2.14
99, 2.30
100, 2.55
101, 2.32
102, 2.28
103, 1.77
104, 2.43
105, 1.82
106, 2.56
107, 2.30
108, 1.50
109, 2.00
110, 2.45
111, 2.28
112, 1.63
113, 1.65
114, 2.47
115, 1.82
116, 2.18
117, 1.90
118, 1.58
119, 2.14
120, 1.91
121, 2.27
122, 1.68
123, 2.32
124, 2.32
125, 2.39
126, 2.34
127, 1.49
128, 1.71
129, 2.28
130, 1.67
131, 1.73
132, 2.36
133, 1.36
134, 1.98
135, 2.54
136, 1.92
137, 2.50
138, 1.47
139, 2.52
140, 2.58
141, 2.43
142, 2.30
143, 2.32
144, 2.09
145, 2.21
146, 2.38
147, 1.87
148, 2.12
149, 2.22
150, 1.72
151, 2.48
152, 1.37
153, 1.78
154, 2.40
155, 2.35
156, 2.21
157, 2.16
158, 2.42
159, 2.15
160, 2.33
161, 2.44
162, 1.78
163, 2.36
164, 1.80
165, 1.79
166, 1.76
167, 2.36
168, 2.38
169, 2.10
170, 1.92
171, 2.62
172, 2.25
173, 1.35
174, 2.00
175, 1.54
176, 2.15
177, 2.14
178, 1.74
179, 2.41
180, 1.91
181, 2.31
182, 2.19
183, 2.37
184, 2.03
185, 1.60
186, 1.66
187, 1.86
188, 1.87
189, 2.16
190, 2.30
191, 1.88
192, 1.74
193, 2.29
194, 2.07
195, 2.23
196, 2.29
197, 2.42
198, 2.40
199, 2.12
200, 2.29
201, 2.42
202, 2.34
203, 1.92
204, 2.54
205, 2.17
206, 1.73
207, 1.60
208, 2.62
209, 1.63
210, 2.44
211, 1.78
212, 2.35
213, 2.48
214, 2.34
215, 2.34
216, 2.20
217, 2.38
218, 2.36
219, 2.34
220, 1.84
221, 2.28
222, 2.52
223, 2.43
224, 1.44
225, 2.45
226, 2.05
227, 1.78
228, 1.67
229, 1.71
230, 2.56
231, 1.78
232, 2.02
233, 1.98
234, 2.11
235, 1.86
236, 2.56
237, 2.00
238, 1.66
239, 2.17
240, 2.58
241, 1.92
242, 2.19
243, 2.12
244, 1.87
245, 2.38
246, 2.13
247, 1.80
248, 2.30
249, 2.25
250, 2.19
251, 2.44
252, 2.02
253, 1.92
254, 1.90
255, 2.76
256, 1.54
257, 2.70
258, 2.26
259, 1.83
260, 2.38
261, 1.77
262, 1.64
263, 2.27
264, 2.31
265, 2.16
266, 1.76
267, 2.05
268, 2.06
269, 2.26
270, 2.52
271, 2.22
272, 2.28
273, 2.28
274, 2.26
275, 2.29
276, 2.35
277, 1.73
278, 1.81
279, 2.26
280, 2.52
281, 1.81
282, 1.93
283, 1.91
284, 2.34
285, 2.37
286, 2.24
287, 2.10
288, 1.74
289, 1.89
290, 2.08
291, 1.98
292, 2.68
293, 1.75
294, 1.86
295, 1.67
296, 2.20
297, 1.47
298, 1.68
299, 2.00
300, 1.68
301, 1.63
302, 2.20
303, 2.14
304, 2.25
305, 1.39
306, 1.97
307, 2.32
308, 1.64
309, 1.76
310, 1.80
311, 1.67
312, 2.14
313, 2.00
314, 2.21
315, 2.80
316, 1.75
317, 2.12
318, 1.71
319, 2.26
320, 1.42
321, 1.72
322, 2.11
323, 1.66
324, 2.48
325, 2.77
326, 2.06
327, 1.66
328, 2.57
329, 2.10
330, 2.50
331, 1.89
332, 1.85
333, 1.80
334, 2.10
335, 2.26
336, 1.92
337, 2.34
338, 1.77
339, 2.05
340, 2.41
341, 1.78
342, 2.38
343, 2.04
344, 2.01
345, 1.78
346, 1.94
347, 2.44
348, 1.50
349, 2.45
350, 2.28
351, 2.56
352, 2.23
353, 2.24
354, 2.46
355, 2.03
356, 1.57
357, 2.18
358, 1.97
359, 1.40
360, 2.62
361, 2.28
362, 2.00
363, 1.69
364, 2.63
365, 1.94
366, 1.55
367, 2.17
368, 1.77
369, 2.02
370, 2.64
371, 1.36
372, 2.12
373, 1.83
374, 2.06
375, 1.81
376, 2.40
377, 1.69
378, 2.36
379, 1.54
380, 2.24
381, 1.81
382, 1.65
383, 2.31
384, 1.81
385, 2.10
386, 2.46
387, 2.06
388, 2.22
389, 2.38
390, 2.43
391, 1.49
392, 2.57
393, 1.93
394, 1.79
395, 1.56
396, 2.07
397, 2.07
398, 1.97
399, 2.15
400, 2.30
401, 1.92
402, 1.75
403, 1.96
404, 2.32
405, 1.73
406, 2.02
407, 2.10
408, 2.44
409, 1.41
410, 1.62
411, 2.50
412, 2.51
413, 1.55
414, 2.30
415, 1.66
416, 2.18
417, 1.97
418, 2.30
419, 1.66
420, 2.26
421, 1.73
422, 2.27
423, 2.10
424, 1.82
425, 2.23
426, 2.59
427, 1.52
428, 1.47
429, 2.25
430, 2.44
431, 2.15
432, 2.52
433, 2.32
434, 2.36
435, 1.56
436, 1.76
437, 2.12
438, 2.56
439, 2.03
440, 1.77
441, 1.90
442, 1.96
443, 1.84
444, 2.39
445, 2.28
446, 1.68
447, 1.71
448, 1.91
449, 2.20
450, 1.98
451, 2.47
452, 2.00
453, 1.96
454, 1.81
455, 2.21
456, 2.14
457, 2.45
458, 1.87
459, 1.82
460, 1.89
461, 2.28
462, 2.39
463, 2.31
464, 1.69
465, 1.62
466, 2.29
467, 2.30
468, 2.37
469, 2.20
470, 1.99
471, 1.56
472, 2.54
473, 2.49
474, 2.10
475, 2.52
476, 1.97
477, 2.09
478, 1.76
479, 2.22
480, 2.63
481, 2.32
482, 2.11
483, 2.27
484, 2.20
485, 2.08
486, 2.56
487, 2.08
488, 1.69
489, 1.47
490, 2.54
491, 2.17
492, 2.44
493, 1.38
494, 2.16
495, 1.76
496, 1.96
497, 1.86
498, 2.49
499, 1.58
500, 1.78
501, 2.07
502, 1.94
503, 2.58
504, 1.93
505, 1.93
506, 1.79
507, 1.73
508, 1.72
509, 2.26
510, 1.75
511, 2.13
512, 1.54
513, 1.80
514, 1.83
515, 1.76
516, 2.00
517, 1.92
518, 1.54
519, 1.93
520, 2.06
521, 1.78
522, 1.64
523, 2.46
524, 2.34
525, 2.14
526, 2.49
527, 2.46
528, 1.99
529, 2.04
530, 1.60
531, 2.64
532, 1.80
533, 2.06
534, 2.36
535, 1.83
536, 2.71
537, 2.12
538, 1.48
539, 2.03
540, 2.36
541, 2.22
542, 2.17
543, 2.15
544, 1.43
545, 2.19
546, 1.50
547, 2.07
548, 1.50
549, 2.37
550, 1.83
551, 1.82
552, 2.16
553, 2.41
554, 2.41
555, 1.92
556, 1.68
557, 2.13
558, 2.68
559, 2.01
560, 2.37
561, 2.11
562, 2.32
563, 1.93
564, 1.80
565, 1.86
566, 1.50
567, 2.40
568, 1.64
569, 1.65
570, 1.56
571, 2.43
572, 2.47
573, 1.85
574, 2.39
575, 1.78
576, 2.74
577, 2.54
578, 1.56
579, 1.67
580, 2.03
581, 1.44
582, 2.00
583, 2.24
584, 1.67
585, 2.53
586, 2.20
587, 1.99
588, 1.74
589, 2.11
590, 1.98
591, 2.00
592, 2.42
593, 1.61
594, 2.32
595, 2.38
596, 2.55
597, 1.59
598, 1.69
599, 1.70
600, 2.54
601, 2.15
602, 1.80
603, 1.91
604, 2.39
605, 2.27
606, 2.52
607, 2.64
608, 2.59
609, 2.49
610, 2.45
611, 1.80
612, 1.88
613, 1.63
614, 2.32
615, 1.78
616, 2.53
617, 1.51
618, 2.10
619, 2.07
620, 1.76
621, 1.41
622, 2.00
623, 2.03
624, 2.34
625, 1.51
626, 2.14
627, 2.40
628, 2.07
629, 1.58
630, 1.96
631, 2.05
632, 1.80
633, 2.30
634, 1.69
635, 1.95
636, 2.06
637, 1.42
638, 1.74
639, 2.08
640, 2.14
641, 1.55
642, 2.22
643, 2.08
644, 2.20
645, 1.88
646, 2.11
647, 1.76
648, 2.62
649, 2.32
650, 2.33
651, 2.48
652, 2.07
653, 1.57
654, 2.16
655, 1.96
656, 2.32
657, 2.38
658, 1.89
659, 2.17
660, 2.27
661, 1.76
662, 2.24
663, 1.84
664, 1.69
665, 2.46
666, 2.06
667, 2.41
668, 1.64
669, 2.59
670, 1.88
671, 1.47
672, 2.13
673, 2.50
674, 2.08
675, 1.82
676, 1.77
677, 1.77
678, 2.59
679, 2.44
680, 1.94
681, 1.70
682, 2.07
683, 2.06
684, 2.16
685, 1.98
686, 1.83
687, 1.82
688, 2.56
689, 2.24
690, 2.30
691, 1.92
692, 2.56
693, 2.50
694, 1.86
695, 2.28
696, 2.50
697, 2.09
698, 1.89
699, 1.95
700, 2.40
701, 1.68
702, 2.39
703, 2.66
704, 2.18
705, 2.36
706, 2.13
707, 1.87
708, 2.28
709, 2.34
710, 1.78
711, 1.49
712, 1.98
713, 1.96
714, 2.59
715, 2.16
716, 2.07
717, 1.44
718, 2.30
719, 1.52
720, 1.79
721, 2.18
722, 1.83
723, 1.49
724, 1.84
725, 2.30
726, 2.20
727, 1.90
728, 2.45
729, 2.41
730, 2.05
731, 2.06
732, 1.88
733, 2.30
734, 1.46
735, 1.86
736, 1.78
737, 1.76
738, 1.67
739, 1.62
740, 1.69
741, 2.06
742, 2.43
743, 2.20
744, 1.70
745, 2.45
746, 2.08
747, 1.37
748, 2.18
749, 2.12
750, 2.50
751, 1.50
752, 1.47
753, 1.82
754, 2.15
755, 2.33
756, 2.20
757, 2.12
758, 2.52
759, 1.74
760, 2.01
761, 2.04
762, 2.07
763, 1.82
764, 1.67
765, 2.02
766, 1.81
767, 1.90
768, 1.90
769, 2.25
770, 2.60
771, 2.10
772, 1.78
773, 1.73
774, 2.63
775, 2.78
776, 1.74
777, 1.61
778, 1.82
779, 2.26
780, 2.54
781, 2.38
782, 2.22
783, 2.32
784, 1.59
785, 2.50
786, 2.72
787, 1.57
788, 1.48
789, 1.47
790, 1.70
791, 1.88
792, 2.65
793, 1.68
794, 1.56
795, 2.61
796, 2.24
797, 2.13
798, 1.59
799, 1.52
800, 2.64
801, 2.05
802, 1.84
803, 1.89
804, 1.65
805, 2.12
806, 1.61
807, 2.05
808, 2.37
809, 2.65
810, 1.78
811, 2.19
812, 2.42
813, 1.62
814, 2.16
815, 1.98
816, 2.01
817, 2.53
818, 1.89
819, 2.01
820, 2.16
821, 2.48
822, 1.53
823, 2.34
824, 1.42
825, 2.15
826, 2.09
827, 1.89
828, 2.04
829, 2.38
830, 2.47
831, 2.46
832, 2.17
833, 1.72
834, 1.75
835, 2.52
836, 2.26
837, 1.58
838, 2.52
839, 2.40
840, 2.48
841, 1.68
842, 2.33
843, 2.37
844, 2.11
845, 2.24
846, 2.62
847, 2.22
848, 2.31
849, 2.33
850, 1.82
851, 1.89
852, 2.82
853, 2.14
854, 2.29
855, 2.08
856, 1.78
857, 1.80
858, 2.17
859, 2.33
860, 2.46
861, 2.38
862, 1.78
863, 2.09
864, 1.68
865, 1.54
866, 2.49
867, 2.01
868, 1.75
869, 1.56
870, 2.20
871, 1.88
872, 1.60
873, 2.32
874, 2.00
875, 2.24
876, 2.24
877, 2.32
878, 2.18
879, 1.62
880, 1.94
881, 2.36
882, 1.62
883, 1.68
884, 2.14
885, 2.20
886, 1.85
887, 1.76
888, 1.96
889, 1.64
890, 1.84
891, 1.65
892, 1.67
893, 1.45
894, 2.07
895, 2.34
896, 1.74
897, 2.24
898, 1.70
