read, delay
1, 1.95
2, 1.54
3, 1.99
4, 2.54
5, 2.14
6, 2.72
7, 1.82
8, 2.10
9, 2.43
10, 1.89
11, 2.08
12, 2.04
13, 1.93
14, 2.56
15, 2.38
16, 2.27
17, 2.42
18, 1.75
19, 2.48
20, 2.35
21, 1.52
22, 1.90
23, 2.08
24, 1.88
25, 2.24
26, 2.36
27, 1.99
28, 2.24
29, 2.58
30, 1.87
31, 1.80
32, 2.39
33, 2.18
34, 2.66
35, 2.13
36, 2.33
37, 1.74
38, 1.93
39, 2.62
40, 2.01
41, 1.66
42, 1.73
43, 1.88
44, 2.62
45, 2.22
46, 2.29
47, 1.51
48, 2.54
49, 2.04
50, 2.06
51, 2.38
52, 2.27
53, 2.62
54, 1.84
55, 2.02
56, 1.74
57, 2.13
58, 2.27
59, 1.79
60, 2.19
61, 2.45
62, 2.10
63, 2.39
64, 2.38
65, 1.86
66, 1.85
67, 1.72
68, 1.50
69, 1.58
70, 2.24
71, 2.02
72, 2.64
73, 1.82
74, 1.77
75, 2.01
76, 2.34
77, 2.10
78, 1.75
79, 2.16
80, 1.99
81, 1.82
82, 2.34
83, 2.32
84, 1.99
85, 1.84
86, 2.16
87, 1.84
88, 2.40
89, 2.04
90, 2.06
91, 2.30
92, 2.26
93, 2.25
94, 1.75
95, 2.02
96, 2.27
97, 2.08
98, 2.58
99, 1.69
100, 2.16
101, 1.64
102, 2.62
103, 1.70
104, 2.11
105, 2.48
106, 2.30
107, 1.99
108, 1.99
109, 1.86
110, 2.24
111, 2.21
112, 1.82
113, 2.29
114, 1.57
115, 2.50
116, 1.49
117, 2.24
118, 1.76
119, 2.38
120, 2.07
121, 1.83
122, 2.08
123, 1.62
124, 2.40
125, 1.83
126, 2.33
127, 1.48
128, 1.94
129, 1.80
130, 1.58
131, 2.26
132, 2.16
133, 2.02
134, 2.23
135, 1.70
136, 2.48
137, 1.91
138, 1.71
139, 1.86
140, 1.64
141, 2.24
142, 1.70
143, 2.66
144, 2.02
145, 1.60
146, 2.32
147, 1.81
148, 1.86
149, 2.63
150, 2.02
151, 1.72
152, 1.93
153, 2.17
154, 2.70
155, 2.17
156, 1.85
157, 1.66
158, 1.90
159, 1.90
160, 2.13
161, 1.88
162, 2.12
163, 2.60
164, 2.28
165, 2.13
166, 1.79
167, 2.21
168, 2.15
169, 2.68
170, 2.40
171, 1.67
172, 1.79
173, 2.43
174, 2.45
175, 2.24
176, 1.69
177, 1.82
178, 2.03
179, 2.42
180, 1.52
181, 2.35
182, 2.06
183, 2.45
184, 2.37
185, 1.42
186, 2.01
187, 1.96
188, 1.80
189, 2.19
190, 2.29
191, 2.23
192, 1.89
193, 1.86
194, 1.73
195, 1.91
196, 1.79
197, 2.41
198, 2.11
199, 2.08
200, 2.41
201, 1.90
202, 2.59
203, 2.21
204, 2.71
205, 2.28
206, 1.76
207, 1.89
208, 2.29
209, 2.25
210, 1.92
211, 2.16
212, 2.18
213, 2.36
214, 2.03
215, 2.15
216, 1.98
217, 2.41
218, 1.82
219, 1.44
220, 1.97
221, 2.12
222, 2.60
223, 1.92
224, 2.32
225, 2.17
226, 2.29
227, 1.70
228, 1.89
229, 2.23
230, 2.28
231, 1.69
232, 2.68
233, 1.87
234, 2.04
235, 1.68
236, 2.72
237, 1.88
238, 1.66
239, 1.84
240, 2.01
241, 2.77
242, 2.08
243, 1.70
244, 1.79
245, 1.75
246, 1.91
247, 2.26
248, 1.78
249, 1.98
250, 1.86
251, 2.16
252, 2.16
253, 2.54
254, 2.26
255, 2.48
256, 1.60
257, 1.80
258, 1.65
259, 2.48
260, 2.56
261, 1.80
262, 1.82
263, 1.66
264, 2.53
265, 2.28
266, 2.42
267, 1.67
268, 2.61
269, 2.05
270, 1.59
271, 2.54
272, 2.29
273, 2.66
274, 1.70
275, 2.37
276, 2.33
277, 2.56
278, 2.32
279, 2.17
280, 2.22
281, 1.88
282, 1.69
283, 2.06
284, 2.70
285, 2.43
286, 2.08
287, 2.29
288, 2.14
289, 2.68
290, 2.08
291, 1.70
292, 2.07
293, 2.34
294, 2.64
295, 1.79
296, 1.68
297, 2.44
298, 2.28
299, 2.24
300, 1.68
301, 2.26
302, 1.92
303, 1.67
304, 2.12
305, 2.29
306, 2.08
307, 1.49
308, 2.06
309, 2.19
310, 2.17
311, 1.46
312, 2.42
313, 2.08
314, 2.49
315, 2.19
316, 1.76
317, 2.09
318, 2.02
319, 2.30
320, 1.75
321, 2.13
322, 2.24
323, 2.42
324, 2.00
325, 2.05
326, 2.43
327, 2.37
328, 2.24
329, 2.22
330, 2.49
331, 1.74
332, 2.42
333, 2.10
334, 1.92
335, 1.96
336, 1.85
337, 1.97
338, 2.66
339, 1.57
340, 1.93
341, 2.55
342, 1.85
343, 2.13
344, 2.24
345, 2.36
346, 2.45
347, 1.99
348, 2.05
349, 1.94
350, 2.03
351, 2.19
352, 2.11
353, 1.91
354, 1.80
355, 2.64
356, 1.89
357, 2.08
358, 2.01
359, 2.12
360, 2.28
361, 1.76
362, 2.21
363, 2.45
364, 2.27
365, 1.56
366, 2.02
367, 1.81
368, 2.41
369, 2.24
370, 2.69
371, 2.54
372, 2.25
373, 1.79
374, 2.12
375, 2.33
376, 1.40
377, 1.98
378, 1.72
379, 1.88
380, 1.70
381, 2.14
382, 2.32
383, 2.23
384, 2.22
385, 2.48
386, 2.10
387, 1.69
388, 2.18
389, 2.00
390, 1.80
391, 2.63
392, 1.92
393, 1.56
394, 2.44
395, 1.98
396, 1.87
397, 1.80
398, 2.00
399, 1.94
400, 2.23
401, 1.39
402, 2.12
403, 1.69
404, 2.48
405, 2.20
