read, delay
1, 1.79
2, 1.36
3, 1.85
4, 1.39
5, 1.98
6, 1.56
7, 1.67
8, 1.95
9, 2.26
10, 1.70
11, 1.91
12, 1.90
13, 1.80
14, 2.39
15, 2.21
16, 2.12
17, 2.25
18, 2.58
19, 2.32
20, 2.17
21, 2.36
22, 1.76
23, 1.90
24, 1.74
25, 2.07
26, 2.17
27, 1.82
28, 2.06
29, 2.42
30, 2.70
31, 1.65
32, 2.19
33, 2.01
34, 2.49
35, 1.93
36, 2.14
37, 2.56
38, 1.76
39, 2.44
40, 1.86
41, 2.50
42, 1.57
43, 1.69
44, 1.45
45, 2.06
46, 2.14
47, 2.37
48, 2.37
49, 1.90
50, 1.88
51, 2.22
52, 2.10
53, 1.46
54, 2.68
55, 1.87
56, 2.59
57, 1.97
58, 2.12
59, 1.62
60, 2.06
61, 2.31
62, 1.94
63, 2.22
64, 2.25
65, 1.72
66, 1.68
67, 2.55
68, 2.36
69, 2.42
70, 2.10
71, 1.86
72, 1.51
73, 2.69
74, 1.62
75, 1.90
76, 2.20
77, 1.97
78, 1.63
79, 2.04
80, 1.88
81, 2.68
82, 2.23
83, 2.18
84, 1.83
85, 2.72
86, 2.01
87, 2.72
88, 2.22
89, 1.90
90, 1.91
91, 2.15
92, 2.13
93, 2.07
94, 2.57
95, 1.89
96, 2.13
97, 1.90
98, 2.44
99, 1.56
100, 2.04
101, 1.50
102, 1.48
103, 2.58
104, 1.98
105, 2.35
106, 2.18
107, 1.88
108, 1.89
109, 1.74
110, 2.13
111, 2.10
112, 1.69
113, 2.18
114, 2.46
115, 1.40
116, 2.35
117, 2.12
118, 1.61
119, 2.27
120, 1.97
121, 1.73
122, 1.96
123, 1.52
124, 2.27
125, 1.70
126, 2.20
127, 2.39
128, 1.82
129, 2.69
130, 1.47
131, 2.16
132, 2.05
133, 1.91
134, 2.12
135, 2.59
136, 2.35
137, 1.81
138, 1.60
139, 1.77
140, 1.55
141, 2.14
142, 1.56
143, 2.55
144, 1.91
145, 2.50
146, 2.22
147, 1.69
148, 1.78
149, 2.53
150, 1.94
151, 2.64
152, 1.81
153, 2.07
154, 1.60
155, 2.06
156, 1.73
157, 2.57
158, 1.80
159, 1.79
160, 2.01
161, 1.72
162, 2.00
163, 1.48
164, 2.14
165, 2.01
166, 1.67
167, 2.06
168, 2.01
169, 1.56
170, 2.28
171, 1.55
172, 1.68
173, 2.30
174, 2.32
175, 2.10
176, 2.54
177, 1.71
178, 1.91
179, 2.28
180, 2.36
181, 2.20
182, 1.91
183, 2.28
184, 2.22
185, 2.26
186, 1.86
187, 1.83
188, 1.64
189, 2.02
190, 2.12
191, 2.10
192, 1.74
193, 1.69
194, 1.56
195, 2.75
196, 1.61
197, 2.25
198, 1.96
199, 1.92
200, 2.28
201, 2.74
202, 2.44
203, 2.06
204, 1.59
205, 2.11
206, 1.62
207, 1.74
208, 2.15
209, 2.10
210, 1.77
211, 2.02
212, 2.04
213, 2.24
214, 1.90
215, 2.01
216, 1.85
217, 2.29
218, 2.68
219, 2.29
220, 1.83
221, 2.00
222, 2.44
223, 1.77
224, 2.19
225, 2.04
226, 2.14
227, 1.56
228, 2.71
229, 2.08
230, 2.12
231, 2.56
232, 1.56
233, 1.71
234, 1.92
235, 2.54
236, 1.52
237, 1.70
238, 1.52
239, 2.67
240, 1.84
241, 2.64
242, 1.94
243, 2.57
244, 1.65
245, 1.63
246, 1.75
247, 2.11
248, 2.62
249, 1.82
250, 2.70
251, 2.02
252, 2.00
253, 2.37
254, 2.11
255, 2.32
256, 1.45
257, 1.64
258, 1.52
259, 2.36
260, 1.42
261, 1.64
262, 1.66
263, 2.51
264, 2.38
265, 2.14
266, 2.28
267, 2.53
268, 2.47
269, 1.92
270, 2.45
271, 1.39
272, 2.16
273, 1.55
274, 2.51
275, 2.22
276, 2.19
277, 2.41
278, 2.18
279, 2.02
280, 2.08
281, 1.72
282, 2.54
283, 1.89
284, 2.56
285, 2.27
286, 1.94
287, 2.16
288, 1.98
289, 2.53
290, 1.92
291, 2.56
292, 1.92
293, 2.19
294, 2.50
295, 1.61
296, 2.52
297, 2.28
298, 2.14
299, 2.09
300, 2.53
301, 2.09
302, 1.74
303, 1.51
304, 1.97
305, 2.13
306, 1.94
307, 2.31
308, 1.87
309, 2.02
310, 2.01
311, 2.30
312, 2.26
313, 1.88
314, 2.32
315, 2.00
316, 2.59
317, 1.93
318, 1.83
319, 2.09
320, 1.56
321, 1.93
322, 2.05
323, 2.24
324, 1.80
325, 1.85
326, 2.25
327, 2.18
328, 2.04
329, 2.00
330, 2.28
331, 1.55
332, 2.24
333, 1.89
334, 1.72
335, 1.76
336, 2.64
337, 1.77
338, 2.47
339, 2.39
340, 1.76
341, 2.37
342, 1.66
343, 1.94
344, 2.04
345, 2.15
346, 2.24
347, 1.77
348, 1.86
349, 1.72
350, 1.83
351, 2.00
352, 1.92
353, 1.75
354, 2.60
355, 1.46
356, 1.72
357, 1.88
358, 1.82
359, 1.92
360, 2.09
361, 2.59
362, 2.02
363, 2.28
364, 2.08
365, 2.38
366, 1.86
367, 1.62
368, 2.26
369, 2.07
370, 2.53
371, 2.40
372, 2.09
373, 1.64
374, 2.00
375, 2.16
376, 2.27
377, 1.85
378, 2.58
379, 1.70
380, 2.57
381, 2.00
382, 2.17
383, 2.08
384, 2.09
385, 2.34
386, 1.98
387, 2.55
388, 2.05
389, 1.84
390, 2.63
391, 1.48
392, 1.76
393, 2.44
394, 2.30
395, 1.83
396, 1.73
397, 1.67
398, 1.86
399, 1.80
400, 2.07
401, 2.23
402, 1.96
403, 2.55
404, 2.33
405, 2.05
406, 1.59
407, 2.62
408, 2.14
409, 1.76
410, 2.00
411, 2.12
412, 2.37
413, 2.44
414, 1.93
415, 2.54
416, 2.08
417, 2.16
418, 1.98
419, 1.82
420, 1.78
421, 2.52
422, 2.31
423, 1.83
424, 1.76
425, 2.43
426, 2.20
427, 1.81
428, 1.88
429, 2.66
430, 2.00
431, 1.95
432, 1.78
433, 2.23
434, 2.18
435, 1.56
436, 1.78
437, 2.02
438, 2.22
439, 1.59
440, 2.05
441, 1.44
442, 1.80
443, 1.87
444, 2.14
445, 1.89
446, 2.26
447, 2.50
448, 2.31
449, 1.67
450, 1.75
451, 2.17
452, 1.67
453, 2.18
454, 1.61
455, 1.74
456, 2.22
457, 2.61
458, 2.34
459, 2.23
460, 2.14
461, 2.48
462, 2.28
463, 1.91
464, 1.66
465, 1.86
466, 2.21
467, 2.59
468, 1.43
469, 2.28
470, 1.68
471, 2.36
472, 2.11
473, 1.96
474, 1.53
475, 1.81
476, 1.51
477, 2.16
478, 1.40
479, 2.52
480, 2.14
481, 2.19
482, 1.95
483, 2.45
484, 2.34
485, 2.31
486, 2.10
487, 1.56
488, 2.12
489, 2.76
490, 1.52
491, 2.58
492, 1.89
493, 2.52
494, 1.64
495, 2.30
496, 2.23
497, 2.25
498, 2.13
499, 1.58
500, 2.00
501, 2.21
502, 1.95
503, 1.62
504, 2.11
505, 2.29
506, 2.36
507, 2.34
508, 1.63
509, 2.58
510, 1.59
511, 2.40
512, 1.82
513, 2.29
514, 2.12
515, 1.76
516, 2.20
517, 1.60
518, 2.08
519, 1.75
520, 2.04
521, 2.56
522, 1.88
523, 2.56
524, 2.27
525, 2.52
526, 1.43
527, 2.58
528, 1.59
529, 2.40
530, 2.23
531, 2.37
532, 2.38
533, 1.48
534, 2.06
535, 1.93
536, 2.23
537, 1.68
538, 2.04
539, 2.31
540, 2.05
541, 2.28
542, 1.90
543, 2.26
544, 2.07
545, 2.20
546, 2.01
547, 1.84
548, 2.00
549, 1.89
550, 2.42
551, 1.88
552, 2.30
553, 1.70
554, 2.40
555, 1.70
556, 2.28
557, 2.16
558, 2.55
559, 2.24
560, 2.14
561, 1.66
562, 2.43
563, 2.44
564, 1.78
565, 1.88
566, 2.21
567, 2.70
568, 1.97
569, 2.64
570, 2.15
571, 1.74
572, 2.32
573, 2.32
574, 2.15
575, 2.41
576, 1.77
577, 2.60
578, 2.07
579, 1.82
580, 1.63
581, 1.74
582, 1.70
583, 2.17
584, 1.82
585, 1.99
586, 1.66
587, 1.74
588, 2.19
589, 1.75
590, 2.38
591, 1.72
592, 1.78
593, 2.27
594, 2.06
595, 2.64
596, 1.92
597, 1.90
598, 1.67
599, 2.04
600, 2.08
601, 1.72
602, 2.26
603, 2.26
604, 2.33
605, 2.36
606, 2.62
607, 2.24
608, 2.56
609, 2.03
610, 1.95
611, 2.55
612, 1.52
613, 1.82
614, 2.03
615, 1.81
616, 2.10
617, 2.47
618, 2.26
619, 2.13
620, 1.45
621, 1.71
622, 2.26
623, 2.50
624, 2.21
625, 2.55
626, 1.40
627, 2.52
628, 1.97
629, 2.05
630, 1.93
631, 2.58
632, 2.10
633, 2.46
634, 1.83
635, 1.82
636, 2.52
637, 2.19
638, 1.77
639, 1.84
640, 2.57
641, 2.31
642, 2.32
643, 1.77
644, 2.08
645, 1.46
646, 2.40
647, 1.90
648, 1.90
649, 2.38
650, 2.07
651, 1.77
652, 2.56
653, 1.39
654, 2.24
655, 1.89
656, 2.50
657, 2.36
658, 2.20
659, 1.78
660, 2.00
661, 1.91
662, 1.98
663, 1.61
664, 2.20
665, 2.18
666, 1.80
667, 1.59
668, 2.12
669, 2.17
670, 2.06
671, 2.35
672, 2.51
673, 2.40
674, 1.52
675, 2.01
676, 2.26
677, 2.08
678, 2.02
679, 2.46
680, 1.82
681, 1.82
682, 2.21
683, 2.12
684, 1.88
685, 1.59
686, 2.45
687, 2.37
688, 2.66
689, 2.54
690, 2.09
691, 1.66
692, 1.85
693, 2.20
694, 1.63
695, 1.92
696, 2.25
697, 1.86
698, 1.45
699, 1.92
700, 2.29
701, 2.07
702, 1.44
703, 2.26
704, 2.20
705, 2.24
706, 2.16
707, 2.70
708, 1.52
709, 1.92
710, 1.72
711, 2.34
712, 2.00
713, 2.18
714, 1.66
715, 2.39
716, 2.32
717, 2.11
718, 1.68
719, 1.96
720, 2.29
721, 2.53
722, 2.43
723, 2.10
724, 1.81
725, 1.70
726, 1.60
727, 2.10
728, 1.80
729, 1.75
730, 1.59
731, 1.83
732, 1.78
733, 2.36
734, 1.68
735, 2.08
736, 2.09
737, 1.63
738, 2.58
739, 2.55
740, 2.23
741, 2.05
742, 2.20
743, 1.80
744, 1.83
745, 2.42
746, 1.58
747, 1.71
748, 1.74
749, 2.08
750, 1.82
751, 1.76
752, 2.21
753, 1.95
754, 1.61
755, 1.75
756, 2.51
757, 2.26
