read, delay
1, 1.13
2, 0.82
3, 0.88
4, 0.93
5, 1.32
6, 1.20
7, 1.06
8, 1.00
9, 1.28
10, 0.89
11, 0.98
12, 1.59
13, 0.74
14, 0.92
15, 1.22
16, 1.57
17, 0.71
18, 0.74
19, 1.12
20, 1.11
21, 1.09
22, 1.16
23, 1.08
24, 1.39
25, 0.86
26, 1.38
27, 1.09
28, 0.82
29, 1.37
30, 0.58
31, 1.36
32, 1.20
33, 0.86
34, 0.75
35, 0.99
36, 0.86
37, 1.32
38, 0.79
39, 0.80
40, 0.81
41, 1.05
42, 1.38
43, 1.18
44, 1.32
45, 1.34
46, 1.11
47, 1.48
48, 0.89
49, 1.05
50, 0.70
51, 0.70
52, 0.96
53, 1.22
54, 0.66
55, 0.67
56, 0.52
57, 1.52
58, 1.50
59, 0.92
60, 0.90
61, 0.88
62, 1.14
63, 0.83
64, 0.56
65, 0.89
66, 1.52
67, 1.39
68, 0.55
69, 0.68
70, 0.98
71, 1.31
72, 0.72
73, 1.16
74, 1.48
75, 1.49
76, 0.82
77, 1.14
78, 1.03
79, 1.29
80, 1.49
81, 0.83
82, 0.87
83, 1.41
84, 1.30
85, 0.84
86, 0.86
87, 1.63
88, 0.92
89, 0.90
90, 1.38
91, 1.13
92, 0.78
93, 1.32
94, 0.77
95, 1.54
96, 1.44
97, 1.37
98, 1.10
99, 0.72
100, 0.94
101, 0.79
102, 1.18
103, 1.26
104, 0.87
105, 0.78
106, 1.36
107, 1.30
108, 0.72
109, 0.84
110, 0.92
111, 0.64
112, 0.96
113, 0.76
114, 1.00
115, 1.18
116, 1.30
117, 0.68
118, 1.51
119, 0.70
120, 1.37
121, 0.85
122, 1.22
123, 1.04
124, 1.37
125, 1.22
126, 1.16
127, 1.26
128, 1.14
129, 0.50
130, 1.04
131, 1.45
132, 1.40
133, 1.30
134, 1.36
135, 1.23
136, 1.29
137, 1.02
138, 0.89
139, 1.34
140, 1.45
141, 1.32
142, 0.58
143, 1.05
144, 0.72
145, 1.08
146, 1.49
147, 0.64
148, 1.00
149, 0.77
150, 1.21
151, 0.81
152, 1.43
153, 1.44
154, 1.60
155, 1.00
156, 0.91
157, 1.66
158, 1.08
159, 0.97
160, 0.91
161, 1.25
162, 1.56
163, 0.91
164, 1.42
165, 1.06
166, 1.06
167, 0.56
168, 0.56
169, 0.84
170, 0.67
171, 0.46
172, 1.62
173, 1.23
174, 1.32
175, 0.44
176, 0.75
177, 0.82
178, 1.08
179, 0.92
180, 1.36
181, 1.40
182, 1.08
183, 1.42
184, 0.66
185, 0.86
186, 1.42
187, 1.56
188, 1.45
189, 1.40
190, 1.29
191, 1.11
192, 1.12
193, 1.58
194, 1.51
195, 1.08
196, 1.26
197, 0.72
198, 1.42
199, 1.21
200, 0.70
201, 1.23
202, 0.78
203, 0.98
204, 1.49
205, 0.81
206, 0.76
207, 1.33
208, 0.69
209, 1.15
210, 1.06
211, 1.02
212, 1.26
213, 1.00
214, 1.44
215, 1.38
216, 0.68
217, 1.62
218, 1.31
219, 0.54
220, 1.57
221, 0.85
222, 0.95
223, 1.16
224, 1.48
225, 0.98
226, 0.78
227, 0.76
228, 1.00
229, 1.30
230, 0.82
231, 1.19
232, 1.37
233, 0.83
234, 1.35
235, 1.14
236, 0.52
237, 1.34
238, 1.31
239, 0.64
240, 1.17
241, 1.41
242, 1.60
243, 1.09
244, 0.72
245, 1.33
246, 1.46
247, 1.38
248, 0.54
249, 0.68
250, 1.10
251, 0.72
252, 1.08
253, 1.35
254, 0.86
255, 0.59
256, 0.78
257, 0.90
258, 1.34
259, 1.48
260, 1.02
261, 0.98
262, 0.86
263, 1.09
264, 0.94
265, 1.17
266, 0.59
267, 1.55
268, 1.16
269, 0.66
270, 1.39
271, 0.64
272, 1.31
273, 1.26
274, 1.06
275, 0.82
276, 1.01
277, 1.66
278, 0.83
279, 1.21
280, 0.96
281, 1.00
282, 1.07
283, 1.09
284, 0.98
285, 1.66
286, 1.49
287, 0.76
288, 1.38
289, 1.06
290, 1.36
291, 0.78
292, 1.14
293, 0.75
294, 1.21
295, 0.85
296, 0.62
297, 0.91
298, 0.80
299, 1.38
300, 1.02
301, 1.00
302, 1.07
303, 0.92
304, 1.15
305, 0.90
306, 0.96
307, 0.45
308, 1.22
309, 1.11
310, 1.48
311, 1.40
312, 0.88
313, 0.90
314, 1.05
315, 1.32
316, 0.92
317, 0.61
318, 1.34
319, 0.95
320, 1.39
321, 1.42
322, 1.11
323, 1.56
324, 0.92
325, 1.14
326, 0.97
327, 1.06
328, 1.25
329, 1.25
330, 0.70
331, 1.16
332, 1.40
333, 1.02
334, 1.43
335, 0.90
336, 1.45
337, 0.87
338, 1.05
339, 1.07
340, 0.72
341, 1.57
342, 0.96
343, 1.01
344, 1.20
345, 1.33
346, 0.85
347, 1.28
348, 1.19
349, 0.86
350, 1.20
351, 0.93
352, 0.70
353, 0.76
354, 0.99
355, 1.11
356, 1.30
357, 1.00
358, 1.38
359, 0.74
360, 1.62
361, 1.08
362, 0.52
363, 1.38
364, 1.38
365, 1.24
366, 1.10
367, 1.40
368, 1.06
369, 1.21
370, 1.36
371, 1.33
372, 1.36
373, 1.41
374, 0.75
375, 1.35
376, 0.95
377, 1.26
378, 1.46
379, 0.96
380, 1.13
381, 0.78
382, 1.33
383, 1.20
