read, delay
1, 1.28
2, 1.48
3, 1.85
4, 1.38
5, 1.34
6, 2.10
7, 2.14
8, 1.38
9, 1.92
10, 1.21
11, 2.02
12, 1.83
13, 1.18
14, 1.45
15, 1.74
16, 1.80
17, 2.00
18, 1.00
19, 1.74
20, 1.64
21, 1.73
22, 1.34
23, 1.67
24, 1.62
25, 1.73
26, 1.76
27, 1.89
28, 1.22
29, 1.16
30, 1.14
31, 1.35
32, 1.53
33, 1.28
34, 0.94
35, 1.15
36, 0.96
37, 1.34
38, 1.85
39, 0.96
40, 2.23
41, 1.50
42, 0.92
43, 1.38
44, 1.41
45, 1.94
46, 1.30
47, 2.05
48, 2.20
49, 1.55
50, 1.62
51, 2.09
52, 1.14
53, 1.12
54, 1.36
55, 1.11
56, 1.24
57, 2.19
58, 1.23
59, 1.56
60, 1.39
61, 1.41
62, 1.83
63, 1.48
64, 1.61
65, 1.86
66, 1.72
67, 2.07
68, 1.53
69, 2.02
70, 1.89
71, 1.94
72, 1.29
73, 1.67
74, 1.48
75, 1.65
76, 1.27
77, 1.67
78, 1.34
79, 1.26
80, 1.66
81, 1.60
82, 1.66
83, 1.95
84, 1.55
85, 2.12
86, 1.99
87, 1.17
88, 1.26
89, 1.45
90, 1.44
91, 1.27
92, 2.25
93, 2.18
94, 1.97
95, 0.86
96, 1.70
97, 1.71
98, 1.74
99, 1.77
100, 1.51
101, 1.35
102, 1.73
103, 1.62
104, 1.36
105, 1.90
106, 1.20
107, 1.32
108, 2.14
109, 1.22
110, 1.79
111, 1.07
112, 1.94
113, 1.80
114, 1.67
115, 1.63
116, 0.87
117, 1.68
118, 1.43
119, 2.31
120, 0.93
121, 1.74
122, 0.98
123, 1.29
124, 1.37
125, 1.77
126, 1.66
127, 1.55
128, 1.71
129, 1.59
130, 1.11
131, 1.67
132, 1.60
133, 1.09
134, 2.07
135, 1.23
136, 1.53
137, 2.18
138, 1.49
139, 2.01
140, 2.11
141, 1.22
142, 1.39
143, 1.74
144, 1.81
145, 1.18
146, 1.86
147, 1.03
148, 2.18
149, 1.86
150, 1.92
151, 1.56
152, 2.12
153, 1.22
154, 1.97
155, 2.10
156, 1.16
157, 1.57
158, 1.71
159, 1.73
160, 1.66
161, 1.38
162, 1.28
163, 1.56
164, 1.56
165, 1.55
166, 1.36
167, 2.09
168, 1.37
169, 1.48
170, 1.46
171, 1.54
172, 1.82
173, 1.29
174, 2.32
175, 1.56
176, 1.42
177, 0.92
178, 1.38
179, 0.92
180, 1.49
181, 1.59
182, 2.14
183, 2.14
184, 2.02
185, 1.21
186, 1.71
187, 1.61
188, 1.91
189, 1.17
190, 1.36
191, 1.86
192, 1.18
193, 1.26
194, 2.20
195, 1.71
196, 1.34
197, 1.67
198, 1.80
199, 2.22
200, 1.13
201, 1.44
202, 1.38
203, 1.11
204, 1.54
205, 1.49
206, 1.42
207, 0.83
208, 1.51
209, 1.56
210, 1.70
211, 1.60
212, 1.55
213, 1.08
214, 1.18
215, 1.27
216, 1.10
217, 1.60
218, 0.98
219, 2.30
220, 1.58
221, 1.73
222, 2.05
223, 1.76
224, 1.32
225, 1.46
226, 1.37
227, 1.26
228, 1.16
229, 1.08
230, 1.80
231, 2.10
232, 0.83
233, 1.82
234, 1.24
235, 1.36
236, 1.33
237, 1.86
238, 1.90
239, 1.57
240, 1.47
241, 1.09
242, 1.20
243, 1.81
244, 1.20
245, 1.75
246, 0.97
247, 1.02
248, 1.30
249, 1.86
250, 0.98
251, 2.13
252, 1.38
253, 2.19
254, 1.77
255, 2.20
256, 1.42
257, 2.06
258, 0.88
259, 2.02
260, 1.95
261, 1.70
262, 1.78
263, 2.00
264, 1.08
265, 1.84
266, 1.82
267, 1.79
268, 1.62
269, 0.91
270, 1.86
271, 1.97
272, 1.83
273, 1.40
274, 2.06
275, 1.66
276, 2.15
277, 1.59
278, 2.16
279, 2.03
280, 1.27
281, 1.70
282, 1.58
283, 2.06
284, 1.68
285, 1.54
286, 1.58
287, 1.95
288, 1.77
289, 1.41
290, 1.43
291, 1.64
292, 1.33
293, 1.65
294, 1.22
295, 1.18
296, 1.69
297, 1.55
298, 1.41
299, 1.31
300, 1.52
301, 1.73
302, 1.09
303, 1.98
304, 1.58
305, 2.07
306, 1.61
307, 2.11
308, 1.84
309, 1.98
310, 1.57
311, 1.48
312, 1.12
313, 1.75
314, 1.58
315, 1.77
316, 1.28
317, 1.20
318, 1.39
319, 1.94
320, 1.42
321, 1.86
322, 1.24
323, 1.28
324, 1.49
325, 1.00
326, 1.81
327, 1.59
328, 1.04
329, 1.28
330, 2.22
331, 2.21
332, 1.68
333, 1.43
334, 1.95
335, 2.04
336, 1.98
337, 1.24
338, 1.14
339, 1.52
340, 1.94
341, 1.74
342, 1.29
343, 1.41
344, 1.06
345, 1.44
346, 1.95
347, 1.04
348, 1.58
349, 1.70
350, 0.81
351, 1.89
352, 2.07
353, 1.20
354, 1.86
355, 1.18
356, 1.69
357, 1.85
358, 1.94
359, 1.41
360, 1.94
361, 1.41
362, 1.62
363, 1.72
364, 1.62
365, 2.29
366, 1.08
367, 1.76
368, 0.96
369, 0.98
370, 1.73
371, 1.74
372, 2.10
373, 1.66
374, 2.03
375, 2.00
376, 1.96
377, 1.03
378, 1.17
379, 1.44
380, 1.05
381, 1.63
382, 1.17
383, 1.80
384, 1.42
385, 1.10
386, 1.86
387, 1.36
388, 1.74
389, 1.26
390, 1.40
391, 1.96
392, 1.42
393, 1.05
394, 1.33
395, 1.65
396, 1.59
397, 1.13
398, 1.39
399, 1.82
400, 1.45
401, 1.72
402, 1.40
403, 1.06
404, 1.43
405, 1.07
406, 1.78
407, 1.01
408, 1.98
409, 2.08
410, 1.32
411, 1.21
412, 2.02
413, 1.48
414, 1.17
415, 1.48
416, 1.29
417, 1.51
418, 1.64
419, 1.22
420, 1.30
421, 1.72
422, 1.11
423, 1.07
424, 1.20
425, 2.18
426, 1.60
427, 1.53
428, 2.14
429, 1.54
430, 1.32
431, 1.30
432, 1.85
433, 1.19
434, 2.02
435, 1.29
436, 1.25
437, 1.15
438, 1.48
439, 1.05
