read, delay
1, 5.32
2, 0.88
3, 0.70
4, 0.67
5, 0.55
6, 0.90
7, 1.01
8, 0.26
9, 0.93
10, 0.62
11, 0.79
12, 0.36
13, 0.49
14, 1.21
15, 0.99
16, 1.21
17, 0.92
18, 0.68
19, 0.83
20, 0.70
21, 0.60
22, 1.13
23, 0.99
24, 0.68
25, 0.89
26, 0.38
27, 0.73
28, 0.87
29, 0.32
30, 0.94
31, 0.89
32, 0.55
33, 0.33
34, 1.18
35, 0.31
36, 1.12
37, 0.36
38, 0.76
39, 0.88
40, 0.85
41, 0.58
42, 0.37
43, 0.58
44, 0.48
45, 0.65
46, 0.74
47, 0.34
48, 0.50
49, 0.94
50, 1.26
51, 0.36
52, 0.50
53, 1.24
54, 0.67
55, 1.14
56, 1.02
57, 0.85
58, 1.03
59, 1.22
60, 1.14
61, 1.16
62, 0.53
63, 0.56
64, 0.73
65, 0.64
66, 0.52
67, 0.38
68, 1.00
69, 0.95
70, 1.06
71, 0.62
72, 0.57
73, 0.60
74, 0.96
75, 0.84
76, 0.78
77, 0.54
78, 0.94
79, 0.71
80, 1.23
81, 0.66
82, 0.82
83, 0.73
84, 0.95
85, 0.68
86, 0.85
87, 1.18
88, 0.87
89, 1.19
90, 0.66
91, 0.96
92, 0.67
93, 0.64
94, 0.77
95, 0.78
96, 0.52
97, 1.04
98, 0.76
99, 0.30
100, 0.73
101, 1.14
102, 0.62
103, 0.70
104, 1.15
105, 0.99
106, 0.37
107, 1.06
108, 0.43
109, 1.12
110, 0.38
111, 0.69
112, 0.80
113, 0.89
114, 0.84
115, 0.90
116, 0.78
117, 0.64
118, 1.27
119, 0.89
120, 0.56
121, 0.53
122, 1.15
123, 0.80
124, 0.73
125, 0.98
126, 0.78
127, 0.42
128, 0.71
129, 0.32
130, 0.68
131, 1.28
132, 0.28
133, 0.62
134, 1.21
135, 0.28
136, 0.89
137, 1.26
138, 0.85
139, 0.27
140, 1.15
141, 0.31
142, 1.02
143, 1.27
144, 1.00
145, 0.92
146, 0.76
147, 0.36
148, 0.73
149, 0.33
150, 0.70
151, 0.93
152, 1.06
153, 0.70
154, 0.96
155, 0.44
156, 1.09
157, 1.18
158, 0.52
159, 0.84
160, 1.13
161, 0.98
162, 1.01
163, 0.72
164, 0.74
165, 0.45
166, 0.42
167, 0.70
168, 1.17
169, 1.05
170, 1.10
171, 1.07
172, 0.42
173, 1.07
174, 0.56
175, 0.64
176, 0.99
177, 1.07
178, 1.10
179, 1.24
180, 0.76
181, 0.41
182, 0.29
183, 0.89
184, 0.38
185, 1.24
186, 0.48
187, 0.40
188, 0.62
189, 1.08
190, 1.18
191, 0.95
192, 1.03
193, 0.94
194, 1.11
195, 0.30
196, 1.12
197, 0.66
198, 1.04
199, 0.38
200, 0.97
201, 0.47
202, 0.72
203, 0.40
204, 1.12
205, 0.36
206, 0.71
207, 0.79
208, 0.38
209, 0.85
210, 1.12
211, 0.90
212, 0.32
213, 0.32
214, 0.44
215, 0.56
216, 0.64
217, 0.64
218, 1.15
219, 0.32
220, 0.95
221, 1.23
222, 1.00
223, 0.95
224, 1.01
225, 0.77
226, 1.24
227, 0.61
228, 0.37
229, 0.76
230, 1.11
231, 0.36
232, 0.29
233, 0.46
234, 0.89
235, 0.38
236, 1.28
237, 0.40
238, 1.10
239, 0.37
240, 1.26
241, 0.36
242, 0.39
243, 0.50
244, 1.06
245, 0.75
246, 0.99
247, 0.47
248, 0.47
249, 0.29
250, 0.35
251, 0.94
252, 0.72
253, 1.20
254, 0.54
255, 0.98
256, 0.65
257, 0.64
258, 0.88
259, 0.58
260, 1.26
261, 0.94
262, 0.32
263, 0.90
264, 0.65
265, 0.34
266, 1.18
267, 0.30
268, 0.91
269, 0.65
270, 1.13
271, 0.79
272, 0.93
273, 0.54
274, 0.94
275, 0.41
276, 0.73
277, 1.21
278, 1.02
279, 0.52
280, 0.75
281, 1.06
282, 1.12
283, 0.49
284, 0.33
285, 1.28
286, 0.73
287, 1.08
288, 0.41
289, 0.59
290, 0.46
291, 0.94
292, 0.86
293, 1.08
294, 0.38
295, 0.87
296, 0.36
297, 0.73
298, 0.78
299, 1.21
300, 0.34
301, 0.33
302, 0.72
303, 0.76
304, 0.80
305, 0.35
306, 0.62
307, 0.73
308, 0.91
309, 1.03
310, 0.70
311, 0.98
312, 0.35
313, 1.02
314, 1.13
315, 0.55
316, 0.50
317, 0.28
318, 0.63
319, 0.51
320, 0.60
321, 0.71
322, 0.98
323, 0.58
324, 0.80
325, 1.18
326, 0.38
327, 0.35
328, 1.12
329, 0.96
330, 0.36
331, 0.59
332, 0.28
333, 0.59
334, 0.31
335, 0.58
336, 1.02
337, 0.38
338, 0.31
339, 0.52
340, 1.11
341, 0.84
342, 0.79
343, 1.12
344, 0.44
345, 1.04
346, 0.97
347, 0.60
348, 0.57
349, 0.71
350, 0.94
351, 0.95
352, 1.26
353, 1.06
354, 0.68
355, 0.49
356, 0.36
357, 0.29
358, 0.62
359, 0.92
360, 0.78
361, 1.16
362, 0.59
363, 0.72
364, 0.80
365, 0.92
366, 1.05
367, 0.65
368, 0.54
369, 0.44
370, 0.62
371, 0.46
372, 1.21
373, 0.98
374, 1.05
375, 1.19
376, 1.02
377, 0.70
378, 0.59
379, 0.90
380, 1.12
381, 0.52
382, 0.49
383, 0.90
384, 1.06
385, 1.04
386, 1.03
387, 0.80
388, 0.60
389, 0.58
390, 0.93
