read, delay
1, 1.32
2, 1.04
3, 0.71
4, 1.08
5, 1.35
6, 1.13
7, 0.78
8, 0.82
9, 1.35
10, 1.06
11, 1.22
12, 1.20
13, 1.26
14, 0.54
15, 0.84
16, 1.10
17, 0.84
18, 0.62
19, 0.87
20, 0.70
21, 0.96
22, 0.69
23, 0.50
24, 1.22
25, 0.90
26, 1.26
27, 0.52
28, 0.96
29, 0.78
30, 0.85
31, 0.57
32, 0.96
33, 0.60
34, 0.34
35, 0.60
36, 1.29
37, 0.46
38, 0.36
39, 1.18
40, 0.43
41, 0.80
42, 0.97
43, 0.47
44, 1.30
45, 0.48
46, 1.00
47, 1.27
48, 0.88
49, 0.59
50, 0.47
51, 0.90
52, 0.98
53, 0.38
54, 1.34
55, 1.36
56, 1.08
57, 0.66
58, 0.75
59, 1.15
60, 1.01
61, 0.55
62, 0.46
63, 1.08
64, 0.35
65, 0.87
66, 0.86
67, 1.00
68, 0.58
69, 0.45
70, 0.91
71, 1.07
72, 0.45
73, 0.64
74, 1.20
75, 1.10
76, 0.88
77, 1.02
78, 1.36
79, 0.58
80, 0.66
81, 0.63
82, 0.70
83, 0.89
84, 0.65
85, 0.88
86, 0.81
87, 1.08
88, 0.85
89, 0.74
90, 0.61
91, 0.34
92, 1.26
93, 0.43
94, 1.14
95, 0.34
96, 0.93
97, 1.03
98, 0.56
99, 0.64
100, 0.87
101, 0.74
102, 0.60
103, 0.73
104, 1.29
105, 1.26
106, 0.73
107, 1.00
108, 1.33
109, 1.14
110, 0.94
111, 0.79
112, 0.87
113, 0.78
114, 0.89
115, 0.83
116, 0.44
117, 0.84
118, 0.52
119, 0.90
120, 0.87
121, 0.44
122, 0.80
123, 0.56
124, 1.09
125, 0.58
126, 1.22
127, 0.91
128, 1.22
129, 1.15
130, 0.54
131, 0.96
132, 0.80
133, 0.58
134, 1.21
135, 0.80
136, 0.65
137, 0.68
138, 0.57
139, 0.47
140, 1.30
141, 0.44
142, 0.84
143, 0.57
144, 1.32
145, 0.63
146, 0.90
147, 0.51
148, 1.23
149, 1.07
150, 0.44
151, 1.17
152, 0.52
153, 0.99
154, 1.22
155, 0.53
156, 0.45
157, 0.32
158, 0.50
159, 0.41
160, 1.16
161, 0.44
162, 0.69
163, 0.44
164, 1.03
165, 1.20
166, 0.36
167, 0.91
168, 0.73
169, 0.51
170, 1.29
171, 1.02
172, 0.78
173, 0.58
174, 1.19
175, 0.65
176, 1.04
177, 0.88
178, 1.14
179, 1.26
180, 0.96
181, 1.33
182, 1.08
183, 0.57
184, 0.36
185, 0.68
186, 1.00
187, 0.73
188, 0.86
189, 1.13
190, 0.33
191, 1.08
192, 0.42
193, 1.11
194, 0.89
195, 0.99
