read, delay
1, 2.67
2, 2.68
3, 1.25
4, 2.39
5, 1.28
6, 1.54
7, 1.82
8, 1.65
9, 1.37
10, 1.88
11, 2.70
12, 1.79
13, 1.70
14, 1.39
15, 1.66
16, 3.06
17, 1.60
18, 2.50
19, 2.24
20, 6.16
21, 2.99
22, 2.51
23, 1.81
24, 1.99
25, 2.28
26, 1.61
27, 2.62
28, 1.48
29, 1.58
30, 2.17
31, 2.26
32, 2.48
33, 2.73
34, 1.59
35, 2.37
36, 1.09
37, 1.96
38, 2.84
39, 1.69
40, 1.86
41, 2.62
42, 2.72
43, 2.62
44, 2.78
45, 2.98
46, 1.43
47, 2.02
48, 2.63
49, 2.61
50, 1.31
51, 2.19
52, 1.90
53, 1.85
54, 2.45
55, 2.28
56, 1.21
57, 2.02
58, 1.99
59, 1.85
60, 0.79
61, 2.80
62, 1.41
63, 2.32
64, 2.25
65, 1.43
66, 2.14
67, 1.99
68, 2.58
69, 1.85
70, 2.82
71, 2.98
72, 1.42
73, 0.87
74, 2.08
75, 2.28
76, 2.19
77, 2.76
78, 1.34
79, 2.15
80, 2.94
81, 2.89
82, 0.82
83, 1.43
84, 1.98
85, 2.31
86, 2.38
87, 0.87
88, 1.16
89, 1.37
90, 1.59
91, 1.47
92, 1.93
93, 2.10
94, 0.93
95, 1.16
96, 1.07
97, 3.08
98, 2.70
99, 1.91
100, 2.72
101, 3.01
102, 2.23
103, 1.56
104, 1.51
105, 1.43
106, 3.19
107, 3.27
108, 2.23
109, 2.32
110, 1.98
111, 2.18
112, 1.96
113, 2.18
114, 2.00
115, 2.18
116, 1.38
117, 2.73
118, 3.03
119, 1.38
120, 1.07
121, 2.83
122, 2.90
123, 3.10
124, 1.91
125, 1.92
126, 1.83
127, 2.32
128, 2.80
129, 0.86
130, 1.22
131, 1.99
132, 2.62
133, 1.06
134, 1.51
135, 1.82
136, 1.78
137, 0.65
138, 1.44
139, 1.84
140, 1.76
141, 0.59
142, 1.03
143, 2.73
144, 2.01
145, 1.54
146, 0.79
147, 2.89
148, 1.22
149, 2.90
150, 2.44
151, 2.78
152, 2.87
153, 2.64
154, 1.75
155, 2.14
156, 2.19
157, 1.65
158, 2.34
159, 1.26
160, 1.95
161, 1.30
162, 2.05
163, 0.98
164, 0.90
165, 2.42
166, 2.32
167, 1.82
168, 1.48
169, 2.20
170, 2.09
171, 1.02
172, 2.36
173, 1.19
174, 1.28
175, 3.27
176, 2.04
177, 2.15
178, 2.99
179, 1.72
180, 2.11
181, 2.54
182, 1.42
183, 2.20
184, 2.06
185, 2.02
186, 1.98
187, 2.57
188, 1.23
189, 1.89
190, 2.17
191, 2.30
192, 2.02
193, 0.95
194, 1.07
195, 1.60
196, 2.80
197, 1.85
198, 2.55
199, 2.79
200, 1.72
201, 0.61
202, 0.83
203, 1.48
204, 4.90
205, 0.56
206, 2.57
207, 2.54
208, 2.28
209, 2.78
210, 1.83
211, 2.33
212, 1.93
213, 2.06
214, 1.41
215, 1.55
216, 2.46
217, 2.88
218, 2.22
219, 2.02
220, 1.97
221, 2.75
222, 3.48
223, 2.12
224, 2.01
225, 2.17
226, 2.12
227, 0.88
228, 1.01
229, 1.20
230, 3.10
231, 1.33
232, 1.50
233, 2.17
234, 2.86
235, 2.06
236, 1.02
237, 1.18
238, 1.60
239, 2.61
240, 2.06
241, 2.14
242, 2.30
243, 2.14
244, 1.55
245, 1.89
246, 2.60
247, 1.72
248, 1.34
249, 2.05
250, 2.43
251, 2.29
252, 2.41
253, 2.26
254, 2.91
255, 1.86
256, 2.64
257, 1.81
258, 2.31
259, 1.93
260, 2.26
261, 1.82
262, 2.11
263, 1.53
264, 1.70
265, 2.57
266, 2.11
267, 2.66
268, 2.90
269, 2.85
270, 1.19
271, 1.88
272, 2.46
273, 2.66
274, 1.44
275, 1.98
276, 1.87
277, 2.57
278, 0.77
279, 2.87
280, 1.36
281, 1.84
282, 3.51
283, 2.73
284, 1.14
285, 1.94
286, 1.54
287, 2.44
288, 2.45
289, 2.37
290, 3.36
291, 2.55
292, 2.83
293, 2.90
294, 2.67
295, 2.29
296, 2.76
297, 1.04
298, 2.30
299, 1.25
300, 1.95
301, 2.01
302, 1.57
303, 3.45
304, 2.34
305, 2.37
306, 1.37
307, 2.08
308, 1.40
309, 1.99
310, 1.14
311, 2.01
312, 1.76
313, 2.30
314, 2.18
315, 2.55
316, 2.15
317, 1.12
318, 1.73
319, 2.38
320, 2.87
321, 1.17
322, 1.63
323, 2.41
324, 3.15
325, 1.50
326, 1.63
327, 2.64
328, 2.21
329, 2.46
330, 1.24
331, 1.13
332, 1.57
333, 3.02
334, 2.45
335, 2.38
336, 3.09
337, 2.06
338, 1.88
339, 2.63
340, 2.54
341, 2.11
342, 1.25
343, 1.78
344, 2.67
345, 1.98
346, 1.36
347, 1.39
348, 1.94
349, 1.44
350, 0.67
351, 1.22
352, 1.90
353, 1.28
354, 2.09
355, 1.92
356, 2.44
357, 1.98
358, 2.80
359, 2.18
360, 2.40
361, 1.71
362, 1.68
363, 1.36
364, 1.24
365, 2.27
366, 3.05
367, 2.53
368, 0.91
369, 1.90
370, 2.07
371, 2.87
372, 1.42
373, 1.86
374, 2.46
375, 3.29
376, 2.15
377, 1.03
378, 1.29
379, 1.80
380, 2.46
381, 2.39
382, 3.07
383, 1.92
384, 2.29
385, 2.74
386, 1.51
387, 2.30
388, 9.29
389, 1.74
390, 2.72
391, 3.04
392, 2.06
393, 1.35
394, 1.28
395, 1.29
396, 2.87
397, 2.49
398, 1.13
399, 1.84
400, 1.64
401, 0.69
402, 1.56
403, 1.98
404, 3.11
405, 3.37
406, 1.15
407, 1.19
408, 2.24
409, 2.44
410, 2.24
411, 1.02
412, 2.58
413, 2.49
414, 1.44
415, 1.63
416, 2.93
417, 2.92
418, 0.59
419, 2.64
420, 1.98
421, 2.25
422, 3.04
423, 2.04
424, 1.77
425, 2.41
426, 2.76
427, 1.65
428, 1.60
429, 1.76
430, 2.18
431, 2.51
432, 1.15
433, 1.69
434, 2.23
435, 3.17
436, 0.86
437, 1.25
438, 1.40
439, 2.54
440, 2.13
441, 2.08
442, 2.09
443, 3.10
444, 0.75
445, 1.05
446, 1.26
447, 2.45
448, 1.89
449, 2.21
450, 1.72
451, 2.00
452, 2.84
453, 2.16
454, 2.07
455, 1.27
456, 2.04
457, 1.46
458, 1.51
459, 2.88
460, 3.28
461, 0.73
462, 2.76
463, 2.04
464, 2.74
465, 2.22
466, 2.20
467, 1.42
468, 1.76
469, 2.25
470, 2.10
471, 1.14
472, 1.93
473, 2.42
474, 1.78
475, 1.26
476, 1.68
477, 2.41
478, 0.70
479, 1.52
480, 2.18
481, 2.15
482, 0.89
483, 1.71
484, 1.78
485, 2.20
486, 2.08
487, 0.98
488, 1.42
489, 2.00
490, 3.01
491, 1.82
492, 2.62
493, 2.87
494, 1.84
495, 0.74
496, 0.99
497, 1.80
498, 2.68
499, 3.31
500, 2.29
501, 2.70
502, 1.82
503, 2.50
504, 1.78
505, 1.71
506, 2.65
507, 3.36
508, 0.84
509, 1.01
510, 2.16
511, 3.18
512, 1.45
513, 1.77
514, 1.37
515, 2.15
516, 1.04
517, 0.98
518, 2.47
519, 2.45
520, 2.84
521, 1.84
522, 1.59
523, 2.02
524, 2.29
525, 2.45
526, 2.86
527, 1.22
528, 3.18
529, 1.23
530, 1.58
531, 2.22
532, 2.56
533, 1.74
534, 0.78
535, 2.68
536, 2.62
537, 2.42
538, 1.56
539, 2.17
540, 2.81
541, 2.28
542, 1.52
543, 1.65
544, 1.59
545, 1.38
546, 2.14
547, 1.94
548, 2.00
549, 1.26
550, 1.70
551, 1.56
552, 2.04
553, 1.39
554, 1.97
555, 1.28
556, 1.66
557, 1.39
558, 1.81
559, 1.44
560, 2.15
561, 1.70
562, 1.91
563, 1.25
564, 2.00
565, 3.03
566, 1.64
567, 2.44
568, 2.20
569, 1.86
570, 1.90
571, 2.48
572, 10.03
573, 1.24
574, 2.01
575, 1.93
576, 1.54
577, 1.37
578, 1.39
579, 2.03
580, 0.61
581, 0.88
582, 1.12
583, 3.06
584, 2.13
585, 2.04
586, 2.56
587, 2.60
588, 1.88
589, 1.44
590, 2.12
591, 2.11
592, 3.15
593, 0.87
594, 1.46
595, 1.41
596, 2.58
597, 2.89
598, 2.24
599, 2.66
600, 2.12
601, 2.79
602, 2.58
603, 2.54
604, 2.00
605, 2.66
606, 2.50
607, 1.13
608, 2.41
609, 2.74
610, 1.93
611, 2.24
612, 1.51
613, 1.43
614, 0.59
615, 2.72
616, 2.33
617, 2.79
618, 1.52
619, 2.51
620, 2.00
621, 2.84
