read, delay
1, 3.29
2, 2.39
3, 3.10
4, 3.05
5, 2.32
6, 2.84
7, 3.28
8, 3.94
9, 4.21
10, 3.69
11, 4.24
12, 3.02
13, 3.20
14, 2.14
15, 2.83
16, 4.00
17, 3.68
18, 3.38
19, 2.18
20, 4.14
21, 4.49
22, 3.41
23, 2.32
24, 2.79
25, 3.46
26, 4.18
27, 3.27
28, 4.04
29, 4.12
30, 4.25
31, 3.14
32, 3.75
33, 2.60
34, 2.10
35, 3.23
36, 3.11
37, 2.94
38, 3.50
39, 3.86
40, 3.18
41, 3.05
42, 3.56
43, 3.53
44, 3.40
45, 4.21
46, 3.28
47, 3.37
48, 2.35
49, 3.36
50, 4.14
51, 2.64
52, 2.32
53, 3.32
54, 3.27
55, 3.48
56, 4.34
57, 3.04
58, 3.68
59, 4.20
60, 3.58
61, 3.10
62, 3.41
63, 3.31
64, 2.94
65, 2.67
66, 3.12
67, 3.14
68, 2.03
69, 3.74
70, 2.07
71, 4.25
72, 3.92
73, 3.25
74, 3.64
75, 4.14
76, 3.72
77, 3.68
78, 3.19
79, 3.49
80, 2.98
81, 3.33
82, 2.62
83, 3.29
84, 2.20
85, 4.18
86, 3.78
87, 2.08
88, 3.06
89, 3.19
90, 3.06
91, 2.10
92, 3.45
93, 3.68
94, 4.33
95, 3.80
96, 3.60
97, 4.01
98, 4.48
99, 3.40
100, 3.11
101, 3.77
102, 3.71
103, 3.28
104, 2.25
105, 2.60
106, 2.58
107, 3.04
108, 3.41
109, 4.06
110, 4.05
111, 3.94
112, 3.06
113, 4.03
114, 2.58
115, 3.04
116, 2.76
117, 2.66
118, 2.74
119, 3.21
120, 3.07
121, 3.51
122, 3.47
123, 3.93
124, 2.70
125, 3.78
126, 3.38
127, 2.76
128, 3.49
129, 2.94
130, 3.48
131, 3.64
132, 3.67
133, 2.88
134, 2.35
135, 3.01
136, 3.48
137, 3.39
138, 1.97
139, 4.08
140, 3.38
141, 3.49
142, 3.11
143, 2.36
144, 2.47
145, 2.71
146, 2.55
147, 3.54
148, 3.52
149, 4.18
150, 4.50
151, 2.96
152, 2.92
153, 3.55
154, 3.58
155, 2.22
156, 3.01
157, 3.37
158, 3.69
159, 3.59
160, 2.12
161, 2.40
162, 3.43
163, 2.61
164, 2.52
165, 2.54
166, 2.33
167, 4.44
168, 3.48
169, 4.24
170, 3.48
171, 4.36
172, 3.44
173, 2.21
174, 2.92
175, 2.77
176, 3.46
177, 2.28
178, 1.98
179, 2.65
180, 2.05
181, 2.26
182, 2.13
183, 4.22
184, 2.78
185, 3.82
186, 2.60
187, 3.62
188, 3.82
189, 3.35
190, 2.73
191, 2.88
192, 2.87
193, 2.38
194, 2.39
195, 3.40
196, 3.85
197, 4.30
198, 2.24
199, 2.90
200, 3.59
201, 4.18
202, 2.10
203, 4.19
204, 2.95
205, 2.94
206, 3.59
207, 3.51
208, 3.60
209, 3.60
210, 1.91
211, 2.58
212, 2.65
213, 2.86
214, 3.36
215, 3.84
216, 3.72
217, 3.03
218, 3.64
219, 3.17
220, 3.75
221, 3.48
222, 3.38
223, 3.19
224, 3.98
225, 3.47
226, 3.45
227, 2.50
228, 2.72
229, 1.96
230, 2.73
231, 2.28
232, 3.04
233, 2.92
234, 3.79
235, 3.85
236, 2.00
237, 3.82
238, 3.91
239, 4.02
240, 3.20
241, 2.45
242, 3.02
243, 3.37
244, 2.49
245, 2.33
246, 3.16
247, 3.96
248, 2.81
249, 3.03
250, 3.36
251, 4.21
252, 4.41
253, 2.26
254, 2.33
255, 2.72
256, 3.17
257, 3.88
258, 4.00
259, 2.70
260, 3.24
261, 2.28
262, 3.54
263, 4.32
264, 4.32
265, 3.71
266, 2.89
267, 3.26
268, 3.24
269, 4.05
270, 3.36
271, 3.94
272, 2.48
273, 2.69
274, 2.28
275, 3.10
276, 2.47
277, 3.19
278, 2.07
279, 2.06
280, 4.15
281, 4.20
282, 3.29
283, 2.22
284, 2.57
285, 3.52
286, 3.52
287, 2.68
288, 3.12
289, 2.26
290, 2.69
291, 3.29
292, 2.95
293, 3.37
294, 3.80
295, 4.49
296, 3.66
297, 3.84
298, 4.48
299, 3.36
300, 3.37
301, 2.18
302, 3.00
303, 3.49
304, 3.37
305, 3.77
306, 2.46
307, 2.95
308, 3.55
309, 2.11
310, 2.83
311, 2.83
312, 1.85
313, 2.70
314, 2.68
315, 3.41
316, 3.08
317, 2.82
318, 2.70
319, 3.27
320, 4.39
321, 2.12
322, 2.64
323, 3.17
324, 3.84
325, 2.79
326, 3.00
327, 3.18
328, 3.66
329, 2.53
330, 3.23
331, 2.73
332, 3.20
333, 3.80
334, 3.00
335, 2.03
336, 4.05
337, 4.01
338, 3.79
339, 2.96
340, 3.70
341, 4.42
342, 1.93
343, 3.09
344, 3.42
345, 3.32
346, 4.07
347, 2.97
348, 2.86
349, 2.76
350, 2.78
351, 3.37
352, 2.14
353, 4.10
354, 2.92
355, 3.72
356, 2.10
357, 2.49
358, 3.11
359, 3.56
360, 3.92
361, 4.02
362, 2.74
363, 3.75
364, 2.70
365, 2.96
366, 3.33
