read, delay
1, 1.24
2, 1.10
3, 0.98
4, 0.36
5, 0.64
6, 0.97
7, 0.57
8, 1.00
9, 1.13
10, 0.67
11, 0.50
12, 0.69
13, 0.82
14, 0.31
15, 0.47
16, 0.71
17, 0.44
18, 1.17
19, 1.04
20, 0.99
21, 0.68
22, 0.77
23, 1.21
24, 0.75
25, 0.83
26, 0.46
27, 0.44
28, 0.50
29, 0.94
30, 0.84
31, 1.16
32, 0.56
33, 0.85
34, 1.24
35, 0.86
36, 0.62
37, 1.06
38, 1.06
39, 1.10
40, 1.06
41, 0.54
42, 0.43
43, 0.66
44, 1.08
45, 0.91
46, 1.07
47, 0.84
48, 1.25
49, 0.50
50, 0.82
51, 1.02
52, 0.58
53, 0.64
54, 1.05
55, 0.85
56, 1.20
57, 1.01
58, 0.54
59, 1.27
60, 0.92
61, 0.92
62, 1.13
63, 1.26
64, 0.98
65, 0.93
66, 0.48
67, 1.20
68, 1.04
69, 0.66
70, 0.32
71, 1.07
72, 1.16
73, 0.66
74, 0.61
75, 1.06
76, 0.53
77, 0.88
78, 0.96
79, 0.33
80, 1.07
81, 0.59
82, 0.76
83, 0.75
84, 0.54
85, 1.04
86, 0.38
87, 1.27
88, 1.30
89, 0.97
90, 0.89
91, 0.33
92, 1.27
93, 0.32
94, 0.50
95, 1.19
96, 1.20
97, 0.79
98, 0.40
99, 0.90
100, 0.39
101, 0.83
102, 1.16
103, 1.13
104, 0.82
105, 1.31
106, 0.36
107, 0.43
108, 1.06
109, 0.85
110, 0.72
111, 0.77
112, 0.55
113, 0.97
114, 0.62
115, 1.00
116, 0.48
117, 0.88
118, 0.99
119, 1.23
120, 1.04
121, 1.11
122, 0.80
123, 0.32
124, 0.70
125, 0.99
126, 0.79
127, 1.24
128, 0.98
129, 0.76
130, 0.34
131, 0.66
132, 0.45
133, 1.13
134, 0.67
135, 0.74
136, 0.51
137, 1.10
138, 1.00
139, 0.57
140, 0.78
141, 0.84
142, 1.20
143, 0.91
144, 0.98
145, 0.61
146, 0.89
147, 1.26
148, 0.55
149, 0.80
150, 1.12
151, 0.41
152, 0.58
153, 0.38
154, 0.42
155, 0.90
156, 0.90
157, 1.04
158, 1.19
159, 0.68
160, 0.63
161, 0.38
162, 0.59
163, 0.86
164, 0.32
165, 1.15
166, 0.48
167, 1.21
168, 0.59
169, 1.27
170, 1.20
171, 0.86
172, 1.24
173, 1.18
174, 0.30
175, 0.58
176, 1.28
177, 1.25
178, 0.47
179, 0.53
180, 1.04
181, 0.62
182, 0.33
183, 0.30
184, 0.56
185, 1.04
186, 0.52
187, 0.37
188, 0.52
189, 0.78
190, 1.30
191, 1.06
192, 0.63
193, 0.95
194, 0.55
195, 0.46
196, 0.43
197, 0.94
198, 0.89
199, 1.09
200, 1.26
201, 0.72
202, 0.84
203, 1.10
204, 0.99
205, 0.68
206, 0.66
207, 0.68
208, 0.63
209, 0.97
210, 1.14
211, 0.69
212, 1.08
213, 0.40
214, 0.93
215, 1.17
216, 0.86
217, 0.54
218, 1.28
219, 1.16
220, 0.45
221, 0.49
222, 0.51
223, 0.86
224, 1.02
225, 0.97
226, 1.08
227, 0.82
228, 0.87
229, 0.74
230, 0.82
231, 0.91
232, 1.14
233, 1.25
234, 0.65
235, 0.71
236, 0.63
237, 0.60
238, 0.44
239, 0.89
240, 1.05
241, 1.08
242, 1.22
243, 1.20
244, 1.21
245, 0.63
246, 0.39
247, 1.25
248, 0.51
249, 0.63
250, 0.78
251, 0.42
252, 1.29
253, 0.94
254, 0.27
255, 1.27
256, 0.72
257, 0.55
258, 0.96
259, 0.45
260, 1.23
261, 0.46
262, 0.64
263, 0.75
264, 1.26
265, 0.96
266, 1.06
267, 1.03
268, 0.46
269, 0.35
270, 0.54
271, 0.60
272, 0.99
273, 0.67
274, 0.59
275, 0.44
276, 0.36
277, 0.67
278, 0.40
279, 1.26
280, 0.54
281, 0.40
282, 0.30
283, 0.50
284, 1.24
285, 0.74
286, 1.14
287, 0.73
288, 0.31
289, 1.02
290, 0.61
291, 1.21
292, 1.06
293, 0.87
294, 0.80
295, 0.66
296, 1.08
297, 0.96
298, 0.39
299, 0.48
300, 1.02
301, 1.27
302, 1.02
303, 1.17
304, 0.46
305, 0.46
306, 0.77
307, 0.67
308, 0.88
309, 0.61
310, 0.52
311, 0.97
312, 1.24
313, 0.95
314, 0.34
315, 1.06
316, 0.84
317, 0.55
318, 0.62
319, 0.58
320, 1.14
321, 0.61
322, 0.38
323, 0.62
324, 0.98
325, 1.24
326, 0.87
327, 0.92
328, 0.53
329, 1.13
330, 0.42
331, 0.63
332, 1.05
333, 0.51
334, 1.12
335, 0.38
336, 0.97
337, 0.95
338, 1.25
339, 0.47
340, 1.05
341, 0.97
342, 0.64
343, 1.29
344, 0.98
345, 1.13
346, 1.18
347, 0.42
348, 1.28
349, 1.14
350, 0.36
351, 0.69
352, 0.55
353, 1.00
354, 1.17
355, 0.92
356, 0.67
357, 0.46
358, 0.59
359, 0.30
360, 1.22
361, 0.38
362, 0.90
363, 0.55
364, 0.32
365, 0.84
366, 0.68
367, 0.65
368, 0.93
369, 1.15
370, 0.62
371, 0.62
372, 0.97
373, 1.22
374, 1.00
375, 0.69
376, 0.84
377, 0.38
378, 1.06
379, 0.58
380, 1.01
381, 0.91
382, 0.82
383, 0.86
384, 0.57
385, 0.32
386, 0.45
387, 0.64
388, 0.55
389, 0.94
390, 0.55
391, 1.05
392, 1.06
393, 0.69
394, 0.60
395, 0.78
396, 0.85
397, 1.17
398, 0.83
399, 0.61
400, 1.24
401, 0.81
402, 1.14
403, 1.21
404, 1.00
405, 0.86
406, 1.10
407, 0.77
408, 0.50
409, 0.64
410, 1.09
411, 0.54
412, 0.64
413, 0.88
414, 0.87
415, 1.10
416, 0.80
417, 0.85
418, 1.08
419, 1.10
420, 0.98
421, 0.60
422, 1.22
423, 0.74
424, 0.66
425, 1.28
426, 0.88
427, 0.70
428, 1.13
429, 1.20
430, 1.21
431, 0.44
432, 0.58
433, 0.50
434, 1.04
435, 1.24
436, 0.79
437, 0.60
438, 1.10
439, 1.08
440, 1.11
441, 0.76
442, 1.09
443, 0.42
444, 0.62
445, 0.95
446, 1.02
447, 0.75
448, 0.90
449, 0.92
450, 1.23
451, 0.60
452, 0.79
453, 1.21
454, 1.21
455, 1.21
456, 0.64
457, 0.44
458, 1.12
459, 0.30
460, 0.26
461, 0.35
462, 1.25
463, 0.28
464, 0.52
465, 1.02
466, 1.10
467, 0.74
468, 0.80
469, 0.60
470, 0.68
471, 0.64
472, 0.72
473, 1.08
474, 1.11
475, 1.24
476, 0.66
477, 0.96
478, 0.82
479, 0.70
480, 0.86
481, 1.16
482, 0.37
483, 1.12
484, 1.20
485, 1.20
486, 1.27
487, 0.98
488, 1.04
489, 1.09
490, 0.80
491, 0.99
492, 1.12
493, 0.98
494, 0.78
495, 0.66
496, 0.76
497, 0.52
498, 0.76
499, 1.28
500, 0.46
501, 1.18
502, 0.44
503, 0.47
504, 0.47
505, 0.86
506, 1.18
507, 0.32
508, 0.47
509, 0.52
510, 0.61
511, 0.70
512, 0.93
513, 1.16
514, 0.48
515, 0.80
516, 0.41
517, 0.67
518, 1.02
519, 0.38
520, 0.45
521, 1.22
522, 0.39
523, 0.38
524, 0.48
525, 0.90
526, 0.73
527, 0.30
528, 0.43
529, 0.53
530, 1.16
531, 0.86
532, 0.86
533, 1.17
534, 1.04
535, 1.10
536, 0.68
537, 1.16
538, 0.67
539, 1.07
540, 0.76
541, 0.93
542, 0.91
543, 1.19
544, 0.57
545, 0.87
546, 0.96
547, 1.00
548, 0.77
549, 1.22
550, 0.37
551, 0.59
552, 0.96
