read, delay
1, 0.94
2, 1.45
3, 1.73
4, 1.94
5, 1.69
6, 2.12
7, 1.30
8, 1.66
9, 1.38
10, 1.88
11, 1.57
12, 1.76
13, 1.43
14, 1.62
15, 1.22
16, 1.61
17, 1.99
18, 1.71
19, 2.02
20, 1.81
21, 1.34
22, 1.52
23, 1.01
24, 1.21
25, 1.07
26, 1.24
27, 0.99
28, 1.40
29, 1.65
30, 1.16
31, 1.28
32, 1.26
33, 1.86
34, 1.49
35, 1.68
36, 0.98
37, 1.14
38, 1.74
39, 1.62
40, 1.24
41, 1.24
42, 1.29
43, 1.20
44, 1.68
45, 1.98
46, 1.11
47, 1.87
48, 1.22
49, 1.04
50, 1.42
51, 0.76
52, 2.04
53, 2.08
54, 2.07
55, 1.07
56, 1.19
57, 1.62
58, 1.20
59, 1.64
60, 1.18
61, 0.93
62, 2.02
63, 1.22
64, 1.58
65, 1.91
66, 1.74
67, 1.60
68, 1.49
69, 1.16
70, 0.97
71, 0.93
72, 0.98
73, 1.08
74, 0.94
75, 1.23
76, 2.10
77, 1.45
78, 1.42
79, 1.43
80, 1.52
81, 1.45
82, 1.68
83, 1.33
84, 1.68
85, 1.27
86, 1.92
87, 2.00
88, 1.69
89, 1.10
90, 1.17
91, 1.22
92, 1.72
93, 1.35
94, 1.78
95, 1.33
96, 1.45
97, 1.76
98, 1.81
99, 1.84
100, 1.09
101, 1.64
102, 1.60
103, 1.88
104, 0.88
105, 0.78
106, 1.99
107, 1.78
108, 2.09
109, 1.14
110, 1.55
111, 1.02
112, 1.14
113, 1.88
114, 1.46
115, 1.36
116, 1.65
117, 1.12
118, 1.40
119, 2.09
120, 1.75
121, 2.00
122, 1.66
123, 1.66
124, 1.20
125, 1.72
126, 1.58
127, 1.51
128, 1.24
129, 1.68
130, 1.77
131, 1.82
132, 1.40
133, 2.04
134, 1.18
135, 1.08
136, 1.72
137, 0.96
138, 1.39
139, 1.41
140, 1.35
141, 1.74
142, 1.73
143, 2.04
144, 1.13
