read, delay
1, 0.51
2, 1.26
3, 1.28
4, 0.93
5, 1.06
6, 1.36
7, 0.82
8, 1.08
9, 0.45
10, 0.58
11, 1.23
12, 0.91
13, 1.28
14, 1.07
15, 0.96
16, 1.14
17, 1.06
18, 0.33
19, 1.26
20, 0.59
21, 0.47
22, 1.09
23, 0.75
24, 0.92
25, 0.55
26, 0.98
27, 1.21
28, 1.49
29, 0.67
30, 0.94
31, 1.16
32, 1.11
33, 0.52
34, 1.12
35, 0.62
36, 1.38
37, 0.42
38, 0.50
39, 0.93
40, 0.61
41, 1.34
42, 1.38
43, 1.13
44, 0.50
45, 0.82
46, 0.63
47, 0.92
48, 0.94
49, 0.40
50, 0.85
51, 0.68
52, 1.11
53, 1.25
54, 0.61
55, 1.12
56, 0.64
57, 0.48
58, 0.42
59, 0.36
60, 1.00
61, 0.46
62, 1.31
63, 0.92
64, 0.63
65, 0.45
66, 0.80
67, 1.27
68, 1.19
69, 0.49
70, 1.34
71, 0.72
72, 1.14
73, 0.93
74, 0.42
75, 0.71
76, 0.58
77, 1.18
78, 0.65
79, 0.88
80, 0.67
81, 0.54
82, 0.52
83, 0.81
84, 1.06
85, 1.18
86, 0.59
87, 0.63
88, 1.10
89, 1.22
90, 0.42
91, 0.83
92, 0.61
93, 0.70
94, 0.87
95, 0.96
96, 0.67
97, 1.07
98, 0.74
99, 1.27
100, 0.37
101, 0.54
102, 1.00
103, 1.19
104, 0.75
105, 0.68
106, 1.24
107, 1.23
108, 1.03
109, 0.85
110, 0.83
111, 0.56
112, 1.30
113, 0.94
114, 1.14
115, 1.36
116, 0.46
117, 1.08
118, 1.34
119, 1.14
120, 0.90
121, 1.28
122, 0.74
123, 0.55
124, 0.80
125, 0.96
126, 0.94
127, 1.16
128, 0.49
129, 0.51
130, 0.91
131, 0.44
132, 1.26
133, 0.44
134, 0.66
135, 0.52
136, 0.68
137, 0.39
138, 0.79
139, 1.30
140, 0.38
141, 1.17
142, 0.66
143, 0.63
144, 0.72
145, 0.95
146, 0.78
147, 0.84
148, 0.92
149, 0.46
150, 0.80
151, 0.84
152, 0.85
153, 0.73
154, 0.66
155, 1.08
156, 0.83
157, 0.62
158, 0.60
159, 1.24
160, 0.94
161, 0.77
162, 0.66
163, 1.25
164, 0.50
165, 0.48
166, 0.81
167, 1.03
168, 0.46
169, 1.12
170, 1.14
171, 0.68
172, 0.95
173, 0.84
174, 1.12
175, 0.65
176, 1.19
177, 1.19
178, 1.22
179, 0.82
180, 1.17
181, 0.46
182, 1.10
183, 1.08
184, 1.15
185, 1.08
186, 0.94
187, 1.30
188, 1.31
189, 0.98
190, 1.08
191, 1.14
192, 1.13
193, 0.70
194, 1.25
195, 1.32
196, 0.66
197, 0.60
198, 0.99
199, 0.56
200, 0.92
201, 0.99
202, 1.23
203, 0.54
204, 0.93
205, 0.81
206, 0.84
207, 1.09
208, 0.82
209, 0.64
210, 0.76
211, 0.86
212, 1.01
213, 0.52
214, 0.46
215, 0.80
216, 0.88
217, 0.74
218, 0.90
219, 0.98
220, 1.08
221, 0.42
222, 1.16
223, 1.00
224, 1.18
225, 0.46
226, 0.41
227, 1.18
228, 0.42
229, 0.90
230, 1.01
231, 1.23
232, 0.68
233, 1.36
234, 1.24
235, 0.62
236, 0.73
237, 0.67
238, 0.82
239, 0.96
240, 1.07
241, 0.79
242, 0.56
243, 1.24
244, 1.22
245, 0.39
246, 0.39
247, 0.50
248, 0.74
249, 1.31
250, 0.91
251, 0.96
252, 0.63
253, 0.88
254, 0.90
255, 0.96
256, 0.59
257, 0.92
258, 1.14
259, 0.82
260, 0.57
261, 1.14
262, 0.67
263, 1.32
264, 0.74
265, 0.58
266, 0.52
267, 1.17
268, 0.61
269, 1.00
270, 1.21
271, 1.24
272, 1.42
273, 0.69
274, 0.66
275, 0.59
276, 0.75
277, 0.45
278, 1.30
279, 0.62
280, 1.12
281, 1.12
282, 0.71
283, 0.70
284, 1.38
285, 0.50
286, 1.09
287, 0.46
288, 1.28
289, 1.17
290, 0.60
291, 1.04
292, 0.82
293, 1.42
294, 0.81
295, 0.69
296, 1.05
297, 1.02
298, 0.56
299, 0.87
300, 1.24
301, 0.62
302, 0.45
303, 0.59
304, 0.87
305, 0.96
306, 1.25
307, 0.45
308, 1.37
309, 0.74
310, 0.74
311, 1.32
312, 0.77
313, 0.84
314, 0.59
315, 0.90
316, 1.32
317, 0.76
318, 0.97
319, 1.28
320, 1.32
321, 0.50
322, 1.22
323, 0.71
324, 0.80
325, 0.87
326, 0.66
327, 1.38
328, 0.54
329, 0.55
330, 1.35
331, 0.66
332, 1.34
333, 0.46
334, 0.50
335, 0.89
336, 0.55
337, 0.89
338, 1.06
339, 0.62
340, 1.03
341, 1.17
342, 0.35
343, 0.37
344, 1.25
345, 0.68
346, 0.74
347, 0.39
348, 0.77
349, 0.92
350, 1.05
351, 0.70
352, 0.85
353, 0.65
354, 0.86
355, 1.16
356, 0.99
357, 0.43
358, 0.93
359, 0.95
360, 1.37
361, 0.74
362, 1.47
363, 1.16
364, 0.50
365, 0.64
366, 1.22
367, 1.20
368, 0.45
369, 1.06
370, 0.92
371, 0.76
372, 1.41
373, 0.91
374, 1.32
375, 0.97
376, 0.40
377, 0.65
378, 0.83
379, 0.98
380, 0.39
381, 1.10
382, 1.20
383, 0.42
384, 0.79
385, 0.73
386, 0.60
387, 0.78
388, 0.56
389, 0.55
390, 0.98
391, 1.08
392, 0.60
393, 0.70
394, 0.63
395, 1.13
396, 0.47
397, 1.02
398, 1.08
399, 0.65
400, 1.08
401, 0.69
402, 0.94
403, 1.16
404, 0.78
405, 0.98
406, 1.16
407, 1.28
408, 0.52
409, 0.93
410, 0.88
411, 0.81
412, 1.31
413, 0.67
414, 0.52
415, 0.86
416, 0.85
417, 1.05
418, 1.06
419, 1.02
420, 0.50
421, 0.75
422, 1.30
423, 1.46
424, 1.31
425, 0.73
426, 0.72
427, 1.12
428, 1.43
429, 1.14
430, 1.32
431, 1.02
432, 0.79
433, 1.21
434, 0.66
435, 0.57
436, 0.58
437, 1.08
438, 1.30
439, 0.45
440, 0.42
441, 1.06
442, 1.12
443, 1.20
444, 1.27
445, 1.29
446, 0.68
447, 0.46
448, 1.12
449, 1.14
450, 1.07
451, 1.32
452, 0.94
453, 0.98
454, 0.85
455, 0.83
456, 0.39
457, 0.75
458, 1.19
459, 0.77
460, 0.98
461, 1.28
462, 0.94
463, 0.64
464, 1.18
465, 0.72
466, 0.68
467, 0.71
468, 1.36
