read, delay
1, 3.18
2, 1.73
3, 9.00
4, 6.54
5, 3.68
6, 0.95
7, 9.86
8, 7.32
9, 4.69
10, 1.72
11, 9.68
12, 7.14
13, 5.16
14, 2.66
15, 9.79
16, 7.27
17, 4.79
18, 1.68
19, 9.00
20, 7.20
21, 5.07
22, 2.73
23, 10.74
24, 7.76
25, 5.51
26, 3.71
27, 11.04
28, 8.08
29, 5.34
30, 2.72
31, 11.29
32, 8.99
33, 5.98
34, 4.52
35, 2.12
36, 9.21
37, 6.20
38, 3.27
39, 11.28
40, 8.45
41, 6.17
42, 4.80
43, 2.01
44, 9.68
45, 7.47
46, 5.35
47, 2.70
48, 10.94
49, 8.66
50, 6.53
51, 3.64
52, 2.22
53, 9.31
54, 6.36
55, 3.64
56, 10.75
57, 8.84
58, 6.62
59, 4.14
60, 1.44
61, 10.11
62, 7.86
63, 5.18
64, 2.38
65, 10.52
66, 7.65
67, 5.04
68, 3.66
69, 10.64
70, 7.66
71, 4.63
72, 2.24
73, 11.00
74, 8.49
75, 6.30
76, 3.95
77, 1.40
78, 9.39
79, 7.11
80, 4.74
81, 1.87
82, 9.32
83, 7.45
84, 4.80
85, 2.44
86, 10.30
87, 8.87
88, 6.10
89, 3.03
90, 10.89
91, 9.23
92, 6.67
93, 3.71
94, 11.06
95, 8.35
96, 5.94
97, 4.01
98, 1.86
99, 9.15
100, 6.54
101, 5.25
102, 2.51
103, 9.70
104, 7.46
105, 4.62
106, 3.41
107, 11.25
108, 8.94
109, 7.68
110, 4.83
111, 1.84
112, 8.77
113, 7.62
114, 5.36
115, 2.42
116, 9.87
117, 6.78
118, 5.49
119, 3.09
120, 10.14
121, 7.93
122, 6.24
123, 3.81
124, 10.82
125, 8.70
126, 6.06
127, 4.32
128, 2.00
129, 9.44
130, 6.48
131, 4.24
132, 2.90
133, 9.79
134, 8.16
135, 5.20
136, 2.22
137, 10.04
138, 7.54
139, 6.14
140, 3.16
141, 10.60
142, 8.26
143, 5.58
144, 3.78
145, 10.74
146, 8.10
147, 5.42
148, 3.99
149, 1.74
150, 8.98
151, 6.84
152, 4.02
153, 12.08
154, 8.29
155, 6.18
156, 3.37
157, 10.77
158, 8.30
159, 5.94
160, 4.64
161, 2.24
162, 10.07
163, 8.96
164, 4.90
165, 2.84
166, 11.64
167, 8.32
168, 6.78
169, 4.45
170, 2.25
171, 9.41
172, 8.02
173, 4.99
174, 2.55
175, 10.75
176, 8.44
177, 5.71
178, 3.04
179, 11.20
180, 8.87
181, 6.45
182, 3.69
183, 10.76
184, 8.93
185, 6.42
186, 3.39
187, 1.02
188, 8.36
189, 6.93
190, 4.72
191, 1.98
192, 10.80
193, 8.27
194, 5.73
195, 2.72
196, 10.82
197, 7.86
198, 5.09
199, 2.14
200, 10.45
201, 7.62
202, 4.59
203, 2.30
204, 9.80
205, 8.62
206, 6.43
207, 3.37
208, 11.80
209, 8.54
210, 6.55
211, 3.90
212, 11.02
213, 8.24
214, 5.37
215, 4.20
216, 1.60
217, 8.98
218, 6.58
219, 5.29
220, 2.44
221, 10.11
222, 8.61
223, 6.26
224, 3.22
225, 11.00
