read, delay
1, 1.68
2, 2.11
3, 1.24
4, 1.92
5, 1.13
6, 1.10
7, 1.18
8, 1.82
9, 1.66
10, 1.68
11, 0.93
12, 1.66
13, 2.09
14, 1.37
15, 2.10
16, 1.80
17, 2.18
18, 1.27
19, 1.56
20, 1.72
21, 1.06
22, 1.30
23, 1.09
24, 1.46
25, 1.26
26, 1.66
27, 1.88
28, 2.04
29, 1.29
30, 1.19
31, 1.26
32, 1.55
33, 0.99
34, 0.83
35, 2.11
36, 2.03
37, 1.66
38, 2.04
39, 1.20
40, 1.26
41, 1.45
42, 1.02
43, 1.57
44, 1.52
45, 1.71
46, 1.59
47, 1.47
48, 1.28
49, 2.01
50, 1.81
51, 1.93
52, 1.57
53, 1.27
54, 1.96
55, 1.83
56, 1.03
57, 2.26
58, 1.36
59, 1.54
60, 1.43
61, 1.62
62, 1.30
63, 1.63
64, 1.78
65, 1.36
66, 1.76
67, 2.00
68, 1.28
69, 1.83
70, 1.85
71, 1.48
72, 1.86
73, 1.37
74, 1.71
75, 1.58
76, 1.51
77, 1.57
78, 1.63
79, 1.84
80, 1.79
81, 1.51
82, 1.62
83, 1.70
84, 1.33
85, 1.61
86, 1.95
87, 1.69
88, 0.95
89, 0.96
90, 2.10
91, 1.34
92, 1.48
93, 1.48
94, 1.04
95, 1.09
96, 1.77
97, 1.49
98, 1.49
99, 1.04
100, 1.54
101, 1.94
102, 1.41
103, 1.39
104, 2.08
105, 1.86
106, 1.42
107, 1.83
108, 1.18
109, 1.67
110, 1.12
111, 1.49
112, 1.05
113, 1.14
114, 2.19
115, 0.94
116, 1.85
117, 1.25
118, 1.78
119, 1.92
120, 1.16
121, 1.59
122, 1.36
123, 1.68
124, 1.71
125, 1.86
126, 1.56
127, 1.94
128, 2.00
129, 1.40
130, 1.27
131, 1.98
132, 1.29
133, 1.38
134, 1.75
135, 1.41
136, 0.94
137, 1.32
138, 2.00
139, 1.91
140, 1.09
141, 1.66
142, 1.17
143, 1.95
144, 1.30
145, 1.57
146, 1.02
147, 1.42
148, 1.68
149, 1.48
150, 1.55
151, 1.31
152, 1.60
153, 1.76
154, 1.06
155, 1.39
156, 1.87
157, 1.38
158, 2.24
159, 0.91
160, 1.76
161, 2.10
162, 1.29
163, 1.92
164, 1.88
165, 1.32
166, 1.25
167, 0.94
168, 0.97
169, 1.97
170, 1.40
171, 1.65
172, 1.54
173, 1.55
174, 1.86
175, 1.82
176, 1.63
177, 1.48
178, 1.97
179, 2.20
180, 1.19
181, 1.66
182, 1.90
183, 1.64
184, 1.10
185, 1.91
186, 1.42
187, 1.62
188, 1.38
189, 1.12
190, 1.78
191, 1.66
192, 2.23
193, 2.12
194, 2.06
195, 1.57
196, 1.45
197, 1.12
198, 1.06
199, 1.39
200, 0.93
201, 1.39
202, 1.64
203, 1.56
204, 2.07
205, 1.51
206, 2.10
207, 1.43
208, 1.48
209, 1.38
210, 1.80
211, 0.95
212, 1.64
213, 1.76
214, 1.76
215, 1.61
216, 2.03
217, 1.51
218, 1.88
219, 1.18
220, 1.72
221, 1.45
222, 1.72
223, 0.88
224, 1.97
225, 1.43
226, 2.23
227, 1.69
228, 1.19
229, 1.62
230, 1.30
231, 1.20
232, 1.81
233, 1.59
234, 1.52
235, 1.71
236, 1.86
237, 1.66
238, 1.20
239, 1.33
240, 1.99
