read, delay
1, 1.09
2, 1.33
3, 1.41
4, 1.58
5, 1.49
6, 0.53
7, 1.39
8, 0.96
9, 0.81
10, 1.69
11, 0.94
12, 1.19
13, 1.05
14, 1.74
15, 1.17
16, 1.30
17, 1.95
18, 1.33
19, 1.43
20, 2.07
21, 1.72
22, 1.39
23, 1.06
24, 1.61
25, 0.50
26, 1.00
27, 1.44
28, 1.56
29, 1.14
30, 1.09
31, 1.73
32, 0.98
33, 1.81
34, 1.57
35, 2.03
36, 1.46
37, 1.32
38, 1.88
39, 1.10
40, 1.72
41, 1.42
42, 1.14
43, 1.11
44, 1.30
45, 1.46
46, 0.70
47, 0.97
48, 1.87
49, 1.30
50, 2.04
51, 1.19
52, 1.61
53, 1.34
54, 1.65
55, 1.68
56, 1.64
57, 1.27
58, 1.88
59, 1.44
60, 1.17
61, 2.02
62, 1.89
63, 1.28
64, 1.18
65, 1.11
66, 1.70
67, 1.39
68, 1.04
69, 1.24
70, 1.41
71, 1.80
72, 1.74
73, 1.90
74, 1.39
75, 1.84
76, 1.40
77, 1.68
78, 0.97
79, 1.31
80, 1.57
81, 1.35
82, 1.67
83, 1.35
84, 1.45
85, 1.22
86, 1.76
87, 1.63
88, 1.76
89, 1.08
90, 1.39
91, 1.50
92, 1.76
93, 1.19
94, 1.21
95, 2.00
96, 1.26
97, 1.10
98, 1.12
99, 1.78
100, 1.45
101, 1.72
102, 2.12
103, 1.38
104, 1.93
105, 1.16
106, 1.02
107, 1.26
108, 1.76
109, 1.99
110, 0.87
111, 1.19
112, 2.03
113, 1.10
114, 0.81
115, 0.90
116, 0.93
117, 0.70
118, 1.73
119, 1.12
120, 1.20
121, 0.96
122, 0.74
123, 0.68
124, 1.10
125, 0.79
126, 1.60
127, 1.42
128, 0.88
129, 1.72
130, 1.50
131, 1.38
132, 1.53
133, 1.26
134, 0.90
135, 1.18
136, 1.00
137, 0.50
138, 1.38
139, 1.04
140, 0.96
141, 1.79
142, 1.97
143, 1.34
144, 1.98
145, 1.40
146, 1.56
147, 1.23
148, 1.61
149, 1.30
150, 1.42
151, 1.36
152, 0.74
153, 1.18
154, 1.02
155, 1.44
156, 1.15
157, 0.97
158, 1.78
159, 2.03
160, 2.02
161, 1.57
162, 0.66
163, 1.51
164, 1.73
165, 1.55
166, 1.69
167, 1.60
168, 1.06
169, 1.76
170, 1.03
171, 1.45
172, 1.62
173, 0.81
174, 0.71
175, 1.66
176, 1.86
177, 1.44
178, 0.93
179, 1.24
180, 1.22
181, 1.97
182, 1.64
183, 1.57
184, 1.46
185, 1.32
186, 0.94
187, 1.26
188, 0.90
189, 1.32
190, 1.52
191, 1.53
192, 1.49
193, 1.26
194, 1.11
195, 1.10
196, 1.21
197, 1.28
198, 0.95
199, 1.70
200, 1.38
201, 1.36
202, 0.79
203, 1.56
204, 1.70
205, 0.82
206, 1.26
207, 1.37
208, 1.99
209, 1.22
210, 1.02
211, 1.73
212, 1.42
213, 1.32
214, 1.23
215, 2.14
216, 1.82
217, 1.36
218, 1.25
219, 2.08
220, 1.57
221, 1.06
222, 1.14
223, 1.26
224, 1.61
225, 1.55
226, 1.31
227, 1.13
228, 0.69
229, 1.32
230, 1.18
231, 1.34
232, 0.86
233, 1.02
234, 1.34
235, 1.35
236, 1.77
237, 1.38
238, 1.21
239, 1.90
240, 0.88
241, 1.73
242, 1.52
243, 0.92
244, 0.67
245, 1.24
246, 1.21
247, 0.62
248, 1.61
249, 1.24
250, 0.64
251, 0.78
252, 1.11
253, 1.92
254, 1.66
255, 1.51
256, 1.45
257, 1.12
258, 2.09
259, 1.31
260, 1.55
261, 0.88
262, 1.29
263, 0.94
264, 1.80
265, 1.40
266, 0.96
267, 0.80
268, 1.83
269, 1.14
270, 1.59
271, 1.60
272, 1.27
273, 1.21
274, 1.20
275, 1.88
276, 1.23
277, 0.62
278, 1.44
279, 2.01
280, 0.74
281, 1.13
282, 1.12
283, 0.92
284, 0.85
285, 0.69
286, 1.20
287, 1.78
288, 1.11
289, 1.53
290, 1.18
291, 1.94
292, 0.64
293, 1.51
294, 2.08
295, 1.48
296, 2.12
297, 0.75
298, 2.04
299, 1.44
300, 1.28
301, 1.46
302, 1.60
303, 0.79
304, 1.27
305, 0.95
306, 1.71
307, 0.81
308, 1.12
309, 1.07
310, 1.13
311, 1.03
312, 1.12
313, 1.69
314, 1.68
315, 1.14
316, 1.48
317, 1.62
318, 1.00
319, 1.52
320, 0.93
321, 1.81
322, 1.17
323, 1.08
324, 1.66
325, 0.88
326, 0.94
327, 1.81
328, 1.52
329, 1.11
330, 1.48
331, 1.43
332, 1.97
333, 1.60
334, 0.91
335, 1.95
336, 0.83
337, 1.73
338, 1.28
339, 0.75
340, 1.62
341, 1.24
342, 1.41
343, 1.66
344, 0.63
345, 1.73
346, 1.53
347, 0.64
348, 0.63
349, 1.20
350, 1.80
351, 1.45
352, 1.20
353, 0.94
354, 1.42
355, 0.99
356, 1.04
357, 1.85
358, 1.60
359, 0.56
360, 1.52
361, 2.04
362, 1.43
363, 1.34
364, 1.99
365, 1.49
366, 1.36
367, 1.16
368, 2.01
369, 1.10
370, 0.62
371, 1.10
372, 1.16
373, 1.67
374, 0.99
375, 0.75
376, 0.54
377, 1.89
378, 1.84
379, 1.88
380, 0.92
381, 1.45
382, 1.56
383, 1.68
384, 1.14
385, 1.26
386, 1.56
387, 1.48
388, 1.20
389, 1.53
390, 1.42
391, 1.34
392, 1.10
393, 1.23
394, 1.87
395, 0.96
396, 1.38
397, 1.53
398, 1.14
399, 1.63
400, 1.32
401, 0.83
402, 1.28
403, 0.87
404, 1.56
405, 0.74
406, 1.34
407, 1.85
408, 0.92
409, 1.51
410, 1.16
411, 0.96
412, 0.65
413, 1.04
414, 1.97
415, 1.60
416, 1.62
417, 1.08
418, 0.88
419, 1.12
420, 1.82
421, 0.83
422, 1.54
423, 1.82
424, 1.76
425, 1.02
426, 1.57
427, 1.24
428, 1.24
