read, delay
1, 0.79
2, 0.51
3, 0.41
4, 0.94
5, 1.05
6, 0.58
7, 1.17
8, 1.21
9, 0.92
10, 0.72
11, 0.70
12, 0.55
13, 0.38
14, 1.03
15, 1.34
16, 0.37
17, 1.24
18, 1.27
19, 0.52
20, 0.77
21, 0.79
22, 1.07
23, 1.28
24, 0.40
25, 0.92
26, 0.51
27, 1.24
28, 0.68
29, 1.15
30, 0.82
31, 0.97
32, 0.78
33, 0.62
34, 0.86
35, 0.65
36, 1.03
37, 1.17
38, 1.30
39, 0.93
40, 0.54
41, 1.06
42, 1.35
43, 0.75
44, 0.87
45, 0.46
46, 1.12
47, 0.79
48, 0.69
49, 1.19
50, 0.66
51, 0.60
52, 0.70
53, 1.18
54, 0.52
55, 0.36
56, 0.81
57, 1.22
58, 0.36
59, 0.59
60, 0.97
61, 0.87
62, 0.67
63, 0.54
64, 0.42
65, 1.00
66, 0.51
67, 0.62
68, 0.34
69, 1.04
70, 0.58
71, 1.03
72, 1.32
73, 0.90
74, 1.00
75, 0.94
76, 0.59
77, 0.91
78, 0.74
79, 0.83
80, 0.94
81, 0.90
82, 0.39
83, 0.50
84, 1.17
85, 0.88
86, 0.70
87, 0.74
88, 0.98
89, 0.99
90, 0.69
91, 0.55
92, 1.10
93, 1.06
94, 0.84
95, 0.84
96, 1.22
97, 0.78
98, 0.67
99, 1.20
100, 1.12
101, 0.97
102, 1.33
103, 0.44
104, 1.08
105, 0.52
106, 1.24
107, 0.60
108, 0.96
109, 0.85
110, 0.48
111, 1.14
112, 0.41
113, 1.16
114, 1.24
115, 0.53
116, 1.28
117, 1.06
118, 0.38
119, 0.82
120, 0.39
121, 0.71
122, 0.47
123, 1.18
124, 0.61
125, 0.71
126, 0.71
127, 0.87
128, 0.82
129, 0.69
130, 1.21
131, 0.98
132, 0.99
133, 0.48
134, 0.56
135, 1.06
136, 0.60
137, 0.34
138, 0.89
139, 0.99
140, 1.04
141, 1.08
142, 1.31
143, 0.56
144, 0.65
145, 1.00
146, 0.98
147, 0.89
148, 0.52
149, 1.38
150, 0.38
151, 1.00
152, 0.32
153, 0.52
154, 1.22
155, 0.68
156, 0.84
157, 1.12
158, 1.22
159, 1.10
160, 0.46
161, 0.38
162, 0.38
163, 1.17
164, 0.68
165, 1.35
166, 0.48
167, 0.59
168, 1.08
169, 1.15
170, 0.56
171, 0.82
172, 1.25
173, 0.73
174, 0.70
175, 1.16
176, 0.73
177, 1.21
178, 1.34
179, 0.84
180, 1.24
181, 0.88
182, 0.59
183, 0.80
184, 0.69
185, 1.16
186, 0.71
187, 0.72
188, 0.62
189, 0.70
190, 0.51
191, 0.48
192, 1.00
193, 1.24
194, 0.80
195, 1.13
196, 1.06
197, 1.12
198, 1.06
199, 1.21
200, 0.58
201, 0.48
202, 0.48
203, 0.66
204, 1.17
205, 0.67
206, 1.12
207, 0.67
208, 0.92
209, 1.02
210, 1.06
211, 0.39
212, 1.18
213, 0.66
214, 0.64
215, 0.86
216, 1.00
217, 1.21
218, 1.15
219, 1.24
220, 0.36
221, 0.98
222, 0.65
223, 0.52
224, 0.70
225, 0.79
226, 0.87
227, 0.40
228, 0.78
229, 0.98
230, 1.02
231, 1.27
232, 1.16
233, 1.04
234, 1.20
235, 1.15
236, 0.49
237, 0.91
238, 0.58
239, 1.02
240, 0.62
241, 1.31
242, 1.08
243, 0.93
244, 1.10
245, 0.43
246, 1.04
247, 0.40
248, 0.83
249, 0.42
250, 0.54
251, 0.73
