read, delay
1, 0.72
2, 0.60
3, 0.97
4, 1.06
5, 0.60
6, 1.05
7, 0.83
8, 0.88
9, 0.71
10, 1.21
11, 1.06
12, 0.67
13, 0.69
14, 0.79
15, 0.56
16, 0.94
17, 0.42
18, 1.28
19, 1.25
20, 1.22
21, 1.04
22, 0.38
23, 0.77
24, 0.57
25, 0.41
26, 0.86
27, 0.96
28, 0.88
29, 0.61
30, 0.42
31, 0.75
32, 0.82
33, 0.60
34, 0.60
35, 1.21
36, 1.04
37, 1.34
38, 0.73
39, 0.85
40, 1.42
41, 0.86
42, 0.58
43, 1.25
44, 0.51
45, 0.66
46, 0.68
47, 0.57
48, 1.08
49, 0.84
50, 0.99
51, 0.55
52, 1.32
53, 1.25
54, 1.32
55, 0.58
56, 1.01
57, 0.72
58, 0.47
59, 0.74
60, 0.45
61, 0.29
62, 0.97
63, 1.34
64, 1.16
65, 1.11
66, 0.68
67, 0.88
68, 1.12
69, 0.50
70, 1.13
71, 0.72
72, 0.71
73, 1.01
74, 1.01
75, 1.23
76, 1.27
77, 0.46
78, 1.08
79, 0.80
80, 1.02
81, 0.80
82, 1.16
83, 1.07
84, 1.12
85, 0.94
86, 0.63
87, 0.55
88, 0.75
89, 1.06
90, 1.22
91, 0.70
92, 0.55
93, 0.54
94, 0.82
95, 0.84
96, 0.89
97, 0.34
98, 1.16
99, 0.84
100, 0.82
101, 0.32
102, 1.14
103, 1.08
104, 1.29
105, 1.08
106, 0.75
107, 0.57
108, 0.62
109, 0.55
110, 0.66
111, 1.33
112, 1.13
113, 0.93
114, 0.56
115, 0.85
116, 0.95
117, 0.77
118, 1.06
119, 0.64
120, 1.06
121, 1.17
122, 0.49
123, 0.58
124, 1.10
125, 0.87
126, 0.99
127, 0.43
128, 0.91
129, 0.62
130, 0.94
131, 0.91
132, 0.68
133, 1.06
134, 0.46
135, 1.27
136, 0.98
137, 1.14
138, 0.61
139, 0.53
140, 0.54
141, 0.37
142, 0.76
143, 1.00
144, 1.29
145, 0.76
146, 0.59
147, 0.64
148, 0.67
149, 1.10
150, 0.60
151, 1.10
152, 0.97
153, 0.57
154, 0.70
155, 1.26
156, 0.42
157, 0.42
158, 1.30
159, 0.96
160, 1.24
161, 1.12
162, 0.68
163, 0.54
164, 0.89
165, 0.62
166, 0.34
167, 1.22
168, 0.54
169, 0.34
170, 0.53
171, 1.35
172, 0.65
173, 0.99
174, 0.96
175, 1.22
176, 0.92
177, 1.27
178, 0.94
179, 0.64
180, 0.88
181, 0.58
182, 0.61
183, 0.46
184, 1.04
185, 0.54
186, 0.76
187, 0.56
188, 0.34
189, 1.20
190, 0.73
191, 0.90
192, 0.97
193, 1.08
194, 0.63
195, 1.24
196, 0.88
197, 0.88
198, 0.59
199, 1.28
200, 0.36
201, 0.40
202, 0.42
203, 0.84
204, 1.15
205, 1.14
206, 0.41
207, 1.26
208, 0.77
209, 0.92
210, 1.15
211, 0.74
212, 0.99
213, 1.02
214, 1.32
215, 0.69
216, 0.44
217, 0.49
218, 0.72
219, 1.16
220, 0.40
221, 0.52
222, 1.10
223, 0.57
224, 1.09
225, 0.76
226, 1.20
227, 1.26
228, 0.61
229, 0.79
230, 0.38
231, 1.04
232, 0.76
233, 0.80
234, 0.97
235, 1.15
236, 0.34
237, 0.67
238, 1.32
239, 0.99
240, 0.50
241, 0.78
242, 0.67
243, 0.90
244, 0.41
245, 1.18
246, 0.59
247, 0.65
248, 0.88
249, 0.67
250, 0.54
251, 0.94
252, 0.41
253, 0.47
254, 1.14
255, 0.56
256, 0.68
257, 0.72
258, 1.18
259, 0.40
260, 1.13
261, 0.86
262, 0.83
263, 0.59
264, 1.25
265, 0.46
266, 0.75
267, 0.64
268, 0.46
269, 0.31
270, 0.40
271, 0.59
272, 0.96
273, 0.33
274, 0.42
275, 0.56
276, 1.25
277, 1.34
278, 0.73
279, 0.91
280, 1.21
281, 0.87
282, 1.14
283, 1.04
284, 1.05
285, 0.92
286, 1.14
287, 0.60
288, 0.56
289, 0.49
290, 1.32
291, 0.89
292, 0.93
293, 0.66
294, 0.88
295, 0.99
296, 1.18
297, 0.42
298, 1.24
299, 1.28
300, 0.83
301, 1.09
302, 0.70
303, 0.90
304, 0.44
305, 1.18
306, 1.18
307, 0.48
308, 1.16
309, 0.61
310, 1.20
311, 0.57
312, 1.08
313, 0.43
314, 0.87
315, 1.25
316, 0.37
317, 1.03
318, 0.78
319, 0.42
320, 0.44
321, 0.32
322, 0.56
323, 0.63
324, 1.02
325, 1.03
326, 0.70
327, 0.86
328, 1.26
329, 0.85
330, 1.04
331, 1.15
332, 1.32
333, 0.90
334, 0.88
335, 0.92
336, 0.40
337, 0.40
338, 1.00
339, 0.72
340, 0.73
341, 0.75
342, 1.09
343, 0.50
344, 0.40
345, 1.07
346, 0.53
347, 0.52
348, 1.10
349, 0.68
350, 0.67
351, 1.14
352, 0.71
353, 1.24
354, 0.66
355, 0.93
356, 1.05
357, 0.55
358, 0.82
359, 0.92
360, 1.20
361, 0.76
362, 0.95
363, 0.37
364, 0.44
365, 1.17
366, 0.48
367, 1.00
368, 0.94
369, 0.36
370, 1.32
371, 0.53
372, 0.73
373, 1.30
374, 0.57
375, 0.51
376, 0.58
377, 0.91
378, 0.68
379, 0.84
380, 0.86
381, 1.03
382, 0.68
383, 0.30
384, 0.64
385, 0.90
386, 1.15
387, 1.04
388, 0.48
389, 0.59
390, 0.92
391, 0.75
392, 0.54
393, 0.74
394, 0.62
395, 0.72
396, 1.10
397, 0.73
398, 1.00
399, 0.58
400, 0.46
401, 0.63
402, 0.52
403, 0.78
404, 1.06
405, 0.58
406, 1.32
407, 0.64
408, 0.60
409, 0.53
410, 0.96
411, 0.42
412, 0.52
413, 0.53
414, 1.10
415, 1.23
416, 1.32
417, 0.38
418, 0.38
419, 0.68
420, 0.72
421, 1.16
422, 1.21
423, 0.66
424, 0.68
425, 0.56
426, 0.58
427, 0.38
428, 1.04
429, 0.97
430, 0.42
431, 0.52
432, 1.00
433, 0.83
434, 0.42
435, 0.56
436, 1.03
437, 1.12
438, 1.19
439, 0.49
440, 0.98
441, 1.17
442, 1.07
443, 0.50
444, 0.43
445, 0.41
446, 1.20
447, 0.90
448, 1.30
449, 1.31
450, 0.50
451, 1.20
452, 0.38
453, 0.64
454, 0.71
455, 1.34
456, 0.42
457, 1.08
458, 1.25
459, 0.59
460, 0.44
461, 1.28
462, 1.17
463, 0.71
464, 1.15
465, 0.40
466, 0.41
467, 0.60
468, 1.05
469, 1.30
470, 0.96
471, 0.99
472, 1.07
473, 0.60
474, 1.27
475, 1.03
476, 0.69
477, 0.42
478, 0.55
479, 1.03
480, 0.91
481, 0.97
482, 1.21
483, 0.38
484, 0.80
485, 0.33
486, 0.98
487, 0.48
488, 1.09
489, 0.54
490, 1.23
491, 0.37
492, 1.13
493, 0.50
494, 0.51
495, 0.98
496, 0.60
497, 1.23
498, 1.28
499, 0.44
500, 0.61
501, 1.17
502, 0.32
503, 1.01
504, 0.76
505, 0.69
506, 0.76
507, 0.70
508, 1.15
509, 0.54
510, 1.33
511, 0.60
512, 1.08
513, 1.26
514, 1.03
515, 0.67
516, 0.87
517, 0.99
518, 1.37
519, 1.16
520, 1.16
521, 0.74
522, 1.13
523, 0.38
524, 0.57
525, 0.36
526, 1.01
527, 0.77
528, 1.24
529, 0.52
530, 1.09
531, 0.62
532, 1.02
533, 1.10
534, 0.86
535, 1.16
536, 0.79
537, 0.91
538, 0.47
539, 0.74
540, 1.07
541, 0.83
542, 0.62
543, 1.29
544, 0.92
545, 0.77
546, 0.58
547, 0.48
548, 1.02
549, 0.80
550, 0.59
551, 0.34
552, 1.21
553, 0.66
554, 1.03
555, 0.84
556, 0.83
557, 0.37
558, 0.70
559, 0.30
560, 0.39
561, 0.80
562, 0.52
563, 0.69
564, 1.21
565, 1.28
566, 0.92
567, 0.47
568, 0.81
569, 0.61
570, 1.20
571, 1.02
572, 1.05
573, 0.48
574, 1.09
575, 0.75
576, 1.24
577, 1.35
578, 0.37
579, 0.76
580, 1.13
581, 0.48
582, 0.86
583, 0.96
584, 1.24
585, 1.20
586, 0.41
587, 0.55
588, 1.03
589, 0.93
590, 0.55
591, 0.84
592, 0.55
593, 0.49
594, 0.76
595, 0.58
596, 0.48
597, 1.01
598, 0.38
599, 0.67
600, 0.93
601, 0.92
602, 1.10
603, 0.96
604, 1.33
605, 0.67
606, 0.94
607, 0.44
608, 0.54
609, 0.81
610, 1.35
611, 0.89
612, 1.22
613, 0.69
614, 1.11
615, 0.92
616, 0.56
617, 1.13
618, 1.22
619, 0.46
620, 0.60
621, 0.95
622, 0.54
623, 1.05
624, 1.18
625, 1.32
626, 0.41
627, 0.49
628, 0.96
629, 1.16
630, 0.34
631, 0.92
632, 1.20
633, 0.69
634, 0.94
635, 0.92
636, 0.41
637, 0.71
638, 0.51
639, 0.80
640, 0.80
641, 0.78
642, 1.17
643, 0.88
644, 1.23
645, 0.64
646, 1.19
647, 1.02
648, 1.27
649, 0.34
650, 0.70
651, 0.72
652, 0.75
653, 0.96
654, 0.47
655, 0.85
656, 1.33
657, 1.00
658, 0.88
659, 1.19
660, 0.49
661, 0.67
662, 0.34
663, 0.80
664, 0.66
665, 0.76
666, 0.80
667, 0.28
668, 0.47
669, 0.36
670, 1.02
671, 1.23
672, 1.06
673, 0.52
674, 0.97
675, 0.84
676, 0.96
677, 0.84
678, 1.21
679, 0.99
680, 0.66
681, 0.51
682, 0.48
683, 0.93
684, 0.54
685, 1.14
686, 0.36
687, 1.08
688, 1.05
689, 0.78
690, 0.74
691, 0.99
692, 1.21
693, 0.81
694, 0.44
695, 0.36
696, 0.51
697, 0.79
698, 0.96
699, 0.34
700, 0.43
701, 0.51
702, 0.78
703, 0.62
704, 0.94
705, 1.16
706, 1.29
707, 0.39
708, 0.64
709, 0.63
710, 1.25
711, 0.78
712, 0.87
713, 1.27
714, 0.39
715, 0.44
716, 0.82
717, 1.23
718, 0.80
719, 0.49
720, 0.54
721, 1.00
722, 0.94
723, 1.08
724, 0.43
725, 0.88
726, 0.83
727, 0.69
728, 1.15
729, 0.56
730, 0.66
731, 0.62
732, 1.27
733, 1.28
734, 0.64
735, 1.13
736, 0.85
737, 1.21
738, 0.88
739, 0.65
740, 0.94
741, 0.53
742, 0.39
743, 0.53
744, 1.13
745, 0.56
746, 0.97
747, 0.80
748, 1.10
749, 1.25
750, 0.61
751, 0.56
752, 0.60
753, 1.12
754, 1.06
755, 1.20
756, 0.92
757, 1.03
758, 0.81
759, 1.00
760, 1.06
761, 0.91
762, 1.29
763, 0.40
764, 1.18
765, 0.70
766, 0.38
767, 0.72
768, 0.83
769, 1.11
770, 0.32
771, 1.11
772, 0.34
773, 1.17
774, 0.96
775, 1.31
776, 1.09
777, 1.13
778, 1.17
779, 0.72
780, 0.51
781, 0.86
782, 0.46
783, 1.25
784, 0.54
785, 0.59
786, 1.33
787, 1.20
788, 1.18
789, 1.13
790, 0.89
791, 0.80
792, 1.08
793, 0.53
794, 0.65
795, 1.02
796, 1.28
797, 0.54
798, 0.46
799, 1.07
800, 1.15
801, 0.37
802, 0.47
803, 0.36
804, 0.56
805, 1.26
806, 1.18
807, 1.12
808, 0.99
809, 1.32
810, 0.44
811, 0.78
812, 0.67
813, 1.27
814, 0.82
815, 0.77
816, 0.40
817, 0.72
818, 1.02
819, 0.32
820, 1.15
821, 1.01
822, 0.50
823, 0.36
824, 1.25
825, 0.76
826, 0.62
827, 1.28
828, 1.09
829, 0.72
830, 1.14
831, 0.98
832, 0.52
833, 0.45
834, 1.31
835, 0.50
836, 1.12
837, 1.02
838, 0.83
839, 0.46
840, 0.87
841, 0.66
842, 0.63
843, 1.31
844, 0.57
845, 0.97
846, 0.84
847, 1.14
848, 1.24
849, 1.23
850, 0.88
851, 0.64
852, 0.83
853, 1.04
854, 1.04
855, 0.68
856, 1.16
857, 1.02
858, 1.19
859, 0.95
860, 0.94
861, 0.58
862, 0.42
863, 0.79
864, 0.77
865, 0.59
866, 0.98
867, 0.61
868, 0.43
869, 1.08
