read, delay
1, 1.06
2, 1.27
3, 0.37
4, 0.62
5, 1.04
6, 0.42
7, 0.51
8, 0.92
9, 1.03
10, 0.99
11, 0.99
12, 0.62
13, 1.06
14, 0.54
15, 1.27
16, 0.92
17, 0.50
18, 1.25
19, 0.70
20, 1.24
21, 1.26
22, 0.52
23, 0.43
24, 0.73
25, 1.24
26, 0.68
27, 1.09
28, 0.67
29, 0.86
30, 0.47
31, 1.07
32, 0.45
33, 0.57
34, 1.32
35, 0.99
36, 0.45
37, 0.96
38, 0.42
39, 0.53
40, 0.68
41, 0.99
42, 0.41
43, 0.41
44, 0.90
45, 0.40
46, 1.14
47, 0.62
48, 0.58
49, 1.19
50, 0.88
51, 1.36
52, 1.14
53, 0.50
54, 1.14
55, 0.58
56, 0.79
57, 1.14
58, 1.10
59, 0.51
60, 1.24
61, 0.75
62, 0.98
63, 0.49
64, 0.48
65, 0.55
66, 0.74
67, 0.67
68, 0.70
69, 0.41
70, 0.40
71, 1.22
72, 0.70
73, 0.91
74, 0.47
75, 1.01
76, 1.28
77, 1.18
78, 0.72
79, 0.74
80, 0.88
81, 1.25
82, 0.88
83, 0.92
84, 0.54
85, 0.87
86, 1.06
87, 1.32
88, 0.69
89, 1.29
90, 1.04
91, 0.42
92, 0.75
93, 0.70
94, 1.20
95, 0.79
96, 0.75
97, 0.68
98, 0.39
99, 0.49
100, 0.44
101, 0.51
102, 0.59
103, 1.09
104, 0.34
105, 1.22
106, 0.56
107, 1.14
108, 1.24
109, 1.11
110, 0.53
111, 0.52
112, 0.49
113, 0.65
114, 0.73
115, 0.74
116, 0.79
117, 1.14
118, 1.00
119, 0.57
120, 1.23
121, 1.09
122, 1.04
123, 0.50
124, 0.69
125, 1.02
126, 0.33
127, 0.59
128, 1.00
129, 0.74
130, 0.51
131, 0.94
132, 0.56
133, 0.81
134, 1.10
135, 1.19
136, 1.14
137, 1.16
138, 0.60
139, 0.58
140, 1.25
141, 0.90
142, 0.66
143, 0.45
144, 0.83
145, 1.32
146, 0.88
147, 1.29
148, 0.53
149, 0.84
150, 1.31
151, 0.68
152, 0.53
153, 0.74
154, 0.40
155, 1.03
156, 0.40
157, 0.63
158, 0.88
159, 0.74
160, 0.37
161, 1.15
162, 0.95
163, 0.43
164, 0.59
165, 0.78
166, 1.00
167, 0.84
168, 1.21
169, 1.02
170, 1.03
171, 0.38
172, 0.51
173, 1.26
174, 1.04
175, 1.20
176, 1.30
177, 0.92
178, 0.67
179, 0.53
180, 0.87
181, 1.26
182, 1.16
183, 0.46
184, 0.96
185, 0.48
186, 0.86
187, 0.45
188, 0.39
189, 0.92
190, 0.77
191, 0.42
192, 1.12
193, 0.40
194, 0.81
195, 1.15
196, 0.88
197, 0.82
198, 0.75
199, 1.30
200, 0.55
201, 0.62
202, 0.91
203, 0.77
204, 1.03
205, 1.13
206, 1.26
207, 1.00
208, 0.62
209, 1.22
210, 0.94
211, 0.28
212, 1.27
213, 1.22
214, 0.50
215, 0.44
216, 0.89
217, 0.62
218, 1.09
219, 1.36
220, 1.10
221, 0.83
222, 0.88
223, 0.72
224, 1.01
225, 0.50
226, 0.68
227, 0.78
228, 0.64
229, 0.48
230, 0.53
231, 1.30
232, 0.62
233, 0.88
234, 0.81
235, 0.96
236, 0.55
237, 1.36
238, 0.75
239, 0.54
240, 1.27
241, 0.65
242, 0.88
243, 0.77
244, 0.74
245, 1.19
246, 0.41
247, 1.13
248, 0.60
249, 1.12
250, 0.40
251, 0.76
252, 0.96
253, 1.30
254, 0.95
255, 0.54
256, 0.98
257, 0.80
258, 0.52
259, 0.62
260, 0.92
261, 0.96
262, 0.70
263, 1.10
264, 0.50
265, 0.52
266, 0.94
267, 0.48
268, 1.22
269, 1.05
270, 1.28
271, 0.48
272, 0.68
273, 0.60
274, 0.79
275, 0.50
276, 1.10
277, 0.56
278, 0.74
279, 0.91
280, 1.16
281, 0.52
282, 0.98
283, 0.76
284, 0.65
285, 0.55
286, 1.29
287, 0.65
288, 0.72
289, 0.66
290, 1.09
291, 0.62
292, 1.09
293, 1.37
294, 1.13
295, 1.17
296, 0.48
297, 1.11
298, 0.56
299, 0.72
300, 0.41
301, 0.35
302, 0.53
303, 0.48
304, 1.11
305, 0.63
306, 0.53
307, 0.34
308, 0.81
309, 1.25
310, 1.12
311, 1.00
312, 1.00
313, 0.99
314, 0.92
315, 1.23
316, 1.28
317, 0.97
318, 1.22
319, 0.60
320, 0.91
321, 0.85
322, 0.67
323, 1.32
324, 1.04
325, 1.31
326, 1.30
327, 1.18
328, 0.59
329, 0.63
330, 0.61
331, 1.07
332, 0.95
333, 1.00
334, 0.62
335, 0.79
336, 1.00
337, 0.77
338, 0.72
339, 1.02
340, 1.18
341, 1.11
342, 0.87
343, 1.24
344, 1.26
345, 0.94
346, 1.14
347, 0.48
348, 1.28
349, 0.90
350, 1.07
351, 0.63
352, 0.87
353, 0.51
354, 0.45
355, 1.22
356, 0.41
357, 0.62
358, 0.33
359, 0.92
360, 1.26
361, 0.70
362, 0.82
363, 0.64
364, 1.13
365, 1.18
366, 0.45
367, 0.62
368, 1.17
369, 0.80
370, 0.91
371, 0.68
372, 1.07
373, 1.21
374, 0.92
375, 1.00
376, 0.57
377, 0.96
378, 0.78
379, 1.09
380, 1.00
381, 0.49
382, 1.28
383, 1.26
384, 1.16
385, 0.99
386, 0.38
