read, delay
1, 0.59
2, 0.68
3, 1.09
4, 0.81
5, 0.54
6, 0.66
7, 1.16
8, 1.00
9, 0.82
10, 1.02
11, 0.72
12, 0.56
13, 1.32
14, 0.84
15, 0.94
16, 0.71
17, 0.80
18, 0.56
19, 1.00
20, 0.65
21, 1.27
22, 0.82
23, 0.30
24, 1.18
25, 1.14
26, 0.32
27, 0.33
28, 0.68
29, 0.66
30, 0.74
31, 1.04
32, 0.50
33, 0.67
34, 1.30
35, 0.88
36, 1.09
37, 1.04
38, 0.54
39, 0.86
40, 1.03
41, 1.37
42, 0.83
43, 1.00
44, 0.28
45, 1.08
46, 0.88
47, 0.71
48, 0.88
49, 1.13
50, 0.51
51, 1.01
52, 0.37
53, 0.78
54, 1.10
55, 0.38
56, 1.26
57, 0.39
58, 0.90
59, 1.17
60, 0.79
61, 1.13
62, 0.60
63, 1.02
64, 0.86
65, 0.37
66, 0.51
67, 1.13
68, 1.23
69, 1.20
70, 1.26
71, 1.20
72, 0.30
73, 0.48
74, 0.99
75, 0.81
76, 1.11
77, 0.94
78, 1.27
79, 0.68
80, 0.57
81, 0.92
82, 0.78
83, 0.85
84, 0.77
85, 1.21
86, 1.10
87, 0.52
88, 0.72
89, 1.27
90, 0.88
91, 0.46
92, 1.20
93, 0.42
94, 0.74
95, 0.96
96, 0.89
97, 0.84
98, 1.35
99, 0.68
100, 0.90
101, 0.86
102, 1.18
103, 1.34
104, 0.84
105, 1.17
106, 1.16
107, 0.76
108, 0.35
109, 0.84
110, 0.65
111, 0.87
112, 1.15
113, 0.39
114, 0.73
115, 1.29
116, 0.84
117, 1.27
118, 1.11
119, 1.27
120, 1.16
121, 0.67
122, 0.34
123, 0.94
124, 0.81
125, 0.46
126, 0.48
127, 1.23
128, 0.87
129, 1.14
130, 0.95
131, 0.92
132, 1.30
133, 0.60
134, 0.38
135, 0.99
136, 1.14
137, 0.40
138, 1.15
139, 0.72
140, 0.60
141, 1.20
142, 0.78
143, 0.45
144, 0.91
145, 0.58
146, 1.34
147, 0.55
148, 0.28
149, 0.56
150, 1.22
151, 0.47
152, 1.06
153, 1.15
154, 1.11
155, 0.56
156, 0.62
157, 0.82
158, 1.23
159, 0.95
160, 1.19
161, 0.53
162, 0.44
163, 0.83
164, 0.90
165, 0.45
166, 1.04
167, 0.58
168, 0.74
169, 1.16
170, 0.84
171, 1.34
172, 0.56
173, 1.22
174, 0.69
175, 0.47
176, 0.36
177, 0.32
178, 1.32
179, 1.26
180, 0.43
181, 0.94
182, 1.12
183, 0.52
184, 1.07
185, 0.42
186, 1.07
187, 0.44
188, 0.93
189, 0.74
190, 0.77
191, 1.04
192, 0.36
193, 0.46
194, 0.92
195, 0.44
196, 0.92
197, 0.96
198, 0.39
199, 1.19
200, 0.86
201, 1.22
202, 0.46
203, 0.70
204, 0.92
205, 1.06
206, 0.89
207, 1.14
208, 1.18
209, 0.71
210, 0.60
211, 0.71
212, 0.80
213, 0.42
214, 1.12
215, 0.41
216, 0.59
217, 1.16
218, 0.82
219, 0.92
220, 0.99
221, 1.27
222, 0.90
223, 0.81
224, 0.36
225, 0.80
226, 1.07
227, 0.38
228, 0.48
229, 1.30
230, 0.38
231, 0.37
232, 0.72
233, 0.54
234, 0.90
235, 0.98
236, 0.76
237, 0.84
238, 0.60
239, 1.22
240, 0.55
241, 0.56
242, 1.24
243, 0.84
244, 0.56
245, 0.65
246, 1.13
247, 0.99
248, 1.04
249, 0.56
250, 0.68
251, 0.73
252, 0.49
253, 0.91
254, 0.98
255, 0.60
256, 0.61
257, 0.48
258, 0.44
259, 1.14
260, 0.66
261, 0.36
262, 0.92
263, 0.51
264, 0.82
265, 0.85
266, 0.48
267, 0.49
268, 1.29
269, 1.02
270, 0.57
271, 0.57
272, 1.12
273, 0.68
274, 0.43
275, 0.98
276, 0.50
277, 1.22
278, 1.09
279, 0.37
280, 0.47
281, 0.42
282, 1.13
283, 0.33
284, 0.62
285, 0.58
286, 1.36
287, 0.48
288, 1.20
289, 0.60
290, 0.46
291, 1.37
292, 0.82
293, 1.18
294, 1.12
295, 0.89
296, 1.22
297, 1.18
298, 0.42
299, 0.49
300, 0.98
301, 0.86
302, 0.86
303, 0.40
304, 0.71
305, 1.14
306, 1.18
307, 1.00
308, 0.63
309, 0.87
310, 0.64
311, 0.78
312, 1.19
313, 0.40
314, 0.50
315, 1.33
316, 0.55
317, 1.02
318, 0.66
319, 1.04
320, 1.00
321, 0.87
322, 0.78
323, 0.31
324, 0.85
325, 0.56
326, 0.90
327, 1.19
328, 0.65
329, 1.34
330, 1.11
331, 0.38
332, 0.28
333, 0.82
334, 1.08
335, 1.23
336, 0.81
337, 0.33
338, 1.14
339, 1.24
340, 0.36
341, 1.20
342, 0.90
343, 0.35
344, 1.02
345, 0.89
346, 1.38
347, 0.82
348, 0.95
349, 0.45
350, 0.44
351, 0.50
352, 0.98
353, 0.42
354, 0.52
355, 0.77
