read, delay
1, 1.72
2, 2.08
3, 1.58
4, 1.45
5, 2.26
6, 1.39
7, 1.33
8, 1.78
9, 2.33
10, 0.98
11, 2.25
12, 0.84
13, 1.90
14, 0.88
15, 1.92
16, 1.37
17, 1.96
18, 1.33
19, 1.44
20, 1.75
21, 1.11
22, 2.01
23, 1.07
24, 2.34
25, 1.00
26, 1.30
27, 1.91
28, 1.56
29, 1.96
30, 1.12
31, 1.95
32, 0.91
33, 2.01
34, 0.93
35, 1.96
36, 1.14
37, 2.17
38, 1.10
39, 1.58
40, 1.88
41, 1.94
42, 1.46
43, 1.51
44, 1.25
45, 1.94
46, 0.93
47, 1.48
48, 1.37
49, 1.37
50, 2.20
51, 1.26
52, 1.66
53, 1.91
54, 1.46
55, 1.22
56, 1.82
57, 0.98
58, 1.23
59, 1.82
60, 1.75
61, 1.86
62, 1.14
63, 1.92
64, 1.81
65, 2.14
66, 1.38
67, 2.30
68, 1.28
69, 1.21
70, 1.96
71, 1.65
72, 1.57
73, 2.29
74, 1.76
75, 1.79
76, 1.01
77, 1.77
78, 1.45
79, 1.11
80, 1.82
81, 1.87
82, 1.79
83, 1.66
84, 2.22
85, 1.50
86, 1.34
87, 2.07
88, 0.94
89, 2.25
90, 1.34
91, 2.07
92, 1.40
93, 1.56
94, 2.18
95, 1.82
96, 1.49
97, 1.19
98, 1.49
99, 0.92
100, 1.34
101, 1.38
102, 1.31
103, 2.14
104, 1.24
105, 1.38
106, 1.20
107, 1.64
108, 1.50
109, 1.56
110, 1.26
111, 1.76
112, 1.36
113, 1.47
114, 1.68
115, 2.13
116, 1.32
117, 1.37
118, 1.25
119, 1.30
120, 1.69
121, 1.47
122, 2.14
123, 1.14
124, 2.44
125, 0.92
126, 1.80
127, 1.55
128, 2.05
129, 1.38
130, 1.70
131, 1.59
132, 1.18
133, 2.01
134, 0.92
135, 2.28
136, 1.64
137, 1.45
138, 1.38
139, 1.75
140, 2.14
141, 0.88
142, 1.68
143, 1.50
144, 1.60
145, 2.18
146, 1.71
147, 2.18
148, 1.13
149, 1.44
150, 1.10
151, 2.07
152, 1.10
153, 2.12
154, 1.48
155, 1.94
156, 1.77
157, 1.85
158, 1.67
159, 1.74
160, 1.66
161, 1.19
162, 1.61
163, 1.38
164, 1.83
165, 1.46
166, 1.65
167, 1.96
168, 1.24
169, 2.48
170, 1.00
171, 2.36
