read, delay
1, 15.92
2, 14.73
3, 14.12
4, 13.84
5, 13.55
6, 12.71
7, 12.20
8, 12.02
9, 11.83
10, 11.03
11, 10.76
12, 10.57
13, 18.37
14, 17.85
15, 16.93
16, 16.73
17, 15.84
18, 15.26
19, 14.74
20, 14.37
21, 14.01
22, 13.57
23, 13.05
24, 12.92
25, 11.90
26, 11.04
27, 18.09
28, 17.41
29, 16.40
30, 15.49
31, 14.78
32, 14.25
33, 13.42
34, 13.01
35, 12.62
36, 11.80
37, 10.80
38, 10.28
39, 9.61
40, 16.79
41, 16.05
42, 15.60
43, 14.72
44, 14.01
45, 13.80
46, 13.60
47, 13.42
48, 12.58
49, 11.84
50, 11.22
51, 18.74
52, 18.07
53, 17.49
54, 16.83
55, 16.08
56, 14.98
57, 14.10
58, 13.63
59, 12.91
60, 12.52
61, 11.86
62, 11.33
63, 10.76
64, 10.60
65, 10.12
66, 17.26
67, 16.85
68, 15.99
69, 14.48
70, 13.56
71, 12.48
72, 11.61
73, 10.76
74, 10.27
75, 10.10
76, 17.42
77, 17.26
78, 16.56
79, 15.98
80, 14.41
81, 13.83
82, 13.67
83, 12.74
84, 11.67
85, 11.07
86, 18.00
87, 17.37
88, 16.60
89, 16.13
90, 15.76
91, 15.14
92, 14.86
93, 14.07
94, 13.40
95, 12.63
96, 11.55
97, 10.48
98, 17.98
99, 17.34
100, 16.56
101, 15.49
102, 14.82
103, 13.96
104, 13.46
105, 12.78
106, 11.80
107, 11.35
108, 18.98
109, 18.46
110, 18.26
111, 17.48
112, 16.77
113, 16.04
114, 15.39
115, 14.91
116, 14.45
117, 13.86
118, 13.72
119, 12.88
120, 11.77
121, 11.29
122, 10.93
123, 18.53
124, 17.41
125, 17.06
126, 16.09
127, 15.90
128, 15.08
129, 14.38
130, 14.18
131, 13.16
132, 12.54
133, 11.86
134, 11.63
135, 11.22
136, 10.39
137, 17.64
138, 17.40
139, 16.98
140, 16.84
141, 16.44
142, 16.02
143, 15.22
144, 14.69
145, 14.37
146, 14.10
147, 13.33
148, 13.04
149, 12.32
150, 11.98
151, 11.22
152, 18.82
153, 17.94
154, 16.85
155, 16.32
156, 15.40
157, 14.59
158, 14.01
159, 13.73
160, 12.95
161, 12.30
162, 11.17
163, 10.61
164, 17.68
165, 17.22
166, 16.80
167, 16.36
168, 15.50
169, 14.94
170, 14.60
171, 14.10
172, 13.32
173, 13.00
174, 12.46
175, 12.24
176, 19.12
177, 18.08
178, 17.08
179, 16.04
180, 15.22
181, 14.70
182, 13.89
183, 13.29
184, 12.85
185, 12.21
186, 11.86
187, 11.21
188, 18.72
189, 18.52
190, 17.54
191, 16.82
192, 16.16
193, 15.27
194, 14.71
195, 14.20
196, 13.74
197, 12.75
198, 12.18
199, 11.96
200, 11.67
201, 11.03
202, 10.28
203, 17.49
204, 16.71
205, 15.86
206, 15.36
207, 14.59
208, 13.62
209, 13.18
210, 13.05
211, 12.17
212, 19.26
213, 18.90
214, 18.57
215, 17.89
216, 17.05
217, 16.63
218, 16.29
219, 15.39
220, 14.47
221, 13.74
222, 13.38
223, 12.30
224, 11.86
225, 11.24
226, 18.53
227, 9.82
228, 16.92
229, 16.76
230, 15.85
231, 14.51
232, 13.85
233, 13.67
234, 13.02
235, 12.09
236, 11.90
237, 18.97
238, 18.72
239, 18.32
240, 17.66
241, 16.69
242, 16.36
243, 15.96
244, 15.25
245, 14.34
246, 13.83
247, 13.68
248, 12.72
249, 12.24
250, 11.35
251, 18.41
252, 18.18
253, 17.58
254, 16.68
255, 16.29
256, 15.28
257, 14.17
258, 13.13
259, 12.80
260, 12.33
261, 12.04
262, 11.61
263, 11.21
264, 18.50
265, 17.55
266, 17.16
267, 16.10
268, 15.98
269, 15.23
270, 14.78
271, 13.78
272, 13.31
273, 12.88
274, 12.64
275, 12.20
276, 19.70
277, 19.42
278, 18.31
279, 17.57
280, 16.68
281, 15.65
282, 15.22
283, 14.40
284, 13.70
285, 12.66
286, 12.42
287, 11.52
288, 11.27
289, 18.67
290, 18.52
291, 17.40
292, 16.88
293, 16.23
294, 15.19
295, 14.96
296, 14.29
297, 13.24
298, 12.46
299, 11.55
300, 11.04
301, 18.92
302, 17.92
303, 17.45
304, 16.76
305, 16.20
306, 15.24
307, 15.05
308, 14.69
309, 13.92
310, 13.70
311, 12.84
312, 12.25
313, 19.49
314, 18.59
315, 18.40
316, 17.62
317, 17.09
318, 16.74
319, 16.13
320, 15.08
321, 13.93
322, 12.85
323, 12.36
324, 11.92
325, 11.64
326, 18.94
327, 18.28
328, 17.72
329, 17.40
330, 17.16
331, 16.46
332, 15.35
333, 14.89
334, 14.14
335, 13.28
336, 12.89
337, 12.42
338, 20.19
339, 19.32
340, 18.40
341, 18.29
342, 17.99
343, 17.46
344, 17.11
345, 16.96
346, 16.44
347, 15.91
348, 14.65
349, 14.06
350, 13.12
351, 12.20
352, 11.65
353, 19.11
354, 18.22
355, 17.46
356, 16.52
357, 16.01
358, 15.10
359, 14.63
360, 14.48
361, 13.85
362, 12.84
363, 12.59
364, 12.13
365, 11.40
366, 18.60
367, 18.12
368, 17.35
369, 16.21
370, 15.54
371, 15.03
372, 14.39
373, 14.04
374, 13.49
375, 12.38
376, 11.97
377, 11.30
378, 10.53
379, 17.70
380, 17.49
381, 17.20
382, 16.97
383, 16.16
384, 15.12
385, 14.18
386, 13.40
387, 12.96
388, 12.24
389, 11.87
390, 11.24
391, 10.32
392, 10.08
393, 9.58
394, 16.64
395, 16.50
396, 16.10
397, 15.78
398, 15.29
399, 15.04
400, 14.78
401, 14.44
402, 14.32
403, 13.75
404, 13.27
405, 12.97
406, 12.77
407, 12.32
408, 11.33
409, 11.05
410, 18.10
411, 17.09
412, 16.48
413, 15.71
414, 14.99
415, 14.60
416, 14.24
417, 13.74
418, 13.02
419, 12.02
420, 11.28
421, 11.14
422, 10.36
423, 9.59
424, 17.03
425, 16.18
