read, delay
1, 7.45
2, 10.31
3, 9.62
4, 9.12
5, 8.81
6, 8.66
7, 8.49
8, 7.46
9, 7.29
10, 10.98
11, 10.35
12, 9.78
13, 9.22
14, 8.73
15, 8.22
16, 7.86
17, 7.51
18, 6.91
19, 10.32
20, 9.42
21, 8.96
22, 8.56
23, 12.18
24, 11.18
25, 10.54
26, 9.70
27, 8.87
28, 8.46
29, 11.76
30, 10.78
31, 10.55
32, 10.06
33, 9.36
34, 8.28
35, 11.18
36, 10.74
37, 9.97
38, 9.80
39, 9.48
40, 8.36
41, 8.22
42, 8.01
43, 7.27
44, 10.52
45, 9.71
46, 8.85
47, 7.74
48, 7.08
49, 10.41
50, 9.40
51, 8.62
52, 7.60
53, 10.53
54, 9.66
55, 8.74
56, 12.07
57, 11.36
58, 10.84
59, 9.92
60, 8.88
61, 8.42
62, 11.39
63, 10.65
64, 10.00
65, 9.58
66, 9.33
67, 8.35
68, 11.60
69, 11.40
70, 10.32
71, 10.07
72, 9.50
73, 9.08
74, 8.21
75, 7.42
76, 11.08
77, 10.59
78, 10.34
79, 9.82
80, 9.36
81, 9.18
82, 8.98
83, 7.89
84, 7.36
85, 10.70
86, 9.96
87, 9.38
88, 9.09
89, 12.19
90, 11.86
91, 11.07
92, 10.09
93, 9.53
94, 9.10
95, 12.06
96, 11.54
97, 10.68
98, 9.69
99, 9.13
100, 8.59
101, 7.95
102, 7.28
103, 6.89
104, 6.42
105, 6.26
106, 6.04
107, 9.38
108, 8.52
109, 7.43
110, 7.11
111, 6.35
112, 6.20
113, 5.54
114, 8.98
115, 8.76
116, 8.22
117, 7.75
118, 7.50
119, 6.90
120, 10.74
121, 9.90
122, 9.01
123, 8.66
124, 8.38
125, 7.88
126, 6.86
127, 10.18
128, 9.35
129, 8.34
130, 7.60
131, 6.52
132, 9.52
133, 8.82
134, 8.14
135, 7.16
136, 6.96
137, 6.13
138, 5.82
139, 9.22
140, 8.82
141, 7.86
142, 7.69
143, 7.39
144, 6.47
145, 5.81
146, 5.35
147, 9.01
148, 7.96
149, 7.60
150, 6.96
151, 6.34
152, 9.70
153, 9.11
154, 8.80
155, 7.68
156, 6.74
157, 10.35
158, 9.88
159, 9.67
160, 8.91
161, 7.79
162, 7.50
163, 6.55
164, 6.34
165, 10.14
166, 9.62
167, 9.16
168, 8.27
169, 7.78
170, 7.48
171, 6.82
172, 5.94
173, 9.69
174, 8.82
175, 8.04
176, 7.54
177, 7.32
178, 7.09
179, 6.55
180, 6.29
181, 5.77
182, 9.20
183, 8.26
184, 7.15
185, 10.33
186, 10.10
187, 9.90
188, 9.22
189, 8.28
190, 7.46
191, 10.48
192, 10.14
193, 9.14
194, 8.50
195, 7.94
196, 7.70
197, 7.30
198, 10.28
199, 9.72
200, 9.22
201, 8.84
202, 8.31
203, 7.96
204, 7.74
205, 7.18
206, 6.24
207, 9.59
208, 9.30
209, 8.83
210, 8.35
211, 7.78
212, 7.02
213, 6.15
214, 9.40
215, 8.70
216, 7.68
217, 11.14
218, 10.70
219, 9.86
220, 8.92
221, 8.40
222, 7.34
223, 7.02
224, 10.70
225, 10.46
226, 10.15
227, 9.79
228, 9.07
229, 8.28
230, 7.53
231, 6.98
232, 9.94
233, 9.08
234, 8.31
235, 7.49
236, 7.05
237, 6.82
238, 10.08
239, 9.36
240, 9.22
241, 8.98
242, 8.38
243, 7.61
244, 7.32
245, 6.81
246, 6.64
247, 6.27
248, 5.82
249, 9.34
250, 8.20
251, 11.34
252, 10.50
253, 9.65
254, 9.42
255, 8.76
256, 8.23
257, 7.88
258, 7.58
259, 10.61
260, 9.57
261, 9.39
262, 8.50
263, 8.31
264, 7.24
265, 6.80
266, 9.86
267, 8.92
268, 7.96
269, 7.80
270, 7.30
271, 6.48
272, 9.63
273, 9.41
274, 8.42
275, 7.91
276, 6.88
277, 10.04
278, 9.32
279, 8.88
280, 8.64
281, 8.08
282, 7.81
283, 7.39
284, 11.01
285, 10.88
286, 10.10
287, 9.28
288, 8.18
289, 11.09
290, 10.43
291, 10.15
292, 9.81
293, 9.61
294, 9.18
295, 8.32
296, 7.34
297, 7.07
298, 10.11
299, 9.55
300, 8.77
301, 8.01
302, 7.25
303, 6.76
304, 10.50
305, 9.79
306, 8.74
307, 8.31
308, 8.11
309, 7.42
310, 7.15
311, 6.81
