read, delay
1, 5.24
2, 5.76
3, 4.82
4, 4.59
5, 4.35
6, 5.59
7, 4.76
8, 4.42
9, 5.31
10, 7.10
11, 6.12
12, 5.60
13, 6.79
14, 5.76
15, 6.72
16, 6.13
17, 4.84
18, 4.30
19, 5.42
20, 4.76
21, 5.76
22, 4.77
23, 4.31
24, 5.76
25, 4.94
26, 4.11
27, 5.35
28, 4.77
29, 4.62
30, 3.58
31, 4.56
32, 4.36
33, 3.73
34, 4.79
35, 3.79
36, 4.50
37, 5.59
38, 4.52
39, 5.40
40, 4.30
41, 5.26
42, 4.48
43, 3.92
44, 5.05
45, 4.76
46, 4.50
47, 3.95
48, 5.15
49, 4.33
50, 4.19
51, 3.70
52, 4.88
53, 4.94
54, 4.40
55, 6.01
56, 5.76
57, 5.25
58, 4.28
59, 5.36
60, 4.30
61, 4.11
62, 5.35
63, 4.74
64, 4.27
65, 5.30
66, 4.80
67, 4.43
68, 4.06
69, 5.02
70, 4.20
71, 4.98
72, 4.72
73, 4.52
74, 5.63
75, 4.65
76, 3.98
77, 5.45
78, 5.06
79, 4.69
80, 4.22
81, 5.51
82, 4.57
83, 5.47
84, 4.49
85, 5.40
86, 4.55
87, 4.22
88, 5.56
89, 6.88
90, 6.35
91, 5.57
92, 5.85
93, 5.72
94, 5.53
95, 5.18
96, 4.13
97, 3.96
98, 5.64
99, 4.88
100, 4.30
101, 5.29
102, 6.62
103, 6.17
104, 6.00
105, 5.41
106, 6.96
107, 6.32
108, 5.78
109, 6.88
110, 5.69
111, 5.55
112, 4.96
113, 4.38
114, 5.71
115, 7.08
116, 6.90
117, 6.46
118, 5.90
119, 6.79
120, 6.45
121, 5.52
122, 4.70
123, 4.19
124, 5.16
125, 5.04
126, 5.17
127, 4.47
128, 5.52
129, 5.15
130, 4.32
131, 5.65
132, 5.29
133, 4.23
134, 5.38
135, 4.41
136, 3.77
137, 4.74
138, 4.01
139, 5.37
140, 5.12
141, 4.67
142, 3.91
143, 6.23
144, 5.47
145, 4.97
146, 4.44
147, 5.52
148, 4.65
149, 3.99
150, 5.52
151, 4.63
152, 5.52
153, 5.33
154, 4.69
155, 4.03
156, 5.20
157, 4.28
158, 3.80
159, 5.19
160, 4.25
161, 4.70
162, 6.11
163, 5.37
164, 5.07
165, 4.76
166, 5.66
167, 4.65
168, 4.36
169, 4.08
170, 5.01
171, 4.52
172, 4.06
173, 5.54
174, 5.09
175, 3.96
176, 3.58
177, 4.70
178, 4.34
179, 4.64
180, 5.84
181, 5.60
182, 5.43
183, 4.54
184, 4.25
185, 5.65
186, 4.99
187, 4.11
188, 5.63
189, 4.68
190, 5.54
191, 4.59
