read, delay
1, 7.46
2, 7.16
3, 6.26
4, 7.28
5, 6.70
6, 7.57
7, 7.44
8, 6.36
9, 7.66
10, 7.30
11, 6.36
12, 5.98
13, 7.10
14, 6.29
15, 7.58
16, 6.94
17, 6.07
18, 7.11
19, 6.48
20, 5.46
21, 6.44
22, 5.54
23, 7.41
24, 5.77
25, 5.22
26, 6.74
27, 6.45
28, 6.16
29, 6.72
30, 5.90
31, 5.70
32, 7.54
33, 7.18
34, 6.08
35, 8.31
36, 8.18
37, 7.65
38, 7.10
39, 8.11
40, 7.10
41, 6.36
42, 7.70
43, 7.50
44, 6.66
45, 7.65
46, 7.43
47, 6.80
48, 6.21
49, 7.37
50, 6.99
51, 6.04
52, 7.30
53, 6.52
54, 5.97
55, 6.98
56, 6.82
57, 6.81
58, 7.81
59, 7.22
60, 6.17
61, 7.16
62, 6.40
63, 6.09
64, 5.84
65, 7.17
66, 7.78
67, 6.66
68, 7.82
69, 6.96
70, 8.27
71, 7.58
72, 6.96
73, 6.40
74, 7.76
75, 6.74
76, 5.10
77, 7.43
78, 5.32
79, 7.56
80, 6.77
81, 6.10
82, 7.12
83, 6.68
84, 6.54
85, 7.07
86, 8.08
87, 7.83
88, 7.13
89, 8.10
90, 7.61
91, 7.37
92, 7.00
93, 6.58
94, 6.05
95, 7.78
96, 6.65
97, 7.59
98, 7.31
99, 6.95
100, 6.17
101, 6.03
102, 5.42
103, 6.51
104, 6.11
105, 7.02
106, 7.63
107, 6.58
108, 7.99
109, 7.13
110, 6.21
111, 5.93
112, 7.24
113, 8.02
114, 7.26
115, 8.45
116, 7.58
117, 5.94
118, 5.76
119, 6.97
120, 6.62
121, 6.13
122, 5.50
123, 5.30
124, 6.65
125, 6.50
126, 6.42
127, 7.56
128, 6.44
129, 5.80
130, 7.29
131, 6.74
132, 5.67
133, 6.55
134, 5.63
135, 6.52
136, 7.57
137, 7.29
138, 6.18
139, 7.62
140, 6.74
141, 6.62
142, 7.85
143, 7.32
144, 6.98
145, 6.35
146, 5.74
147, 6.90
148, 6.28
149, 6.02
150, 5.47
151, 7.07
152, 6.70
153, 5.69
154, 6.86
155, 6.24
156, 5.15
157, 7.91
158, 7.36
159, 6.24
160, 7.15
161, 6.54
162, 5.81
163, 7.16
164, 6.70
165, 7.37
166, 8.34
167, 7.85
168, 6.86
169, 8.13
170, 7.95
171, 7.70
172, 6.87
173, 6.51
174, 7.60
175, 6.70
176, 6.00
177, 7.07
178, 6.35
179, 6.16
180, 5.61
181, 6.67
182, 6.33
183, 5.67
184, 6.94
185, 6.13
186, 5.69
187, 6.83
188, 6.70
189, 7.64
190, 6.54
191, 6.38
192, 7.38
193, 6.82
194, 5.73
195, 7.31
196, 6.50
197, 6.99
198, 6.66
199, 6.46
200, 7.92
201, 7.46
202, 7.00
203, 6.22
204, 7.74
205, 7.04
206, 6.01
207, 7.60
208, 6.96
209, 6.43
210, 7.33
211, 6.31
212, 7.54
213, 7.30
214, 6.72
215, 5.68
216, 6.95
217, 5.90
218, 5.58
219, 6.84
220, 6.81
221, 6.10
222, 7.18
223, 6.41
224, 7.74
225, 7.23
226, 7.01
227, 6.02
228, 7.25
229, 7.54
230, 7.05
231, 6.39
232, 7.61
233, 7.02
234, 6.56
235, 6.33
236, 7.71
237, 7.53
238, 6.52
239, 7.86
240, 7.37
241, 6.61
242, 5.81
243, 7.32
244, 6.94
245, 6.59
246, 5.73
247, 6.62
248, 5.84
249, 6.91
250, 6.31
251, 5.92
252, 6.31
253, 7.60
254, 7.07
255, 6.81
256, 5.98
257, 7.12
258, 6.58
259, 6.72
260, 8.24
261, 7.22
262, 6.11
263, 8.31
264, 8.18
265, 6.39
266, 5.78
267, 6.77
268, 6.38
269, 5.87
270, 5.61
271, 6.85
272, 6.51
273, 6.46
274, 6.26
275, 6.03
276, 7.20
277, 6.87
278, 6.04
279, 7.46
280, 7.14
281, 7.22
282, 8.29
283, 7.30
284, 6.22
285, 7.87
286, 7.71
287, 6.98
288, 6.61
289, 6.30
290, 7.60
291, 7.00
292, 6.34
293, 5.98
294, 7.43
295, 7.06
296, 6.84
297, 6.11
298, 6.00
299, 5.58
300, 5.22
301, 6.21
302, 5.28
303, 6.16
304, 7.38
305, 7.09
306, 6.16
307, 7.65
308, 7.42
309, 6.33
310, 5.69
311, 7.61
312, 7.11
313, 8.14
314, 7.28
315, 6.54
316, 8.11
317, 7.81
318, 7.52
319, 7.12
320, 6.59
321, 7.63
322, 7.30
323, 6.76
324, 6.10
325, 7.30
326, 7.18
327, 6.24
328, 7.44
329, 6.43
330, 5.90
331, 5.34
332, 6.59
333, 6.22
334, 6.62
335, 6.09
336, 7.63
337, 7.06
338, 6.24
339, 7.24
340, 6.89
341, 6.73
342, 7.13
343, 8.20
344, 7.36
345, 6.51
346, 8.01
347, 7.44
348, 6.32
349, 8.05
350, 7.39
351, 7.11
352, 6.90
353, 4.99
354, 7.19
355, 5.28
356, 7.49
357, 7.18
358, 6.59
359, 5.93
360, 6.82
361, 6.27
362, 5.72
363, 5.58
364, 6.57
365, 7.42
366, 7.27
367, 6.57
368, 6.24
369, 7.42
370, 6.52
371, 7.51
372, 6.57
373, 7.63
374, 7.90
375, 6.55
376, 6.12
377, 7.45
378, 6.62
379, 6.15
380, 8.28
381, 6.98
382, 6.50
383, 6.37
384, 6.09
385, 5.70
386, 5.00
387, 6.32
388, 6.49
389, 6.25
390, 5.85
391, 6.85
392, 6.56
393, 5.87
394, 5.71
395, 7.15
396, 7.31
397, 6.83
398, 8.00
399, 7.04
400, 6.82
401, 6.32
402, 7.61
403, 6.96
404, 7.86
405, 7.18
406, 6.68
407, 6.03
408, 5.81
409, 7.14
410, 6.08
411, 7.44
412, 6.98
413, 5.89
414, 6.78
415, 6.22
416, 5.22
417, 6.16
418, 5.85
419, 6.38
420, 6.19
421, 7.32
422, 6.64
423, 5.86
424, 6.82
425, 6.34
426, 5.80
427, 8.19
428, 7.43
429, 6.75
430, 7.87
431, 7.48
432, 7.01
433, 6.22
434, 7.84
435, 6.98
436, 6.72
437, 6.45
438, 7.33
439, 6.67
440, 5.71
441, 6.95
442, 6.71
443, 5.80
444, 6.83
445, 6.66
446, 5.56
447, 6.98
448, 6.68
449, 6.46
450, 6.71
451, 6.45
452, 7.75
453, 6.98
454, 6.40
455, 7.36
456, 6.75
457, 6.51
458, 6.98
459, 8.55
460, 8.11
461, 7.00
462, 8.04
463, 6.95
464, 8.02
465, 6.99
466, 8.04
467, 7.67
468, 6.64
469, 7.66
470, 6.92
471, 5.63
472, 7.58
473, 7.30
474, 6.77
475, 6.62
476, 6.29
477, 7.43
478, 6.83
479, 5.82
480, 7.24
481, 7.36
482, 7.12
483, 6.68
484, 7.68
485, 6.72
486, 6.09
487, 7.63
488, 6.68
489, 7.67
490, 7.26
491, 6.45
492, 5.78
493, 6.70
494, 5.62
495, 7.33
496, 6.54
497, 5.56
498, 5.18
499, 6.27
500, 5.69
501, 6.59
502, 6.36
503, 5.63
504, 6.21
505, 5.98
506, 7.01
507, 6.41
508, 5.92
509, 7.25
510, 6.33
511, 6.50
512, 7.52
513, 6.78
514, 6.24
515, 7.54
516, 6.45
517, 7.37
518, 6.76
519, 6.04
520, 7.44
521, 7.03
522, 6.66
523, 6.30
524, 6.02
525, 5.56
526, 6.62
527, 6.15
528, 5.52
529, 7.07
530, 6.62
531, 6.36
532, 6.09
533, 6.20
534, 7.87
535, 7.75
536, 7.21
537, 6.98
538, 6.81
539, 6.30
540, 7.25
541, 7.50
542, 7.13
543, 6.48
544, 8.10
545, 7.58
546, 7.25
547, 6.62
548, 8.10
549, 7.52
550, 6.74
551, 6.24
552, 7.76
553, 7.53
554, 5.55
555, 6.08
556, 5.93
557, 7.34
558, 6.28
559, 5.87
560, 7.14
561, 6.68
562, 5.83
563, 8.05
564, 7.78
565, 7.34
566, 7.05
567, 6.89
568, 6.29
569, 7.50
570, 6.65
571, 6.41
572, 7.58
573, 6.97
574, 6.01
575, 5.60
576, 6.78
577, 5.91
578, 5.77
579, 7.29
580, 6.72
581, 6.18
582, 5.16
583, 6.04
584, 6.98
585, 7.54
586, 6.90
587, 6.16
588, 7.57
589, 6.95
590, 6.08
591, 6.94
592, 6.98
593, 8.09
594, 7.72
595, 7.50
596, 6.63
597, 7.82
598, 7.04
599, 6.76
600, 7.96
601, 7.66
602, 7.01
603, 6.00
604, 7.62
605, 7.32
606, 6.62
607, 6.05
608, 7.53
609, 7.20
610, 7.05
611, 6.09
612, 5.39
613, 7.25
614, 6.88
615, 7.58
616, 7.20
617, 6.86
618, 6.38
619, 7.92
620, 7.02
621, 6.18
622, 6.04
623, 7.30
624, 6.71
625, 6.13
626, 5.57
627, 6.68
628, 6.42
629, 6.07
630, 7.28
631, 6.40
632, 5.32
633, 6.22
634, 5.22
635, 5.05
636, 6.20
637, 5.19
638, 7.51
639, 7.29
640, 7.04
641, 6.11
642, 7.47
643, 7.16
644, 6.90
645, 7.34
646, 8.26
647, 7.88
648, 7.66
649, 7.43
650, 7.03
651, 6.30
652, 7.63
653, 7.48
654, 6.81
655, 7.75
656, 7.44
657, 7.23
658, 6.49
659, 5.96
660, 6.86
661, 5.95
662, 5.62
663, 6.74
664, 5.82
665, 5.69
666, 6.41
667, 8.06
668, 7.48
669, 6.80
670, 6.09
671, 7.72
672, 6.98
673, 6.37
674, 5.95
675, 7.96
676, 6.58
677, 5.99
678, 8.02
679, 6.78
680, 5.77
681, 8.05
682, 6.40
683, 5.75
684, 6.80
685, 6.02
686, 5.54
687, 6.37
688, 5.31
689, 5.84
690, 6.92
691, 5.96
692, 7.63
693, 6.78
694, 5.67
695, 5.50
696, 6.58
697, 5.55
698, 7.48
699, 6.86
700, 7.92
701, 7.07
702, 7.99
703, 7.23
704, 6.39
705, 7.71
706, 7.52
707, 7.87
708, 6.58
709, 6.03
710, 5.61
711, 7.26
712, 6.64
713, 6.17
714, 6.02
715, 5.74
716, 7.09
717, 6.44
718, 5.77
719, 5.30
720, 7.32
721, 7.12
722, 6.50
723, 7.59
724, 6.54
725, 6.28
726, 7.30
727, 7.49
728, 7.06
729, 6.65
730, 7.94
731, 7.07
732, 6.48
733, 7.48
734, 6.52
735, 6.16
736, 7.16
737, 6.57
738, 6.20
739, 7.26
740, 6.96
741, 6.33
742, 6.17
743, 7.30
744, 6.75
745, 6.06
746, 5.54
747, 6.86
748, 6.52
749, 6.19
750, 6.18
751, 7.76
752, 7.11
753, 6.87
754, 7.84
755, 7.20
756, 6.63
757, 5.80
758, 6.66
759, 7.93
760, 6.98
761, 5.57
762, 7.60
763, 6.69
764, 7.60
765, 7.04
766, 8.07
767, 7.34
768, 7.01
769, 6.58
770, 7.74
771, 5.76
772, 6.28
773, 7.46
774, 7.26
775, 6.44
776, 7.51
777, 6.57
778, 6.40
779, 5.94
780, 7.06
781, 7.19
782, 6.56
783, 7.44
784, 6.38
785, 7.79
786, 6.81
787, 6.50
788, 6.26
789, 7.16
790, 6.80
791, 5.72
792, 5.57
793, 7.30
794, 6.88
795, 6.38
796, 5.71
797, 7.24
798, 6.86
799, 6.03
800, 5.60
801, 6.85
802, 6.36
803, 6.36
804, 7.81
805, 7.26
806, 6.35
807, 7.54
808, 7.34
809, 6.70
810, 7.50
811, 7.23
812, 6.94
813, 6.59
814, 8.19
815, 7.98
816, 7.36
817, 6.67
818, 6.24
819, 7.88
820, 7.11
821, 6.46
822, 5.96
823, 7.34
824, 6.73
825, 6.29
826, 6.02
827, 5.48
828, 6.76
829, 6.09
830, 6.31
831, 7.87
832, 7.23
833, 6.30
834, 8.02
835, 7.77
836, 7.48
837, 6.90
838, 6.55
839, 5.86
840, 5.72
841, 7.35
842, 7.03
843, 6.69
844, 6.26
845, 5.62
846, 7.08
847, 6.32
848, 5.79
849, 6.77
850, 6.73
851, 6.26
852, 7.52
853, 6.37
854, 6.03
855, 7.48
856, 6.78
857, 7.28
858, 6.98
859, 8.48
860, 7.64
861, 6.66
862, 8.28
863, 7.38
864, 6.20
865, 5.51
866, 5.34
867, 6.65
868, 6.02
869, 5.22
870, 6.67
871, 6.74
872, 6.57
873, 5.86
874, 7.38
875, 7.21
876, 6.72
877, 5.63
878, 6.57
879, 6.66
880, 7.97
881, 7.51
882, 7.05
883, 6.18
884, 7.66
885, 7.04
886, 6.05
887, 5.83
888, 7.20
889, 7.03
890, 6.44
891, 7.40
892, 6.83
893, 6.41
894, 6.17
895, 5.87
896, 5.28
897, 6.90
898, 7.72
899, 6.91
900, 6.49
901, 7.70
902, 6.75
903, 6.36
904, 7.54
905, 6.79
906, 6.10
907, 5.83
908, 7.18
909, 6.80
910, 6.11
911, 5.66
912, 5.39
913, 6.90
914, 6.03
915, 6.97
916, 6.05
917, 5.50
918, 5.96
919, 7.69
920, 7.52
921, 6.69
922, 5.76
923, 6.65
924, 5.63
925, 6.75
926, 5.80
927, 7.01
928, 7.53
929, 6.52
930, 7.71
931, 6.85
932, 7.96
933, 7.64
934, 7.18
935, 6.88
936, 6.24
937, 5.97
938, 5.78
939, 6.89
940, 5.93
941, 7.19
942, 7.04
943, 6.14
944, 5.77
945, 6.90
946, 6.68
947, 6.26
948, 5.14
949, 6.83
950, 7.12
951, 6.37
952, 7.65
953, 7.34
954, 6.74
955, 5.99
956, 7.46
957, 7.30
958, 7.87
959, 7.04
960, 8.32
961, 8.00
962, 7.80
963, 7.32
964, 6.58
965, 8.00
966, 7.80
967, 6.79
968, 7.84
969, 7.34
970, 6.50
971, 6.33
972, 7.46
973, 7.12
974, 6.12
975, 5.78
976, 6.68
977, 5.80
978, 6.86
979, 6.01
980, 7.01
981, 6.68
982, 6.94
983, 7.91
984, 7.07
985, 6.74
986, 7.67
987, 7.22
988, 6.27
989, 6.78
990, 8.48
991, 7.89
992, 6.79
993, 8.10
994, 7.27
995, 6.99
996, 6.44
997, 7.98
998, 5.89
999, 7.79
1000, 6.75
1001, 5.18
1002, 7.51
1003, 7.21
1004, 5.64
1005, 5.88
1006, 5.73
1007, 7.50
1008, 6.50
1009, 5.99
1010, 7.07
1011, 6.85
1012, 6.77
1013, 8.24
1014, 7.51
1015, 6.47
1016, 7.58
1017, 7.22
1018, 6.12
1019, 7.80
1020, 6.92
1021, 6.07
1022, 7.00
1023, 6.51
1024, 6.32
1025, 7.23
1026, 6.79
1027, 5.67
1028, 6.94
1029, 6.30
1030, 5.59
1031, 5.25
1032, 6.65
1033, 6.17
1034, 5.27
1035, 6.40
1036, 7.24
1037, 6.24
1038, 7.77
1039, 6.96
1040, 5.98
1041, 7.44
1042, 6.36
1043, 6.98
1044, 6.76
1045, 8.30
1046, 7.65
1047, 7.06
1048, 6.79
1049, 8.10
1050, 7.34
1051, 6.27
1052, 6.05
1053, 7.42
1054, 6.84
1055, 6.68
1056, 6.38
1057, 7.59
1058, 6.61
1059, 6.08
1060, 5.66
1061, 7.34
1062, 6.81
1063, 5.72
1064, 6.50
1065, 7.65
1066, 6.60
1067, 6.14
1068, 7.82
1069, 7.63
1070, 6.77
1071, 6.02
1072, 6.97
1073, 6.48
1074, 7.56
1075, 6.96
1076, 6.69
1077, 5.89
1078, 5.76
1079, 5.41
1080, 7.23
1081, 6.70
1082, 5.68
1083, 5.47
1084, 6.74
1085, 5.92
1086, 6.94
1087, 7.58
1088, 6.47
1089, 6.00
1090, 6.99
1091, 5.98
1092, 7.05
1093, 6.36
1094, 7.12
1095, 8.22
1096, 7.26
1097, 7.07
1098, 6.32
1099, 8.06
1100, 7.45
1101, 7.11
1102, 7.98
1103, 7.28
1104, 6.80
1105, 6.18
1106, 7.30
1107, 7.10
1108, 6.49
1109, 5.82
1110, 7.16
1111, 6.12
1112, 5.72
1113, 7.06
1114, 6.41
1115, 7.09
1116, 6.44
1117, 6.22
1118, 7.64
1119, 6.69
1120, 7.84
1121, 7.61
1122, 7.20
1123, 6.40
1124, 6.02
1125, 7.14
1126, 6.70
1127, 6.05
1128, 7.44
1129, 6.63
1130, 6.22
1131, 6.06
1132, 5.89
1133, 5.23
1134, 6.12
1135, 7.10
1136, 6.83
1137, 7.40
1138, 7.04
1139, 6.53
1140, 6.28
1141, 6.01
1142, 5.86
1143, 6.80
1144, 7.00
1145, 7.94
1146, 7.49
1147, 6.59
1148, 8.02
1149, 7.06
1150, 8.16
1151, 7.99
1152, 7.22
1153, 6.34
1154, 7.30
1155, 6.60
1156, 7.59
1157, 6.86
1158, 6.52
1159, 7.57
1160, 6.95
1161, 6.16
1162, 5.70
1163, 7.19
1164, 6.61
1165, 6.38
1166, 5.69
1167, 7.11
1168, 7.91
1169, 6.92
1170, 6.25
1171, 7.95
1172, 7.34
1173, 6.92
1174, 6.16
1175, 5.99
1176, 5.77
1177, 6.78
1178, 6.36
1179, 5.90
1180, 6.77
1181, 6.58
1182, 5.99
1183, 6.89
1184, 6.03
1185, 5.14
1186, 6.37
1187, 6.02
1188, 6.77
1189, 6.33
1190, 7.46
1191, 6.40
1192, 7.30
1193, 6.63
1194, 5.82
1195, 7.01
1196, 7.04
1197, 8.16
1198, 7.33
1199, 7.05
1200, 6.25
1201, 8.00
1202, 7.87
1203, 7.67
1204, 6.64
1205, 6.30
1206, 7.31
1207, 6.41
1208, 7.62
1209, 7.42
1210, 7.18
1211, 6.33
1212, 7.29
1213, 7.11
1214, 6.70
1215, 5.91
1216, 6.82
1217, 6.80
1218, 6.64
1219, 7.84
1220, 7.44
1221, 7.09
1222, 6.53
1223, 6.36
1224, 5.85
1225, 6.75
1226, 5.93
1227, 7.04
1228, 6.66
1229, 5.59
1230, 6.53
1231, 6.00
1232, 7.06
1233, 6.24
1234, 6.05
1235, 5.52
1236, 6.71
1237, 7.04
1238, 6.86
1239, 6.16
1240, 7.86
1241, 7.56
1242, 7.34
1243, 7.44
1244, 5.68
1245, 6.66
1246, 5.98
1247, 7.87
1248, 7.12
1249, 8.16
1250, 7.02
1251, 5.66
1252, 5.36
1253, 5.14
1254, 6.45
1255, 5.52
1256, 7.60
1257, 7.35
1258, 7.15
1259, 6.63
1260, 5.72
1261, 7.25
1262, 6.52
1263, 6.25
1264, 7.22
1265, 6.60
1266, 6.85
1267, 6.44
1268, 7.91
1269, 6.78
1270, 6.47
1271, 7.44
1272, 6.89
1273, 6.70
1274, 6.21
1275, 7.38
1276, 7.16
1277, 6.41
1278, 6.03
1279, 7.35
1280, 6.58
1281, 5.84
1282, 7.18
1283, 6.10
1284, 5.18
1285, 6.70
1286, 6.15
1287, 6.02
1288, 6.30
1289, 7.28
1290, 6.61
1291, 7.52
1292, 7.12
1293, 6.76
1294, 6.08
1295, 7.31
1296, 6.89
1297, 7.37
1298, 7.24
1299, 6.49
1300, 7.82
1301, 6.86
1302, 6.16
1303, 7.07
1304, 6.32
1305, 5.98
1306, 7.06
1307, 6.53
1308, 6.16
1309, 7.14
1310, 6.06
1311, 5.72
1312, 6.81
1313, 5.98
1314, 7.08
1315, 6.24
1316, 5.24
1317, 6.62
1318, 7.44
1319, 7.26
1320, 6.38
1321, 7.50
1322, 6.41
1323, 7.29
1324, 6.25
1325, 6.93
1326, 8.14
1327, 7.89
1328, 6.97
1329, 6.54
1330, 6.27
1331, 7.98
1332, 7.56
1333, 6.77
1334, 6.19
1335, 5.91
1336, 6.98
1337, 5.92
1338, 7.05
1339, 6.35
1340, 7.30
1341, 6.78
1342, 6.28
1343, 6.60
1344, 7.82
1345, 6.91
1346, 6.61
1347, 6.24
1348, 7.32
1349, 6.49
1350, 7.58
1351, 6.83
1352, 6.41
1353, 6.09
1354, 7.26
1355, 7.03
1356, 5.90
1357, 5.80
1358, 5.67
1359, 6.66
1360, 5.64
1361, 6.88
1362, 6.57
1363, 6.78
1364, 6.35
1365, 7.44
1366, 6.87
1367, 6.47
1368, 7.42
1369, 7.28
1370, 7.64
1371, 6.93
1372, 7.97
1373, 7.09
1374, 6.39
1375, 7.31
1376, 6.28
1377, 7.32
1378, 6.85
1379, 6.70
1380, 7.58
1381, 6.51
1382, 5.95
1383, 7.38
1384, 6.47
1385, 7.53
1386, 6.40
1387, 5.72
1388, 7.38
1389, 7.06
1390, 6.56
1391, 5.80
1392, 6.46
1393, 7.71
1394, 7.25
1395, 6.21
1396, 7.26
1397, 6.55
1398, 7.72
1399, 7.02
1400, 7.80
1401, 5.91
1402, 8.44
1403, 6.38
1404, 6.09
1405, 5.54
1406, 5.36
1407, 6.51
1408, 5.88
1409, 5.45
1410, 6.69
1411, 6.25
1412, 5.84
1413, 6.40
1414, 6.12
1415, 7.10
1416, 6.43
1417, 5.78
1418, 7.52
1419, 6.48
1420, 6.83
1421, 8.29
1422, 7.51
1423, 6.55
1424, 8.08
1425, 7.33
1426, 6.40
1427, 7.96
1428, 7.78
1429, 7.33
1430, 6.94
1431, 5.63
1432, 7.58
1433, 6.56
1434, 7.64
1435, 7.44
1436, 6.96
1437, 6.46
1438, 6.27
1439, 6.46
1440, 8.16
1441, 7.44
1442, 6.87
1443, 6.32
1444, 7.44
1445, 7.07
1446, 6.20
1447, 7.46
1448, 7.23
1449, 6.86
1450, 5.84
1451, 7.12
1452, 6.92
1453, 6.48
1454, 5.49
1455, 6.40
1456, 5.98
1457, 5.40
1458, 6.77
1459, 7.24
1460, 6.91
1461, 6.43
1462, 6.19
1463, 7.30
1464, 6.70
1465, 6.19
1466, 5.82
1467, 6.78
1468, 5.79
1469, 7.30
1470, 6.92
1471, 6.19
1472, 7.16
1473, 6.20
1474, 5.72
1475, 7.16
1476, 6.49
1477, 5.60
1478, 6.62
1479, 5.54
1480, 6.33
1481, 7.21
1482, 6.69
1483, 6.40
1484, 6.00
1485, 6.93
1486, 6.58
1487, 6.84
1488, 6.70
1489, 6.41
1490, 7.90
1491, 7.08
1492, 6.84
1493, 7.91
1494, 7.26
1495, 6.81
1496, 6.37
1497, 5.95
1498, 7.74
1499, 6.66
1500, 6.36
1501, 7.37
1502, 6.80
1503, 6.66
1504, 5.75
1505, 6.82
1506, 5.80
1507, 5.38
1508, 6.33
1509, 6.54
1510, 7.47
1511, 7.00
1512, 6.34
1513, 5.89
1514, 7.26
1515, 6.79
1516, 7.43
1517, 8.35
1518, 8.19
1519, 6.58
1520, 5.53
1521, 6.91
1522, 6.25
1523, 5.30
1524, 6.92
1525, 5.80
1526, 6.94
1527, 6.24
1528, 5.84
1529, 6.01
1530, 7.37
1531, 6.66
1532, 6.10
1533, 7.04
1534, 6.88
1535, 6.46
1536, 7.21
1537, 8.10
1538, 7.99
1539, 7.06
1540, 6.69
1541, 6.21
1542, 7.94
1543, 7.26
1544, 5.13
1545, 7.39
1546, 5.93
1547, 6.30
1548, 7.41
1549, 6.62
1550, 7.56
1551, 7.42
1552, 6.31
1553, 5.94
1554, 7.20
1555, 7.82
1556, 7.10
1557, 8.05
1558, 7.78
1559, 7.21
1560, 6.27
1561, 7.69
1562, 7.03
1563, 6.92
1564, 6.20
1565, 7.60
1566, 6.53
1567, 5.92
1568, 5.72
1569, 6.90
1570, 6.43
1571, 6.22
1572, 5.54
1573, 7.12
1574, 7.21
