read, delay
1, 5.42
2, 4.56
3, 3.96
4, 3.67
5, 3.38
6, 4.54
7, 4.02
8, 4.84
9, 4.66
10, 5.85
11, 5.56
12, 5.41
13, 5.18
14, 4.68
15, 3.77
16, 5.56
17, 4.68
18, 4.39
19, 3.84
20, 3.49
21, 5.12
22, 4.66
23, 4.15
24, 4.03
25, 4.99
26, 5.15
27, 4.18
28, 5.54
29, 4.52
30, 5.60
31, 4.87
32, 4.36
33, 5.53
34, 5.15
35, 4.74
36, 3.91
37, 4.88
38, 6.40
39, 5.72
40, 6.89
41, 6.14
42, 5.68
43, 6.87
44, 6.14
45, 5.93
46, 4.76
47, 4.57
48, 5.72
49, 4.96
50, 4.36
51, 3.84
52, 5.20
53, 4.63
54, 3.95
55, 5.23
56, 4.14
57, 5.24
58, 4.78
59, 4.04
60, 3.68
61, 6.00
62, 5.48
63, 4.90
64, 4.74
65, 4.24
66, 5.38
67, 7.00
68, 6.13
69, 5.06
70, 6.13
71, 7.07
72, 4.19
73, 5.37
74, 4.90
75, 4.71
76, 4.01
77, 3.83
78, 4.15
79, 5.56
80, 4.44
81, 5.82
82, 5.66
83, 4.74
84, 5.73
85, 5.08
86, 4.00
87, 5.39
88, 4.61
89, 4.14
90, 3.78
91, 5.35
92, 5.08
93, 4.30
94, 3.63
95, 4.84
96, 4.75
97, 5.71
98, 5.20
99, 4.58
100, 5.80
101, 4.74
102, 4.05
103, 5.18
104, 4.68
105, 4.00
106, 5.05
107, 4.61
108, 4.22
109, 3.70
110, 3.52
111, 4.72
112, 4.01
113, 4.25
114, 5.62
115, 5.15
116, 4.70
117, 4.10
118, 3.96
119, 5.12
120, 4.00
121, 5.54
122, 5.16
123, 4.77
124, 3.65
125, 5.26
126, 4.30
127, 4.07
128, 3.71
129, 6.99
130, 6.79
131, 5.79
132, 5.14
133, 5.46
134, 5.21
135, 4.83
136, 3.96
137, 5.22
138, 5.00
139, 4.54
140, 4.43
141, 4.02
142, 3.60
143, 5.28
144, 4.75
145, 4.45
146, 4.18
147, 3.40
148, 5.13
149, 5.42
150, 5.08
151, 4.31
152, 5.92
153, 5.01
154, 3.96
155, 5.41
156, 4.48
157, 3.68
158, 7.10
159, 6.83
160, 6.04
161, 7.39
162, 6.29
163, 5.70
164, 6.78
165, 6.35
166, 5.90
167, 5.46
168, 6.62
169, 5.04
170, 4.70
171, 4.20
172, 5.42
173, 5.10
174, 4.56
175, 4.34
176, 5.23
177, 4.17
178, 5.21
179, 4.12
180, 5.31
181, 4.82
182, 4.02
183, 3.40
184, 5.98
185, 5.34
186, 4.96
187, 4.32
188, 5.83
189, 5.64
190, 4.68
191, 3.93
192, 5.26
193, 4.37
194, 3.81
195, 5.33
196, 4.84
197, 3.88
198, 5.29
199, 5.08
200, 4.75
201, 5.10
202, 4.36
203, 5.59
204, 4.80
205, 3.95
206, 5.79
207, 5.02
208, 4.06
209, 5.60
210, 5.49
211, 4.60
212, 3.69
213, 5.32
214, 5.00
215, 4.30
216, 3.45
217, 5.02
218, 6.70
219, 5.78
220, 6.88
221, 5.15
222, 4.79
223, 5.69
224, 5.24
225, 4.68
226, 3.96
227, 5.23
228, 4.35
229, 4.17
230, 5.26
231, 4.25
232, 3.60
233, 3.43
234, 4.79
235, 3.84
236, 3.66
237, 5.72
238, 5.52
239, 5.07
240, 4.43
241, 5.45
242, 5.12
243, 4.71
244, 4.46
245, 7.53
246, 7.00
247, 6.86
248, 5.90
249, 5.41
250, 6.55
251, 5.61
252, 5.36
253, 6.78
254, 5.85
255, 5.47
256, 5.49
257, 4.35
258, 5.33
259, 5.02
260, 4.52
261, 4.25
262, 3.80
263, 5.42
264, 4.72
265, 3.75
266, 5.36
267, 4.28
268, 4.19
269, 3.90
270, 3.45
271, 4.44
272, 4.99
273, 4.56
274, 4.31
275, 5.88
276, 5.36
277, 5.09
278, 3.97
279, 5.26
280, 4.36
281, 5.31
282, 5.01
283, 4.22
284, 3.52
285, 4.48
286, 4.22
287, 3.34
288, 5.10
289, 5.47
290, 5.34
291, 4.22
292, 5.68
293, 5.05
294, 3.99
295, 5.76
