read, delay
1, 3.99
2, 6.46
3, 3.81
4, 6.15
5, 3.47
6, 5.52
7, 2.66
8, 5.09
9, 7.01
10, 4.23
11, 6.28
12, 3.61
13, 5.94
14, 3.44
15, 5.98
16, 3.39
17, 6.25
18, 3.98
19, 6.24
20, 3.30
21, 5.44
22, 3.28
23, 5.35
24, 2.30
25, 4.67
26, 7.15
27, 4.13
28, 6.50
29, 3.44
30, 6.29
31, 3.43
32, 5.49
33, 2.74
34, 4.66
35, 2.40
36, 4.48
37, 6.77
38, 3.80
39, 6.68
40, 4.37
41, 7.04
42, 4.27
43, 6.23
44, 4.07
45, 6.89
46, 4.10
47, 6.21
48, 3.97
49, 6.79
50, 4.46
51, 6.69
52, 4.43
53, 6.42
54, 4.24
55, 6.20
56, 3.42
57, 5.90
58, 3.18
59, 5.92
60, 2.90
61, 5.28
62, 3.15
63, 5.63
64, 2.80
65, 4.79
66, 6.88
67, 4.45
68, 6.64
69, 3.51
70, 5.84
71, 3.59
72, 5.74
73, 3.09
74, 5.86
75, 3.65
76, 6.16
77, 3.34
78, 5.44
79, 2.57
80, 4.98
81, 2.38
82, 4.42
83, 6.71
84, 4.51
85, 6.90
86, 3.80
87, 5.66
88, 3.05
89, 5.72
90, 2.96
91, 5.62
92, 3.22
93, 5.51
94, 2.94
95, 5.31
96, 3.00
97, 5.73
98, 2.82
99, 5.27
100, 2.71
101, 4.65
102, 2.49
103, 5.12
104, 2.52
105, 4.42
106, 7.23
107, 4.31
108, 6.37
109, 3.54
110, 5.41
111, 2.80
112, 5.66
113, 3.36
114, 6.20
115, 3.62
116, 5.71
117, 3.19
118, 5.70
119, 3.02
120, 5.74
121, 3.26
122, 5.30
123, 3.02
124, 5.54
125, 2.92
126, 5.50
127, 2.53
128, 5.10
129, 7.20
130, 5.02
131, 2.40
132, 4.51
133, 7.00
134, 4.32
135, 6.62
136, 4.12
137, 6.37
138, 4.16
139, 6.30
140, 3.78
141, 6.06
142, 3.21
143, 5.28
144, 2.86
145, 5.10
146, 2.33
147, 4.53
148, 7.09
149, 4.26
150, 6.65
151, 4.30
152, 6.72
153, 4.46
154, 7.24
155, 4.74
156, 7.01
157, 4.20
158, 6.60
159, 3.54
160, 6.37
161, 3.45
162, 5.95
163, 3.53
164, 6.06
165, 3.88
166, 6.17
167, 3.36
168, 5.77
169, 3.38
170, 5.66
171, 3.47
172, 6.18
173, 3.67
174, 5.56
175, 2.50
176, 5.13
177, 2.83
178, 5.09
179, 2.88
180, 5.50
181, 2.92
182, 5.66
183, 2.86
184, 5.16
185, 7.22
186, 4.14
187, 6.19
188, 3.17
189, 5.83
190, 2.99
191, 5.50
192, 2.63
193, 5.20
194, 2.60
195, 4.79
196, 2.66
197, 4.87
198, 7.22
199, 4.15
200, 6.31
201, 3.37
202, 5.32
203, 2.65
204, 4.71
205, 6.90
206, 4.40
207, 7.28
208, 4.20
209, 6.96
210, 3.90
211, 6.35
212, 3.93
213, 6.00
214, 3.21
215, 5.40
216, 3.20
217, 5.58
218, 2.65
219, 5.47
220, 2.55
221, 4.69
222, 7.04
223, 4.14
224, 6.99
225, 3.87
226, 5.79
227, 2.95
228, 5.16
229, 2.37
230, 4.85
231, 2.62
232, 5.38
233, 2.86
234, 5.69
235, 3.08
236, 5.57
237, 2.94
238, 4.84
239, 2.52
240, 5.08
241, 7.01
242, 3.93
243, 6.46
244, 3.50
245, 5.86
246, 2.92
247, 5.36
248, 3.17
249, 5.08
250, 7.06
251, 4.54
252, 6.41
253, 3.56
254, 5.80
255, 3.48
256, 6.04
