read, delay
1, 7.12
2, 4.86
3, 6.74
4, 4.24
5, 6.45
6, 4.30
7, 6.66
8, 3.86
9, 6.34
10, 4.03
11, 6.60
12, 3.82
13, 5.96
14, 3.78
15, 5.80
16, 3.67
17, 5.94
18, 3.63
19, 5.52
20, 3.24
21, 5.91
22, 2.94
23, 5.54
24, 3.25
25, 5.82
26, 2.84
27, 4.92
28, 6.92
29, 4.13
30, 6.78
31, 3.97
32, 6.24
33, 3.86
34, 6.03
35, 2.63
36, 4.98
37, 2.49
38, 5.36
39, 3.11
40, 5.18
41, 2.76
42, 5.33
43, 2.68
44, 5.57
45, 2.78
46, 5.32
47, 3.76
48, 5.26
49, 2.92
50, 5.82
51, 2.41
52, 5.22
53, 3.02
54, 5.02
55, 2.48
56, 4.69
57, 2.35
58, 4.80
59, 2.51
60, 4.53
61, 6.44
62, 3.87
63, 1.61
64, 4.08
65, 6.54
66, 4.09
67, 2.94
68, 5.28
69, 7.44
70, 5.17
71, 7.22
72, 4.97
73, 7.50
74, 3.49
75, 6.03
76, 2.96
77, 5.30
78, 2.85
79, 5.29
80, 2.89
81, 5.58
82, 3.43
83, 6.16
84, 3.64
85, 6.14
86, 3.26
87, 5.95
88, 2.94
89, 5.70
90, 4.34
91, 5.93
92, 3.41
93, 6.86
94, 3.17
95, 5.36
96, 3.09
97, 5.84
98, 3.10
99, 5.80
100, 3.14
101, 5.13
102, 2.13
103, 4.01
104, 6.28
105, 4.09
106, 6.31
107, 3.34
108, 6.11
109, 3.03
110, 5.44
111, 2.41
112, 4.55
113, 6.60
114, 4.24
115, 1.65
116, 4.36
117, 1.89
118, 4.46
119, 1.67
120, 3.66
121, 5.87
122, 3.47
123, 5.98
124, 3.68
125, 6.15
126, 3.62
127, 5.97
128, 2.99
129, 4.94
130, 2.46
131, 4.66
132, 6.56
133, 4.20
134, 1.67
135, 4.32
136, 6.35
137, 4.22
138, 6.19
139, 4.95
140, 6.31
141, 3.89
142, 7.54
143, 3.98
144, 6.33
145, 3.63
146, 5.85
147, 3.08
148, 5.80
149, 3.38
150, 6.12
151, 3.58
152, 5.81
153, 3.24
154, 6.11
155, 2.99
156, 5.53
157, 2.70
158, 5.36
159, 2.63
160, 5.39
161, 3.08
162, 5.02
163, 2.79
164, 4.72
165, 2.04
166, 4.73
167, 2.56
168, 5.14
169, 2.12
170, 4.79
171, 2.11
172, 4.58
173, 6.48
174, 3.62
175, 6.20
176, 3.90
177, 6.35
178, 4.21
179, 6.53
180, 3.58
181, 6.24
182, 4.05
183, 1.92
184, 3.86
185, 6.63
186, 4.42
187, 2.20
188, 4.44
189, 1.78
190, 3.93
191, 5.92
192, 3.73
193, 6.43
194, 4.14
195, 6.06
196, 3.74
197, 5.92
198, 3.62
199, 5.93
200, 3.36
201, 5.57
202, 2.72
203, 4.83
204, 2.22
205, 4.70
206, 1.78
207, 3.72
208, 5.95
209, 3.68
210, 5.82
211, 3.16
212, 5.63
213, 3.08
214, 5.05
215, 2.26
216, 4.96
217, 1.98
218, 4.35
219, 2.02
220, 4.50
221, 1.90
222, 4.24
223, 6.36
224, 3.61
225, 6.14
226, 3.85
227, 6.38
228, 3.49
229, 5.80
230, 3.68
231, 6.35
232, 3.37
233, 5.83
234, 2.70
235, 5.60
236, 2.76
237, 4.97
238, 2.72
239, 4.70
240, 2.14
241, 4.98
242, 2.31
243, 4.29
244, 6.26
245, 3.37
246, 5.74
247, 3.40
248, 5.36
249, 3.10
250, 5.76
251, 2.63
252, 5.00
253, 1.98
254, 4.24
255, 6.64
256, 4.04
257, 6.22
258, 4.09
259, 6.48
260, 3.96
261, 1.80
262, 4.21
263, 6.66
264, 3.96
265, 6.58
266, 3.95
267, 1.74
268, 4.53
269, 1.77
270, 3.87
271, 6.18
272, 4.03
273, 6.12
274, 3.37
275, 5.82
276, 3.66
277, 5.65
278, 2.96
279, 5.37
280, 2.52
281, 4.41
282, 1.78
283, 4.41
284, 6.52
285, 3.82
286, 6.64
287, 4.11
288, 6.61
289, 3.59
290, 5.73
291, 3.23
292, 5.98
293, 3.69
294, 6.48
295, 3.82
296, 6.45
297, 4.02
298, 6.02
299, 3.21
300, 5.11
301, 2.46
302, 5.21
303, 2.95
304, 4.96
305, 2.10
306, 4.89
307, 2.71
308, 5.33
309, 2.63
310, 5.39
311, 3.24
312, 5.54
313, 2.82
314, 4.68
315, 1.74
316, 4.54
317, 1.77
318, 4.65
319, 6.64
320, 3.69
321, 6.52
322, 3.88
323, 6.52
324, 4.24
325, 5.86
326, 3.69
327, 6.51
328, 4.34
329, 2.06
330, 4.67
331, 1.86
332, 3.84
333, 6.61
334, 4.06
335, 6.76
336, 4.40
337, 6.28
338, 3.58
339, 5.77
340, 2.67
341, 5.47
