read, delay
1, 12.38
2, 11.81
3, 10.06
4, 9.90
5, 16.84
6, 15.79
7, 15.26
8, 14.40
9, 14.11
10, 13.49
11, 13.07
12, 12.80
13, 11.80
14, 11.65
15, 10.54
16, 10.37
17, 18.03
18, 17.31
19, 16.24
20, 14.54
21, 14.41
22, 13.48
23, 12.62
24, 12.00
25, 11.48
26, 10.99
27, 10.77
28, 10.49
29, 17.72
30, 17.38
31, 16.51
32, 15.78
33, 14.64
34, 12.76
35, 11.84
36, 11.58
37, 11.42
38, 11.26
39, 10.98
40, 10.77
41, 9.95
42, 17.08
43, 16.43
44, 15.44
45, 14.53
46, 13.80
47, 13.67
48, 12.60
49, 11.86
50, 10.67
51, 9.72
52, 17.12
53, 16.26
54, 15.46
55, 15.00
56, 14.20
57, 13.84
58, 13.68
59, 13.40
60, 12.42
61, 11.78
62, 10.85
63, 17.83
64, 17.56
65, 16.29
66, 15.53
67, 14.81
68, 13.73
69, 12.70
70, 11.77
71, 10.65
72, 10.29
73, 17.51
74, 16.56
75, 16.03
76, 15.13
77, 14.48
78, 14.18
79, 12.36
80, 11.96
81, 11.75
82, 10.68
83, 9.98
84, 16.88
85, 16.17
86, 15.20
87, 14.72
88, 14.02
89, 13.57
90, 12.72
91, 12.48
92, 11.50
93, 10.34
94, 17.39
95, 16.60
96, 16.07
97, 15.21
98, 14.36
99, 13.94
100, 13.65
101, 12.60
102, 12.04
103, 11.00
104, 10.87
105, 10.34
106, 17.61
107, 16.74
108, 14.77
109, 13.87
110, 13.34
111, 13.26
112, 11.67
113, 10.73
114, 9.70
115, 16.92
116, 16.22
117, 15.60
118, 15.12
119, 14.68
120, 14.44
121, 13.97
122, 13.50
123, 12.72
124, 12.40
125, 10.45
126, 9.88
127, 17.08
128, 16.52
129, 16.04
130, 14.97
131, 14.23
132, 13.22
133, 12.39
134, 12.08
135, 11.02
136, 10.77
137, 10.64
138, 10.31
139, 17.82
140, 15.76
141, 15.08
142, 14.14
143, 13.06
144, 11.96
145, 11.71
146, 11.11
147, 10.44
148, 17.37
149, 16.66
150, 16.11
151, 15.32
152, 14.62
153, 13.59
154, 12.92
155, 12.27
156, 12.16
157, 11.44
158, 11.11
159, 9.70
160, 17.80
161, 16.94
162, 16.32
163, 14.32
164, 13.94
165, 13.14
166, 12.57
167, 12.15
168, 11.43
169, 11.13
170, 10.55
171, 17.90
172, 17.69
173, 15.57
174, 14.98
175, 13.99
176, 13.48
177, 13.31
178, 12.56
179, 12.30
180, 11.66
181, 11.16
182, 10.81
183, 17.70
184, 17.91
185, 16.61
186, 15.84
187, 14.77
188, 14.17
189, 13.86
190, 13.62
191, 13.02
192, 12.63
193, 10.68
194, 10.51
195, 10.19
196, 10.05
197, 18.20
198, 16.36
199, 16.10
200, 15.86
201, 14.88
202, 14.36
203, 13.63
204, 13.39
205, 12.42
206, 12.21
207, 11.10
208, 10.38
209, 17.41
210, 15.32
211, 14.99
212, 14.51
213, 13.76
214, 13.03
215, 11.90
216, 10.84
217, 9.91
218, 17.06
219, 16.73
220, 16.58
221, 15.82
222, 14.74
223, 13.99
224, 13.17
225, 12.22
226, 11.53
227, 10.42
228, 17.53
229, 16.41
230, 16.06
231, 14.82
232, 13.79
233, 13.38
234, 12.72
235, 12.15
236, 11.68
237, 10.66
238, 17.54
239, 16.52
240, 15.76
241, 15.00
242, 13.96
243, 12.79
244, 12.28
245, 11.96
246, 11.20
247, 10.90
248, 9.86
249, 16.77
250, 16.51
251, 16.22
252, 15.91
253, 14.68
254, 14.24
255, 13.84
256, 13.69
257, 13.05
258, 12.26
259, 11.94
260, 10.84
261, 17.22
262, 16.37
263, 15.60
264, 15.34
265, 15.97
266, 13.91
267, 13.48
268, 12.59
269, 12.47
270, 11.66
271, 11.08
272, 10.51
273, 10.34
274, 17.80
275, 16.69
276, 14.64
277, 13.83
278, 13.20
279, 13.05
280, 12.54
281, 11.60
282, 11.12
283, 10.43
284, 17.60
285, 17.36
286, 16.70
287, 15.63
288, 15.34
289, 15.19
290, 14.85
291, 14.29
292, 13.72
293, 13.36
294, 13.00
295, 11.06
296, 10.16
297, 9.64
298, 17.44
299, 16.82
300, 16.37
301, 15.43
302, 15.12
303, 14.99
304, 14.37
305, 13.59
306, 13.21
307, 12.96
308, 11.85
309, 11.24
310, 10.91
311, 10.74
312, 17.96
313, 16.38
314, 15.29
315, 14.17
316, 13.60
317, 12.55
318, 11.76
319, 11.14
320, 10.77
321, 10.24
322, 18.34
323, 17.99
324, 16.37
325, 15.66
326, 14.54
327, 14.02
328, 12.11
329, 11.41
330, 11.20
331, 10.94
332, 9.91
333, 16.90
334, 16.73
335, 15.98
336, 15.35
337, 14.35
338, 13.41
339, 12.95
340, 12.28
341, 10.84
342, 11.14
343, 10.65
344, 9.08
345, 15.81
346, 15.00
347, 14.10
348, 13.79
349, 13.48
350, 21.00
351, 12.38
352, 12.03
353, 10.98
354, 10.29
355, 17.36
356, 9.04
357, 15.44
358, 15.33
359, 15.16
360, 14.18
361, 13.25
362, 12.77
363, 11.92
364, 11.10
365, 10.57
366, 9.74
367, 16.67
368, 15.96
369, 16.15
370, 14.76
371, 14.05
372, 13.94
373, 12.87
374, 11.27
375, 10.62
376, 9.66
377, 16.57
378, 15.76
379, 14.74
380, 13.98
381, 13.41
382, 13.08
383, 12.54
384, 12.98
385, 10.99
386, 10.80
387, 17.74
388, 17.07
389, 16.16
390, 15.98
391, 14.91
392, 14.55
393, 13.39
394, 12.76
395, 12.06
396, 11.02
397, 10.76
398, 10.35
399, 9.72
400, 9.36
401, 17.22
402, 16.18
403, 15.79
404, 15.17
405, 14.64
406, 14.38
407, 13.54
408, 13.43
409, 12.58
410, 11.90
411, 10.10
412, 17.20
413, 16.22
414, 15.20
415, 14.30
416, 13.96
417, 13.26
418, 12.14
419, 11.80
420, 11.50
421, 10.46
422, 17.78
423, 17.08
424, 16.89
425, 15.90
426, 15.12
427, 13.30
428, 13.07
429, 12.96
430, 12.25
431, 12.04
432, 11.27
433, 10.24
434, 9.89
435, 16.95
436, 16.05
437, 15.73
438, 14.96
439, 14.83
440, 14.30
441, 13.77
442, 13.35
443, 12.60
444, 11.11
445, 10.86
446, 10.32
447, 17.32
448, 16.28
449, 15.56
450, 14.38
451, 13.42
452, 12.96
453, 12.76
454, 12.52
455, 12.26
456, 12.05
457, 11.61
458, 11.43
459, 10.35
460, 17.85
461, 17.20
462, 15.07
463, 14.61
464, 14.09
465, 13.12
466, 12.42
467, 11.50
468, 10.58
469, 10.17
470, 17.63
471, 16.98
472, 16.47
473, 15.54
474, 14.77
475, 13.77
476, 12.73
477, 12.14
478, 11.03
479, 9.60
480, 16.73
481, 15.17
482, 13.77
483, 12.73
484, 19.80
485, 10.90
486, 18.31
487, 10.00
488, 17.34
489, 16.33
490, 15.80
491, 23.05
492, 14.84
493, 13.56
494, 12.46
495, 11.92
496, 11.62
497, 10.62
498, 10.31
499, 17.25
500, 16.14
501, 15.35
502, 14.75
503, 13.66
504, 13.08
505, 12.73
506, 11.62
507, 10.50
508, 17.52
509, 16.97
510, 16.36
511, 14.48
512, 14.32
513, 13.49
514, 12.51
515, 12.12
516, 10.99
517, 10.57
518, 17.64
519, 17.39
520, 17.03
521, 16.34
522, 15.78
523, 14.50
524, 14.11
525, 13.63
526, 12.87
527, 11.02
528, 10.40
529, 9.80
530, 17.04
531, 16.44
532, 16.12
533, 15.02
