read, delay
1, 8.84
2, 10.46
3, 17.08
4, 8.66
5, 14.96
6, 13.19
7, 22.91
8, 14.58
9, 19.46
10, 13.91
11, 29.34
12, 19.99
13, 26.72
14, 18.34
15, 12.17
16, 25.34
17, 16.89
18, 18.94
19, 6.88
20, 13.40
21, 15.46
22, 17.46
23, 23.58
24, 14.00
25, 15.90
26, 19.92
27, 22.72
28, 30.39
29, 20.43
30, 22.94
31, 21.68
32, 17.45
33, 21.86
34, 10.12
35, 29.89
36, 20.68
37, 9.86
38, 9.96
39, 1.94
40, 8.33
41, 28.80
42, 20.56
43, 29.91
44, 16.31
45, 7.34
46, 27.42
47, 0.74
48, 19.76
49, 26.56
50, 17.87
51, 2.72
52, 23.55
53, 29.19
54, 10.11
55, 13.76
56, 16.42
57, 16.19
58, 25.62
59, 26.85
60, 30.46
61, 16.11
62, 9.50
63, 18.84
64, 18.06
65, 23.37
66, 13.96
67, 2.72
68, 21.50
69, 16.00
70, 21.74
71, 26.52
72, 0.54
73, 19.54
74, 26.11
75, 17.60
76, 2.87
77, 12.75
78, 20.01
79, 26.82
80, 17.00
81, 23.06
82, 29.29
83, 20.68
84, 29.26
85, 15.79
86, 17.79
87, 31.25
88, 21.63
89, 11.78
90, 0.24
91, 24.22
92, 30.68
93, 20.79
94, 9.57
95, 28.31
96, 22.38
97, 29.18
98, 16.78
99, 23.02
100, 16.60
101, 18.83
102, 23.32
103, 29.70
104, 19.82
105, 11.35
106, 17.28
107, 20.69
108, 25.36
109, 16.40
110, 6.75
111, 13.02
112, 4.80
113, 26.06
114, 32.36
115, 22.75
116, 28.33
117, 19.19
118, 28.96
119, 16.58
120, 22.99
121, 5.74
122, 16.51
123, 27.40
124, 19.04
125, 25.05
126, 11.80
127, 24.46
128, 11.59
129, 21.27
130, 14.37
131, 23.82
132, 14.22
133, 24.89
134, 15.76
135, 6.52
136, 12.44
137, 18.52
138, 25.03
139, 16.91
140, 22.62
141, 28.83
142, 20.09
143, 26.20
144, 16.86
145, 22.78
146, 16.90
147, 19.22
148, 10.84
149, 13.14
150, 19.05
151, 29.48
152, 20.24
153, 18.51
154, 0.07
155, 6.66
156, 13.48
157, 18.02
158, 24.66
159, 10.66
160, 16.98
161, 23.35
162, 25.95
163, 16.08
164, 18.84
165, 9.50
166, 29.86
167, 16.68
168, 21.25
169, 27.99
170, 18.03
171, 20.06
172, 15.24
173, 12.13
174, 18.12
175, 24.41
176, 25.46
177, 19.02
178, 21.56
179, 27.73
