read, delay
1, 3.12
2, 2.75
3, 2.57
4, 1.80
5, 8.76
6, 8.36
7, 7.72
8, 6.73
9, 5.70
10, 4.88
11, 4.32
12, 4.02
13, 3.44
14, 3.30
15, 2.20
16, 1.58
17, 1.14
18, 8.28
19, 7.36
20, 6.62
21, 6.22
22, 5.95
23, 5.12
24, 4.85
25, 4.18
26, 3.13
27, 2.92
28, 2.54
29, 1.59
30, 1.16
31, 8.93
32, 7.99
33, 7.37
34, 6.97
35, 6.06
36, 5.30
37, 4.21
38, 3.94
39, 3.26
40, 2.33
41, 1.26
42, 8.47
43, 7.96
44, 7.52
45, 6.90
46, 6.04
47, 5.70
48, 5.51
49, 5.21
50, 4.75
51, 4.64
52, 4.37
53, 3.55
54, 2.48
55, 1.69
56, 1.11
57, 8.87
58, 8.58
59, 7.92
60, 6.90
61, 6.08
62, 5.30
63, 4.64
64, 4.51
65, 3.58
66, 2.62
67, 1.54
68, 1.01
69, 8.68
70, 7.62
71, 7.20
72, 6.08
73, 5.34
74, 5.22
75, 4.23
76, 3.32
77, 3.13
78, 2.47
79, 1.94
80, 1.15
81, 8.94
82, 8.74
83, 7.98
84, 7.39
85, 6.76
86, 6.46
87, 6.22
88, 5.72
89, 5.16
90, 4.76
91, 4.46
92, 4.22
93, 3.61
94, 2.62
95, 1.74
96, 9.06
97, 8.23
98, 7.79
99, 7.25
100, 7.00
101, 6.39
102, 5.37
103, 4.37
104, 3.44
105, 3.18
106, 2.72
107, 2.43
108, 1.92
109, 1.51
110, 8.51
111, 7.78
112, 7.45
113, 6.58
114, 6.30
115, 5.56
116, 5.13
117, 4.90
118, 4.37
119, 3.29
120, 2.78
121, 2.42
122, 1.74
123, 1.02
124, 8.92
125, 8.40
126, 7.34
127, 7.11
128, 6.47
129, 6.35
130, 5.28
131, 4.22
132, 3.74
133, 3.55
134, 2.57
135, 1.70
136, 8.75
137, 7.93
138, 7.12
139, 6.36
140, 5.33
141, 4.63
142, 3.68
143, 2.82
144, 2.66
145, 1.92
146, 9.02
147, 8.26
148, 7.48
149, 7.00
150, 6.90
151, 5.83
152, 5.59
153, 5.41
154, 4.98
155, 4.42
156, 4.10
157, 3.70
158, 2.82
159, 1.81
160, 1.55
161, 1.34
162, 8.71
163, 7.79
164, 6.90
165, 6.57
166, 6.37
167, 6.03
168, 5.06
169, 4.61
170, 3.98
171, 3.62
172, 3.11
173, 2.64
174, 1.80
175, 8.81
176, 8.10
177, 7.46
178, 7.18
179, 6.43
180, 5.37
181, 4.88
182, 4.54
183, 4.16
184, 3.50
185, 3.17
186, 2.66
187, 2.04
188, 9.07
189, 8.32
190, 7.79
191, 7.54
192, 6.46
193, 5.60
194, 4.58
195, 3.83
196, 3.19
197, 3.03
198, 2.92
199, 2.12
200, 1.86
201, 1.52
202, 1.12
203, 8.18
204, 7.66
205, 6.88
206, 5.94
207, 4.83
208, 4.70
209, 3.91
210, 3.41
211, 2.76
212, 2.10
213, 1.17
214, 8.84
215, 8.06
216, 7.76
217, 6.83
218, 6.33
219, 5.46
220, 4.71
221, 4.27
222, 3.29
223, 2.16
224, 1.27
225, 8.40
226, 7.84
227, 6.86
228, 6.40
229, 5.74
230, 5.32
231, 4.33
232, 3.65
233, 3.46
234, 2.37
235, 1.48
236, 8.58
237, 8.07
238, 7.93
239, 7.65
240, 6.76
241, 5.96
242, 5.40
243, 4.42
244, 3.80
245, 2.72
246, 2.13
247, 1.32
248, 1.12
249, 8.77
250, 8.32
251, 7.35
252, 6.60
253, 5.67
254, 4.57
255, 3.79
256, 2.85
257, 2.50
258, 1.66
259, 9.04
260, 8.90
261, 8.40
262, 7.48
263, 7.37
264, 7.09
265, 6.04
266, 5.72
267, 5.56
268, 5.18
269, 4.32
270, 3.67
271, 3.24
272, 2.60
273, 2.31
274, 1.92
275, 1.27
276, 8.54
277, 7.78
278, 6.96
279, 6.29
280, 6.03
281, 4.94
282, 4.42
283, 3.77
284, 2.86
285, 2.24
286, 1.74
287, 8.88
288, 8.70
289, 8.22
290, 7.39
291, 7.08
292, 6.84
293, 6.17
294, 5.57
295, 5.01
296, 4.31
297, 3.40
298, 2.96
299, 2.56
300, 2.26
301, 2.09
302, 1.77
303, 1.02
304, 8.56
305, 8.05
306, 7.48
307, 7.00
308, 6.60
309, 6.47
310, 5.47
311, 5.20
312, 4.95
313, 4.29
314, 3.60
315, 3.31
316, 2.94
317, 2.49
318, 1.66
319, 8.66
320, 7.94
321, 7.01
322, 6.14
323, 5.88
324, 5.19
325, 4.37
326, 3.49
327, 2.73
328, 2.41
329, 2.29
330, 1.58
331, 8.91
332, 7.91
333, 6.90
334, 6.51
335, 6.04
336, 5.74
337, 5.36
338, 4.29
339, 3.24
340, 2.19
341, 1.61
342, 8.74
343, 7.68
344, 6.99
345, 6.78
346, 6.46
347, 6.32
348, 5.28
349, 5.14
350, 4.19
351, 3.95
352, 3.74
353, 3.01
354, 2.55
355, 2.08
356, 1.56
357, 1.09
358, 8.37
359, 7.53
360, 7.43
361, 6.72
362, 6.52
363, 5.49
364, 4.74
365, 4.22
366, 3.13
367, 2.28
368, 1.89
369, 1.38
370, 8.96
371, 8.38
372, 8.18
373, 7.30
374, 6.82
375, 6.02
376, 5.49
377, 4.96
378, 3.90
379, 2.96
380, 2.74
381, 1.65
382, 8.93
383, 7.92
384, 6.86
385, 5.80
386, 5.47
387, 4.88
388, 4.56
389, 3.56
390, 2.92
391, 2.28
392, 1.92
393, 1.81
394, 9.04
395, 7.98
396, 6.91
397, 6.02
398, 5.02
399, 4.06
400, 3.39
401, 2.74
402, 2.06
403, 1.69
404, 8.80
405, 8.40
406, 7.41
407, 6.28
408, 5.19
409, 5.06
410, 4.22
411, 3.46
412, 2.35
413, 2.04
414, 1.59
415, 8.73
416, 8.32
417, 7.98
418, 7.25
419, 6.36
420, 6.12
421, 5.78
422, 4.70
423, 3.90
424, 3.00
425, 2.84
426, 2.16
427, 1.44
428, 8.60
429, 7.54
430, 6.92
431, 6.26
432, 5.34
433, 5.02
434, 4.84
435, 4.32
436, 3.93
437, 3.17
438, 2.66
439, 2.24
440, 2.10
441, 1.99
442, 9.10
443, 8.17
444, 7.96
445, 7.84
446, 7.18
447, 6.75
448, 6.45
449, 6.08
450, 5.46
451, 4.68
452, 3.88
453, 3.38
454, 2.66
455, 1.99
456, 1.31
457, 8.24
458, 7.37
459, 6.86
460, 6.39
461, 5.98
462, 5.76
463, 4.70
464, 4.38
465, 3.48
466, 3.24
467, 2.96
468, 2.05
469, 1.52
470, 8.80
471, 8.04
472, 7.40
473, 6.94
474, 5.98
475, 5.56
476, 4.46
477, 3.92
478, 3.44
479, 3.08
480, 2.06
481, 1.72
482, 1.57
483, 1.14
484, 8.09
485, 7.73
486, 7.42
487, 7.14
488, 6.68
489, 6.28
490, 5.30
491, 4.28
492, 3.58
493, 2.74
494, 2.51
495, 1.83
496, 8.85
497, 8.37
498, 7.33
499, 6.51
500, 5.49
501, 4.56
502, 3.82
503, 2.82
504, 2.06
505, 1.20
506, 8.43
507, 7.63
508, 7.49
509, 7.27
510, 6.92
511, 6.66
512, 6.08
513, 5.34
514, 4.88
515, 4.05
516, 3.37
517, 2.67
518, 2.03
519, 1.17
520, 8.23
521, 7.33
522, 6.68
523, 6.12
524, 5.49
525, 5.37
526, 4.75
527, 3.70
528, 3.00
529, 2.81
530, 2.01
531, 1.82
532, 1.38
533, 1.16
534, 8.10
535, 7.72
536, 7.61
537, 6.76
