read, delay
1, 5.21
2, 4.94
3, 4.04
4, 3.09
5, 2.53
6, 2.37
7, 2.26
8, 1.22
9, 8.52
10, 8.18
11, 7.25
12, 6.89
13, 6.03
14, 5.21
15, 4.55
16, 3.90
17, 3.04
18, 2.08
19, 1.45
20, 8.48
21, 7.43
22, 6.54
23, 5.46
24, 4.80
25, 4.26
26, 3.81
27, 3.55
28, 3.26
29, 2.84
30, 2.04
31, 1.85
32, 1.70
33, 1.36
34, 8.26
35, 7.52
36, 7.42
37, 6.90
38, 6.36
39, 5.36
40, 4.38
41, 3.67
42, 3.01
43, 2.81
44, 1.97
45, 1.01
46, 8.78
47, 8.16
48, 7.59
49, 6.77
50, 6.41
51, 5.42
52, 4.70
53, 3.97
54, 3.42
55, 2.44
56, 2.31
57, 1.32
58, 8.33
59, 7.76
60, 6.75
61, 5.72
62, 5.02
63, 4.70
64, 4.45
65, 3.80
66, 3.43
67, 2.37
68, 1.52
69, 8.67
70, 8.00
71, 7.31
72, 6.71
73, 6.16
74, 5.52
75, 4.52
76, 3.89
77, 3.22
78, 2.11
79, 1.37
80, 8.60
81, 7.94
82, 6.96
83, 6.54
84, 6.44
85, 5.99
86, 5.00
87, 4.80
88, 4.10
89, 3.09
90, 2.59
91, 2.36
92, 2.03
93, 1.61
94, 1.04
95, 8.85
96, 7.72
97, 6.66
98, 6.38
99, 6.03
100, 5.27
101, 5.15
102, 4.54
103, 3.65
104, 3.26
105, 2.18
106, 1.80
107, 8.74
108, 8.18
109, 7.32
110, 6.41
111, 6.14
112, 5.46
113, 5.27
114, 4.54
115, 3.76
116, 2.86
117, 2.25
118, 2.09
119, 1.30
120, 1.01
121, 8.50
122, 7.87
123, 7.68
124, 7.03
125, 6.91
126, 5.83
127, 4.95
128, 3.86
129, 3.24
130, 2.77
131, 2.22
132, 1.16
133, 8.09
134, 7.17
135, 7.03
136, 6.13
137, 5.84
138, 4.74
139, 4.20
140, 3.32
141, 3.20
142, 2.47
143, 1.97
144, 1.66
145, 1.02
146, 8.45
147, 7.58
148, 6.97
149, 6.75
150, 6.22
151, 5.85
152, 5.46
153, 4.46
154, 3.66
155, 3.05
156, 1.98
157, 1.72
158, 1.17
159, 8.06
160, 7.02
161, 6.41
162, 5.71
163, 5.06
164, 4.62
165, 4.23
166, 3.26
167, 2.78
168, 1.79
169, 1.10
170, 8.93
171, 8.70
172, 7.89
173, 7.52
174, 6.61
175, 5.77
176, 5.05
177, 4.16
178, 3.44
179, 3.28
180, 2.74
181, 1.80
182, 1.46
183, 8.83
184, 8.08
185, 7.30
186, 6.89
187, 6.01
188, 4.92
189, 3.89
190, 2.79
191, 2.64
192, 1.64
193, 1.14
194, 8.02
195, 7.66
196, 6.85
197, 6.31
198, 6.03
199, 5.85
200, 5.33
201, 4.88
202, 4.43
203, 3.67
204, 3.20
205, 2.50
206, 1.45
207, 1.08
208, 8.44
209, 7.91
210, 6.83
211, 5.82
212, 5.05
213, 4.80
214, 4.28
215, 3.23
216, 2.51
217, 1.46
218, 1.18
219, 8.43
220, 7.48
