read, delay
1, 8.18
2, 3.98
3, 4.48
4, 9.92
5, 4.14
6, 5.14
7, 4.13
8, 3.91
9, 5.96
10, 4.12
11, 4.28
12, 5.12
13, 5.56
14, 4.82
15, 4.18
16, 5.24
17, 4.67
18, 4.03
19, 4.21
20, 4.72
21, 6.42
22, 3.48
23, 5.26
24, 4.68
25, 4.84
26, 5.70
27, 5.47
28, 8.12
29, 5.42
30, 4.92
31, 4.12
32, 4.74
33, 6.55
34, 4.58
35, 4.80
36, 5.39
37, 5.25
38, 4.96
39, 3.96
40, 5.56
41, 3.72
42, 4.30
43, 4.46
44, 4.98
45, 4.01
46, 4.12
47, 4.89
48, 5.10
49, 4.73
50, 5.80
51, 4.80
52, 3.76
53, 5.61
54, 4.08
55, 3.71
56, 5.46
57, 7.23
58, 5.04
59, 5.10
60, 5.54
61, 5.87
62, 4.36
63, 4.68
64, 6.11
65, 4.11
66, 4.59
67, 3.83
68, 4.58
69, 4.99
70, 5.36
71, 5.02
72, 4.07
73, 4.27
74, 4.03
75, 4.54
76, 4.92
77, 4.28
78, 5.27
79, 4.58
80, 4.21
81, 3.88
82, 4.08
83, 5.84
84, 4.44
85, 5.08
86, 5.40
87, 5.16
88, 4.58
89, 4.38
90, 3.99
91, 3.87
92, 5.67
93, 4.80
94, 5.04
95, 6.56
96, 6.01
97, 4.35
98, 3.75
99, 4.56
100, 4.25
101, 3.94
102, 4.83
103, 5.12
104, 4.78
105, 5.38
106, 5.26
107, 4.56
108, 4.31
109, 12.41
110, 4.77
111, 4.57
112, 4.80
113, 5.07
114, 5.48
115, 4.53
116, 3.77
117, 4.24
118, 3.75
119, 4.48
120, 5.19
121, 4.34
122, 5.17
123, 4.64
124, 3.82
125, 3.68
126, 4.20
127, 4.94
128, 4.75
129, 4.23
130, 6.54
131, 4.76
132, 5.12
133, 4.88
134, 4.45
135, 4.69
136, 4.20
137, 3.96
138, 4.75
139, 4.42
140, 4.90
141, 5.32
142, 4.64
143, 4.50
144, 4.01
145, 4.23
146, 4.78
147, 4.26
148, 6.49
149, 4.78
150, 4.53
151, 4.40
152, 4.63
153, 4.09
154, 5.25
155, 3.62
156, 4.31
157, 8.31
158, 4.36
159, 4.16
160, 6.50
161, 4.52
162, 6.09
163, 4.37
164, 4.62
165, 5.19
166, 4.40
167, 4.22
168, 5.11
169, 4.38
170, 4.66
171, 3.80
172, 6.03
173, 5.48
174, 3.91
175, 5.45
176, 5.22
177, 5.59
178, 3.31
179, 3.76
180, 4.39
181, 6.36
182, 4.31
183, 5.09
184, 4.73
185, 5.23
186, 5.11
187, 4.28
188, 4.44
189, 4.05
190, 4.30
191, 4.95
192, 5.29
193, 4.48
194, 4.62
195, 4.78
196, 4.07
197, 6.11
198, 4.64
199, 4.43
200, 5.18
201, 4.83
202, 4.70
203, 4.06
204, 3.52
205, 4.66
206, 4.45
207, 4.72
208, 4.27
209, 5.17
210, 5.02
211, 4.37
212, 5.32
213, 4.44
214, 4.61
215, 4.84
216, 5.15
217, 5.48
218, 5.10
219, 5.27
220, 3.54
221, 5.85
222, 7.78
223, 9.37
224, 6.00
225, 5.36
226, 5.00
227, 4.73
228, 4.09
229, 5.01
230, 4.77
231, 4.67
232, 3.84
233, 3.99
234, 4.95
235, 4.56
236, 5.06
237, 6.54
238, 4.74
239, 4.56
240, 3.80
241, 5.28
242, 4.36
243, 3.35
244, 4.21
245, 3.63
246, 4.74
247, 4.38
248, 4.70
249, 5.28
250, 4.34
251, 3.84
252, 5.69
253, 4.04
254, 3.82
255, 4.74
256, 4.24
257, 4.55
258, 4.70
259, 5.42
