read, delay
1, 2.25
2, 1.80
3, 1.89
4, 1.65
5, 1.44
6, 1.65
7, 1.84
8, 1.50
9, 1.43
10, 2.20
11, 2.25
12, 1.73
13, 1.94
14, 1.92
15, 1.91
16, 1.32
17, 2.06
18, 1.52
19, 1.66
20, 2.01
21, 2.02
22, 2.07
23, 1.60
24, 2.06
25, 2.27
26, 1.44
27, 1.69
28, 2.12
29, 2.01
30, 1.97
31, 1.98
32, 1.75
33, 2.14
34, 2.22
35, 2.22
36, 1.98
37, 2.07
38, 2.01
39, 1.90
40, 1.79
41, 1.76
42, 2.01
43, 1.47
44, 1.63
45, 1.35
46, 2.09
47, 1.58
48, 1.79
49, 1.86
50, 1.71
51, 1.26
52, 1.46
53, 1.54
54, 2.02
55, 1.63
56, 1.38
57, 1.90
58, 1.95
59, 2.02
60, 1.98
61, 1.83
62, 2.06
63, 1.48
64, 2.00
65, 2.08
66, 1.56
67, 2.22
68, 1.87
69, 1.84
70, 2.03
71, 1.84
72, 1.59
73, 1.38
74, 1.50
75, 1.54
76, 1.87
77, 1.36
78, 1.99
79, 1.63
80, 2.14
81, 1.45
82, 1.55
83, 1.45
84, 1.48
85, 1.40
86, 1.58
87, 2.27
88, 1.61
89, 1.94
90, 1.40
91, 1.65
92, 1.96
93, 1.80
94, 1.64
95, 1.31
96, 2.29
97, 2.11
98, 1.81
99, 2.07
100, 1.46
101, 1.52
102, 1.85
103, 1.40
104, 2.23
105, 1.69
106, 2.24
107, 1.62
108, 2.09
109, 2.20
110, 2.01
111, 1.91
112, 1.30
113, 1.76
114, 2.10
115, 1.51
116, 1.34
117, 1.90
118, 1.37
119, 2.24
120, 1.93
121, 2.01
122, 2.20
123, 1.69
124, 1.82
125, 1.70
126, 1.61
127, 1.88
128, 1.98
129, 1.62
130, 1.79
131, 2.18
132, 1.80
133, 1.76
134, 1.94
135, 1.96
136, 1.33
137, 1.33
138, 1.59
139, 1.95
140, 1.75
141, 1.30
142, 1.58
143, 1.90
144, 2.16
145, 1.68
146, 2.18
147, 1.29
148, 1.41
149, 1.80
150, 1.30
151, 1.46
152, 1.36
153, 1.18
154, 1.56
155, 1.92
156, 2.09
157, 2.20
158, 1.72
159, 2.15
160, 1.22
161, 1.71
162, 2.12
163, 1.38
164, 2.11
165, 1.82
166, 1.73
167, 1.72
168, 1.45
169, 2.18
170, 2.12
171, 1.66
172, 2.21
173, 1.66
174, 2.24
175, 2.15
176, 1.76
177, 1.90
178, 1.54
179, 1.86
180, 2.06
181, 1.86
182, 1.68
183, 1.80
184, 1.54
185, 1.95
186, 1.34
187, 1.44
188, 1.98
189, 2.04
190, 1.95
191, 2.00
192, 2.17
193, 1.72
194, 2.14
195, 1.84
196, 1.42
197, 1.96
198, 1.44
199, 2.03
200, 2.17
201, 1.72
202, 1.40
203, 2.10
204, 2.06
205, 1.93
206, 1.65
207, 1.83
208, 1.96
209, 1.97
210, 2.02
211, 1.42
212, 1.81
213, 2.11
214, 1.88
215, 2.16
216, 2.10
217, 1.71
218, 1.84
219, 1.84
220, 1.60
221, 1.70
222, 2.13
223, 1.32
224, 2.22
225, 1.70
226, 1.48
227, 2.28
228, 1.66
229, 2.07
230, 2.03
231, 1.42
232, 1.80
233, 1.67
234, 1.86
235, 1.40
236, 1.54
237, 1.71
238, 1.46
239, 1.52
240, 1.62
241, 1.36
242, 1.52
243, 2.11
244, 1.43
245, 1.88
246, 1.85
247, 1.92
248, 2.18
249, 2.32
250, 1.53
251, 2.11
252, 2.08
253, 2.15
254, 1.84
255, 1.92
256, 2.20
257, 2.26
258, 1.48
259, 2.34
260, 1.68
261, 1.94
262, 1.55
263, 2.20
264, 2.30
265, 1.96
266, 1.35
267, 1.96
268, 2.22
269, 2.30
270, 2.30
271, 1.66
272, 1.98
273, 1.44
274, 2.31
275, 1.61
276, 1.73
277, 1.79
278, 2.12
279, 1.69
280, 1.41
281, 2.06
282, 1.40
283, 1.43
284, 1.80
285, 1.85
286, 1.65
287, 2.37
288, 1.68
289, 1.76
290, 2.25
291, 2.30
292, 1.50
293, 2.38
294, 1.62
295, 1.94
296, 2.00
297, 2.36
298, 1.76
299, 2.28
300, 2.16
301, 2.01
302, 2.28
303, 2.19
304, 2.09
305, 2.19
306, 1.85
307, 1.84
308, 1.91
309, 2.16
310, 2.06
311, 1.38
312, 2.35
313, 1.86
314, 2.12
315, 2.10
316, 2.35
317, 2.09
318, 1.84
319, 1.88
320, 2.16
321, 2.19
322, 1.67
323, 1.65
324, 2.12
325, 1.94
326, 1.61
327, 2.30
328, 2.36
329, 2.12
330, 2.38
331, 2.11
332, 1.81
333, 1.96
334, 1.80
335, 1.89
336, 2.00
337, 1.39
338, 2.08
339, 1.50
340, 1.26
341, 1.72
342, 1.40
343, 1.30
344, 1.78
345, 2.00
346, 1.76
347, 1.21
348, 1.27
349, 2.10
350, 1.23
351, 2.12
352, 1.47
353, 1.84
354, 2.02
355, 1.77
356, 1.36
357, 1.95
358, 1.75
359, 1.82
360, 1.51
361, 1.33
362, 1.93
363, 2.02
364, 1.48
365, 2.20
366, 1.34
367, 1.46
368, 1.85
369, 2.21
370, 1.83
371, 1.48
372, 1.97
373, 2.01
374, 1.62
375, 1.39
376, 1.58
377, 1.80
378, 1.57
379, 1.72
380, 1.38
381, 2.15
382, 2.00
383, 2.04
384, 1.74
385, 2.02
386, 1.86
387, 1.74
388, 1.58
389, 2.00
390, 2.16
391, 2.10
392, 1.65
393, 1.46
394, 1.40
395, 1.37
396, 2.24
397, 2.07
398, 2.15
399, 1.66
400, 1.88
401, 1.99
402, 1.44
403, 1.38
404, 1.98
405, 1.64
406, 2.00
407, 1.51
408, 2.09
409, 1.56
410, 2.21
411, 1.50
412, 1.42
413, 1.51
414, 1.94
415, 2.27
416, 1.89
417, 2.04
418, 1.82
419, 1.88
420, 1.44
421, 1.99
422, 1.73
423, 1.38
424, 2.02
425, 2.10
426, 1.87
427, 1.68
428, 1.57
429, 1.34
430, 1.59
431, 1.43
432, 1.70
433, 1.70
434, 2.21
435, 1.84
436, 1.97
437, 2.11
438, 1.96
439, 1.69
440, 2.19
441, 2.16
442, 1.60
443, 1.98
444, 1.50
445, 1.52
446, 1.72
447, 1.91
448, 2.27
449, 1.59
450, 1.72
451, 1.53
452, 1.42
453, 1.40
454, 2.18
455, 1.72
456, 1.63
457, 2.28
458, 1.46
459, 1.87
460, 1.54
461, 1.60
462, 2.34
463, 2.32
464, 1.69
465, 2.18
466, 2.06
467, 1.70
468, 1.61
469, 1.63
470, 1.66
471, 2.13
472, 2.26
473, 1.57
474, 1.44
475, 2.25
476, 2.30
477, 1.40
478, 1.56
479, 1.38
480, 2.33
481, 1.64
482, 1.50
483, 2.07
484, 1.67
485, 2.18
486, 1.55
487, 1.76
488, 2.33
489, 1.64
490, 2.15
491, 1.76
492, 2.25
493, 1.83
494, 1.87
495, 1.54
496, 1.47
497, 1.90
498, 1.50
499, 1.82
500, 2.39
501, 1.86
502, 1.82
503, 1.47
504, 2.40
505, 2.34
506, 2.12
507, 1.75
508, 1.56
509, 2.04
510, 2.13
511, 1.75
512, 1.55
513, 1.67
514, 2.37
515, 2.09
516, 1.99
517, 2.20
518, 1.49
519, 1.57
520, 1.58
521, 2.24
522, 1.60
523, 2.38
524, 2.48
525, 2.30
526, 1.93
527, 1.95
528, 2.01
529, 1.66
530, 2.22
531, 2.09
532, 1.41
533, 1.48
534, 2.14
535, 1.92
536, 1.56
537, 2.16
538, 1.86
539, 1.32
540, 2.00
541, 1.86
542, 2.02
543, 2.02
544, 1.60
545, 1.74
546, 1.64
547, 2.12
548, 1.96
549, 1.64
550, 1.85
551, 1.38
552, 1.70
553, 1.78
554, 2.34
555, 1.56
556, 1.71
557, 2.12
558, 1.69
559, 2.06
560, 1.93
561, 1.78
562, 1.40
563, 1.41
564, 1.91
565, 2.08
566, 1.88
567, 1.70
568, 1.52
569, 2.03
570, 1.75
571, 2.00
572, 2.25
573, 1.75
574, 2.09
575, 1.78
576, 1.73
577, 1.88
578, 1.65
579, 1.74
580, 1.74
581, 2.18
582, 1.84
583, 1.70
584, 1.52
585, 1.86
586, 1.44
587, 2.31
588, 2.28
589, 1.81
590, 1.69
591, 1.68
592, 1.75
593, 2.32
594, 2.04
595, 1.48
596, 1.49
597, 2.31
598, 2.22
599, 2.11
600, 1.64
601, 1.97
602, 1.95
603, 2.33
604, 1.73
605, 2.23
606, 1.82
607, 2.03
608, 1.50
609, 1.92
