read, delay
1, 0.59
2, 1.10
3, 1.23
4, 0.44
5, 0.75
6, 0.98
7, 1.24
8, 1.06
9, 0.25
10, 1.18
11, 0.50
12, 1.10
13, 0.83
14, 1.22
15, 1.23
16, 0.77
17, 1.41
18, 1.33
19, 0.60
20, 0.61
21, 1.03
22, 0.44
23, 0.39
24, 0.36
25, 0.82
26, 0.59
27, 1.17
28, 0.76
29, 1.20
30, 0.76
31, 1.09
32, 1.05
33, 0.81
34, 0.29
35, 0.63
36, 0.91
37, 1.12
38, 1.22
39, 0.87
40, 0.85
41, 0.37
42, 1.13
43, 1.04
44, 1.28
45, 0.41
46, 0.45
47, 0.48
48, 0.70
49, 0.80
50, 0.26
51, 0.79
52, 0.48
53, 0.32
54, 1.25
55, 1.08
56, 1.04
57, 1.23
58, 0.70
59, 0.44
60, 1.09
61, 1.24
62, 0.86
63, 0.68
64, 0.92
65, 1.31
66, 0.90
67, 1.22
68, 0.76
69, 0.68
70, 0.41
71, 0.87
72, 0.65
73, 0.53
74, 0.47
75, 1.10
76, 0.53
77, 0.32
78, 0.53
79, 0.76
80, 0.96
81, 0.48
82, 0.45
83, 0.38
84, 1.04
85, 0.60
86, 1.06
87, 0.48
88, 1.00
89, 1.04
90, 0.34
91, 0.70
92, 1.08
93, 1.34
94, 0.66
95, 1.10
96, 1.28
97, 1.27
98, 1.12
99, 0.49
100, 1.10
101, 1.32
102, 0.73
103, 1.06
104, 0.85
105, 0.66
106, 0.98
107, 1.27
108, 1.29
109, 0.66
110, 0.70
111, 0.70
112, 1.09
113, 0.68
114, 0.61
115, 1.00
116, 0.46
117, 0.28
118, 1.07
119, 0.41
120, 0.88
121, 0.94
122, 0.87
123, 0.90
124, 0.48
125, 1.21
126, 0.88
127, 1.11
128, 1.24
129, 1.34
130, 0.48
131, 1.17
132, 0.72
133, 0.81
134, 0.62
135, 1.37
136, 1.35
137, 0.79
138, 0.55
139, 1.12
140, 1.05
141, 0.62
142, 1.37
143, 1.23
144, 0.57
145, 1.10
146, 1.24
147, 0.64
148, 0.65
149, 0.52
150, 0.80
151, 0.95
152, 0.74
153, 1.26
154, 0.41
155, 0.62
156, 0.73
157, 0.58
158, 0.68
159, 0.78
160, 0.60
161, 0.98
162, 1.16
163, 1.22
164, 0.83
165, 1.26
166, 0.58
167, 0.42
168, 1.14
169, 0.34
170, 1.03
171, 0.80
172, 0.52
173, 0.86
174, 1.01
175, 0.34
176, 0.58
177, 0.54
178, 1.02
179, 0.63
180, 0.82
181, 1.33
182, 1.24
183, 1.01
184, 0.75
185, 0.60
186, 1.08
187, 1.28
188, 0.91
189, 1.11
190, 0.81
191, 0.94
192, 0.44
193, 0.70
194, 0.82
195, 1.24
196, 0.76
197, 1.06
198, 1.08
199, 0.80
200, 0.48
201, 0.85
202, 1.00
203, 0.51
204, 1.24
205, 0.58
206, 0.52
207, 1.17
208, 0.90
209, 0.98
210, 1.03
211, 0.32
212, 0.62
213, 0.97
214, 0.37
215, 1.01
216, 0.41
217, 1.09
218, 0.99
219, 0.92
220, 0.38
221, 0.52
222, 1.19
223, 0.55
224, 0.42
225, 0.48
226, 1.04
227, 0.82
228, 0.85
229, 0.47
230, 1.03
231, 0.30
232, 0.52
233, 0.74
234, 0.71
235, 0.59
236, 0.77
237, 0.81
238, 0.60
239, 0.94
240, 1.20
241, 0.60
242, 0.42
243, 0.78
244, 1.12
245, 0.28
246, 0.90
247, 0.69
248, 1.04
249, 0.54
250, 1.13
251, 0.37
252, 1.08
253, 1.21
254, 1.07
255, 0.41
256, 0.79
257, 0.48
258, 1.25
259, 0.49
260, 0.74
261, 0.84
262, 0.78
263, 0.64
264, 1.14
265, 1.05
266, 0.78
267, 0.89
268, 0.49
269, 0.45
270, 1.19
271, 1.08
272, 0.88
273, 0.91
274, 0.51
275, 0.35
276, 0.52
277, 1.21
278, 0.26
279, 0.29
280, 0.84
281, 0.94
282, 0.29
283, 0.67
284, 0.75
285, 0.41
286, 1.09
287, 0.72
288, 0.62
289, 1.19
290, 1.21
291, 1.08
292, 0.82
293, 0.86
294, 1.17
295, 0.83
296, 0.48
297, 1.24
298, 0.45
299, 0.98
300, 0.91
301, 0.64
302, 1.10
303, 0.73
304, 0.56
305, 0.86
306, 1.12
307, 0.36
308, 0.41
309, 0.24
310, 0.90
311, 1.22
312, 0.82
313, 1.34
314, 0.59
315, 1.22
316, 0.82
317, 1.05
318, 0.85
319, 0.71
320, 0.60
321, 1.23
322, 1.19
323, 1.00
324, 1.14
325, 0.89
326, 1.24
327, 0.83
328, 1.20
329, 0.54
330, 1.15
331, 1.08
332, 1.36
333, 0.84
334, 0.31
335, 0.39
336, 1.28
337, 1.00
338, 0.79
339, 0.82
340, 0.66
341, 0.84
342, 1.04
343, 1.00
344, 1.07
345, 0.42
346, 0.45
347, 0.49
348, 0.64
349, 0.80
350, 1.15
351, 1.29
352, 1.25
353, 0.45
354, 1.01
355, 1.26
356, 0.62
357, 0.40
358, 1.14
359, 0.42
360, 0.82
361, 0.60
362, 0.53
363, 0.48
364, 0.63
365, 0.50
366, 0.84
367, 0.91
368, 1.03
369, 0.73
370, 0.87
371, 0.80
372, 0.60
373, 1.03
374, 0.83
375, 1.19
376, 0.75
377, 0.35
378, 0.80
379, 1.02
380, 0.64
381, 0.85
382, 0.80
383, 1.22
384, 0.53
385, 1.17
386, 1.14
387, 1.07
388, 1.16
389, 0.55
390, 1.18
391, 0.98
392, 0.55
393, 0.69
394, 0.86
395, 1.14
396, 0.39
397, 1.05
398, 0.78
399, 0.74
400, 0.85
401, 0.74
402, 0.47
403, 0.86
404, 1.10
405, 0.79
406, 1.06
407, 0.92
408, 0.46
409, 1.03
410, 0.52
411, 0.64
412, 0.98
413, 0.81
414, 0.98
415, 0.91
416, 0.33
417, 0.86
418, 1.27
419, 0.56
420, 0.50
421, 0.62
422, 1.27
423, 0.79
424, 0.45
425, 0.84
426, 1.02
427, 0.96
428, 1.15
429, 0.64
430, 1.28
431, 0.68
432, 0.73
433, 0.91
434, 0.45
435, 1.01
436, 1.12
437, 0.49
438, 1.07
439, 0.61
440, 0.74
441, 0.54
442, 0.92
443, 0.87
444, 0.48
445, 0.85
446, 0.83
447, 1.02
448, 0.96
449, 0.31
450, 0.41
451, 1.06
452, 0.46
453, 0.47
454, 0.67
455, 0.92
456, 0.48
457, 1.07
458, 0.91
459, 1.08
460, 0.30
461, 1.22
462, 1.02
463, 0.92
464, 0.78
465, 0.73
466, 0.82
467, 0.78
468, 1.21
469, 0.50
470, 1.16
471, 1.17
472, 0.93
473, 0.97
474, 1.07
475, 0.66
476, 0.34
477, 1.12
478, 0.52
479, 0.47
480, 1.01
481, 0.90
482, 0.62
483, 0.64
484, 0.62
485, 0.48
486, 1.26
487, 0.64
488, 1.01
489, 0.62
490, 1.02
491, 0.95
492, 0.80
493, 0.38
494, 0.97
495, 1.26
496, 0.99
497, 0.60
498, 0.36
499, 0.83
500, 0.72
501, 0.48
502, 0.45
503, 0.56
504, 0.37
505, 1.20
506, 0.41
507, 0.77
508, 0.87
509, 0.44
510, 0.92
511, 0.93
512, 1.12
513, 1.16
514, 0.66
515, 0.58
516, 0.93
517, 0.80
518, 1.15
519, 1.00
520, 0.82
521, 1.34
522, 1.28
523, 0.51
524, 1.18
525, 0.50
526, 0.52
527, 0.98
528, 1.04
529, 0.57
530, 0.98
531, 0.36
532, 0.43
533, 1.16
534, 0.28
535, 1.13
536, 0.78
537, 1.16
538, 0.57
539, 0.75
540, 0.37
541, 0.43
542, 0.46
543, 1.03
544, 0.76
545, 0.59
546, 0.75
547, 0.73
548, 1.20
549, 1.00
550, 1.24
551, 0.76
552, 0.61
553, 0.54
554, 1.27
555, 1.20
556, 0.73
557, 1.15
558, 1.04
559, 0.80
560, 0.50
561, 0.93
562, 0.96
563, 0.72
564, 1.07
565, 1.19
566, 0.49
567, 0.70
568, 0.56
569, 0.92
570, 1.01
571, 0.36
572, 1.20
573, 0.66
574, 1.09
575, 0.59
576, 1.14
577, 0.34
578, 1.02
579, 0.85
580, 0.39
581, 0.80
582, 0.72
583, 0.48
584, 1.07
585, 0.48
586, 0.50
587, 1.08
588, 0.50
589, 0.67
590, 1.11
591, 0.36
592, 0.30
593, 1.32
594, 1.10
595, 0.27
596, 1.20
597, 0.84
598, 0.28
599, 0.55
600, 0.49
601, 1.14
602, 1.11
603, 1.18
604, 0.46
605, 1.00
606, 0.74
607, 0.59
608, 0.98
609, 0.94
610, 0.96
611, 0.80
612, 0.63
613, 0.65
614, 0.69
615, 0.49
616, 0.91
617, 1.07
618, 0.51
619, 0.98
620, 1.04
621, 0.99
622, 1.20
623, 0.81
624, 1.26
625, 0.57
626, 0.97
627, 0.67
628, 1.40
629, 1.34
630, 0.74
631, 0.66
632, 0.93
633, 0.39
634, 0.27
635, 0.59
636, 1.07
637, 0.70
638, 0.28
639, 1.13
640, 0.96
641, 0.50
642, 1.03
643, 0.63
644, 1.00
645, 0.51
646, 1.21
647, 1.31
648, 1.13
649, 0.76
650, 0.48
651, 0.79
652, 1.15
653, 0.92
654, 0.92
655, 1.28
656, 0.39
657, 1.21
658, 1.14
659, 0.42
660, 1.13
661, 0.78
662, 0.94
663, 0.60
664, 1.18
665, 1.22
666, 0.35
667, 0.69
668, 1.16
669, 0.53
670, 1.13
671, 0.61
672, 0.70
673, 0.89
674, 0.96
675, 0.68
676, 0.36
677, 0.96
678, 0.42
679, 1.03
680, 0.78
681, 0.80
682, 0.47
683, 0.76
684, 0.48
685, 0.51
686, 0.80
687, 1.16
688, 0.50
689, 0.53
690, 0.51
691, 0.92
692, 1.16
693, 0.73
694, 1.18
695, 0.77
696, 1.17
697, 1.16
698, 0.65
699, 1.17
700, 0.97
701, 0.88
702, 1.22
703, 1.04
704, 1.00
705, 0.52
706, 1.02
707, 0.67
708, 0.85
709, 1.12
710, 1.32
711, 0.33
712, 0.90
713, 0.91
714, 1.24
715, 1.20
716, 0.30
717, 0.29
718, 0.73
719, 0.47
720, 1.22
721, 1.30
722, 0.74
723, 1.06
724, 0.24
725, 0.44
726, 1.07
727, 1.18
728, 1.11
729, 0.98
730, 0.71
731, 0.57
732, 0.50
733, 0.88
734, 0.30
735, 0.81
736, 0.62
737, 0.59
738, 0.53
739, 0.75
740, 0.50
741, 1.17
742, 1.22
743, 0.67
744, 0.81
745, 0.83
746, 0.90
747, 0.96
748, 0.42
749, 0.31
750, 0.94
751, 1.24
752, 1.08
753, 1.28
754, 1.35
755, 0.79
756, 1.16
757, 1.44
758, 0.67
759, 0.56
760, 0.96
761, 1.03
762, 0.98
763, 0.91
764, 0.74
765, 1.22
766, 1.32
767, 0.97
768, 0.52
769, 0.71
770, 0.62
771, 1.18
772, 0.96
773, 0.40
774, 0.89
775, 1.22
776, 0.51
777, 1.22
778, 0.72
779, 1.34
780, 0.50
781, 1.10
782, 0.63
783, 0.74
784, 0.52
785, 1.25
786, 0.48
787, 0.85
788, 0.46
789, 0.82
790, 0.90
791, 0.79
792, 0.78
793, 0.96
794, 0.78
795, 0.92
796, 1.20
797, 0.66
798, 0.87
799, 0.79
800, 0.49
801, 0.41
802, 0.83
803, 0.58
804, 1.27
805, 0.43
806, 0.97
807, 0.95
808, 0.99
809, 0.43
810, 0.88
811, 1.03
812, 1.20
813, 0.44
814, 0.56
815, 0.53
816, 0.65
817, 0.74
818, 0.37
819, 0.68
820, 1.10
821, 0.36
822, 0.55
823, 0.48
824, 1.14
825, 1.18
826, 1.24
827, 0.61
828, 1.12
829, 1.12
830, 0.60
831, 1.20
832, 0.99
833, 1.04
834, 0.92
835, 0.59
836, 1.37
837, 0.54
838, 0.50
839, 0.34
840, 0.46
841, 0.36
842, 0.37
843, 0.98
844, 0.53
845, 0.82
846, 0.82
847, 0.51
848, 0.85
849, 1.03
850, 0.61
851, 1.26
852, 0.78
853, 0.39
854, 1.11
855, 0.48
856, 0.39
857, 0.44
858, 1.40
859, 1.31
860, 0.56
861, 0.97
862, 1.09
863, 0.65
864, 0.86
865, 1.10
866, 0.49
867, 0.72
868, 1.22
869, 0.51
870, 1.17
871, 1.10
872, 1.05
873, 1.19
874, 0.65
875, 0.96
876, 1.06
877, 1.26
878, 1.28
879, 0.53
880, 0.58
881, 1.03
882, 1.33
883, 0.43
884, 0.60
885, 0.62
886, 0.55
887, 0.87
888, 1.08
889, 1.06
890, 0.38
891, 1.26
892, 1.14
893, 0.73
894, 1.26
895, 1.22
896, 0.33
897, 1.02
898, 1.29
899, 1.19
900, 0.34
901, 0.99
902, 0.98
903, 1.31
904, 1.08
905, 0.70
906, 0.72
907, 1.20
908, 1.08
909, 0.72
910, 0.95
911, 0.28
912, 1.10
913, 1.00
914, 0.90
915, 0.42
916, 0.62
917, 1.03
918, 0.48
919, 1.04
920, 1.29
921, 0.66
922, 1.18
923, 0.36
924, 1.22
925, 0.59
926, 0.44
927, 1.21
928, 1.27
929, 0.34
930, 0.35
931, 1.21
932, 0.78
933, 1.24
934, 0.90
935, 0.75
936, 0.43
937, 1.06
938, 0.84
939, 0.66
940, 1.28
941, 0.99
942, 0.65
943, 0.82
944, 0.28
945, 0.46
946, 0.71
947, 0.86
948, 0.84
949, 1.20
950, 1.17
951, 0.72
952, 0.81
953, 0.99
954, 0.81
955, 1.16
956, 1.05
957, 0.32
958, 1.30
959, 0.46
960, 1.17
961, 0.78
962, 0.97
963, 0.50
964, 1.25
965, 0.48
966, 0.40
967, 0.37
968, 0.99
969, 1.12
970, 0.76
971, 0.61
972, 1.30
973, 0.40
974, 0.82
975, 0.50
976, 0.84
977, 0.66
978, 1.37
979, 0.80
980, 0.68
981, 0.63
982, 0.56
983, 0.93
984, 0.54
985, 0.63
986, 1.23
987, 0.36
988, 0.39
989, 1.42
990, 0.80
991, 0.39
992, 1.21
993, 0.43
994, 0.46
995, 0.38
996, 0.86
997, 0.41
998, 0.85
999, 1.20
1000, 0.52
1001, 0.73
1002, 1.01
1003, 0.90
1004, 0.58
1005, 1.02
1006, 0.50
1007, 1.17
1008, 1.18
1009, 0.79
1010, 0.99
1011, 0.86
1012, 0.74
1013, 0.94
1014, 1.29
1015, 0.53
1016, 0.43
1017, 1.10
1018, 1.26
1019, 0.39
1020, 0.85
1021, 1.12
1022, 0.44
1023, 0.46
1024, 0.25
1025, 0.51
1026, 0.87
1027, 0.50
1028, 1.29
1029, 1.06
1030, 0.42
1031, 0.68
1032, 0.67
1033, 0.28
1034, 0.74
1035, 1.08
1036, 1.11
1037, 0.66
1038, 0.44
1039, 0.38
1040, 0.34
1041, 0.58
1042, 0.82
1043, 1.05
1044, 0.56
1045, 0.93
1046, 0.50
1047, 0.42
1048, 0.44
1049, 0.54
1050, 0.84
1051, 1.30
1052, 0.35
1053, 0.66
1054, 1.19
1055, 0.44
1056, 0.89
1057, 1.18
1058, 0.72
1059, 1.21
1060, 0.70
1061, 0.74
1062, 0.97
1063, 1.00
1064, 0.36
1065, 0.73
1066, 1.18
1067, 0.66
1068, 0.80
1069, 0.70
1070, 0.79
1071, 1.14
1072, 1.14
1073, 0.93
1074, 1.19
1075, 0.61
1076, 0.63
1077, 0.56
1078, 0.98
1079, 0.31
1080, 1.05
1081, 1.18
1082, 0.44
1083, 0.92
1084, 0.74
1085, 1.15
1086, 0.84
1087, 1.15
1088, 1.04
1089, 0.97
1090, 0.78
1091, 0.48
1092, 1.00
1093, 0.29
1094, 0.65
1095, 1.12
1096, 0.35
1097, 0.37
1098, 0.60
1099, 0.80
1100, 1.22
1101, 0.78
1102, 0.73
1103, 0.76
1104, 0.84
1105, 0.75
1106, 0.74
1107, 1.18
1108, 0.92
1109, 1.18
1110, 0.43
1111, 0.44
1112, 1.16
1113, 0.35
1114, 0.82
1115, 0.90
1116, 0.48
1117, 1.21
1118, 0.93
1119, 0.28
1120, 0.53
1121, 0.82
1122, 0.69
1123, 0.43
1124, 1.25
1125, 0.81
1126, 1.29
1127, 0.34
1128, 0.82
1129, 1.24
