read, delay
1, 15.36
2, 1.12
3, 1.12
4, 0.49
5, 0.81
6, 0.58
7, 1.22
8, 0.36
9, 0.62
10, 0.40
11, 0.94
12, 0.81
13, 0.43
14, 1.02
15, 0.71
16, 1.17
17, 0.84
18, 0.57
19, 0.82
20, 0.54
21, 0.83
22, 0.48
23, 0.74
24, 0.35
25, 0.46
26, 0.40
27, 0.88
28, 0.94
29, 1.15
30, 0.56
31, 0.30
32, 0.52
33, 0.84
34, 0.75
35, 1.18
36, 0.27
37, 0.81
38, 0.36
39, 0.93
40, 1.10
41, 0.54
42, 1.21
43, 0.69
44, 0.93
45, 0.62
46, 1.07
47, 0.87
48, 0.75
49, 0.72
50, 0.73
51, 0.65
52, 0.87
53, 0.36
54, 0.55
55, 0.94
56, 0.49
57, 0.85
58, 0.52
59, 0.87
60, 0.36
61, 1.17
62, 1.21
63, 0.50
64, 0.83
65, 0.93
66, 0.41
67, 0.90
68, 0.43
69, 0.44
70, 0.87
71, 0.66
72, 0.34
73, 0.72
74, 0.97
75, 1.19
76, 0.40
77, 0.57
78, 0.42
79, 0.64
80, 0.68
81, 1.24
82, 1.11
83, 1.25
84, 0.32
85, 0.96
86, 0.65
87, 0.95
88, 1.13
89, 0.70
90, 0.38
91, 0.49
92, 0.58
93, 0.82
94, 0.48
95, 0.37
96, 0.92
97, 0.34
98, 0.64
99, 0.92
100, 1.04
101, 0.88
102, 0.94
103, 0.96
104, 0.31
105, 1.12
106, 0.48
107, 0.54
108, 0.36
109, 0.44
110, 1.20
111, 0.81
112, 1.16
113, 1.18
114, 0.87
115, 0.46
116, 1.18
117, 0.30
118, 0.78
119, 0.64
120, 0.66
121, 1.18
122, 0.32
123, 0.37
124, 1.16
125, 0.54
126, 0.62
127, 0.25
128, 0.28
129, 1.14
130, 1.12
131, 0.78
132, 0.33
133, 1.02
134, 0.59
135, 1.21
136, 0.52
137, 0.54
138, 1.16
139, 1.08
140, 1.00
141, 0.70
142, 0.27
143, 0.26
144, 0.80
145, 0.37
146, 1.14
147, 0.70
148, 1.20
149, 0.94
150, 0.80
151, 1.10
152, 1.23
153, 1.16
154, 0.90
155, 1.04
156, 0.36
157, 0.32
158, 1.08
159, 1.22
160, 0.95
161, 0.34
162, 1.23
163, 1.10
164, 0.55
165, 0.94
166, 0.88
167, 0.67
168, 0.99
169, 0.96
170, 1.20
171, 0.28
172, 0.76
173, 0.66
174, 0.67
175, 1.22
176, 0.51
177, 0.94
178, 1.00
179, 0.79
180, 0.46
181, 0.67
182, 0.44
183, 0.61
184, 0.98
185, 1.22
186, 0.31
187, 1.15
188, 0.36
189, 0.83
190, 0.47
191, 0.88
192, 0.81
193, 0.70
194, 0.63
195, 1.13
196, 0.69
197, 0.43
198, 0.72
199, 1.07
200, 0.52
201, 1.24
202, 0.97
203, 0.26
204, 1.19
205, 0.70
206, 0.98
207, 1.10
208, 0.72
209, 1.24
210, 1.02
211, 1.16
212, 0.26
213, 1.11
214, 0.80
215, 0.30
216, 0.93
217, 0.82
218, 0.29
219, 0.76
220, 0.90
221, 0.32
222, 0.39
223, 0.44
224, 0.89
225, 0.34
226, 0.47
227, 0.70
228, 0.76
229, 0.24
230, 0.83
231, 0.35
232, 1.20
233, 0.56
234, 0.56
235, 0.30
236, 0.86
237, 1.13
238, 0.35
239, 0.83
240, 1.07
241, 0.95
242, 0.27
243, 0.75
244, 1.12
245, 0.79
246, 1.25
247, 1.12
248, 0.73
249, 1.07
250, 0.29
251, 0.45
252, 0.26
253, 0.96
254, 0.73
255, 0.94
256, 0.89
257, 0.97
258, 1.19
259, 0.76
260, 1.03
261, 0.66
262, 1.05
263, 1.13
264, 0.88
265, 0.37
266, 0.43
267, 0.32
268, 0.92
269, 0.59
270, 0.38
271, 1.10
272, 0.88
273, 0.51
274, 0.42
275, 0.86
276, 0.38
277, 1.08
278, 0.89
279, 0.46
280, 0.42
281, 1.18
282, 1.24
283, 1.22
284, 0.61
285, 0.84
286, 0.33
287, 0.93
288, 0.61
289, 1.09
290, 0.42
291, 0.39
292, 0.68
293, 0.52
294, 0.76
295, 0.98
296, 0.42
297, 0.56
298, 0.28
299, 1.16
300, 0.63
301, 0.58
302, 1.08
303, 0.98
304, 1.07
305, 0.65
306, 0.94
307, 0.90
308, 1.13
309, 0.76
310, 1.23
311, 1.01
312, 0.46
313, 1.24
314, 1.17
315, 1.21
316, 0.92
317, 0.68
318, 1.14
319, 0.96
320, 0.76
321, 0.52
322, 0.39
323, 1.08
324, 0.48
325, 0.44
326, 0.31
327, 0.88
328, 0.92
329, 0.60
330, 0.36
331, 0.41
332, 0.83
333, 1.11
334, 0.31
335, 1.16
336, 1.13
337, 1.06
338, 0.89
339, 0.88
340, 0.57
341, 0.29
342, 0.50
343, 0.28
