read, delay
1, 1.67
2, 2.53
3, 1.89
4, 3.00
5, 2.52
6, 2.96
7, 2.75
8, 3.82
9, 3.64
10, 2.09
11, 3.98
12, 2.60
13, 3.61
14, 1.73
15, 3.47
16, 2.87
17, 2.33
18, 3.21
19, 4.18
20, 3.14
21, 3.96
22, 3.31
23, 1.70
24, 3.48
25, 3.32
26, 2.78
27, 3.87
28, 2.80
29, 3.54
30, 3.34
31, 1.68
32, 2.76
33, 2.52
34, 3.51
35, 3.12
36, 2.98
37, 3.24
38, 2.65
39, 3.79
40, 2.30
41, 1.78
42, 4.51
43, 3.14
44, 2.42
45, 2.59
46, 3.60
47, 2.50
48, 3.98
49, 3.74
50, 1.90
51, 3.46
52, 2.21
53, 4.15
54, 2.20
55, 3.47
56, 2.92
57, 2.64
58, 3.34
59, 2.63
60, 1.33
61, 4.20
62, 2.88
63, 2.25
64, 2.08
65, 3.00
66, 2.57
67, 2.79
68, 2.03
69, 3.42
70, 2.05
71, 3.64
72, 2.61
73, 3.92
74, 1.93
75, 3.13
76, 2.19
77, 3.39
78, 3.01
79, 2.70
80, 3.90
81, 2.68
82, 4.04
83, 1.96
84, 4.02
85, 2.83
86, 2.55
87, 3.47
88, 2.64
89, 2.97
90, 2.11
91, 3.60
92, 3.45
93, 2.46
94, 3.72
95, 3.75
96, 1.78
97, 3.26
98, 3.09
99, 2.74
100, 3.73
101, 3.24
102, 3.07
103, 2.98
104, 1.19
105, 4.02
106, 2.65
107, 2.50
108, 3.54
109, 2.47
110, 2.60
111, 2.24
112, 2.05
113, 3.82
114, 3.48
115, 1.78
116, 3.85
117, 2.69
118, 4.01
119, 2.55
120, 1.94
121, 3.06
122, 2.39
123, 3.48
124, 3.02
125, 2.79
126, 2.88
127, 1.31
128, 3.80
129, 2.53
130, 1.84
131, 2.81
132, 2.59
133, 3.96
134, 2.36
135, 2.20
136, 3.88
137, 2.05
138, 3.53
139, 2.45
140, 3.45
141, 3.29
142, 1.70
143, 2.90
144, 2.20
145, 3.68
146, 3.50
147, 2.59
148, 2.59
149, 4.02
150, 3.50
151, 2.02
152, 1.88
153, 3.48
154, 2.62
155, 4.18
156, 3.35
157, 3.35
158, 3.22
159, 1.88
160, 3.16
161, 2.04
162, 3.60
163, 3.47
164, 2.81
165, 3.52
166, 3.28
167, 2.13
168, 1.46
169, 3.27
170, 2.45
171, 2.28
172, 3.58
173, 2.91
174, 2.89
175, 4.13
176, 3.86
177, 2.19
178, 1.85
179, 3.56
180, 2.81
181, 2.51
182, 2.52
183, 2.39
184, 1.99
185, 3.52
186, 2.74
187, 2.52
188, 4.24
189, 2.15
190, 3.67
191, 1.82
192, 2.93
193, 2.05
194, 3.57
195, 3.20
196, 2.82
197, 2.84
198, 2.54
199, 4.22
200, 2.33
201, 4.35
202, 2.39
203, 3.82
204, 2.12
205, 3.10
206, 2.38
207, 4.23
208, 2.74
209, 3.91
210, 3.12
211, 2.72
212, 3.00
213, 2.02
214, 3.31
215, 1.68
216, 3.44
217, 2.49
218, 2.68
219, 2.14
220, 3.39
221, 2.50
222, 4.09
223, 2.58
224, 4.05
225, 3.74
226, 3.19
227, 3.25
228, 1.59
229, 2.78
230, 2.36
231, 4.02
232, 3.76
233, 3.80
234, 1.95
235, 3.13
236, 2.33
237, 3.65
238, 3.30
239, 2.00
240, 4.50
241, 2.76
242, 2.69
243, 1.92
244, 3.43
245, 3.18
246, 2.60
247, 3.66
248, 2.87
249, 3.64
250, 1.53
251, 2.91
252, 2.40
253, 3.46
254, 3.10
255, 4.55
256, 3.65
257, 3.70
258, 2.16
259, 4.40
260, 3.12
261, 2.85
262, 3.82
263, 3.59
264, 2.23
265, 3.44
266, 1.73
267, 2.64
268, 2.45
269, 2.31
270, 3.41
271, 3.60
272, 3.01
273, 1.34
274, 2.44
275, 3.58
276, 3.26
277, 2.35
278, 3.73
279, 1.93
280, 3.22
281, 2.88
282, 4.14
283, 2.04
284, 3.07
285, 2.94
286, 3.14
287, 2.62
288, 3.56
289, 2.51
290, 4.34
291, 2.90
292, 3.96
293, 2.68
294, 1.92
295, 3.02
296, 4.19
297, 3.42
298, 2.26
299, 3.28
300, 2.86
301, 3.12
302, 2.72
303, 1.92
304, 3.45
305, 3.20
306, 4.21
307, 3.50
308, 2.19
309, 2.65
310, 2.23
311, 3.58
312, 3.11
313, 2.45
314, 3.90
315, 2.25
316, 3.38
317, 2.04
318, 1.81
319, 3.43
320, 2.44
321, 3.32
322, 4.57
323, 3.65
324, 4.04
325, 2.04
326, 1.70
327, 2.88
328, 2.26
329, 3.85
330, 3.03
331, 3.16
332, 2.32
333, 3.90
334, 1.88
335, 2.92
336, 2.39
337, 3.38
338, 2.00
339, 3.72
340, 1.74
341, 2.75
342, 2.08
343, 3.50
344, 3.40
345, 3.07
346, 3.52
347, 1.52
348, 3.09
349, 2.68
350, 3.68
351, 3.13
352, 1.72
353, 3.25
354, 2.64
355, 2.92
356, 2.04
357, 3.55
358, 2.82
359, 3.91
360, 2.19
361, 3.77
362, 1.94
363, 3.36
364, 2.44
365, 2.21
366, 3.47
367, 2.01
368, 2.95
369, 1.36
370, 2.36
371, 3.56
372, 2.74
373, 2.30
374, 3.58
375, 3.52
376, 1.57
377, 2.94
378, 2.70
379, 1.80
380, 2.88
381, 4.04
382, 3.68
383, 3.31
384, 3.67
385, 1.92
386, 4.17
387, 2.06
388, 3.48
389, 2.63
390, 2.95
391, 2.77
392, 1.57
393, 3.77
394, 2.66
395, 4.74
396, 3.12
397, 2.78
398, 3.04
399, 2.62
400, 1.49
401, 2.68
402, 3.54
403, 2.86
404, 3.14
405, 2.60
406, 1.35
407, 2.70
408, 3.64
409, 2.60
410, 3.99
411, 3.43
412, 3.58
413, 2.59
414, 2.14
415, 3.28
416, 4.40
417, 2.43
418, 2.43
419, 1.73
420, 2.76
421, 2.21
422, 3.26
423, 4.70
424, 2.74
425, 2.63
426, 2.65
427, 2.43
428, 4.09
429, 2.03
430, 3.47
431, 2.58
432, 4.06
433, 3.91
434, 2.47
435, 3.63
436, 2.07
437, 4.19
438, 2.27
439, 3.55
440, 3.05
441, 3.24
442, 2.11
443, 3.54
444, 4.47
445, 2.44
446, 2.26
447, 3.97
448, 2.35
449, 3.37
450, 2.56
451, 4.29
452, 2.46
453, 3.70
454, 2.76
455, 2.41
456, 2.41
457, 2.15
458, 3.30
459, 2.65
460, 4.48
461, 3.33
462, 3.21
463, 2.76
464, 3.22
465, 2.44
466, 3.46
467, 4.65
468, 3.12
469, 2.36
470, 3.03
471, 2.06
472, 3.15
473, 1.70
474, 3.34
475, 3.10
476, 2.78
477, 4.50
478, 2.60
479, 4.06
480, 1.98
481, 3.05
482, 2.29
483, 3.44
484, 2.90
485, 3.43
486, 3.06
487, 1.55
488, 3.18
489, 2.64
490, 2.30
491, 3.46
492, 3.24
493, 3.59
494, 1.60
495, 3.05
496, 2.68
497, 2.32
498, 3.35
499, 2.53
500, 2.69
501, 2.25
502, 2.40
503, 2.10
504, 1.84
505, 2.76
506, 3.85
507, 2.76
508, 3.22
509, 1.62
510, 4.42
511, 2.68
512, 2.18
513, 3.34
514, 3.12
515, 3.76
516, 2.95
517, 4.08
518, 2.46
519, 2.24
520, 3.24
521, 2.85
522, 4.24
523, 2.46
524, 2.65
525, 2.46
526, 2.10
527, 3.85
528, 2.34
529, 3.62
530, 3.20
531, 2.70
532, 3.12
533, 2.19
534, 3.96
535, 2.25
536, 1.88
537, 3.01
538, 2.57
539, 2.82
540, 2.17
541, 3.92
542, 2.74
543, 2.38
544, 4.01
545, 3.84
546, 2.70
547, 3.58
548, 3.12
549, 1.92
550, 3.70
551, 2.45
552, 2.31
553, 3.77
554, 3.12
555, 2.95
556, 3.91
557, 2.47
558, 2.78
559, 2.41
560, 3.49
561, 2.91
562, 1.62
563, 2.80
564, 2.31
565, 3.40
566, 2.03
567, 3.58
568, 2.90
569, 1.72
570, 3.28
571, 3.11
572, 4.14
573, 3.58
574, 2.19
575, 2.84
576, 2.32
577, 3.46
578, 2.45
579, 3.91
580, 3.25
581, 4.55
582, 2.96
583, 4.05
584, 2.33
585, 4.30
586, 2.51
587, 3.67
588, 3.12
589, 3.04
590, 2.65
591, 3.93
592, 3.64
593, 1.60
594, 3.84
595, 2.67
596, 2.58
597, 2.12
598, 3.48
599, 2.77
600, 4.04
601, 3.02
602, 4.19
603, 3.06
604, 2.43
605, 2.78
606, 2.05
607, 3.54
608, 2.61
609, 3.92
610, 3.38
611, 3.02
612, 3.32
613, 1.78
614, 3.23
615, 3.04
616, 2.68
617, 4.22
618, 3.31
619, 3.55
620, 2.70
621, 4.04
622, 2.63
623, 2.14
624, 3.27
625, 2.41
626, 2.50
627, 3.60
628, 3.07
629, 2.24
630, 3.40
631, 2.02
632, 4.29
633, 2.80
634, 3.04
635, 2.03
636, 3.52
637, 2.78
638, 4.61
639, 2.89
640, 3.91
641, 2.88
642, 3.30
643, 2.97
644, 2.35
645, 3.73
646, 3.31
647, 2.14
648, 3.37
649, 2.42
650, 2.82
651, 1.80
652, 2.87
653, 2.08
654, 3.56
655, 2.96
656, 3.42
657, 3.14
658, 2.00
659, 4.31
660, 2.59
661, 3.78
662, 3.43
663, 2.92
664, 2.79
665, 2.87
666, 3.91
667, 3.41
668, 1.58
669, 3.44
670, 3.11
671, 2.34
672, 4.14
673, 2.62
674, 2.07
675, 3.93
676, 2.07
677, 1.94
678, 3.32
679, 3.10
680, 2.76
681, 3.61
682, 2.58
683, 4.01
684, 2.66
685, 2.23
686, 3.47
687, 3.16
688, 4.16
689, 3.86
690, 1.83
691, 3.08
692, 4.32
693, 2.88
694, 2.55
695, 3.49
696, 2.61
697, 2.91
698, 2.08
699, 3.45
700, 4.54
701, 2.63
702, 3.90
703, 3.71
704, 2.05
705, 3.28
706, 2.43
707, 3.49
708, 2.75
709, 3.74
710, 2.35
711, 3.89
712, 1.98
713, 3.37
714, 2.50
715, 3.57
716, 2.93
717, 3.36
718, 2.92
719, 2.61
720, 3.67
721, 2.12
722, 3.07
723, 3.20
724, 2.53
725, 1.99
726, 2.96
727, 2.80
728, 4.25
729, 2.70
730, 3.79
731, 1.77
732, 3.38
733, 2.42
734, 3.76
735, 3.25
736, 2.96
737, 4.36
738, 3.00
739, 2.79
740, 3.08
741, 2.66
742, 2.52
743, 3.66
744, 3.25
745, 4.69
746, 3.10
747, 2.93
748, 3.23
749, 2.36
750, 3.74
751, 2.71
752, 3.77
753, 3.26
754, 3.22
755, 1.35
756, 3.06
757, 2.17
758, 1.96
759, 3.15
760, 4.20
761, 3.06
762, 2.43
763, 3.54
764, 2.29
765, 1.84
766, 3.53
767, 2.89
768, 4.00
769, 2.26
770, 3.48
771, 2.28
772, 3.48
773, 2.33
774, 2.09
775, 3.44
776, 3.24
777, 4.29
778, 2.31
779, 3.87
780, 2.66
781, 1.98
782, 3.59
783, 3.40
784, 2.69
785, 3.73
786, 2.46
787, 2.33
788, 2.30
789, 3.26
790, 3.03
791, 3.96
792, 3.25
793, 4.68
794, 2.80
795, 4.20
796, 2.44
797, 3.65
798, 2.62
799, 4.21
800, 3.28
801, 3.50
802, 2.62
803, 3.52
804, 1.72
805, 3.39
806, 2.34
807, 3.26
808, 2.14
809, 3.47
810, 2.57
811, 3.92
812, 3.80
813, 3.40
814, 1.96
815, 2.92
816, 1.55
817, 2.85
818, 2.14
819, 3.47
820, 2.27
821, 2.17
822, 3.64
823, 2.50
824, 2.41
825, 1.88
826, 3.75
827, 3.44
828, 2.21
829, 1.88
830, 3.29
831, 3.12
832, 2.63
833, 2.58
834, 3.45
835, 2.65
836, 2.26
837, 3.16
838, 1.96
839, 3.59
840, 2.02
841, 1.80
842, 2.77
843, 2.46
844, 3.71
845, 3.12
846, 2.98
847, 3.27
848, 1.38
849, 2.39
850, 2.01
851, 3.79
852, 2.98
853, 4.18
854, 3.20
855, 3.81
856, 2.32
857, 2.18
858, 3.33
859, 3.08
860, 4.08
861, 3.73
862, 2.58
863, 3.94
864, 2.92
865, 1.77
866, 3.12
867, 2.77
868, 1.56
869, 3.23
870, 2.26
871, 3.34
872, 2.70
873, 3.10
874, 2.46
875, 3.37
876, 2.48
877, 4.31
878, 3.01
879, 2.43
880, 2.53
881, 2.08
882, 3.47
883, 2.26
884, 1.94
885, 3.76
886, 2.89
887, 4.06
888, 3.62
889, 3.92
890, 3.58
891, 1.58
892, 3.92
893, 2.30
894, 3.54
895, 2.88
896, 1.68
897, 2.92
898, 2.33
899, 3.44
900, 2.18
901, 4.16
902, 2.72
903, 2.74
904, 2.01
905, 3.01
906, 2.20
907, 3.40
908, 2.75
909, 4.06
910, 2.09
911, 1.96
912, 3.25
913, 2.67
914, 3.90
915, 3.44
916, 2.62
917, 2.78
918, 2.16
919, 3.92
920, 2.93
921, 3.81
922, 3.01
923, 4.76
924, 3.17
925, 3.22
926, 3.02
927, 2.41
928, 2.04
929, 3.92
930, 3.22
931, 4.54
932, 4.02
933, 2.20
934, 3.80
935, 2.00
936, 3.60
937, 2.65
938, 3.69
939, 2.66
940, 2.87
941, 1.74
942, 2.89
943, 3.85
944, 1.86
945, 3.76
946, 3.85
947, 2.27
948, 4.22
949, 2.60
950, 1.99
951, 3.18
952, 3.04
953, 2.36
954, 3.39
955, 3.10
956, 2.56
957, 3.97
958, 3.76
