read, delay
1, 1.10
2, 0.96
3, 1.48
4, 2.03
5, 0.72
6, 1.14
7, 1.44
8, 2.09
9, 2.11
10, 1.30
11, 1.69
12, 2.24
13, 2.29
14, 1.04
15, 1.50
16, 2.06
17, 2.32
18, 0.85
19, 1.35
20, 2.02
21, 2.20
22, 1.16
23, 1.20
24, 1.39
25, 2.32
26, 2.29
27, 1.40
28, 1.63
29, 1.64
30, 2.24
31, 0.96
32, 1.85
33, 1.61
34, 1.50
35, 1.46
36, 1.80
37, 1.78
38, 1.58
39, 1.46
40, 1.10
41, 1.88
42, 1.80
43, 2.03
44, 0.99
45, 1.37
46, 1.84
47, 2.12
48, 1.72
49, 0.98
50, 1.42
51, 1.56
52, 0.83
53, 1.67
54, 1.34
55, 2.01
56, 0.84
57, 1.18
58, 1.39
59, 1.96
60, 1.02
61, 1.82
62, 2.02
63, 1.41
64, 1.99
65, 1.03
66, 1.92
67, 2.05
68, 1.51
69, 0.90
70, 0.94
71, 1.25
72, 1.58
73, 0.63
74, 1.31
75, 2.06
76, 1.73
77, 1.60
78, 0.89
79, 1.73
80, 1.34
81, 2.13
82, 1.29
83, 1.42
84, 1.72
85, 2.48
86, 1.29
87, 1.15
88, 2.01
89, 1.48
90, 1.43
91, 1.12
92, 1.77
93, 2.02
94, 1.16
95, 1.61
96, 1.45
97, 1.78
98, 2.14
99, 0.88
100, 1.99
101, 1.62
102, 2.06
103, 1.77
104, 1.32
105, 2.03
106, 2.31
107, 1.23
108, 1.22
109, 1.94
110, 2.40
111, 1.28
112, 0.96
113, 1.96
114, 2.01
115, 2.54
116, 1.58
117, 1.18
118, 2.18
119, 2.44
120, 1.16
121, 1.38
122, 1.93
123, 1.76
124, 1.65
125, 0.98
126, 1.67
127, 1.70
128, 0.94
129, 1.22
130, 1.21
131, 1.62
132, 1.32
133, 1.41
134, 1.56
135, 1.53
136, 2.16
137, 1.50
138, 1.08
139, 1.33
140, 1.56
141, 1.44
142, 1.23
143, 1.44
144, 1.74
145, 0.78
146, 1.43
147, 1.94
148, 2.29
149, 1.57
150, 1.38
151, 1.74
152, 2.22
153, 1.60
154, 1.42
155, 1.11
156, 1.88
157, 2.01
158, 1.06
159, 1.76
160, 1.84
161, 2.42
162, 1.64
163, 1.30
164, 2.04
165, 1.43
166, 0.86
167, 1.07
168, 1.60
169, 2.07
170, 1.09
171, 1.51
172, 2.10
173, 1.70
174, 1.79
175, 1.47
176, 1.58
177, 1.30
178, 1.54
179, 1.41
180, 1.58
181, 1.88
182, 2.04
183, 0.79
184, 1.06
185, 2.10
186, 2.21
187, 1.02
188, 1.08
189, 1.39
190, 2.16
191, 0.85
192, 1.76
193, 1.11
194, 1.45
195, 2.41
196, 1.19
197, 1.93
198, 1.62
199, 2.16
200, 1.60
201, 1.32
202, 1.29
203, 1.95
204, 1.50
205, 1.04
206, 2.10
207, 2.30
208, 1.32
209, 1.76
210, 1.22
211, 2.17
212, 1.65
213, 1.43
214, 1.60
215, 1.86
216, 2.04
217, 1.16
218, 1.38
219, 1.90
220, 1.64
221, 0.81
222, 1.68
223, 2.07
224, 1.54
225, 1.25
226, 1.60
227, 1.20
228, 1.38
229, 2.25
230, 1.19
231, 1.52
232, 2.07
233, 2.47
234, 1.01
235, 1.92
236, 1.91
237, 1.64
238, 1.06
239, 1.72
240, 2.18
241, 2.37
242, 1.44
243, 1.51
244, 1.36
245, 1.96
246, 0.59
247, 1.41
248, 2.07
249, 1.44
250, 2.52
251, 1.57
252, 1.04
253, 1.49
254, 1.94
255, 1.02
256, 1.71
257, 2.12
258, 1.76
259, 1.50
260, 1.20
261, 1.40
262, 1.94
263, 0.88
264, 1.01
265, 1.55
266, 1.81
267, 2.56
268, 1.55
269, 1.46
270, 1.96
271, 2.19
272, 0.76
273, 1.30
274, 1.85
275, 1.68
276, 1.64
277, 1.05
278, 1.64
279, 1.46
280, 1.17
281, 1.67
282, 1.23
283, 1.76
284, 1.36
285, 1.48
286, 2.06
287, 1.36
288, 1.56
289, 0.80
290, 1.13
291, 1.41
292, 1.88
293, 1.61
294, 1.23
295, 2.07
296, 2.08
297, 0.97
298, 1.58
299, 1.54
300, 2.38
301, 1.01
302, 1.63
303, 1.72
304, 2.04
305, 2.20
306, 0.92
307, 1.54
308, 2.07
309, 2.28
310, 1.24
311, 1.91
312, 1.58
313, 2.14
314, 1.68
315, 1.83
316, 2.15
317, 1.73
318, 1.64
319, 1.34
320, 1.27
321, 1.93
322, 1.24
323, 1.48
324, 1.96
325, 1.64
326, 1.66
327, 1.53
328, 1.91
329, 2.20
330, 1.92
331, 1.14
332, 1.07
333, 1.78
334, 1.78
335, 1.06
336, 0.96
337, 2.10
338, 1.84
339, 1.07
340, 0.97
341, 1.98
342, 2.04
343, 2.11
344, 1.22
345, 1.69
346, 1.55
347, 1.83
348, 1.31
349, 1.14
350, 1.37
351, 2.16
352, 1.63
353, 1.65
354, 1.77
355, 2.02
356, 2.28
357, 1.64
358, 2.02
359, 2.25
360, 2.24
361, 1.34
362, 1.12
363, 2.20
364, 1.86
365, 1.66
366, 1.47
367, 1.53
368, 2.25
369, 0.81
370, 1.86
371, 1.98
372, 1.81
373, 1.06
374, 1.37
375, 1.92
376, 1.95
377, 1.81
378, 1.30
379, 1.48
380, 2.06
381, 1.64
382, 1.30
383, 1.46
384, 1.70
385, 2.29
386, 1.30
387, 1.40
388, 2.02
389, 1.58
390, 1.59
391, 1.70
392, 1.83
393, 1.84
394, 1.82
395, 0.96
396, 1.23
397, 1.65
398, 1.72
399, 1.05
400, 1.42
401, 1.70
402, 1.45
403, 1.41
404, 1.07
405, 1.60
406, 2.19
407, 1.28
408, 0.88
409, 1.32
410, 2.29
411, 1.98
412, 0.93
413, 1.54
414, 1.65
415, 2.20
416, 0.74
417, 0.98
418, 1.24
419, 2.05
420, 0.96
421, 1.30
422, 1.66
423, 1.82
424, 1.47
425, 1.84
426, 1.78
427, 2.21
428, 1.80
429, 1.11
430, 1.26
431, 1.47
432, 1.88
433, 0.86
434, 1.06
435, 1.22
436, 1.47
437, 1.19
438, 1.33
439, 2.07
440, 1.91
441, 0.98
442, 1.65
443, 1.51
444, 1.73
445, 2.15
446, 1.40
447, 1.63
448, 1.69
449, 1.54
450, 1.25
451, 1.80
452, 1.32
453, 2.26
454, 1.38
455, 1.18
456, 1.83
457, 1.56
458, 0.67
459, 1.16
460, 1.24
461, 2.17
462, 2.10
463, 0.96
464, 1.21
465, 1.34
466, 2.29
467, 1.34
468, 1.56
469, 1.29
470, 1.59
471, 1.63
472, 1.59
473, 1.37
474, 2.24
475, 1.26
476, 0.89
477, 1.64
478, 1.49
479, 1.34
480, 1.41
481, 1.15
482, 1.36
483, 1.99
484, 0.90
485, 1.71
486, 1.97
487, 2.12
488, 1.37
489, 1.32
490, 1.49
491, 1.65
492, 0.69
493, 1.24
494, 1.58
495, 1.48
496, 2.44
497, 1.77
498, 1.98
499, 1.75
500, 1.94
501, 1.11
502, 1.40
503, 1.24
504, 2.44
505, 1.33
506, 1.12
507, 1.54
508, 1.60
509, 0.78
510, 1.09
511, 2.06
512, 2.31
513, 0.89
514, 1.30
515, 2.04
516, 1.99
517, 1.70
518, 1.50
519, 1.40
520, 1.28
521, 1.94
522, 1.40
523, 1.16
524, 1.50
525, 2.12
526, 1.55
527, 1.49
528, 1.84
529, 1.84
530, 1.18
531, 1.40
532, 1.16
533, 1.90
534, 2.39
535, 1.28
536, 1.20
537, 1.94
538, 1.72
539, 1.35
540, 1.46
541, 1.90
542, 1.97
543, 1.28
544, 1.84
545, 1.53
546, 1.49
547, 0.75
548, 1.00
549, 1.72
550, 1.80
551, 2.38
552, 1.23
553, 1.77
554, 1.58
555, 1.59
556, 1.49
557, 1.69
558, 2.08
559, 1.64
560, 1.60
561, 1.20
562, 1.82
563, 1.64
564, 1.42
565, 1.19
566, 1.68
567, 2.29
568, 0.88
569, 0.96
570, 1.53
571, 1.50
572, 1.02
573, 1.44
574, 2.04
575, 1.92
576, 2.45
577, 1.28
578, 1.22
579, 1.84
580, 2.10
581, 1.66
582, 1.37
583, 1.63
584, 1.90
585, 1.52
586, 1.31
587, 1.88
588, 2.40
589, 0.91
590, 1.71
591, 1.97
592, 1.74
593, 0.69
594, 0.88
595, 2.04
596, 1.72
597, 2.33
598, 1.48
599, 1.28
600, 1.88
601, 2.49
602, 1.58
603, 1.66
604, 1.44
605, 1.80
